Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2450,918,D24HourMean,QuarterlyMean,Mean,18.32
2432,860,D24HourMean,QuarterlyMean,Mean,46.35
2512,920,D24HourMean,QuarterlyMean,Mean,7.05
2456,860,D24HourMean,QuarterlyMean,Mean,29.89
2494,896,D24HourMean,QuarterlyMean,Mean,18.82
2429,895,D24HourMean,QuarterlyMean,Mean,26.68
2420,890,D24HourMean,QuarterlyMean,Mean,36.29
2513,928,D24HourMean,QuarterlyMean,Mean,5.98
2493,930,D24HourMean,QuarterlyMean,Mean,20.91
2501,917,D24HourMean,QuarterlyMean,Mean,6.75
2425,872,D24HourMean,QuarterlyMean,Mean,33.53
2479,928,D24HourMean,QuarterlyMean,Mean,24.92
2434,874,D24HourMean,QuarterlyMean,Mean,41.49
2445,880,D24HourMean,QuarterlyMean,Mean,31.09
2482,910,D24HourMean,QuarterlyMean,Mean,14.38
2475,880,D24HourMean,QuarterlyMean,Mean,22.40
2491,903,D24HourMean,QuarterlyMean,Mean,22.26
2458,930,D24HourMean,QuarterlyMean,Mean,19.74
2425,886,D24HourMean,QuarterlyMean,Mean,31.91
2438,903,D24HourMean,QuarterlyMean,Mean,21.16
2450,925,D24HourMean,QuarterlyMean,Mean,19.23
2414,884,D24HourMean,QuarterlyMean,Mean,29.03
2429,891,D24HourMean,QuarterlyMean,Mean,31.21
2466,931,D24HourMean,QuarterlyMean,Mean,22.10
2444,905,D24HourMean,QuarterlyMean,Mean,18.41
2416,880,D24HourMean,QuarterlyMean,Mean,30.07
2430,901,D24HourMean,QuarterlyMean,Mean,24.85
2486,879,D24HourMean,QuarterlyMean,Mean,23.30
2511,926,D24HourMean,QuarterlyMean,Mean,6.29
2446,912,D24HourMean,QuarterlyMean,Mean,17.62
2500,916,D24HourMean,QuarterlyMean,Mean,6.82
2421,871,D24HourMean,QuarterlyMean,Mean,32.89
2443,906,D24HourMean,QuarterlyMean,Mean,17.18
2420,863,D24HourMean,QuarterlyMean,Mean,42.71
2420,880,D24HourMean,QuarterlyMean,Mean,30.00
2454,881,D24HourMean,QuarterlyMean,Mean,23.47
2429,862,D24HourMean,QuarterlyMean,Mean,44.32
2419,859,D24HourMean,QuarterlyMean,Mean,36.49
2409,879,D24HourMean,QuarterlyMean,Mean,24.55
2499,911,D24HourMean,QuarterlyMean,Mean,20.39
2452,893,D24HourMean,QuarterlyMean,Mean,19.87
2505,919,D24HourMean,QuarterlyMean,Mean,6.82
2446,894,D24HourMean,QuarterlyMean,Mean,20.90
2431,900,D24HourMean,QuarterlyMean,Mean,22.98
2434,898,D24HourMean,QuarterlyMean,Mean,23.46
2468,905,D24HourMean,QuarterlyMean,Mean,18.35
2492,901,D24HourMean,QuarterlyMean,Mean,19.74
2443,874,D24HourMean,QuarterlyMean,Mean,34.46
2444,869,D24HourMean,QuarterlyMean,Mean,36.59
2422,866,D24HourMean,QuarterlyMean,Mean,39.21
2491,891,D24HourMean,QuarterlyMean,Mean,17.26
2477,928,D24HourMean,QuarterlyMean,Mean,25.29
2413,877,D24HourMean,QuarterlyMean,Mean,29.17
2510,940,D24HourMean,QuarterlyMean,Mean,4.67
2420,872,D24HourMean,QuarterlyMean,Mean,33.55
2447,857,D24HourMean,QuarterlyMean,Mean,30.98
2436,889,D24HourMean,QuarterlyMean,Mean,27.01
2497,909,D24HourMean,QuarterlyMean,Mean,21.65
2426,895,D24HourMean,QuarterlyMean,Mean,29.58
2478,892,D24HourMean,QuarterlyMean,Mean,18.30
2460,932,D24HourMean,QuarterlyMean,Mean,19.97
2417,888,D24HourMean,QuarterlyMean,Mean,30.89
2460,929,D24HourMean,QuarterlyMean,Mean,20.27
2487,913,D24HourMean,QuarterlyMean,Mean,6.37
2490,887,D24HourMean,QuarterlyMean,Mean,17.18
2434,911,D24HourMean,QuarterlyMean,Mean,21.70
2455,904,D24HourMean,QuarterlyMean,Mean,20.75
2474,928,D24HourMean,QuarterlyMean,Mean,22.75
2431,892,D24HourMean,QuarterlyMean,Mean,28.05
2456,859,D24HourMean,QuarterlyMean,Mean,29.41
2471,886,D24HourMean,QuarterlyMean,Mean,21.91
2457,894,D24HourMean,QuarterlyMean,Mean,21.12
2479,903,D24HourMean,QuarterlyMean,Mean,17.76
2513,940,D24HourMean,QuarterlyMean,Mean,4.58
2431,893,D24HourMean,QuarterlyMean,Mean,27.44
2433,872,D24HourMean,QuarterlyMean,Mean,40.79
2493,883,D24HourMean,QuarterlyMean,Mean,18.64
2467,899,D24HourMean,QuarterlyMean,Mean,19.01
2476,925,D24HourMean,QuarterlyMean,Mean,18.65
2469,876,D24HourMean,QuarterlyMean,Mean,23.04
2456,873,D24HourMean,QuarterlyMean,Mean,33.47
2495,915,D24HourMean,QuarterlyMean,Mean,6.71
2507,938,D24HourMean,QuarterlyMean,Mean,5.23
2420,908,D24HourMean,QuarterlyMean,Mean,24.50
2460,897,D24HourMean,QuarterlyMean,Mean,10.08
2466,891,D24HourMean,QuarterlyMean,Mean,18.72
2451,863,D24HourMean,QuarterlyMean,Mean,31.57
2419,891,D24HourMean,QuarterlyMean,Mean,35.80
2421,893,D24HourMean,QuarterlyMean,Mean,34.40
2466,924,D24HourMean,QuarterlyMean,Mean,18.50
2421,873,D24HourMean,QuarterlyMean,Mean,30.07
2462,858,D24HourMean,QuarterlyMean,Mean,27.15
2470,925,D24HourMean,QuarterlyMean,Mean,18.78
2449,879,D24HourMean,QuarterlyMean,Mean,28.36
2455,928,D24HourMean,QuarterlyMean,Mean,20.65
2409,896,D24HourMean,QuarterlyMean,Mean,30.89
2448,869,D24HourMean,QuarterlyMean,Mean,32.90
2488,906,D24HourMean,QuarterlyMean,Mean,6.68
2454,899,D24HourMean,QuarterlyMean,Mean,18.74
2462,895,D24HourMean,QuarterlyMean,Mean,22.87
2484,928,D24HourMean,QuarterlyMean,Mean,22.32
2464,904,D24HourMean,QuarterlyMean,Mean,16.21
2417,913,D24HourMean,QuarterlyMean,Mean,24.89
2474,890,D24HourMean,QuarterlyMean,Mean,19.21
2485,900,D24HourMean,QuarterlyMean,Mean,16.74
2448,858,D24HourMean,QuarterlyMean,Mean,31.66
2507,902,D24HourMean,QuarterlyMean,Mean,24.68
2436,856,D24HourMean,QuarterlyMean,Mean,37.37
2438,918,D24HourMean,QuarterlyMean,Mean,19.84
2454,914,D24HourMean,QuarterlyMean,Mean,16.46
2455,912,D24HourMean,QuarterlyMean,Mean,15.70
2456,896,D24HourMean,QuarterlyMean,Mean,20.37
2416,906,D24HourMean,QuarterlyMean,Mean,28.78
2449,915,D24HourMean,QuarterlyMean,Mean,15.93
2510,928,D24HourMean,QuarterlyMean,Mean,6.00
2496,909,D24HourMean,QuarterlyMean,Mean,20.71
2480,897,D24HourMean,QuarterlyMean,Mean,16.78
2475,927,D24HourMean,QuarterlyMean,Mean,22.79
2419,907,D24HourMean,QuarterlyMean,Mean,25.96
2469,915,D24HourMean,QuarterlyMean,Mean,7.19
2477,902,D24HourMean,QuarterlyMean,Mean,15.14
2490,928,D24HourMean,QuarterlyMean,Mean,23.14
2511,931,D24HourMean,QuarterlyMean,Mean,5.64
2478,896,D24HourMean,QuarterlyMean,Mean,16.52
2501,903,D24HourMean,QuarterlyMean,Mean,23.14
2426,893,D24HourMean,QuarterlyMean,Mean,31.40
2477,909,D24HourMean,QuarterlyMean,Mean,16.60
2413,909,D24HourMean,QuarterlyMean,Mean,25.77
2492,931,D24HourMean,QuarterlyMean,Mean,22.16
2452,887,D24HourMean,QuarterlyMean,Mean,22.10
2505,901,D24HourMean,QuarterlyMean,Mean,24.01
2445,904,D24HourMean,QuarterlyMean,Mean,18.12
2484,911,D24HourMean,QuarterlyMean,Mean,6.13
2457,900,D24HourMean,QuarterlyMean,Mean,20.56
2449,901,D24HourMean,QuarterlyMean,Mean,21.30
2456,870,D24HourMean,QuarterlyMean,Mean,34.20
2503,900,D24HourMean,QuarterlyMean,Mean,20.87
2508,930,D24HourMean,QuarterlyMean,Mean,20.18
2411,877,D24HourMean,QuarterlyMean,Mean,26.84
2506,932,D24HourMean,QuarterlyMean,Mean,5.91
2435,890,D24HourMean,QuarterlyMean,Mean,29.08
2439,862,D24HourMean,QuarterlyMean,Mean,36.85
2457,886,D24HourMean,QuarterlyMean,Mean,24.46
2485,902,D24HourMean,QuarterlyMean,Mean,16.54
2445,914,D24HourMean,QuarterlyMean,Mean,16.98
2507,906,D24HourMean,QuarterlyMean,Mean,27.36
2439,865,D24HourMean,QuarterlyMean,Mean,41.41
2437,906,D24HourMean,QuarterlyMean,Mean,19.09
2545,930,D24HourMean,QuarterlyMean,Mean,5.31
2438,905,D24HourMean,QuarterlyMean,Mean,19.06
2408,891,D24HourMean,QuarterlyMean,Mean,30.03
2415,905,D24HourMean,QuarterlyMean,Mean,31.49
2451,878,D24HourMean,QuarterlyMean,Mean,25.63
2462,869,D24HourMean,QuarterlyMean,Mean,31.48
2414,888,D24HourMean,QuarterlyMean,Mean,29.63
2460,908,D24HourMean,QuarterlyMean,Mean,17.62
2438,866,D24HourMean,QuarterlyMean,Mean,40.53
2486,896,D24HourMean,QuarterlyMean,Mean,17.49
2457,911,D24HourMean,QuarterlyMean,Mean,15.23
2452,875,D24HourMean,QuarterlyMean,Mean,30.70
2424,905,D24HourMean,QuarterlyMean,Mean,26.18
2448,904,D24HourMean,QuarterlyMean,Mean,19.55
2457,859,D24HourMean,QuarterlyMean,Mean,29.78
2466,890,D24HourMean,QuarterlyMean,Mean,19.53
2480,904,D24HourMean,QuarterlyMean,Mean,15.73
2451,888,D24HourMean,QuarterlyMean,Mean,21.48
2468,885,D24HourMean,QuarterlyMean,Mean,22.20
2473,898,D24HourMean,QuarterlyMean,Mean,15.42
2493,926,D24HourMean,QuarterlyMean,Mean,21.75
2474,877,D24HourMean,QuarterlyMean,Mean,20.74
2449,860,D24HourMean,QuarterlyMean,Mean,31.99
2449,929,D24HourMean,QuarterlyMean,Mean,20.13
2485,903,D24HourMean,QuarterlyMean,Mean,13.95
2422,892,D24HourMean,QuarterlyMean,Mean,34.75
2422,904,D24HourMean,QuarterlyMean,Mean,28.97
2410,887,D24HourMean,QuarterlyMean,Mean,27.77
2474,895,D24HourMean,QuarterlyMean,Mean,18.09
2488,928,D24HourMean,QuarterlyMean,Mean,23.92
2498,905,D24HourMean,QuarterlyMean,Mean,21.89
2430,902,D24HourMean,QuarterlyMean,Mean,25.38
2460,868,D24HourMean,QuarterlyMean,Mean,31.49
2461,912,D24HourMean,QuarterlyMean,Mean,15.97
2432,878,D24HourMean,QuarterlyMean,Mean,40.79
2442,866,D24HourMean,QuarterlyMean,Mean,38.58
2482,927,D24HourMean,QuarterlyMean,Mean,24.37
2425,873,D24HourMean,QuarterlyMean,Mean,34.60
2458,887,D24HourMean,QuarterlyMean,Mean,20.95
2494,919,D24HourMean,QuarterlyMean,Mean,18.63
2455,888,D24HourMean,QuarterlyMean,Mean,22.99
2415,857,D24HourMean,QuarterlyMean,Mean,34.23
2430,896,D24HourMean,QuarterlyMean,Mean,24.53
2484,890,D24HourMean,QuarterlyMean,Mean,19.71
2479,913,D24HourMean,QuarterlyMean,Mean,16.61
2449,918,D24HourMean,QuarterlyMean,Mean,18.84
2532,930,D24HourMean,QuarterlyMean,Mean,5.59
2487,910,D24HourMean,QuarterlyMean,Mean,21.42
2430,880,D24HourMean,QuarterlyMean,Mean,37.75
2454,931,D24HourMean,QuarterlyMean,Mean,19.25
2455,918,D24HourMean,QuarterlyMean,Mean,16.90
2532,929,D24HourMean,QuarterlyMean,Mean,5.79
2459,887,D24HourMean,QuarterlyMean,Mean,22.74
2476,910,D24HourMean,QuarterlyMean,Mean,15.87
2469,899,D24HourMean,QuarterlyMean,Mean,17.52
2475,873,D24HourMean,QuarterlyMean,Mean,20.10
2458,915,D24HourMean,QuarterlyMean,Mean,15.89
2492,881,D24HourMean,QuarterlyMean,Mean,21.54
2447,863,D24HourMean,QuarterlyMean,Mean,33.13
2462,864,D24HourMean,QuarterlyMean,Mean,28.86
2471,932,D24HourMean,QuarterlyMean,Mean,19.55
2440,918,D24HourMean,QuarterlyMean,Mean,19.87
2486,930,D24HourMean,QuarterlyMean,Mean,21.46
2420,892,D24HourMean,QuarterlyMean,Mean,34.40
2421,886,D24HourMean,QuarterlyMean,Mean,31.76
2458,874,D24HourMean,QuarterlyMean,Mean,31.43
2425,911,D24HourMean,QuarterlyMean,Mean,22.45
2501,900,D24HourMean,QuarterlyMean,Mean,18.51
2515,918,D24HourMean,QuarterlyMean,Mean,7.24
2438,919,D24HourMean,QuarterlyMean,Mean,18.43
2487,915,D24HourMean,QuarterlyMean,Mean,17.96
2530,929,D24HourMean,QuarterlyMean,Mean,5.73
2449,902,D24HourMean,QuarterlyMean,Mean,19.56
2472,875,D24HourMean,QuarterlyMean,Mean,21.99
2526,929,D24HourMean,QuarterlyMean,Mean,5.80
2493,907,D24HourMean,QuarterlyMean,Mean,18.93
2431,901,D24HourMean,QuarterlyMean,Mean,25.14
2500,892,D24HourMean,QuarterlyMean,Mean,25.94
2456,893,D24HourMean,QuarterlyMean,Mean,21.32
2504,939,D24HourMean,QuarterlyMean,Mean,5.39
2462,863,D24HourMean,QuarterlyMean,Mean,28.20
2481,877,D24HourMean,QuarterlyMean,Mean,22.95
2452,863,D24HourMean,QuarterlyMean,Mean,29.94
2467,905,D24HourMean,QuarterlyMean,Mean,19.27
2483,887,D24HourMean,QuarterlyMean,Mean,20.27
2477,879,D24HourMean,QuarterlyMean,Mean,21.16
2422,865,D24HourMean,QuarterlyMean,Mean,45.11
2446,891,D24HourMean,QuarterlyMean,Mean,21.27
2451,923,D24HourMean,QuarterlyMean,Mean,18.03
