Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2450,918,2010,18303.92,ALL,ALL,ALL,0TO99
2432,860,2010,291.59,ALL,ALL,ALL,0TO99
2512,920,2010,542.41,ALL,ALL,ALL,0TO99
2456,860,2010,17.65,ALL,ALL,ALL,0TO99
2494,896,2010,13409.31,ALL,ALL,ALL,0TO99
2429,895,2010,507.06,ALL,ALL,ALL,0TO99
2420,890,2010,2302.90,ALL,ALL,ALL,0TO99
2513,928,2010,2505.11,ALL,ALL,ALL,0TO99
2493,930,2010,13251.80,ALL,ALL,ALL,0TO99
2501,917,2010,3158.96,ALL,ALL,ALL,0TO99
2425,872,2010,458.83,ALL,ALL,ALL,0TO99
2479,928,2010,3039.00,ALL,ALL,ALL,0TO99
2434,874,2010,2891.45,ALL,ALL,ALL,0TO99
2445,880,2010,1973.35,ALL,ALL,ALL,0TO99
2482,910,2010,2317.67,ALL,ALL,ALL,0TO99
2475,880,2010,1899.22,ALL,ALL,ALL,0TO99
2491,903,2010,17327.01,ALL,ALL,ALL,0TO99
2458,930,2010,2095.15,ALL,ALL,ALL,0TO99
2425,886,2010,1452.77,ALL,ALL,ALL,0TO99
2438,903,2010,911.52,ALL,ALL,ALL,0TO99
2450,925,2010,2088.04,ALL,ALL,ALL,0TO99
2414,884,2010,880.18,ALL,ALL,ALL,0TO99
2429,891,2010,2106.70,ALL,ALL,ALL,0TO99
2466,931,2010,7953.37,ALL,ALL,ALL,0TO99
2444,905,2010,909.40,ALL,ALL,ALL,0TO99
2416,880,2010,1217.62,ALL,ALL,ALL,0TO99
2430,901,2010,6596.20,ALL,ALL,ALL,0TO99
2486,879,2010,636.27,ALL,ALL,ALL,0TO99
2511,926,2010,3181.56,ALL,ALL,ALL,0TO99
2446,912,2010,2343.13,ALL,ALL,ALL,0TO99
2500,916,2010,3237.64,ALL,ALL,ALL,0TO99
2421,871,2010,1808.12,ALL,ALL,ALL,0TO99
2443,906,2010,989.60,ALL,ALL,ALL,0TO99
2420,863,2010,292.01,ALL,ALL,ALL,0TO99
2420,880,2010,2309.12,ALL,ALL,ALL,0TO99
2454,881,2010,854.09,ALL,ALL,ALL,0TO99
2429,862,2010,380.24,ALL,ALL,ALL,0TO99
2419,859,2010,293.21,ALL,ALL,ALL,0TO99
2409,879,2010,571.48,ALL,ALL,ALL,0TO99
2499,911,2010,8164.95,ALL,ALL,ALL,0TO99
2452,893,2010,2538.38,ALL,ALL,ALL,0TO99
2505,919,2010,501.23,ALL,ALL,ALL,0TO99
2446,894,2010,3774.89,ALL,ALL,ALL,0TO99
2431,900,2010,3088.35,ALL,ALL,ALL,0TO99
2434,898,2010,1674.82,ALL,ALL,ALL,0TO99
2468,905,2010,3062.79,ALL,ALL,ALL,0TO99
2492,901,2010,9489.37,ALL,ALL,ALL,0TO99
2443,874,2010,16936.10,ALL,ALL,ALL,0TO99
2444,869,2010,798.64,ALL,ALL,ALL,0TO99
2422,866,2010,291.12,ALL,ALL,ALL,0TO99
2491,891,2010,5700.51,ALL,ALL,ALL,0TO99
2477,928,2010,3039.00,ALL,ALL,ALL,0TO99
2413,877,2010,672.29,ALL,ALL,ALL,0TO99
2510,940,2010,1073.73,ALL,ALL,ALL,0TO99
2420,872,2010,3713.88,ALL,ALL,ALL,0TO99
2447,857,2010,17.71,ALL,ALL,ALL,0TO99
2436,889,2010,548.04,ALL,ALL,ALL,0TO99
2497,909,2010,22737.85,ALL,ALL,ALL,0TO99
2426,895,2010,463.35,ALL,ALL,ALL,0TO99
2478,892,2010,9336.81,ALL,ALL,ALL,0TO99
2460,932,2010,6590.54,ALL,ALL,ALL,0TO99
2417,888,2010,327.11,ALL,ALL,ALL,0TO99
2460,929,2010,5710.76,ALL,ALL,ALL,0TO99
2487,913,2010,1067.45,ALL,ALL,ALL,0TO99
2490,887,2010,1354.73,ALL,ALL,ALL,0TO99
2434,911,2010,2703.56,ALL,ALL,ALL,0TO99
2455,904,2010,1756.31,ALL,ALL,ALL,0TO99
2474,928,2010,24784.00,ALL,ALL,ALL,0TO99
2431,892,2010,1826.04,ALL,ALL,ALL,0TO99
2456,859,2010,17.67,ALL,ALL,ALL,0TO99
2471,886,2010,1662.23,ALL,ALL,ALL,0TO99
2457,894,2010,3516.05,ALL,ALL,ALL,0TO99
2479,903,2010,6377.72,ALL,ALL,ALL,0TO99
2513,940,2010,1023.41,ALL,ALL,ALL,0TO99
2431,893,2010,2271.41,ALL,ALL,ALL,0TO99
2433,872,2010,480.08,ALL,ALL,ALL,0TO99
