Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1964,405,D24HourMean,QuarterlyMean,Mean,7.92
1931,468,D24HourMean,QuarterlyMean,Mean,10.96
1955,410,D24HourMean,QuarterlyMean,Mean,8.01
1972,419,D24HourMean,QuarterlyMean,Mean,8.88
1953,479,D24HourMean,QuarterlyMean,Mean,11.64
1957,413,D24HourMean,QuarterlyMean,Mean,8.52
1961,462,D24HourMean,QuarterlyMean,Mean,11.88
1934,424,D24HourMean,QuarterlyMean,Mean,7.56
1935,407,D24HourMean,QuarterlyMean,Mean,5.50
1938,433,D24HourMean,QuarterlyMean,Mean,9.93
1975,397,D24HourMean,QuarterlyMean,Mean,8.39
1984,442,D24HourMean,QuarterlyMean,Mean,10.97
2003,443,D24HourMean,QuarterlyMean,Mean,10.65
1941,388,D24HourMean,QuarterlyMean,Mean,6.15
1987,399,D24HourMean,QuarterlyMean,Mean,8.74
1984,397,D24HourMean,QuarterlyMean,Mean,9.19
2021,445,D24HourMean,QuarterlyMean,Mean,10.70
1948,447,D24HourMean,QuarterlyMean,Mean,11.07
2013,483,D24HourMean,QuarterlyMean,Mean,14.14
2007,466,D24HourMean,QuarterlyMean,Mean,11.80
2010,407,D24HourMean,QuarterlyMean,Mean,7.71
1945,428,D24HourMean,QuarterlyMean,Mean,8.97
1953,494,D24HourMean,QuarterlyMean,Mean,11.86
1940,396,D24HourMean,QuarterlyMean,Mean,8.01
1943,390,D24HourMean,QuarterlyMean,Mean,6.45
1928,419,D24HourMean,QuarterlyMean,Mean,9.43
2007,432,D24HourMean,QuarterlyMean,Mean,9.55
1969,469,D24HourMean,QuarterlyMean,Mean,13.94
2007,443,D24HourMean,QuarterlyMean,Mean,10.42
1941,456,D24HourMean,QuarterlyMean,Mean,11.11
1948,448,D24HourMean,QuarterlyMean,Mean,11.10
2004,422,D24HourMean,QuarterlyMean,Mean,9.21
1980,387,D24HourMean,QuarterlyMean,Mean,7.70
1995,437,D24HourMean,QuarterlyMean,Mean,10.13
2001,476,D24HourMean,QuarterlyMean,Mean,12.80
1943,490,D24HourMean,QuarterlyMean,Mean,11.78
1947,439,D24HourMean,QuarterlyMean,Mean,9.95
1996,398,D24HourMean,QuarterlyMean,Mean,8.77
1980,391,D24HourMean,QuarterlyMean,Mean,7.26
1970,401,D24HourMean,QuarterlyMean,Mean,8.24
1937,433,D24HourMean,QuarterlyMean,Mean,9.81
1933,491,D24HourMean,QuarterlyMean,Mean,10.79
1927,418,D24HourMean,QuarterlyMean,Mean,10.23
1967,386,D24HourMean,QuarterlyMean,Mean,8.10
1966,414,D24HourMean,QuarterlyMean,Mean,8.05
2037,444,D24HourMean,QuarterlyMean,Mean,9.90
1944,421,D24HourMean,QuarterlyMean,Mean,7.25
1938,394,D24HourMean,QuarterlyMean,Mean,7.49
2012,388,D24HourMean,QuarterlyMean,Mean,8.22
1962,429,D24HourMean,QuarterlyMean,Mean,9.52
1963,426,D24HourMean,QuarterlyMean,Mean,9.36
1956,408,D24HourMean,QuarterlyMean,Mean,7.85
2001,447,D24HourMean,QuarterlyMean,Mean,11.39
1975,454,D24HourMean,QuarterlyMean,Mean,11.81
2008,454,D24HourMean,QuarterlyMean,Mean,11.56
2007,394,D24HourMean,QuarterlyMean,Mean,8.55
1937,419,D24HourMean,QuarterlyMean,Mean,7.00
1939,497,D24HourMean,QuarterlyMean,Mean,13.27
1981,439,D24HourMean,QuarterlyMean,Mean,10.18
1986,428,D24HourMean,QuarterlyMean,Mean,9.69
1943,489,D24HourMean,QuarterlyMean,Mean,12.03
1946,392,D24HourMean,QuarterlyMean,Mean,6.87
2000,413,D24HourMean,QuarterlyMean,Mean,8.78
1984,479,D24HourMean,QuarterlyMean,Mean,13.04
2020,383,D24HourMean,QuarterlyMean,Mean,7.54
1942,432,D24HourMean,QuarterlyMean,Mean,9.00
1952,415,D24HourMean,QuarterlyMean,Mean,8.64
1998,444,D24HourMean,QuarterlyMean,Mean,10.51
1964,422,D24HourMean,QuarterlyMean,Mean,8.78
1938,413,D24HourMean,QuarterlyMean,Mean,6.59
1962,398,D24HourMean,QuarterlyMean,Mean,7.80
1994,384,D24HourMean,QuarterlyMean,Mean,7.96
1952,411,D24HourMean,QuarterlyMean,Mean,8.91
2003,424,D24HourMean,QuarterlyMean,Mean,8.91
1970,467,D24HourMean,QuarterlyMean,Mean,13.09
1937,426,D24HourMean,QuarterlyMean,Mean,8.43
1986,433,D24HourMean,QuarterlyMean,Mean,9.28
2029,431,D24HourMean,QuarterlyMean,Mean,9.30
1939,448,D24HourMean,QuarterlyMean,Mean,10.81
2023,433,D24HourMean,QuarterlyMean,Mean,9.45
1968,441,D24HourMean,QuarterlyMean,Mean,9.77
1990,446,D24HourMean,QuarterlyMean,Mean,10.92
2028,431,D24HourMean,QuarterlyMean,Mean,9.19
1958,459,D24HourMean,QuarterlyMean,Mean,11.61
1939,404,D24HourMean,QuarterlyMean,Mean,7.26
1963,418,D24HourMean,QuarterlyMean,Mean,8.71
2020,429,D24HourMean,QuarterlyMean,Mean,9.52
2000,459,D24HourMean,QuarterlyMean,Mean,12.44
2006,416,D24HourMean,QuarterlyMean,Mean,8.72
1987,396,D24HourMean,QuarterlyMean,Mean,9.08
1956,450,D24HourMean,QuarterlyMean,Mean,10.44
1970,427,D24HourMean,QuarterlyMean,Mean,9.60
1988,443,D24HourMean,QuarterlyMean,Mean,10.71
1943,479,D24HourMean,QuarterlyMean,Mean,11.39
1939,395,D24HourMean,QuarterlyMean,Mean,7.47
1986,459,D24HourMean,QuarterlyMean,Mean,12.95
2001,417,D24HourMean,QuarterlyMean,Mean,8.88
2014,438,D24HourMean,QuarterlyMean,Mean,9.79
1967,436,D24HourMean,QuarterlyMean,Mean,9.28
1937,488,D24HourMean,QuarterlyMean,Mean,12.50
1998,392,D24HourMean,QuarterlyMean,Mean,8.57
1999,452,D24HourMean,QuarterlyMean,Mean,10.87
1965,435,D24HourMean,QuarterlyMean,Mean,9.62
2015,433,D24HourMean,QuarterlyMean,Mean,9.06
