Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1964,405,2010,616.12,ALL,ALL,ALL,0TO99
1931,468,2010,74157.68,ALL,ALL,ALL,0TO99
1955,410,2010,2282.69,ALL,ALL,ALL,0TO99
1972,419,2010,3220.56,ALL,ALL,ALL,0TO99
1953,479,2010,3313.41,ALL,ALL,ALL,0TO99
1957,413,2010,2285.84,ALL,ALL,ALL,0TO99
1961,462,2010,2424.57,ALL,ALL,ALL,0TO99
1934,424,2010,3307.63,ALL,ALL,ALL,0TO99
1935,407,2010,2264.32,ALL,ALL,ALL,0TO99
1938,433,2010,3412.15,ALL,ALL,ALL,0TO99
1975,397,2010,213.84,ALL,ALL,ALL,0TO99
1984,442,2010,3250.34,ALL,ALL,ALL,0TO99
2003,443,2010,329.90,ALL,ALL,ALL,0TO99
1941,388,2010,610.79,ALL,ALL,ALL,0TO99
1987,399,2010,134.16,ALL,ALL,ALL,0TO99
1984,397,2010,134.03,ALL,ALL,ALL,0TO99
2021,445,2010,330.14,ALL,ALL,ALL,0TO99
1948,447,2010,2495.14,ALL,ALL,ALL,0TO99
2013,483,2010,589.87,ALL,ALL,ALL,0TO99
2007,466,2010,423.55,ALL,ALL,ALL,0TO99
2010,407,2010,134.69,ALL,ALL,ALL,0TO99
1945,428,2010,3405.35,ALL,ALL,ALL,0TO99
1953,494,2010,2829.24,ALL,ALL,ALL,0TO99
1940,396,2010,613.36,ALL,ALL,ALL,0TO99
1943,390,2010,611.45,ALL,ALL,ALL,0TO99
1928,419,2010,405.24,ALL,ALL,ALL,0TO99
2007,432,2010,328.53,ALL,ALL,ALL,0TO99
1969,469,2010,2213.85,ALL,ALL,ALL,0TO99
2007,443,2010,329.90,ALL,ALL,ALL,0TO99
1941,456,2010,1393.92,ALL,ALL,ALL,0TO99
1948,448,2010,2496.01,ALL,ALL,ALL,0TO99
2004,422,2010,327.19,ALL,ALL,ALL,0TO99
1980,387,2010,133.33,ALL,ALL,ALL,0TO99
1995,437,2010,329.17,ALL,ALL,ALL,0TO99
2001,476,2010,588.86,ALL,ALL,ALL,0TO99
1943,490,2010,2826.92,ALL,ALL,ALL,0TO99
1947,439,2010,2943.72,ALL,ALL,ALL,0TO99
1996,398,2010,134.10,ALL,ALL,ALL,0TO99
1980,391,2010,133.61,ALL,ALL,ALL,0TO99
1970,401,2010,614.91,ALL,ALL,ALL,0TO99
1937,433,2010,3412.15,ALL,ALL,ALL,0TO99
1933,491,2010,1073.48,ALL,ALL,ALL,0TO99
1927,418,2010,405.07,ALL,ALL,ALL,0TO99
1967,386,2010,771.23,ALL,ALL,ALL,0TO99
1966,414,2010,229.55,ALL,ALL,ALL,0TO99
2037,444,2010,330.02,ALL,ALL,ALL,0TO99
1944,421,2010,2861.26,ALL,ALL,ALL,0TO99
1938,394,2010,612.73,ALL,ALL,ALL,0TO99
2012,388,2010,133.40,ALL,ALL,ALL,0TO99
1962,429,2010,9533.87,ALL,ALL,ALL,0TO99
1963,426,2010,5647.32,ALL,ALL,ALL,0TO99
1956,408,2010,2280.54,ALL,ALL,ALL,0TO99
2001,447,2010,394.84,ALL,ALL,ALL,0TO99
1975,454,2010,2203.86,ALL,ALL,ALL,0TO99
2008,454,2010,421.99,ALL,ALL,ALL,0TO99
2007,394,2010,133.82,ALL,ALL,ALL,0TO99
1937,419,2010,2199.75,ALL,ALL,ALL,0TO99
1939,497,2010,1074.78,ALL,ALL,ALL,0TO99
1981,439,2010,3246.74,ALL,ALL,ALL,0TO99
1986,428,2010,328.01,ALL,ALL,ALL,0TO99
1943,489,2010,2826.29,ALL,ALL,ALL,0TO99
1946,392,2010,612.09,ALL,ALL,ALL,0TO99
2000,413,2010,325.89,ALL,ALL,ALL,0TO99
1984,479,2010,679.38,ALL,ALL,ALL,0TO99
2020,383,2010,133.04,ALL,ALL,ALL,0TO99
1942,432,2010,3410.81,ALL,ALL,ALL,0TO99
1952,415,2010,2287.93,ALL,ALL,ALL,0TO99
1998,444,2010,330.02,ALL,ALL,ALL,0TO99
1964,422,2010,2294.94,ALL,ALL,ALL,0TO99
1938,413,2010,2285.84,ALL,ALL,ALL,0TO99
1962,398,2010,613.99,ALL,ALL,ALL,0TO99
1994,384,2010,133.11,ALL,ALL,ALL,0TO99
1952,411,2010,2283.72,ALL,ALL,ALL,0TO99
2003,424,2010,327.46,ALL,ALL,ALL,0TO99
1970,467,2010,2212.62,ALL,ALL,ALL,0TO99
1937,426,2010,3402.53,ALL,ALL,ALL,0TO99
1986,433,2010,328.66,ALL,ALL,ALL,0TO99
2029,431,2010,328.40,ALL,ALL,ALL,0TO99
1939,448,2010,1479.42,ALL,ALL,ALL,0TO99
2023,433,2010,328.66,ALL,ALL,ALL,0TO99
1968,441,2010,3249.15,ALL,ALL,ALL,0TO99
1990,446,2010,3254.98,ALL,ALL,ALL,0TO99
2028,431,2010,328.40,ALL,ALL,ALL,0TO99
1958,459,2010,2504.98,ALL,ALL,ALL,0TO99
1939,404,2010,2276.13,ALL,ALL,ALL,0TO99
1963,418,2010,2290.97,ALL,ALL,ALL,0TO99
2020,429,2010,328.38,ALL,ALL,ALL,0TO99
2000,459,2010,422.66,ALL,ALL,ALL,0TO99
2006,416,2010,326.33,ALL,ALL,ALL,0TO99
1987,396,2010,133.96,ALL,ALL,ALL,0TO99
1956,450,2010,2497.73,ALL,ALL,ALL,0TO99
1970,427,2010,3231.53,ALL,ALL,ALL,0TO99
1988,443,2010,3251.53,ALL,ALL,ALL,0TO99
1943,479,2010,1035.22,ALL,ALL,ALL,0TO99
1939,395,2010,613.06,ALL,ALL,ALL,0TO99
1986,459,2010,586.03,ALL,ALL,ALL,0TO99
2001,417,2010,326.47,ALL,ALL,ALL,0TO99
2014,438,2010,329.30,ALL,ALL,ALL,0TO99
1967,436,2010,3243.08,ALL,ALL,ALL,0TO99
1937,488,2010,1072.79,ALL,ALL,ALL,0TO99
1998,392,2010,133.68,ALL,ALL,ALL,0TO99
1999,452,2010,421.72,ALL,ALL,ALL,0TO99
1965,435,2010,3383.92,ALL,ALL,ALL,0TO99
2015,433,2010,328.66,ALL,ALL,ALL,0TO99
1933,466,2010,2350.18,ALL,ALL,ALL,0TO99
1986,469,2010,587.75,ALL,ALL,ALL,0TO99
2018,426,2010,327.74,ALL,ALL,ALL,0TO99
1937,470,2010,1032.80,ALL,ALL,ALL,0TO99
1977,476,2010,588.86,ALL,ALL,ALL,0TO99
2009,396,2010,133.96,ALL,ALL,ALL,0TO99
1935,486,2010,1072.32,ALL,ALL,ALL,0TO99
2012,465,2010,423.43,ALL,ALL,ALL,0TO99
2008,480,2010,589.45,ALL,ALL,ALL,0TO99
1994,427,2010,327.87,ALL,ALL,ALL,0TO99
1983,432,2010,2407.61,ALL,ALL,ALL,0TO99
2006,417,2010,326.47,ALL,ALL,ALL,0TO99
1995,443,2010,329.90,ALL,ALL,ALL,0TO99
2016,410,2010,325.44,ALL,ALL,ALL,0TO99
1963,487,2010,2825.07,ALL,ALL,ALL,0TO99
2016,449,2010,421.29,ALL,ALL,ALL,0TO99
1996,453,2010,421.86,ALL,ALL,ALL,0TO99
1948,451,2010,2498.54,ALL,ALL,ALL,0TO99
2022,450,2010,390.57,ALL,ALL,ALL,0TO99
1946,428,2010,3405.35,ALL,ALL,ALL,0TO99
1966,452,2010,3243.37,ALL,ALL,ALL,0TO99
2015,393,2010,133.75,ALL,ALL,ALL,0TO99
1975,447,2010,2649.66,ALL,ALL,ALL,0TO99
1956,407,2010,2279.44,ALL,ALL,ALL,0TO99
2003,445,2010,330.14,ALL,ALL,ALL,0TO99
2017,462,2010,423.05,ALL,ALL,ALL,0TO99
1971,484,2010,2222.33,ALL,ALL,ALL,0TO99
2002,430,2010,328.27,ALL,ALL,ALL,0TO99
2039,441,2010,329.66,ALL,ALL,ALL,0TO99
1969,422,2010,3224.77,ALL,ALL,ALL,0TO99
2005,481,2010,589.59,ALL,ALL,ALL,0TO99
