Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2001,1163,D24HourMean,QuarterlyMean,Mean,9.20
1996,1161,D24HourMean,QuarterlyMean,Mean,6.93
2002,1160,D24HourMean,QuarterlyMean,Mean,9.10
2000,1162,D24HourMean,QuarterlyMean,Mean,9.01
2001,1160,D24HourMean,QuarterlyMean,Mean,8.98
1998,1161,D24HourMean,QuarterlyMean,Mean,8.17
2000,1161,D24HourMean,QuarterlyMean,Mean,9.03
2003,1162,D24HourMean,QuarterlyMean,Mean,9.48
1998,1162,D24HourMean,QuarterlyMean,Mean,8.12
2002,1162,D24HourMean,QuarterlyMean,Mean,9.27
1999,1161,D24HourMean,QuarterlyMean,Mean,8.72
1999,1163,D24HourMean,QuarterlyMean,Mean,8.72
2004,1162,D24HourMean,QuarterlyMean,Mean,9.79
2000,1163,D24HourMean,QuarterlyMean,Mean,9.00
