Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2001,1163,2010,473.14,ALL,ALL,ALL,0TO99
1996,1161,2010,164.22,ALL,ALL,ALL,0TO99
2002,1160,2010,808.04,ALL,ALL,ALL,0TO99
2000,1162,2010,984.27,ALL,ALL,ALL,0TO99
2001,1160,2010,521.27,ALL,ALL,ALL,0TO99
1998,1161,2010,631.88,ALL,ALL,ALL,0TO99
2000,1161,2010,5783.63,ALL,ALL,ALL,0TO99
2003,1162,2010,320.49,ALL,ALL,ALL,0TO99
1998,1162,2010,537.06,ALL,ALL,ALL,0TO99
2002,1162,2010,576.15,ALL,ALL,ALL,0TO99
1999,1161,2010,1149.58,ALL,ALL,ALL,0TO99
1999,1163,2010,337.84,ALL,ALL,ALL,0TO99
2004,1162,2010,130.57,ALL,ALL,ALL,0TO99
2000,1163,2010,661.38,ALL,ALL,ALL,0TO99
