Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1995,979,2010,8118.75,ALL,ALL,ALL,0TO99
2001,963,2010,1991.55,ALL,ALL,ALL,0TO99
2003,969,2010,11069.09,ALL,ALL,ALL,0TO99
1997,970,2010,27511.36,ALL,ALL,ALL,0TO99
1995,982,2010,7718.40,ALL,ALL,ALL,0TO99
2001,962,2010,2179.43,ALL,ALL,ALL,0TO99
1996,965,2010,9912.95,ALL,ALL,ALL,0TO99
1997,974,2010,38732.75,ALL,ALL,ALL,0TO99
1999,980,2010,2180.10,ALL,ALL,ALL,0TO99
2000,967,2010,14267.58,ALL,ALL,ALL,0TO99
2006,978,2010,5601.02,ALL,ALL,ALL,0TO99
1997,972,2010,60727.59,ALL,ALL,ALL,0TO99
2002,980,2010,2218.81,ALL,ALL,ALL,0TO99
2003,971,2010,10580.35,ALL,ALL,ALL,0TO99
2002,984,2010,1999.89,ALL,ALL,ALL,0TO99
1999,964,2010,7540.57,ALL,ALL,ALL,0TO99
1997,984,2010,8138.29,ALL,ALL,ALL,0TO99
2000,976,2010,4062.85,ALL,ALL,ALL,0TO99
2005,976,2010,5935.92,ALL,ALL,ALL,0TO99
1995,967,2010,17573.79,ALL,ALL,ALL,0TO99
1997,985,2010,7465.73,ALL,ALL,ALL,0TO99
2004,975,2010,5944.88,ALL,ALL,ALL,0TO99
2005,965,2010,4238.85,ALL,ALL,ALL,0TO99
2001,973,2010,67968.60,ALL,ALL,ALL,0TO99
2002,972,2010,24858.97,ALL,ALL,ALL,0TO99
2009,966,2010,6324.35,ALL,ALL,ALL,0TO99
1999,981,2010,6311.94,ALL,ALL,ALL,0TO99
2004,962,2010,1780.27,ALL,ALL,ALL,0TO99
1998,973,2010,70607.25,ALL,ALL,ALL,0TO99
2006,979,2010,5162.68,ALL,ALL,ALL,0TO99
2001,985,2010,4690.38,ALL,ALL,ALL,0TO99
1998,971,2010,45604.83,ALL,ALL,ALL,0TO99
1998,970,2010,19503.07,ALL,ALL,ALL,0TO99
1998,979,2010,7835.56,ALL,ALL,ALL,0TO99
1996,963,2010,7078.70,ALL,ALL,ALL,0TO99
2004,960,2010,3760.53,ALL,ALL,ALL,0TO99
2002,974,2010,5772.74,ALL,ALL,ALL,0TO99
2003,970,2010,15598.13,ALL,ALL,ALL,0TO99
2008,968,2010,9861.20,ALL,ALL,ALL,0TO99
1996,964,2010,7007.62,ALL,ALL,ALL,0TO99
2004,971,2010,6811.68,ALL,ALL,ALL,0TO99
2004,966,2010,4105.23,ALL,ALL,ALL,0TO99
2001,977,2010,2830.89,ALL,ALL,ALL,0TO99
2002,983,2010,1137.49,ALL,ALL,ALL,0TO99
1998,982,2010,8145.57,ALL,ALL,ALL,0TO99
1999,966,2010,15534.91,ALL,ALL,ALL,0TO99
1998,981,2010,8105.93,ALL,ALL,ALL,0TO99
1999,965,2010,17480.09,ALL,ALL,ALL,0TO99
2005,979,2010,4416.48,ALL,ALL,ALL,0TO99
1997,964,2010,7068.48,ALL,ALL,ALL,0TO99
2005,973,2010,5973.65,ALL,ALL,ALL,0TO99
2000,970,2010,18346.10,ALL,ALL,ALL,0TO99
1998,962,2010,7074.77,ALL,ALL,ALL,0TO99
1996,967,2010,18225.88,ALL,ALL,ALL,0TO99
1997,962,2010,7077.46,ALL,ALL,ALL,0TO99
1996,972,2010,27837.07,ALL,ALL,ALL,0TO99
1995,980,2010,5784.65,ALL,ALL,ALL,0TO99
2000,973,2010,71213.45,ALL,ALL,ALL,0TO99
1997,980,2010,8189.50,ALL,ALL,ALL,0TO99
2002,967,2010,8670.79,ALL,ALL,ALL,0TO99
2007,968,2010,9875.60,ALL,ALL,ALL,0TO99
2001,981,2010,1865.00,ALL,ALL,ALL,0TO99
2005,975,2010,7822.81,ALL,ALL,ALL,0TO99
1997,961,2010,3900.56,ALL,ALL,ALL,0TO99
1999,983,2010,2404.04,ALL,ALL,ALL,0TO99
1998,984,2010,7898.15,ALL,ALL,ALL,0TO99
1997,969,2010,24521.70,ALL,ALL,ALL,0TO99
2001,967,2010,13799.33,ALL,ALL,ALL,0TO99
2002,982,2010,1272.55,ALL,ALL,ALL,0TO99
1999,976,2010,8374.86,ALL,ALL,ALL,0TO99
2004,978,2010,5338.80,ALL,ALL,ALL,0TO99
2001,972,2010,49523.09,ALL,ALL,ALL,0TO99
2001,971,2010,18318.96,ALL,ALL,ALL,0TO99
2001,969,2010,15991.82,ALL,ALL,ALL,0TO99
2002,981,2010,2237.92,ALL,ALL,ALL,0TO99
2003,977,2010,5870.21,ALL,ALL,ALL,0TO99
1999,969,2010,20073.28,ALL,ALL,ALL,0TO99
2006,964,2010,3602.95,ALL,ALL,ALL,0TO99
1995,966,2010,14040.42,ALL,ALL,ALL,0TO99
2004,979,2010,4458.75,ALL,ALL,ALL,0TO99
1994,981,2010,507.41,ALL,ALL,ALL,0TO99
1999,967,2010,14299.52,ALL,ALL,ALL,0TO99
1998,961,2010,6314.20,ALL,ALL,ALL,0TO99
2000,968,2010,15580.75,ALL,ALL,ALL,0TO99
2002,970,2010,18336.73,ALL,ALL,ALL,0TO99
2002,973,2010,50262.73,ALL,ALL,ALL,0TO99
2001,958,2010,1433.94,ALL,ALL,ALL,0TO99
2006,966,2010,6324.35,ALL,ALL,ALL,0TO99
1999,968,2010,17912.31,ALL,ALL,ALL,0TO99
2005,977,2010,5924.57,ALL,ALL,ALL,0TO99
1998,983,2010,7883.07,ALL,ALL,ALL,0TO99
2003,982,2010,2010.57,ALL,ALL,ALL,0TO99
2003,974,2010,4808.54,ALL,ALL,ALL,0TO99
2000,962,2010,2057.16,ALL,ALL,ALL,0TO99
2001,980,2010,1867.86,ALL,ALL,ALL,0TO99
2007,964,2010,2725.50,ALL,ALL,ALL,0TO99
2001,966,2010,14068.56,ALL,ALL,ALL,0TO99
2002,979,2010,2486.47,ALL,ALL,ALL,0TO99
1996,973,2010,31945.12,ALL,ALL,ALL,0TO99
2004,974,2010,5910.52,ALL,ALL,ALL,0TO99
2001,978,2010,2569.11,ALL,ALL,ALL,0TO99
1996,981,2010,8176.95,ALL,ALL,ALL,0TO99
2002,969,2010,11192.21,ALL,ALL,ALL,0TO99
1998,966,2010,18138.81,ALL,ALL,ALL,0TO99
2003,975,2010,5773.27,ALL,ALL,ALL,0TO99
2006,968,2010,10159.62,ALL,ALL,ALL,0TO99
2004,973,2010,6160.49,ALL,ALL,ALL,0TO99
2004,961,2010,3447.53,ALL,ALL,ALL,0TO99
2001,960,2010,2747.70,ALL,ALL,ALL,0TO99
2005,981,2010,4402.49,ALL,ALL,ALL,0TO99
1996,979,2010,8723.08,ALL,ALL,ALL,0TO99
1995,962,2010,3445.78,ALL,ALL,ALL,0TO99
1997,967,2010,18995.68,ALL,ALL,ALL,0TO99
2002,961,2010,3863.24,ALL,ALL,ALL,0TO99
2001,965,2010,13018.78,ALL,ALL,ALL,0TO99
2002,971,2010,18304.90,ALL,ALL,ALL,0TO99
1996,962,2010,6738.12,ALL,ALL,ALL,0TO99
2007,969,2010,6787.94,ALL,ALL,ALL,0TO99
2002,957,2010,1545.08,ALL,ALL,ALL,0TO99
2002,968,2010,3490.15,ALL,ALL,ALL,0TO99
2003,980,2010,4148.66,ALL,ALL,ALL,0TO99
2004,958,2010,3191.74,ALL,ALL,ALL,0TO99
1999,963,2010,2627.24,ALL,ALL,ALL,0TO99
1999,972,2010,71229.87,ALL,ALL,ALL,0TO99
2000,963,2010,2000.33,ALL,ALL,ALL,0TO99
1998,978,2010,12654.93,ALL,ALL,ALL,0TO99
2004,976,2010,5935.92,ALL,ALL,ALL,0TO99
2002,959,2010,1812.17,ALL,ALL,ALL,0TO99
