Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2323,793,2010,2105.36,ALL,ALL,ALL,0TO99
2350,806,2010,2084.39,ALL,ALL,ALL,0TO99
2347,788,2010,2113.23,ALL,ALL,ALL,0TO99
2342,798,2010,2097.32,ALL,ALL,ALL,0TO99
2329,800,2010,968.91,ALL,ALL,ALL,0TO99
2352,790,2010,2110.08,ALL,ALL,ALL,0TO99
2352,798,2010,2097.32,ALL,ALL,ALL,0TO99
2341,795,2010,2102.14,ALL,ALL,ALL,0TO99
2350,808,2010,2069.80,ALL,ALL,ALL,0TO99
2343,794,2010,2103.81,ALL,ALL,ALL,0TO99
2362,815,2010,6358.74,ALL,ALL,ALL,0TO99
2343,792,2010,2106.95,ALL,ALL,ALL,0TO99
2312,802,2010,1396.13,ALL,ALL,ALL,0TO99
2351,788,2010,2113.23,ALL,ALL,ALL,0TO99
2346,797,2010,2098.95,ALL,ALL,ALL,0TO99
2351,794,2010,2103.81,ALL,ALL,ALL,0TO99
2342,795,2010,2102.14,ALL,ALL,ALL,0TO99
2354,798,2010,2097.32,ALL,ALL,ALL,0TO99
2351,808,2010,12733.28,ALL,ALL,ALL,0TO99
2339,789,2010,2111.71,ALL,ALL,ALL,0TO99
2346,794,2010,2103.81,ALL,ALL,ALL,0TO99
2326,796,2010,2100.58,ALL,ALL,ALL,0TO99
2353,803,2010,2089.34,ALL,ALL,ALL,0TO99
2333,792,2010,2106.95,ALL,ALL,ALL,0TO99
2362,808,2010,9784.53,ALL,ALL,ALL,0TO99
2352,809,2010,26413.13,ALL,ALL,ALL,0TO99
2329,795,2010,2102.14,ALL,ALL,ALL,0TO99
2325,800,2010,804.06,ALL,ALL,ALL,0TO99
2331,797,2010,2098.95,ALL,ALL,ALL,0TO99
2356,807,2010,26302.23,ALL,ALL,ALL,0TO99
2333,793,2010,2105.36,ALL,ALL,ALL,0TO99
2319,797,2010,1848.22,ALL,ALL,ALL,0TO99
2327,792,2010,2106.95,ALL,ALL,ALL,0TO99
2347,794,2010,2103.81,ALL,ALL,ALL,0TO99
2341,787,2010,2114.80,ALL,ALL,ALL,0TO99
2334,791,2010,2108.55,ALL,ALL,ALL,0TO99
2355,808,2010,26433.95,ALL,ALL,ALL,0TO99
2350,802,2010,2092.48,ALL,ALL,ALL,0TO99
2321,792,2010,1961.07,ALL,ALL,ALL,0TO99
2349,789,2010,2111.71,ALL,ALL,ALL,0TO99
2341,797,2010,2098.95,ALL,ALL,ALL,0TO99
2344,793,2010,2105.36,ALL,ALL,ALL,0TO99
2356,812,2010,24460.87,ALL,ALL,ALL,0TO99
2355,800,2010,2094.04,ALL,ALL,ALL,0TO99
2349,793,2010,2105.36,ALL,ALL,ALL,0TO99
2346,802,2010,1118.24,ALL,ALL,ALL,0TO99
2349,800,2010,2094.04,ALL,ALL,ALL,0TO99
2339,795,2010,2102.14,ALL,ALL,ALL,0TO99
2328,795,2010,2102.14,ALL,ALL,ALL,0TO99
2327,793,2010,2105.36,ALL,ALL,ALL,0TO99
2353,804,2010,2087.74,ALL,ALL,ALL,0TO99
2351,791,2010,2108.55,ALL,ALL,ALL,0TO99
2344,786,2010,1924.65,ALL,ALL,ALL,0TO99
2357,801,2010,2098.43,ALL,ALL,ALL,0TO99
2348,796,2010,2100.58,ALL,ALL,ALL,0TO99
2321,795,2010,48.82,ALL,ALL,ALL,0TO99
2349,802,2010,2092.48,ALL,ALL,ALL,0TO99
2355,799,2010,2161.42,ALL,ALL,ALL,0TO99
2353,798,2010,2097.32,ALL,ALL,ALL,0TO99
2336,790,2010,2110.08,ALL,ALL,ALL,0TO99
2336,791,2010,2108.55,ALL,ALL,ALL,0TO99
2332,799,2010,2095.74,ALL,ALL,ALL,0TO99
2339,793,2010,2105.36,ALL,ALL,ALL,0TO99
2351,803,2010,2089.34,ALL,ALL,ALL,0TO99
2345,787,2010,2114.80,ALL,ALL,ALL,0TO99
2329,796,2010,2100.58,ALL,ALL,ALL,0TO99
2358,808,2010,22798.05,ALL,ALL,ALL,0TO99
2352,810,2010,21915.97,ALL,ALL,ALL,0TO99
2332,796,2010,2100.58,ALL,ALL,ALL,0TO99
2357,806,2010,4490.95,ALL,ALL,ALL,0TO99
2350,799,2010,2095.74,ALL,ALL,ALL,0TO99
2320,799,2010,1094.39,ALL,ALL,ALL,0TO99
2350,790,2010,2110.08,ALL,ALL,ALL,0TO99
2326,792,2010,2106.95,ALL,ALL,ALL,0TO99
2342,786,2010,1566.90,ALL,ALL,ALL,0TO99
2352,803,2010,2089.34,ALL,ALL,ALL,0TO99
2347,795,2010,2102.14,ALL,ALL,ALL,0TO99
2336,797,2010,2098.95,ALL,ALL,ALL,0TO99
2339,788,2010,2113.23,ALL,ALL,ALL,0TO99
2337,797,2010,2098.95,ALL,ALL,ALL,0TO99
2345,792,2010,2106.95,ALL,ALL,ALL,0TO99
2357,811,2010,24512.37,ALL,ALL,ALL,0TO99
2312,803,2010,1836.10,ALL,ALL,ALL,0TO99
2340,797,2010,2098.95,ALL,ALL,ALL,0TO99
2357,810,2010,24907.04,ALL,ALL,ALL,0TO99
2358,806,2010,4944.95,ALL,ALL,ALL,0TO99
2327,789,2010,2018.57,ALL,ALL,ALL,0TO99
2354,804,2010,2087.74,ALL,ALL,ALL,0TO99
2351,805,2010,2086.01,ALL,ALL,ALL,0TO99
2340,790,2010,2110.08,ALL,ALL,ALL,0TO99
2353,799,2010,2095.74,ALL,ALL,ALL,0TO99
2323,795,2010,2102.14,ALL,ALL,ALL,0TO99
2325,796,2010,2100.58,ALL,ALL,ALL,0TO99
2317,801,2010,2056.64,ALL,ALL,ALL,0TO99
2350,803,2010,2089.34,ALL,ALL,ALL,0TO99
2327,798,2010,2097.32,ALL,ALL,ALL,0TO99
2352,804,2010,2087.74,ALL,ALL,ALL,0TO99
2333,798,2010,2097.32,ALL,ALL,ALL,0TO99
2347,798,2010,2097.32,ALL,ALL,ALL,0TO99
2345,786,2010,2055.82,ALL,ALL,ALL,0TO99
2353,805,2010,5040.54,ALL,ALL,ALL,0TO99
2352,789,2010,2111.71,ALL,ALL,ALL,0TO99
2327,796,2010,2100.58,ALL,ALL,ALL,0TO99
2315,802,2010,1990.39,ALL,ALL,ALL,0TO99
2354,796,2010,2100.58,ALL,ALL,ALL,0TO99
2351,798,2010,2097.32,ALL,ALL,ALL,0TO99
2349,787,2010,2114.80,ALL,ALL,ALL,0TO99
2342,797,2010,2098.95,ALL,ALL,ALL,0TO99
2341,798,2010,2097.32,ALL,ALL,ALL,0TO99
2342,794,2010,2103.81,ALL,ALL,ALL,0TO99
2351,793,2010,2105.36,ALL,ALL,ALL,0TO99
2328,799,2010,2095.74,ALL,ALL,ALL,0TO99
2355,795,2010,2399.60,ALL,ALL,ALL,0TO99
2354,802,2010,2092.48,ALL,ALL,ALL,0TO99
2348,785,2010,1577.64,ALL,ALL,ALL,0TO99
2349,795,2010,2102.14,ALL,ALL,ALL,0TO99
2314,801,2010,1758.69,ALL,ALL,ALL,0TO99
2352,787,2010,2104.51,ALL,ALL,ALL,0TO99
2348,793,2010,2105.36,ALL,ALL,ALL,0TO99
2335,798,2010,2097.32,ALL,ALL,ALL,0TO99
2347,803,2010,2086.62,ALL,ALL,ALL,0TO99
2354,810,2010,26390.81,ALL,ALL,ALL,0TO99
2333,791,2010,2108.55,ALL,ALL,ALL,0TO99
2326,790,2010,2110.08,ALL,ALL,ALL,0TO99
2327,797,2010,2098.95,ALL,ALL,ALL,0TO99
2346,791,2010,2108.55,ALL,ALL,ALL,0TO99
2333,789,2010,2111.71,ALL,ALL,ALL,0TO99
2356,808,2010,26433.95,ALL,ALL,ALL,0TO99
2355,809,2010,26413.13,ALL,ALL,ALL,0TO99
2338,791,2010,2108.55,ALL,ALL,ALL,0TO99
2351,809,2010,20072.21,ALL,ALL,ALL,0TO99
2328,792,2010,2106.95,ALL,ALL,ALL,0TO99
2345,800,2010,1792.48,ALL,ALL,ALL,0TO99
2320,792,2010,680.99,ALL,ALL,ALL,0TO99
2354,799,2010,2095.74,ALL,ALL,ALL,0TO99
2349,786,2010,2116.35,ALL,ALL,ALL,0TO99
2337,790,2010,2110.08,ALL,ALL,ALL,0TO99
2354,807,2010,26455.47,ALL,ALL,ALL,0TO99
2350,793,2010,2105.36,ALL,ALL,ALL,0TO99
2321,798,2010,179.65,ALL,ALL,ALL,0TO99
2362,813,2010,6451.92,ALL,ALL,ALL,0TO99
2337,793,2010,2105.36,ALL,ALL,ALL,0TO99
2340,800,2010,627.23,ALL,ALL,ALL,0TO99
2323,799,2010,282.76,ALL,ALL,ALL,0TO99
2347,791,2010,2108.55,ALL,ALL,ALL,0TO99
2321,790,2010,1906.74,ALL,ALL,ALL,0TO99
2352,799,2010,2095.74,ALL,ALL,ALL,0TO99
2331,788,2010,1757.05,ALL,ALL,ALL,0TO99
2334,793,2010,2105.36,ALL,ALL,ALL,0TO99
2339,790,2010,2110.08,ALL,ALL,ALL,0TO99
2341,793,2010,2105.36,ALL,ALL,ALL,0TO99
2324,790,2010,2110.08,ALL,ALL,ALL,0TO99
2344,801,2010,595.78,ALL,ALL,ALL,0TO99
2320,793,2010,1442.42,ALL,ALL,ALL,0TO99
2331,800,2010,1593.76,ALL,ALL,ALL,0TO99
2330,791,2010,2108.55,ALL,ALL,ALL,0TO99
2349,794,2010,2103.81,ALL,ALL,ALL,0TO99
2326,797,2010,2098.95,ALL,ALL,ALL,0TO99
2342,800,2010,1394.28,ALL,ALL,ALL,0TO99
2350,792,2010,2106.95,ALL,ALL,ALL,0TO99
2343,788,2010,2113.23,ALL,ALL,ALL,0TO99
2361,818,2010,5789.93,ALL,ALL,ALL,0TO99
2348,805,2010,2086.01,ALL,ALL,ALL,0TO99
2352,793,2010,2105.36,ALL,ALL,ALL,0TO99
2332,797,2010,2098.95,ALL,ALL,ALL,0TO99
2330,793,2010,2105.36,ALL,ALL,ALL,0TO99
2334,796,2010,2100.58,ALL,ALL,ALL,0TO99
2349,797,2010,2098.95,ALL,ALL,ALL,0TO99
2317,799,2010,1683.29,ALL,ALL,ALL,0TO99
2340,801,2010,775.91,ALL,ALL,ALL,0TO99
2326,794,2010,2103.81,ALL,ALL,ALL,0TO99
2333,794,2010,2103.81,ALL,ALL,ALL,0TO99
2344,791,2010,2108.55,ALL,ALL,ALL,0TO99
2330,794,2010,2103.81,ALL,ALL,ALL,0TO99
