Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1065,64,D24HourMean,QuarterlyMean,Mean,19.06
1066,58,D24HourMean,QuarterlyMean,Mean,6.91
1066,59,D24HourMean,QuarterlyMean,Mean,6.87
1066,60,D24HourMean,QuarterlyMean,Mean,6.82
1066,61,D24HourMean,QuarterlyMean,Mean,-2.07
1066,62,D24HourMean,QuarterlyMean,Mean,17.31
1066,63,D24HourMean,QuarterlyMean,Mean,24.80
1066,64,D24HourMean,QuarterlyMean,Mean,25.15
1066,65,D24HourMean,QuarterlyMean,Mean,6.45
1066,66,D24HourMean,QuarterlyMean,Mean,21.04
1067,58,D24HourMean,QuarterlyMean,Mean,6.92
1067,59,D24HourMean,QuarterlyMean,Mean,9.60
1067,60,D24HourMean,QuarterlyMean,Mean,9.84
1067,61,D24HourMean,QuarterlyMean,Mean,9.99
1067,62,D24HourMean,QuarterlyMean,Mean,17.32
1067,63,D24HourMean,QuarterlyMean,Mean,19.54
1067,64,D24HourMean,QuarterlyMean,Mean,18.54
1067,65,D24HourMean,QuarterlyMean,Mean,10.98
1067,66,D24HourMean,QuarterlyMean,Mean,-2.01
1068,54,D24HourMean,QuarterlyMean,Mean,14.13
1068,56,D24HourMean,QuarterlyMean,Mean,6.89
1068,57,D24HourMean,QuarterlyMean,Mean,10.72
1068,58,D24HourMean,QuarterlyMean,Mean,6.87
1068,59,D24HourMean,QuarterlyMean,Mean,10.21
1068,60,D24HourMean,QuarterlyMean,Mean,11.69
1068,61,D24HourMean,QuarterlyMean,Mean,9.75
1068,62,D24HourMean,QuarterlyMean,Mean,17.71
1068,63,D24HourMean,QuarterlyMean,Mean,18.88
1068,64,D24HourMean,QuarterlyMean,Mean,13.57
1068,65,D24HourMean,QuarterlyMean,Mean,8.34
1068,66,D24HourMean,QuarterlyMean,Mean,9.80
1069,52,D24HourMean,QuarterlyMean,Mean,11.74
1069,53,D24HourMean,QuarterlyMean,Mean,11.37
1069,54,D24HourMean,QuarterlyMean,Mean,9.75
1069,55,D24HourMean,QuarterlyMean,Mean,9.99
1069,56,D24HourMean,QuarterlyMean,Mean,11.01
1069,57,D24HourMean,QuarterlyMean,Mean,10.50
1069,58,D24HourMean,QuarterlyMean,Mean,9.87
1069,59,D24HourMean,QuarterlyMean,Mean,11.05
1069,60,D24HourMean,QuarterlyMean,Mean,11.93
1069,61,D24HourMean,QuarterlyMean,Mean,12.06
1069,62,D24HourMean,QuarterlyMean,Mean,10.55
1069,63,D24HourMean,QuarterlyMean,Mean,10.69
1069,64,D24HourMean,QuarterlyMean,Mean,10.33
1069,65,D24HourMean,QuarterlyMean,Mean,7.26
1069,66,D24HourMean,QuarterlyMean,Mean,10.06
1069,67,D24HourMean,QuarterlyMean,Mean,6.29
1070,52,D24HourMean,QuarterlyMean,Mean,11.03
1070,53,D24HourMean,QuarterlyMean,Mean,10.66
1070,54,D24HourMean,QuarterlyMean,Mean,10.66
1070,55,D24HourMean,QuarterlyMean,Mean,9.99
1070,56,D24HourMean,QuarterlyMean,Mean,10.20
1070,57,D24HourMean,QuarterlyMean,Mean,9.60
1070,58,D24HourMean,QuarterlyMean,Mean,7.54
1070,59,D24HourMean,QuarterlyMean,Mean,10.89
1070,60,D24HourMean,QuarterlyMean,Mean,11.39
1070,61,D24HourMean,QuarterlyMean,Mean,11.08
1070,62,D24HourMean,QuarterlyMean,Mean,10.50
1070,63,D24HourMean,QuarterlyMean,Mean,10.33
1070,64,D24HourMean,QuarterlyMean,Mean,9.77
1070,65,D24HourMean,QuarterlyMean,Mean,10.57
1070,66,D24HourMean,QuarterlyMean,Mean,10.57
1070,67,D24HourMean,QuarterlyMean,Mean,10.79
1070,68,D24HourMean,QuarterlyMean,Mean,10.18
1071,53,D24HourMean,QuarterlyMean,Mean,10.40
1071,54,D24HourMean,QuarterlyMean,Mean,10.61
1071,55,D24HourMean,QuarterlyMean,Mean,9.79
1071,56,D24HourMean,QuarterlyMean,Mean,9.96
1071,57,D24HourMean,QuarterlyMean,Mean,9.60
1071,58,D24HourMean,QuarterlyMean,Mean,10.21
1071,59,D24HourMean,QuarterlyMean,Mean,10.32
1071,60,D24HourMean,QuarterlyMean,Mean,10.88
1071,61,D24HourMean,QuarterlyMean,Mean,10.47
1071,62,D24HourMean,QuarterlyMean,Mean,10.40
1071,63,D24HourMean,QuarterlyMean,Mean,10.40
1071,64,D24HourMean,QuarterlyMean,Mean,9.39
1071,65,D24HourMean,QuarterlyMean,Mean,9.31
1071,66,D24HourMean,QuarterlyMean,Mean,10.08
1071,67,D24HourMean,QuarterlyMean,Mean,10.27
1071,68,D24HourMean,QuarterlyMean,Mean,10.28
1071,69,D24HourMean,QuarterlyMean,Mean,8.63
1072,53,D24HourMean,QuarterlyMean,Mean,9.89
1072,54,D24HourMean,QuarterlyMean,Mean,9.74
1072,55,D24HourMean,QuarterlyMean,Mean,9.56
1072,56,D24HourMean,QuarterlyMean,Mean,9.80
1072,57,D24HourMean,QuarterlyMean,Mean,9.80
1072,58,D24HourMean,QuarterlyMean,Mean,10.38
1072,59,D24HourMean,QuarterlyMean,Mean,9.87
1072,60,D24HourMean,QuarterlyMean,Mean,10.13
1072,61,D24HourMean,QuarterlyMean,Mean,10.71
1072,62,D24HourMean,QuarterlyMean,Mean,10.45
1072,63,D24HourMean,QuarterlyMean,Mean,10.08
1072,64,D24HourMean,QuarterlyMean,Mean,5.80
1072,65,D24HourMean,QuarterlyMean,Mean,5.68
1072,66,D24HourMean,QuarterlyMean,Mean,9.50
1072,67,D24HourMean,QuarterlyMean,Mean,10.38
1072,68,D24HourMean,QuarterlyMean,Mean,9.86
1072,69,D24HourMean,QuarterlyMean,Mean,8.63
1072,70,D24HourMean,QuarterlyMean,Mean,8.56
1073,54,D24HourMean,QuarterlyMean,Mean,9.97
1073,55,D24HourMean,QuarterlyMean,Mean,9.68
1073,56,D24HourMean,QuarterlyMean,Mean,9.48
1073,57,D24HourMean,QuarterlyMean,Mean,9.48
1073,58,D24HourMean,QuarterlyMean,Mean,9.65
1073,59,D24HourMean,QuarterlyMean,Mean,9.44
1073,60,D24HourMean,QuarterlyMean,Mean,9.91
1073,61,D24HourMean,QuarterlyMean,Mean,10.01
1073,62,D24HourMean,QuarterlyMean,Mean,9.92
1073,63,D24HourMean,QuarterlyMean,Mean,9.87
1073,64,D24HourMean,QuarterlyMean,Mean,5.68
1073,65,D24HourMean,QuarterlyMean,Mean,8.93
1073,66,D24HourMean,QuarterlyMean,Mean,9.34
1073,67,D24HourMean,QuarterlyMean,Mean,8.77
1073,68,D24HourMean,QuarterlyMean,Mean,9.41
1073,69,D24HourMean,QuarterlyMean,Mean,8.74
1073,70,D24HourMean,QuarterlyMean,Mean,8.70
1074,53,D24HourMean,QuarterlyMean,Mean,10.03
1074,54,D24HourMean,QuarterlyMean,Mean,10.06
1074,55,D24HourMean,QuarterlyMean,Mean,9.62
1074,56,D24HourMean,QuarterlyMean,Mean,9.31
1074,57,D24HourMean,QuarterlyMean,Mean,9.41
1074,58,D24HourMean,QuarterlyMean,Mean,9.17
1074,59,D24HourMean,QuarterlyMean,Mean,9.19
1074,60,D24HourMean,QuarterlyMean,Mean,9.48
1074,61,D24HourMean,QuarterlyMean,Mean,9.74
1074,62,D24HourMean,QuarterlyMean,Mean,9.97
1074,63,D24HourMean,QuarterlyMean,Mean,9.75
1074,64,D24HourMean,QuarterlyMean,Mean,3.91
1074,65,D24HourMean,QuarterlyMean,Mean,9.01
1074,66,D24HourMean,QuarterlyMean,Mean,9.19
1074,67,D24HourMean,QuarterlyMean,Mean,8.81
1074,68,D24HourMean,QuarterlyMean,Mean,9.50
1074,69,D24HourMean,QuarterlyMean,Mean,8.46
1074,70,D24HourMean,QuarterlyMean,Mean,8.70
1075,54,D24HourMean,QuarterlyMean,Mean,10.23
1075,55,D24HourMean,QuarterlyMean,Mean,9.72
1075,56,D24HourMean,QuarterlyMean,Mean,9.31
1075,57,D24HourMean,QuarterlyMean,Mean,3.46
1075,58,D24HourMean,QuarterlyMean,Mean,8.81
1075,59,D24HourMean,QuarterlyMean,Mean,8.81
1075,60,D24HourMean,QuarterlyMean,Mean,9.01
1075,61,D24HourMean,QuarterlyMean,Mean,9.36
1075,62,D24HourMean,QuarterlyMean,Mean,9.56
1075,63,D24HourMean,QuarterlyMean,Mean,9.44
1075,64,D24HourMean,QuarterlyMean,Mean,3.54
1075,65,D24HourMean,QuarterlyMean,Mean,8.44
1075,66,D24HourMean,QuarterlyMean,Mean,9.22
