Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2265,951,D24HourMean,QuarterlyMean,Mean,13.26
2264,951,D24HourMean,QuarterlyMean,Mean,13.39
2244,967,D24HourMean,QuarterlyMean,Mean,13.20
2250,965,D24HourMean,QuarterlyMean,Mean,13.39
2259,956,D24HourMean,QuarterlyMean,Mean,15.28
2258,957,D24HourMean,QuarterlyMean,Mean,14.87
2247,971,D24HourMean,QuarterlyMean,Mean,11.22
2239,963,D24HourMean,QuarterlyMean,Mean,18.71
2246,960,D24HourMean,QuarterlyMean,Mean,19.07
2249,962,D24HourMean,QuarterlyMean,Mean,16.63
2242,970,D24HourMean,QuarterlyMean,Mean,11.40
2252,967,D24HourMean,QuarterlyMean,Mean,11.45
2266,955,D24HourMean,QuarterlyMean,Mean,13.38
2245,971,D24HourMean,QuarterlyMean,Mean,10.20
2248,965,D24HourMean,QuarterlyMean,Mean,13.23
2258,960,D24HourMean,QuarterlyMean,Mean,14.24
2240,960,D24HourMean,QuarterlyMean,Mean,19.17
2241,960,D24HourMean,QuarterlyMean,Mean,19.41
2256,955,D24HourMean,QuarterlyMean,Mean,17.50
2262,952,D24HourMean,QuarterlyMean,Mean,13.92
2246,971,D24HourMean,QuarterlyMean,Mean,11.24
2257,960,D24HourMean,QuarterlyMean,Mean,14.75
2244,970,D24HourMean,QuarterlyMean,Mean,10.81
2262,951,D24HourMean,QuarterlyMean,Mean,13.80
2261,956,D24HourMean,QuarterlyMean,Mean,15.59
2249,968,D24HourMean,QuarterlyMean,Mean,11.25
2253,968,D24HourMean,QuarterlyMean,Mean,10.83
2254,962,D24HourMean,QuarterlyMean,Mean,18.79
2254,964,D24HourMean,QuarterlyMean,Mean,13.66
2256,962,D24HourMean,QuarterlyMean,Mean,17.01
2261,952,D24HourMean,QuarterlyMean,Mean,14.93
2255,969,D24HourMean,QuarterlyMean,Mean,13.18
2246,962,D24HourMean,QuarterlyMean,Mean,18.29
2257,962,D24HourMean,QuarterlyMean,Mean,15.97
2241,963,D24HourMean,QuarterlyMean,Mean,19.18
2238,962,D24HourMean,QuarterlyMean,Mean,20.26
2246,969,D24HourMean,QuarterlyMean,Mean,12.09
2258,958,D24HourMean,QuarterlyMean,Mean,15.33
