Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2265,951,2010,4406.59,ALL,ALL,ALL,0TO99
2264,951,2010,4092.38,ALL,ALL,ALL,0TO99
2244,967,2010,8952.53,ALL,ALL,ALL,0TO99
2250,965,2010,5200.94,ALL,ALL,ALL,0TO99
2259,956,2010,4063.16,ALL,ALL,ALL,0TO99
2258,957,2010,3827.12,ALL,ALL,ALL,0TO99
2247,971,2010,10168.18,ALL,ALL,ALL,0TO99
2239,963,2010,5614.64,ALL,ALL,ALL,0TO99
2246,960,2010,72401.77,ALL,ALL,ALL,0TO99
2249,962,2010,13454.03,ALL,ALL,ALL,0TO99
2242,970,2010,10185.12,ALL,ALL,ALL,0TO99
2252,967,2010,5701.11,ALL,ALL,ALL,0TO99
2266,955,2010,3417.44,ALL,ALL,ALL,0TO99
2245,971,2010,10120.27,ALL,ALL,ALL,0TO99
2248,965,2010,12528.47,ALL,ALL,ALL,0TO99
2258,960,2010,5754.86,ALL,ALL,ALL,0TO99
2240,960,2010,19223.01,ALL,ALL,ALL,0TO99
2241,960,2010,17211.69,ALL,ALL,ALL,0TO99
2256,955,2010,2668.55,ALL,ALL,ALL,0TO99
2262,952,2010,4086.52,ALL,ALL,ALL,0TO99
2246,971,2010,10148.19,ALL,ALL,ALL,0TO99
2257,960,2010,5368.40,ALL,ALL,ALL,0TO99
2244,970,2010,10185.12,ALL,ALL,ALL,0TO99
2262,951,2010,4092.38,ALL,ALL,ALL,0TO99
2261,956,2010,3985.93,ALL,ALL,ALL,0TO99
2249,968,2010,7116.51,ALL,ALL,ALL,0TO99
2253,968,2010,5359.80,ALL,ALL,ALL,0TO99
2254,962,2010,0.00,ALL,ALL,ALL,0TO99
2254,964,2010,2068.33,ALL,ALL,ALL,0TO99
2256,962,2010,139.10,ALL,ALL,ALL,0TO99
2261,952,2010,4080.27,ALL,ALL,ALL,0TO99
2255,969,2010,5925.78,ALL,ALL,ALL,0TO99
2246,962,2010,171096.44,ALL,ALL,ALL,0TO99
2257,962,2010,4497.45,ALL,ALL,ALL,0TO99
2241,963,2010,5614.64,ALL,ALL,ALL,0TO99
2238,962,2010,18144.42,ALL,ALL,ALL,0TO99
2246,969,2010,10201.21,ALL,ALL,ALL,0TO99
2258,958,2010,2993.02,ALL,ALL,ALL,0TO99
2256,959,2010,2765.58,ALL,ALL,ALL,0TO99
2265,950,2010,4099.08,ALL,ALL,ALL,0TO99
2252,957,2010,4970.82,ALL,ALL,ALL,0TO99
2248,970,2010,9528.55,ALL,ALL,ALL,0TO99
2260,953,2010,3671.61,ALL,ALL,ALL,0TO99
2255,960,2010,6926.32,ALL,ALL,ALL,0TO99
2257,957,2010,2699.51,ALL,ALL,ALL,0TO99
2240,971,2010,8101.09,ALL,ALL,ALL,0TO99
2253,965,2010,5637.39,ALL,ALL,ALL,0TO99
2256,968,2010,6038.33,ALL,ALL,ALL,0TO99
2255,968,2010,5359.80,ALL,ALL,ALL,0TO99
2253,969,2010,5351.93,ALL,ALL,ALL,0TO99
2245,961,2010,338553.16,ALL,ALL,ALL,0TO99
2259,957,2010,4025.40,ALL,ALL,ALL,0TO99
2242,961,2010,22822.34,ALL,ALL,ALL,0TO99
2239,961,2010,23280.71,ALL,ALL,ALL,0TO99
2241,970,2010,10676.74,ALL,ALL,ALL,0TO99
2247,963,2010,13431.54,ALL,ALL,ALL,0TO99
2247,958,2010,13344.50,ALL,ALL,ALL,0TO99
2252,968,2010,5359.80,ALL,ALL,ALL,0TO99
2255,964,2010,4958.19,ALL,ALL,ALL,0TO99
2242,967,2010,8921.66,ALL,ALL,ALL,0TO99
2239,968,2010,12867.33,ALL,ALL,ALL,0TO99
2247,968,2010,10216.24,ALL,ALL,ALL,0TO99
2239,970,2010,12828.15,ALL,ALL,ALL,0TO99
2243,969,2010,10201.21,ALL,ALL,ALL,0TO99
2249,969,2010,8129.07,ALL,ALL,ALL,0TO99
2243,967,2010,8194.02,ALL,ALL,ALL,0TO99
2265,955,2010,3900.47,ALL,ALL,ALL,0TO99
2249,966,2010,6407.72,ALL,ALL,ALL,0TO99
2237,964,2010,8476.43,ALL,ALL,ALL,0TO99
2254,961,2010,3833.64,ALL,ALL,ALL,0TO99
2242,965,2010,9293.29,ALL,ALL,ALL,0TO99
2238,964,2010,5715.03,ALL,ALL,ALL,0TO99
2238,967,2010,9024.62,ALL,ALL,ALL,0TO99
2240,964,2010,5842.53,ALL,ALL,ALL,0TO99
2245,968,2010,10216.24,ALL,ALL,ALL,0TO99
2241,969,2010,12263.03,ALL,ALL,ALL,0TO99
2262,950,2010,4051.01,ALL,ALL,ALL,0TO99
2241,971,2010,8620.95,ALL,ALL,ALL,0TO99
2249,964,2010,12344.87,ALL,ALL,ALL,0TO99
2252,958,2010,4052.97,ALL,ALL,ALL,0TO99
