Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2930,302,D24HourMean,QuarterlyMean,Mean,3.53
2930,303,D24HourMean,QuarterlyMean,Mean,11.12
2930,304,D24HourMean,QuarterlyMean,Mean,11.22
2931,300,D24HourMean,QuarterlyMean,Mean,4.22
2931,301,D24HourMean,QuarterlyMean,Mean,11.12
2931,302,D24HourMean,QuarterlyMean,Mean,11.12
2931,307,D24HourMean,QuarterlyMean,Mean,-2.42
2932,299,D24HourMean,QuarterlyMean,Mean,11.81
2932,311,D24HourMean,QuarterlyMean,Mean,11.60
2933,297,D24HourMean,QuarterlyMean,Mean,11.62
2934,295,D24HourMean,QuarterlyMean,Mean,12.20
2934,296,D24HourMean,QuarterlyMean,Mean,11.59
2934,297,D24HourMean,QuarterlyMean,Mean,11.29
2935,294,D24HourMean,QuarterlyMean,Mean,11.71
2935,295,D24HourMean,QuarterlyMean,Mean,11.51
2935,296,D24HourMean,QuarterlyMean,Mean,11.22
2935,297,D24HourMean,QuarterlyMean,Mean,11.02
2935,302,D24HourMean,QuarterlyMean,Mean,9.40
2935,303,D24HourMean,QuarterlyMean,Mean,9.40
2935,314,D24HourMean,QuarterlyMean,Mean,8.77
2935,315,D24HourMean,QuarterlyMean,Mean,10.31
2935,316,D24HourMean,QuarterlyMean,Mean,9.59
2935,317,D24HourMean,QuarterlyMean,Mean,9.69
2935,318,D24HourMean,QuarterlyMean,Mean,9.44
2935,319,D24HourMean,QuarterlyMean,Mean,9.68
2936,294,D24HourMean,QuarterlyMean,Mean,10.67
2936,299,D24HourMean,QuarterlyMean,Mean,-0.95
2936,300,D24HourMean,QuarterlyMean,Mean,8.19
2936,301,D24HourMean,QuarterlyMean,Mean,8.19
2936,302,D24HourMean,QuarterlyMean,Mean,8.34
2936,313,D24HourMean,QuarterlyMean,Mean,9.68
2936,314,D24HourMean,QuarterlyMean,Mean,10.03
2936,315,D24HourMean,QuarterlyMean,Mean,10.19
2936,316,D24HourMean,QuarterlyMean,Mean,10.39
2936,317,D24HourMean,QuarterlyMean,Mean,10.39
2936,318,D24HourMean,QuarterlyMean,Mean,10.49
2936,319,D24HourMean,QuarterlyMean,Mean,10.54
2936,320,D24HourMean,QuarterlyMean,Mean,9.39
2936,321,D24HourMean,QuarterlyMean,Mean,8.36
2936,322,D24HourMean,QuarterlyMean,Mean,8.13
2937,292,D24HourMean,QuarterlyMean,Mean,9.76
2937,298,D24HourMean,QuarterlyMean,Mean,7.68
2937,299,D24HourMean,QuarterlyMean,Mean,7.44
2937,300,D24HourMean,QuarterlyMean,Mean,7.54
2937,301,D24HourMean,QuarterlyMean,Mean,7.52
2937,310,D24HourMean,QuarterlyMean,Mean,8.63
2937,311,D24HourMean,QuarterlyMean,Mean,7.95
2937,312,D24HourMean,QuarterlyMean,Mean,7.28
2937,313,D24HourMean,QuarterlyMean,Mean,7.28
2937,314,D24HourMean,QuarterlyMean,Mean,7.28
2937,315,D24HourMean,QuarterlyMean,Mean,7.28
2937,316,D24HourMean,QuarterlyMean,Mean,9.60
2937,317,D24HourMean,QuarterlyMean,Mean,5.61
