Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1946,1030,D24HourMean,QuarterlyMean,Mean,9.62
1958,1038,D24HourMean,QuarterlyMean,Mean,8.24
1898,1032,D24HourMean,QuarterlyMean,Mean,8.86
1931,1032,D24HourMean,QuarterlyMean,Mean,9.79
1949,1032,D24HourMean,QuarterlyMean,Mean,9.56
1945,1041,D24HourMean,QuarterlyMean,Mean,12.62
1950,1026,D24HourMean,QuarterlyMean,Mean,11.98
1937,1035,D24HourMean,QuarterlyMean,Mean,8.29
1927,1027,D24HourMean,QuarterlyMean,Mean,14.14
1938,1041,D24HourMean,QuarterlyMean,Mean,11.61
1952,1033,D24HourMean,QuarterlyMean,Mean,9.81
1940,1038,D24HourMean,QuarterlyMean,Mean,8.12
1958,1043,D24HourMean,QuarterlyMean,Mean,11.17
1953,1047,D24HourMean,QuarterlyMean,Mean,10.11
1957,1045,D24HourMean,QuarterlyMean,Mean,10.33
1954,1041,D24HourMean,QuarterlyMean,Mean,10.08
1952,1035,D24HourMean,QuarterlyMean,Mean,9.97
1950,1032,D24HourMean,QuarterlyMean,Mean,9.67
1953,1040,D24HourMean,QuarterlyMean,Mean,8.99
1952,1041,D24HourMean,QuarterlyMean,Mean,10.36
1941,1038,D24HourMean,QuarterlyMean,Mean,8.63
1943,1030,D24HourMean,QuarterlyMean,Mean,9.33
1966,1047,D24HourMean,QuarterlyMean,Mean,11.55
1901,1034,D24HourMean,QuarterlyMean,Mean,8.53
1930,1029,D24HourMean,QuarterlyMean,Mean,13.70
1961,1032,D24HourMean,QuarterlyMean,Mean,11.70
1941,1035,D24HourMean,QuarterlyMean,Mean,8.81
1953,1037,D24HourMean,QuarterlyMean,Mean,7.04
1955,1040,D24HourMean,QuarterlyMean,Mean,9.25
1957,1042,D24HourMean,QuarterlyMean,Mean,10.67
1969,1038,D24HourMean,QuarterlyMean,Mean,11.77
1932,1028,D24HourMean,QuarterlyMean,Mean,13.73
1906,1029,D24HourMean,QuarterlyMean,Mean,11.27
1949,1036,D24HourMean,QuarterlyMean,Mean,7.98
1910,1029,D24HourMean,QuarterlyMean,Mean,13.52
1947,1038,D24HourMean,QuarterlyMean,Mean,7.83
1930,1028,D24HourMean,QuarterlyMean,Mean,13.86
1962,1046,D24HourMean,QuarterlyMean,Mean,11.00
1947,1025,D24HourMean,QuarterlyMean,Mean,13.49
1952,1036,D24HourMean,QuarterlyMean,Mean,7.90
1935,1031,D24HourMean,QuarterlyMean,Mean,9.60
1958,1037,D24HourMean,QuarterlyMean,Mean,8.45
1937,1028,D24HourMean,QuarterlyMean,Mean,11.89
1961,1040,D24HourMean,QuarterlyMean,Mean,8.92
