Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1946,1030,2010,2460.57,ALL,ALL,ALL,0TO99
1958,1038,2010,6120.61,ALL,ALL,ALL,0TO99
1898,1032,2010,23340.69,ALL,ALL,ALL,0TO99
1931,1032,2010,3356.78,ALL,ALL,ALL,0TO99
1949,1032,2010,4173.38,ALL,ALL,ALL,0TO99
1945,1041,2010,18049.05,ALL,ALL,ALL,0TO99
1950,1026,2010,4498.38,ALL,ALL,ALL,0TO99
1937,1035,2010,5683.19,ALL,ALL,ALL,0TO99
1927,1027,2010,2198.45,ALL,ALL,ALL,0TO99
1938,1041,2010,9315.16,ALL,ALL,ALL,0TO99
1952,1033,2010,4827.27,ALL,ALL,ALL,0TO99
1940,1038,2010,5655.55,ALL,ALL,ALL,0TO99
1958,1043,2010,7942.31,ALL,ALL,ALL,0TO99
1953,1047,2010,2910.49,ALL,ALL,ALL,0TO99
1957,1045,2010,4371.91,ALL,ALL,ALL,0TO99
1954,1041,2010,6049.02,ALL,ALL,ALL,0TO99
1952,1035,2010,3852.94,ALL,ALL,ALL,0TO99
1950,1032,2010,4253.14,ALL,ALL,ALL,0TO99
1953,1040,2010,4276.39,ALL,ALL,ALL,0TO99
1952,1041,2010,5147.46,ALL,ALL,ALL,0TO99
1941,1038,2010,4653.10,ALL,ALL,ALL,0TO99
1943,1030,2010,2315.06,ALL,ALL,ALL,0TO99
1966,1047,2010,4865.89,ALL,ALL,ALL,0TO99
1901,1034,2010,10793.61,ALL,ALL,ALL,0TO99
1930,1029,2010,2430.00,ALL,ALL,ALL,0TO99
1961,1032,2010,5736.30,ALL,ALL,ALL,0TO99
1941,1035,2010,2061.94,ALL,ALL,ALL,0TO99
1953,1037,2010,3718.44,ALL,ALL,ALL,0TO99
1955,1040,2010,6823.19,ALL,ALL,ALL,0TO99
1957,1042,2010,19779.26,ALL,ALL,ALL,0TO99
1969,1038,2010,3041.50,ALL,ALL,ALL,0TO99
1932,1028,2010,2434.42,ALL,ALL,ALL,0TO99
1906,1029,2010,2362.90,ALL,ALL,ALL,0TO99
1949,1036,2010,2318.98,ALL,ALL,ALL,0TO99
1910,1029,2010,2624.82,ALL,ALL,ALL,0TO99
1947,1038,2010,4975.71,ALL,ALL,ALL,0TO99
1930,1028,2010,2406.81,ALL,ALL,ALL,0TO99
1962,1046,2010,3970.10,ALL,ALL,ALL,0TO99
1947,1025,2010,3943.56,ALL,ALL,ALL,0TO99
1952,1036,2010,3844.08,ALL,ALL,ALL,0TO99
1935,1031,2010,1742.33,ALL,ALL,ALL,0TO99
1958,1037,2010,5955.58,ALL,ALL,ALL,0TO99
1937,1028,2010,2440.15,ALL,ALL,ALL,0TO99
1961,1040,2010,16599.32,ALL,ALL,ALL,0TO99
1911,1029,2010,3145.85,ALL,ALL,ALL,0TO99
1944,1029,2010,3147.69,ALL,ALL,ALL,0TO99
1948,1031,2010,3524.89,ALL,ALL,ALL,0TO99
1955,1029,2010,10497.76,ALL,ALL,ALL,0TO99
1933,1027,2010,2398.70,ALL,ALL,ALL,0TO99
1942,1029,2010,3194.06,ALL,ALL,ALL,0TO99
1935,1029,2010,2430.00,ALL,ALL,ALL,0TO99
1930,1033,2010,2834.85,ALL,ALL,ALL,0TO99
1930,1037,2010,12555.34,ALL,ALL,ALL,0TO99
1968,1037,2010,3587.80,ALL,ALL,ALL,0TO99
1968,1046,2010,4855.28,ALL,ALL,ALL,0TO99
1912,1033,2010,6856.04,ALL,ALL,ALL,0TO99
1953,1048,2010,3255.32,ALL,ALL,ALL,0TO99
1931,1031,2010,3539.15,ALL,ALL,ALL,0TO99
1946,1026,2010,4319.79,ALL,ALL,ALL,0TO99
1945,1038,2010,4850.33,ALL,ALL,ALL,0TO99
1956,1048,2010,3148.33,ALL,ALL,ALL,0TO99
1944,1043,2010,36623.04,ALL,ALL,ALL,0TO99
1944,1024,2010,4427.63,ALL,ALL,ALL,0TO99
1923,1029,2010,2177.46,ALL,ALL,ALL,0TO99
1932,1031,2010,3860.09,ALL,ALL,ALL,0TO99
1928,1029,2010,2275.69,ALL,ALL,ALL,0TO99
1939,1046,2010,6553.80,ALL,ALL,ALL,0TO99
1944,1031,2010,1871.95,ALL,ALL,ALL,0TO99
1954,1037,2010,3796.72,ALL,ALL,ALL,0TO99
1934,1033,2010,3845.44,ALL,ALL,ALL,0TO99
1965,1039,2010,12850.84,ALL,ALL,ALL,0TO99
1901,1033,2010,11973.43,ALL,ALL,ALL,0TO99
1954,1036,2010,3851.44,ALL,ALL,ALL,0TO99
1960,1047,2010,3971.72,ALL,ALL,ALL,0TO99
1934,1034,2010,3953.32,ALL,ALL,ALL,0TO99
1949,1026,2010,4057.26,ALL,ALL,ALL,0TO99
1968,1039,2010,5476.20,ALL,ALL,ALL,0TO99
1956,1042,2010,9204.71,ALL,ALL,ALL,0TO99
1953,1030,2010,8319.81,ALL,ALL,ALL,0TO99
1940,1026,2010,11786.59,ALL,ALL,ALL,0TO99
1943,1035,2010,2090.66,ALL,ALL,ALL,0TO99
1952,1034,2010,4095.31,ALL,ALL,ALL,0TO99
1951,1040,2010,3379.51,ALL,ALL,ALL,0TO99
1937,1025,2010,4310.29,ALL,ALL,ALL,0TO99
1966,1040,2010,12578.99,ALL,ALL,ALL,0TO99
1961,1037,2010,6017.85,ALL,ALL,ALL,0TO99
1948,1035,2010,4270.08,ALL,ALL,ALL,0TO99
