Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2286,959,D24HourMean,QuarterlyMean,Mean,16.65
2285,969,D24HourMean,QuarterlyMean,Mean,12.67
2290,972,D24HourMean,QuarterlyMean,Mean,12.95
2292,971,D24HourMean,QuarterlyMean,Mean,12.78
2260,968,D24HourMean,QuarterlyMean,Mean,15.96
2259,964,D24HourMean,QuarterlyMean,Mean,11.26
2267,957,D24HourMean,QuarterlyMean,Mean,12.37
2253,955,D24HourMean,QuarterlyMean,Mean,16.24
2266,958,D24HourMean,QuarterlyMean,Mean,11.89
2273,954,D24HourMean,QuarterlyMean,Mean,17.46
2276,970,D24HourMean,QuarterlyMean,Mean,12.08
2280,964,D24HourMean,QuarterlyMean,Mean,17.89
2265,956,D24HourMean,QuarterlyMean,Mean,13.24
2285,963,D24HourMean,QuarterlyMean,Mean,16.52
2279,969,D24HourMean,QuarterlyMean,Mean,12.93
2289,957,D24HourMean,QuarterlyMean,Mean,17.14
2289,946,D24HourMean,QuarterlyMean,Mean,14.98
2270,961,D24HourMean,QuarterlyMean,Mean,15.85
2266,970,D24HourMean,QuarterlyMean,Mean,15.51
2272,970,D24HourMean,QuarterlyMean,Mean,14.70
2295,965,D24HourMean,QuarterlyMean,Mean,15.02
2264,970,D24HourMean,QuarterlyMean,Mean,16.44
2288,946,D24HourMean,QuarterlyMean,Mean,14.63
2253,973,D24HourMean,QuarterlyMean,Mean,13.92
2269,951,D24HourMean,QuarterlyMean,Mean,18.10
2269,966,D24HourMean,QuarterlyMean,Mean,15.78
2275,959,D24HourMean,QuarterlyMean,Mean,16.75
2252,972,D24HourMean,QuarterlyMean,Mean,14.62
2293,956,D24HourMean,QuarterlyMean,Mean,16.43
2265,957,D24HourMean,QuarterlyMean,Mean,12.39
2271,967,D24HourMean,QuarterlyMean,Mean,15.62
2269,964,D24HourMean,QuarterlyMean,Mean,16.18
2272,964,D24HourMean,QuarterlyMean,Mean,15.73
2286,965,D24HourMean,QuarterlyMean,Mean,15.23
2285,970,D24HourMean,QuarterlyMean,Mean,11.93
2254,972,D24HourMean,QuarterlyMean,Mean,15.74
2286,955,D24HourMean,QuarterlyMean,Mean,16.76
2283,971,D24HourMean,QuarterlyMean,Mean,12.51
2272,965,D24HourMean,QuarterlyMean,Mean,16.15
2256,950,D24HourMean,QuarterlyMean,Mean,19.30
2264,965,D24HourMean,QuarterlyMean,Mean,14.83
2256,952,D24HourMean,QuarterlyMean,Mean,17.45
2293,957,D24HourMean,QuarterlyMean,Mean,16.97
2260,963,D24HourMean,QuarterlyMean,Mean,12.98
2287,949,D24HourMean,QuarterlyMean,Mean,14.91
2282,967,D24HourMean,QuarterlyMean,Mean,12.64
2287,957,D24HourMean,QuarterlyMean,Mean,17.20
2287,954,D24HourMean,QuarterlyMean,Mean,16.79
2267,962,D24HourMean,QuarterlyMean,Mean,12.39
2267,956,D24HourMean,QuarterlyMean,Mean,12.59
2286,963,D24HourMean,QuarterlyMean,Mean,16.35
2293,962,D24HourMean,QuarterlyMean,Mean,15.10
2279,963,D24HourMean,QuarterlyMean,Mean,17.61
2268,960,D24HourMean,QuarterlyMean,Mean,12.69
2287,960,D24HourMean,QuarterlyMean,Mean,17.10
2274,956,D24HourMean,QuarterlyMean,Mean,16.66
2294,960,D24HourMean,QuarterlyMean,Mean,16.53
2261,971,D24HourMean,QuarterlyMean,Mean,15.74
2290,963,D24HourMean,QuarterlyMean,Mean,13.88
2281,966,D24HourMean,QuarterlyMean,Mean,14.86
2263,966,D24HourMean,QuarterlyMean,Mean,15.77
2271,975,D24HourMean,QuarterlyMean,Mean,12.42
2266,954,D24HourMean,QuarterlyMean,Mean,13.96
2273,970,D24HourMean,QuarterlyMean,Mean,13.78
2259,951,D24HourMean,QuarterlyMean,Mean,19.34
2286,948,D24HourMean,QuarterlyMean,Mean,13.49
2288,956,D24HourMean,QuarterlyMean,Mean,16.66
2289,953,D24HourMean,QuarterlyMean,Mean,16.38
2262,965,D24HourMean,QuarterlyMean,Mean,12.39
2273,971,D24HourMean,QuarterlyMean,Mean,12.80
2253,970,D24HourMean,QuarterlyMean,Mean,13.57
2256,969,D24HourMean,QuarterlyMean,Mean,14.85
2260,970,D24HourMean,QuarterlyMean,Mean,15.25
2293,965,D24HourMean,QuarterlyMean,Mean,14.04
2262,969,D24HourMean,QuarterlyMean,Mean,17.00
2267,966,D24HourMean,QuarterlyMean,Mean,15.90
2265,960,D24HourMean,QuarterlyMean,Mean,11.74
2278,965,D24HourMean,QuarterlyMean,Mean,18.32
2285,976,D24HourMean,QuarterlyMean,Mean,11.97
2292,957,D24HourMean,QuarterlyMean,Mean,16.30
2266,957,D24HourMean,QuarterlyMean,Mean,12.54
2277,961,D24HourMean,QuarterlyMean,Mean,18.18
2287,966,D24HourMean,QuarterlyMean,Mean,13.69
2251,957,D24HourMean,QuarterlyMean,Mean,18.29
2286,951,D24HourMean,QuarterlyMean,Mean,14.72
2277,959,D24HourMean,QuarterlyMean,Mean,17.32
2274,960,D24HourMean,QuarterlyMean,Mean,17.30
2267,959,D24HourMean,QuarterlyMean,Mean,11.92
2281,964,D24HourMean,QuarterlyMean,Mean,17.45
2272,955,D24HourMean,QuarterlyMean,Mean,16.12
2276,971,D24HourMean,QuarterlyMean,Mean,11.84
2257,965,D24HourMean,QuarterlyMean,Mean,11.33
2288,949,D24HourMean,QuarterlyMean,Mean,17.05
2261,965,D24HourMean,QuarterlyMean,Mean,11.52
2260,966,D24HourMean,QuarterlyMean,Mean,11.74
2267,960,D24HourMean,QuarterlyMean,Mean,11.50
2283,967,D24HourMean,QuarterlyMean,Mean,12.27
2288,952,D24HourMean,QuarterlyMean,Mean,16.79
2270,966,D24HourMean,QuarterlyMean,Mean,16.15
2282,966,D24HourMean,QuarterlyMean,Mean,13.98
2295,962,D24HourMean,QuarterlyMean,Mean,16.06
2282,973,D24HourMean,QuarterlyMean,Mean,10.73
2264,966,D24HourMean,QuarterlyMean,Mean,15.62
2286,949,D24HourMean,QuarterlyMean,Mean,13.72
2289,971,D24HourMean,QuarterlyMean,Mean,11.06
2276,957,D24HourMean,QuarterlyMean,Mean,17.43
2275,961,D24HourMean,QuarterlyMean,Mean,17.89
2284,967,D24HourMean,QuarterlyMean,Mean,12.19
2286,964,D24HourMean,QuarterlyMean,Mean,15.84
2252,955,D24HourMean,QuarterlyMean,Mean,18.23
2281,972,D24HourMean,QuarterlyMean,Mean,13.02
2290,966,D24HourMean,QuarterlyMean,Mean,12.94
2291,953,D24HourMean,QuarterlyMean,Mean,17.01
2275,971,D24HourMean,QuarterlyMean,Mean,11.62
2282,968,D24HourMean,QuarterlyMean,Mean,12.16
