Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2286,959,2010,7425.43,ALL,ALL,ALL,0TO99
2285,969,2010,3805.21,ALL,ALL,ALL,0TO99
2290,972,2010,4479.26,ALL,ALL,ALL,0TO99
2292,971,2010,2414.46,ALL,ALL,ALL,0TO99
2260,968,2010,10367.25,ALL,ALL,ALL,0TO99
2259,964,2010,4400.68,ALL,ALL,ALL,0TO99
2267,957,2010,6602.19,ALL,ALL,ALL,0TO99
2253,955,2010,7046.54,ALL,ALL,ALL,0TO99
2266,958,2010,2931.07,ALL,ALL,ALL,0TO99
2273,954,2010,6916.59,ALL,ALL,ALL,0TO99
2276,970,2010,3206.53,ALL,ALL,ALL,0TO99
2280,964,2010,9790.43,ALL,ALL,ALL,0TO99
2265,956,2010,3083.95,ALL,ALL,ALL,0TO99
2285,963,2010,5706.79,ALL,ALL,ALL,0TO99
2279,969,2010,5484.85,ALL,ALL,ALL,0TO99
2289,957,2010,7953.73,ALL,ALL,ALL,0TO99
2289,946,2010,9159.69,ALL,ALL,ALL,0TO99
2270,961,2010,13125.67,ALL,ALL,ALL,0TO99
2266,970,2010,725.22,ALL,ALL,ALL,0TO99
2272,970,2010,3723.91,ALL,ALL,ALL,0TO99
2295,965,2010,2558.69,ALL,ALL,ALL,0TO99
2264,970,2010,5816.58,ALL,ALL,ALL,0TO99
2288,946,2010,12196.80,ALL,ALL,ALL,0TO99
2253,973,2010,6954.85,ALL,ALL,ALL,0TO99
2269,951,2010,4514.39,ALL,ALL,ALL,0TO99
2269,966,2010,5803.84,ALL,ALL,ALL,0TO99
2275,959,2010,6040.12,ALL,ALL,ALL,0TO99
2252,972,2010,6885.61,ALL,ALL,ALL,0TO99
2293,956,2010,4993.96,ALL,ALL,ALL,0TO99
2265,957,2010,3014.08,ALL,ALL,ALL,0TO99
2271,967,2010,53121.95,ALL,ALL,ALL,0TO99
2269,964,2010,10923.07,ALL,ALL,ALL,0TO99
2272,964,2010,12141.04,ALL,ALL,ALL,0TO99
2286,965,2010,4978.46,ALL,ALL,ALL,0TO99
2285,970,2010,4772.66,ALL,ALL,ALL,0TO99
2254,972,2010,6948.95,ALL,ALL,ALL,0TO99
2286,955,2010,4872.13,ALL,ALL,ALL,0TO99
2283,971,2010,4765.60,ALL,ALL,ALL,0TO99
2272,965,2010,24036.70,ALL,ALL,ALL,0TO99
2256,950,2010,4157.07,ALL,ALL,ALL,0TO99
2264,965,2010,6868.13,ALL,ALL,ALL,0TO99
2256,952,2010,4066.03,ALL,ALL,ALL,0TO99
2293,957,2010,5040.61,ALL,ALL,ALL,0TO99
2260,963,2010,2985.68,ALL,ALL,ALL,0TO99
2287,949,2010,22384.69,ALL,ALL,ALL,0TO99
2282,967,2010,3314.70,ALL,ALL,ALL,0TO99
2287,957,2010,7168.53,ALL,ALL,ALL,0TO99
2287,954,2010,5319.60,ALL,ALL,ALL,0TO99
2267,962,2010,3117.41,ALL,ALL,ALL,0TO99
2267,956,2010,5606.14,ALL,ALL,ALL,0TO99
2286,963,2010,3919.55,ALL,ALL,ALL,0TO99
2293,962,2010,2989.89,ALL,ALL,ALL,0TO99
2279,963,2010,7547.15,ALL,ALL,ALL,0TO99
2268,960,2010,6450.18,ALL,ALL,ALL,0TO99
2287,960,2010,7918.75,ALL,ALL,ALL,0TO99
2274,956,2010,7165.64,ALL,ALL,ALL,0TO99
2294,960,2010,56316.69,ALL,ALL,ALL,0TO99
2261,971,2010,6193.53,ALL,ALL,ALL,0TO99
2290,963,2010,2981.89,ALL,ALL,ALL,0TO99
2281,966,2010,5730.30,ALL,ALL,ALL,0TO99
