Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2093,530,2010,53795.80,ALL,ALL,ALL,0TO99
2094,530,2010,54012.66,ALL,ALL,ALL,0TO99
2105,524,2010,16606.07,ALL,ALL,ALL,0TO99
2095,529,2010,49959.64,ALL,ALL,ALL,0TO99
2096,520,2010,26376.72,ALL,ALL,ALL,0TO99
2102,521,2010,23823.62,ALL,ALL,ALL,0TO99
2104,526,2010,21907.48,ALL,ALL,ALL,0TO99
2108,527,2010,18718.93,ALL,ALL,ALL,0TO99
2098,517,2010,28683.75,ALL,ALL,ALL,0TO99
2099,521,2010,18904.69,ALL,ALL,ALL,0TO99
2101,524,2010,37911.70,ALL,ALL,ALL,0TO99
2099,519,2010,39747.72,ALL,ALL,ALL,0TO99
2099,530,2010,91493.59,ALL,ALL,ALL,0TO99
2105,535,2010,27373.71,ALL,ALL,ALL,0TO99
2097,527,2010,42760.96,ALL,ALL,ALL,0TO99
2100,526,2010,59435.72,ALL,ALL,ALL,0TO99
2099,518,2010,55748.03,ALL,ALL,ALL,0TO99
2101,518,2010,42124.41,ALL,ALL,ALL,0TO99
2100,533,2010,55043.64,ALL,ALL,ALL,0TO99
2096,523,2010,26997.16,ALL,ALL,ALL,0TO99
2104,535,2010,35341.57,ALL,ALL,ALL,0TO99
2095,525,2010,88385.90,ALL,ALL,ALL,0TO99
2107,529,2010,13041.61,ALL,ALL,ALL,0TO99
2098,518,2010,47242.02,ALL,ALL,ALL,0TO99
2096,518,2010,27480.86,ALL,ALL,ALL,0TO99
2108,529,2010,16825.26,ALL,ALL,ALL,0TO99
2097,516,2010,24893.13,ALL,ALL,ALL,0TO99
2101,530,2010,52859.44,ALL,ALL,ALL,0TO99
2096,530,2010,114877.90,ALL,ALL,ALL,0TO99
2099,522,2010,27788.55,ALL,ALL,ALL,0TO99
2094,528,2010,39619.29,ALL,ALL,ALL,0TO99
2103,522,2010,15807.82,ALL,ALL,ALL,0TO99
2096,519,2010,22208.77,ALL,ALL,ALL,0TO99
2094,521,2010,10317.74,ALL,ALL,ALL,0TO99
2098,530,2010,56992.07,ALL,ALL,ALL,0TO99
2095,527,2010,56539.50,ALL,ALL,ALL,0TO99
2102,525,2010,14495.49,ALL,ALL,ALL,0TO99
2100,523,2010,46971.82,ALL,ALL,ALL,0TO99
2102,529,2010,68736.92,ALL,ALL,ALL,0TO99
2104,533,2010,47666.65,ALL,ALL,ALL,0TO99
2102,532,2010,99379.80,ALL,ALL,ALL,0TO99
2106,527,2010,13462.22,ALL,ALL,ALL,0TO99
2103,523,2010,21254.69,ALL,ALL,ALL,0TO99
2101,531,2010,70602.62,ALL,ALL,ALL,0TO99
2099,524,2010,45440.15,ALL,ALL,ALL,0TO99
2103,530,2010,59625.79,ALL,ALL,ALL,0TO99
2100,534,2010,49780.09,ALL,ALL,ALL,0TO99
2094,525,2010,120655.91,ALL,ALL,ALL,0TO99
2101,535,2010,46924.00,ALL,ALL,ALL,0TO99
2095,523,2010,40477.20,ALL,ALL,ALL,0TO99
2105,525,2010,22504.45,ALL,ALL,ALL,0TO99
2094,526,2010,321804.00,ALL,ALL,ALL,0TO99
2098,526,2010,46316.83,ALL,ALL,ALL,0TO99
2103,527,2010,24788.07,ALL,ALL,ALL,0TO99
2100,532,2010,65256.85,ALL,ALL,ALL,0TO99
2102,522,2010,29638.04,ALL,ALL,ALL,0TO99
2098,529,2010,45535.89,ALL,ALL,ALL,0TO99
2097,523,2010,26376.69,ALL,ALL,ALL,0TO99
2104,523,2010,23037.93,ALL,ALL,ALL,0TO99
2093,523,2010,0.00,ALL,ALL,ALL,0TO99
2103,531,2010,46274.35,ALL,ALL,ALL,0TO99
2105,527,2010,14551.92,ALL,ALL,ALL,0TO99
2102,531,2010,80626.58,ALL,ALL,ALL,0TO99
2098,523,2010,29451.04,ALL,ALL,ALL,0TO99
2102,527,2010,28061.88,ALL,ALL,ALL,0TO99
2101,532,2010,64483.23,ALL,ALL,ALL,0TO99
2096,529,2010,54845.44,ALL,ALL,ALL,0TO99
2097,522,2010,25296.32,ALL,ALL,ALL,0TO99
2098,531,2010,79525.94,ALL,ALL,ALL,0TO99
2094,527,2010,53701.17,ALL,ALL,ALL,0TO99
2103,529,2010,71372.84,ALL,ALL,ALL,0TO99
2096,524,2010,37838.07,ALL,ALL,ALL,0TO99
2095,518,2010,1022.77,ALL,ALL,ALL,0TO99
2100,527,2010,51052.60,ALL,ALL,ALL,0TO99
2101,519,2010,24201.64,ALL,ALL,ALL,0TO99
2100,529,2010,58223.27,ALL,ALL,ALL,0TO99
2096,522,2010,32075.96,ALL,ALL,ALL,0TO99
2104,522,2010,12519.36,ALL,ALL,ALL,0TO99
2105,526,2010,17635.08,ALL,ALL,ALL,0TO99
2102,534,2010,51439.33,ALL,ALL,ALL,0TO99
2104,525,2010,27205.85,ALL,ALL,ALL,0TO99
2094,523,2010,24609.66,ALL,ALL,ALL,0TO99
2094,522,2010,19592.63,ALL,ALL,ALL,0TO99
2100,525,2010,56679.06,ALL,ALL,ALL,0TO99
2102,533,2010,56175.15,ALL,ALL,ALL,0TO99
2095,531,2010,39318.37,ALL,ALL,ALL,0TO99
2102,526,2010,25301.64,ALL,ALL,ALL,0TO99
2096,527,2010,46173.27,ALL,ALL,ALL,0TO99
2098,519,2010,41118.28,ALL,ALL,ALL,0TO99
2091,532,2010,46841.85,ALL,ALL,ALL,0TO99
2102,530,2010,58388.59,ALL,ALL,ALL,0TO99
2096,525,2010,37026.66,ALL,ALL,ALL,0TO99
2108,528,2010,26559.79,ALL,ALL,ALL,0TO99
2098,515,2010,17937.32,ALL,ALL,ALL,0TO99
2096,516,2010,3447.80,ALL,ALL,ALL,0TO99
2103,524,2010,18868.71,ALL,ALL,ALL,0TO99
2101,523,2010,38529.95,ALL,ALL,ALL,0TO99
2097,525,2010,36888.02,ALL,ALL,ALL,0TO99
2097,530,2010,83715.81,ALL,ALL,ALL,0TO99
2100,517,2010,29413.32,ALL,ALL,ALL,0TO99
2102,519,2010,24475.15,ALL,ALL,ALL,0TO99
2093,532,2010,29285.47,ALL,ALL,ALL,0TO99
2101,528,2010,46221.22,ALL,ALL,ALL,0TO99
2105,534,2010,26795.67,ALL,ALL,ALL,0TO99
2099,523,2010,33174.04,ALL,ALL,ALL,0TO99
2106,525,2010,20517.03,ALL,ALL,ALL,0TO99
2104,534,2010,43578.47,ALL,ALL,ALL,0TO99
2100,518,2010,48192.49,ALL,ALL,ALL,0TO99
2100,520,2010,23074.65,ALL,ALL,ALL,0TO99
2098,520,2010,23781.39,ALL,ALL,ALL,0TO99
2097,524,2010,23738.33,ALL,ALL,ALL,0TO99
2097,529,2010,59760.96,ALL,ALL,ALL,0TO99
2098,524,2010,42754.11,ALL,ALL,ALL,0TO99
2101,527,2010,40084.86,ALL,ALL,ALL,0TO99
2101,517,2010,21301.48,ALL,ALL,ALL,0TO99
2094,529,2010,54607.18,ALL,ALL,ALL,0TO99
2097,531,2010,69566.10,ALL,ALL,ALL,0TO99
2094,524,2010,42530.34,ALL,ALL,ALL,0TO99
2106,530,2010,10046.14,ALL,ALL,ALL,0TO99
2099,529,2010,37413.47,ALL,ALL,ALL,0TO99
2101,520,2010,22899.86,ALL,ALL,ALL,0TO99
2102,520,2010,15715.98,ALL,ALL,ALL,0TO99
2100,521,2010,27944.41,ALL,ALL,ALL,0TO99
2093,525,2010,1.32,ALL,ALL,ALL,0TO99
2097,519,2010,20345.18,ALL,ALL,ALL,0TO99
2093,527,2010,28456.77,ALL,ALL,ALL,0TO99
2093,524,2010,17.25,ALL,ALL,ALL,0TO99
2095,521,2010,34120.81,ALL,ALL,ALL,0TO99
2103,526,2010,26505.13,ALL,ALL,ALL,0TO99
2101,534,2010,52119.71,ALL,ALL,ALL,0TO99
2099,520,2010,23571.14,ALL,ALL,ALL,0TO99
2104,528,2010,23012.01,ALL,ALL,ALL,0TO99
2103,534,2010,36971.74,ALL,ALL,ALL,0TO99
2104,527,2010,16563.35,ALL,ALL,ALL,0TO99
2101,533,2010,55391.52,ALL,ALL,ALL,0TO99
2100,528,2010,47159.15,ALL,ALL,ALL,0TO99
2095,520,2010,24287.64,ALL,ALL,ALL,0TO99
