Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1838,1072,D24HourMean,QuarterlyMean,Mean,16.70
1854,1056,D24HourMean,QuarterlyMean,Mean,10.23
1855,1058,D24HourMean,QuarterlyMean,Mean,10.44
1842,1064,D24HourMean,QuarterlyMean,Mean,16.28
1839,1071,D24HourMean,QuarterlyMean,Mean,16.47
1841,1067,D24HourMean,QuarterlyMean,Mean,15.03
1846,1072,D24HourMean,QuarterlyMean,Mean,16.18
1846,1071,D24HourMean,QuarterlyMean,Mean,16.86
1834,1068,D24HourMean,QuarterlyMean,Mean,20.01
1844,1063,D24HourMean,QuarterlyMean,Mean,16.06
1840,1063,D24HourMean,QuarterlyMean,Mean,15.37
1831,1072,D24HourMean,QuarterlyMean,Mean,16.61
1860,1067,D24HourMean,QuarterlyMean,Mean,13.87
1858,1065,D24HourMean,QuarterlyMean,Mean,13.59
1858,1059,D24HourMean,QuarterlyMean,Mean,10.90
1853,1059,D24HourMean,QuarterlyMean,Mean,10.64
1856,1066,D24HourMean,QuarterlyMean,Mean,16.04
1858,1064,D24HourMean,QuarterlyMean,Mean,12.63
1834,1066,D24HourMean,QuarterlyMean,Mean,17.68
1847,1062,D24HourMean,QuarterlyMean,Mean,12.02
1843,1072,D24HourMean,QuarterlyMean,Mean,17.31
1856,1068,D24HourMean,QuarterlyMean,Mean,16.80
1856,1056,D24HourMean,QuarterlyMean,Mean,10.34
1834,1072,D24HourMean,QuarterlyMean,Mean,16.70
1862,1066,D24HourMean,QuarterlyMean,Mean,12.84
1847,1071,D24HourMean,QuarterlyMean,Mean,15.85
1835,1070,D24HourMean,QuarterlyMean,Mean,15.90
1859,1061,D24HourMean,QuarterlyMean,Mean,11.54
1857,1057,D24HourMean,QuarterlyMean,Mean,10.61
1852,1068,D24HourMean,QuarterlyMean,Mean,16.02
1846,1066,D24HourMean,QuarterlyMean,Mean,16.36
1845,1070,D24HourMean,QuarterlyMean,Mean,17.01
1855,1063,D24HourMean,QuarterlyMean,Mean,11.88
1845,1064,D24HourMean,QuarterlyMean,Mean,16.30
1833,1069,D24HourMean,QuarterlyMean,Mean,19.89
1851,1060,D24HourMean,QuarterlyMean,Mean,11.63
1850,1060,D24HourMean,QuarterlyMean,Mean,11.76
1839,1068,D24HourMean,QuarterlyMean,Mean,15.28
1857,1065,D24HourMean,QuarterlyMean,Mean,14.48
1837,1066,D24HourMean,QuarterlyMean,Mean,16.01
1853,1069,D24HourMean,QuarterlyMean,Mean,15.46
1851,1068,D24HourMean,QuarterlyMean,Mean,16.02
1846,1073,D24HourMean,QuarterlyMean,Mean,15.20
1851,1064,D24HourMean,QuarterlyMean,Mean,13.30
1847,1060,D24HourMean,QuarterlyMean,Mean,10.84
1830,1071,D24HourMean,QuarterlyMean,Mean,16.71
1839,1063,D24HourMean,QuarterlyMean,Mean,15.35
1832,1070,D24HourMean,QuarterlyMean,Mean,16.39
1862,1062,D24HourMean,QuarterlyMean,Mean,11.29
1857,1066,D24HourMean,QuarterlyMean,Mean,15.83
1856,1055,D24HourMean,QuarterlyMean,Mean,10.31
1843,1060,D24HourMean,QuarterlyMean,Mean,12.15
1839,1066,D24HourMean,QuarterlyMean,Mean,14.76
1844,1068,D24HourMean,QuarterlyMean,Mean,17.43
1858,1071,D24HourMean,QuarterlyMean,Mean,15.33
1849,1070,D24HourMean,QuarterlyMean,Mean,15.94
1846,1064,D24HourMean,QuarterlyMean,Mean,15.40
1827,1068,D24HourMean,QuarterlyMean,Mean,16.52
1847,1066,D24HourMean,QuarterlyMean,Mean,15.96
1846,1067,D24HourMean,QuarterlyMean,Mean,16.55
1855,1060,D24HourMean,QuarterlyMean,Mean,11.29
1838,1063,D24HourMean,QuarterlyMean,Mean,15.76
1835,1065,D24HourMean,QuarterlyMean,Mean,16.68
1831,1070,D24HourMean,QuarterlyMean,Mean,16.21
1854,1059,D24HourMean,QuarterlyMean,Mean,10.71
1835,1067,D24HourMean,QuarterlyMean,Mean,17.12
1851,1058,D24HourMean,QuarterlyMean,Mean,10.58
1859,1062,D24HourMean,QuarterlyMean,Mean,11.83
1841,1065,D24HourMean,QuarterlyMean,Mean,15.98
1834,1070,D24HourMean,QuarterlyMean,Mean,16.75
1853,1057,D24HourMean,QuarterlyMean,Mean,10.22
1840,1067,D24HourMean,QuarterlyMean,Mean,14.81
