Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1838,1072,2010,13740.53,ALL,ALL,ALL,0TO99
1854,1056,2010,2527.86,ALL,ALL,ALL,0TO99
1855,1058,2010,4147.25,ALL,ALL,ALL,0TO99
1842,1064,2010,62791.33,ALL,ALL,ALL,0TO99
1839,1071,2010,42163.20,ALL,ALL,ALL,0TO99
1841,1067,2010,18166.79,ALL,ALL,ALL,0TO99
1846,1072,2010,57065.86,ALL,ALL,ALL,0TO99
1846,1071,2010,49904.07,ALL,ALL,ALL,0TO99
1834,1068,2010,50831.10,ALL,ALL,ALL,0TO99
1844,1063,2010,36098.18,ALL,ALL,ALL,0TO99
1840,1063,2010,23221.15,ALL,ALL,ALL,0TO99
1831,1072,2010,16723.76,ALL,ALL,ALL,0TO99
1860,1067,2010,20702.41,ALL,ALL,ALL,0TO99
1858,1065,2010,20926.46,ALL,ALL,ALL,0TO99
1858,1059,2010,4985.71,ALL,ALL,ALL,0TO99
1853,1059,2010,2940.01,ALL,ALL,ALL,0TO99
1856,1066,2010,142725.92,ALL,ALL,ALL,0TO99
1858,1064,2010,8206.77,ALL,ALL,ALL,0TO99
1834,1066,2010,19844.60,ALL,ALL,ALL,0TO99
1847,1062,2010,6452.70,ALL,ALL,ALL,0TO99
1843,1072,2010,30311.46,ALL,ALL,ALL,0TO99
1856,1068,2010,27977.00,ALL,ALL,ALL,0TO99
1856,1056,2010,5732.05,ALL,ALL,ALL,0TO99
1834,1072,2010,14008.24,ALL,ALL,ALL,0TO99
1862,1066,2010,35748.84,ALL,ALL,ALL,0TO99
1847,1071,2010,36555.63,ALL,ALL,ALL,0TO99
1835,1070,2010,19242.71,ALL,ALL,ALL,0TO99
1859,1061,2010,2398.13,ALL,ALL,ALL,0TO99
1857,1057,2010,5343.82,ALL,ALL,ALL,0TO99
1852,1068,2010,19071.42,ALL,ALL,ALL,0TO99
1846,1066,2010,43486.93,ALL,ALL,ALL,0TO99
1845,1070,2010,75608.66,ALL,ALL,ALL,0TO99
1855,1063,2010,5186.59,ALL,ALL,ALL,0TO99
1845,1064,2010,113244.32,ALL,ALL,ALL,0TO99
1833,1069,2010,36589.45,ALL,ALL,ALL,0TO99
1851,1060,2010,3091.03,ALL,ALL,ALL,0TO99
1850,1060,2010,3084.28,ALL,ALL,ALL,0TO99
1839,1068,2010,27459.21,ALL,ALL,ALL,0TO99
1857,1065,2010,38876.09,ALL,ALL,ALL,0TO99
1837,1066,2010,10979.47,ALL,ALL,ALL,0TO99
1853,1069,2010,40440.47,ALL,ALL,ALL,0TO99
1851,1068,2010,14112.01,ALL,ALL,ALL,0TO99
1846,1073,2010,33472.51,ALL,ALL,ALL,0TO99
1851,1064,2010,13874.57,ALL,ALL,ALL,0TO99
1847,1060,2010,4074.68,ALL,ALL,ALL,0TO99
1830,1071,2010,33102.64,ALL,ALL,ALL,0TO99
1839,1063,2010,30503.69,ALL,ALL,ALL,0TO99
1832,1070,2010,24387.59,ALL,ALL,ALL,0TO99
1862,1062,2010,4014.26,ALL,ALL,ALL,0TO99
1857,1066,2010,110559.40,ALL,ALL,ALL,0TO99
1856,1055,2010,7539.26,ALL,ALL,ALL,0TO99
1843,1060,2010,3926.46,ALL,ALL,ALL,0TO99
1839,1066,2010,14828.83,ALL,ALL,ALL,0TO99
1844,1068,2010,519397.91,ALL,ALL,ALL,0TO99
1858,1071,2010,23704.55,ALL,ALL,ALL,0TO99
1849,1070,2010,30380.24,ALL,ALL,ALL,0TO99
1846,1064,2010,49531.93,ALL,ALL,ALL,0TO99
1827,1068,2010,11506.42,ALL,ALL,ALL,0TO99
1847,1066,2010,27061.18,ALL,ALL,ALL,0TO99
1846,1067,2010,53616.12,ALL,ALL,ALL,0TO99
1855,1060,2010,2727.00,ALL,ALL,ALL,0TO99
1838,1063,2010,16413.62,ALL,ALL,ALL,0TO99
1835,1065,2010,17337.50,ALL,ALL,ALL,0TO99
1831,1070,2010,23250.96,ALL,ALL,ALL,0TO99
1854,1059,2010,3899.54,ALL,ALL,ALL,0TO99
1835,1067,2010,16697.43,ALL,ALL,ALL,0TO99
1851,1058,2010,2806.49,ALL,ALL,ALL,0TO99
1859,1062,2010,3231.54,ALL,ALL,ALL,0TO99
1841,1065,2010,17854.30,ALL,ALL,ALL,0TO99
1834,1070,2010,16986.56,ALL,ALL,ALL,0TO99
1853,1057,2010,2839.80,ALL,ALL,ALL,0TO99
1840,1067,2010,21506.55,ALL,ALL,ALL,0TO99
1843,1069,2010,42557.17,ALL,ALL,ALL,0TO99
1828,1070,2010,10770.07,ALL,ALL,ALL,0TO99
1831,1069,2010,24398.26,ALL,ALL,ALL,0TO99
1827,1070,2010,14356.35,ALL,ALL,ALL,0TO99
1830,1067,2010,22278.22,ALL,ALL,ALL,0TO99
1852,1061,2010,5352.12,ALL,ALL,ALL,0TO99
1862,1065,2010,11541.17,ALL,ALL,ALL,0TO99
1836,1071,2010,24581.46,ALL,ALL,ALL,0TO99
1839,1065,2010,11929.49,ALL,ALL,ALL,0TO99
1834,1067,2010,35309.79,ALL,ALL,ALL,0TO99
1846,1060,2010,4372.39,ALL,ALL,ALL,0TO99
1837,1069,2010,32508.99,ALL,ALL,ALL,0TO99
1852,1071,2010,21543.64,ALL,ALL,ALL,0TO99
1845,1062,2010,9712.87,ALL,ALL,ALL,0TO99
