Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1829,666,D24HourMean,QuarterlyMean,Mean,22.66
1827,644,D24HourMean,QuarterlyMean,Mean,19.93
1817,637,D24HourMean,QuarterlyMean,Mean,19.30
1816,657,D24HourMean,QuarterlyMean,Mean,20.58
1819,651,D24HourMean,QuarterlyMean,Mean,19.89
1833,671,D24HourMean,QuarterlyMean,Mean,22.80
1826,645,D24HourMean,QuarterlyMean,Mean,21.84
1827,635,D24HourMean,QuarterlyMean,Mean,19.50
1823,633,D24HourMean,QuarterlyMean,Mean,19.13
1824,668,D24HourMean,QuarterlyMean,Mean,23.38
1824,669,D24HourMean,QuarterlyMean,Mean,23.23
1827,676,D24HourMean,QuarterlyMean,Mean,25.09
1819,640,D24HourMean,QuarterlyMean,Mean,19.32
1826,660,D24HourMean,QuarterlyMean,Mean,21.80
1820,659,D24HourMean,QuarterlyMean,Mean,22.05
1821,649,D24HourMean,QuarterlyMean,Mean,22.40
1820,651,D24HourMean,QuarterlyMean,Mean,22.12
1819,664,D24HourMean,QuarterlyMean,Mean,20.37
1824,653,D24HourMean,QuarterlyMean,Mean,22.00
1828,680,D24HourMean,QuarterlyMean,Mean,23.90
1818,639,D24HourMean,QuarterlyMean,Mean,10.66
1822,628,D24HourMean,QuarterlyMean,Mean,19.17
1817,638,D24HourMean,QuarterlyMean,Mean,20.47
1832,672,D24HourMean,QuarterlyMean,Mean,25.66
1827,669,D24HourMean,QuarterlyMean,Mean,23.25
1831,658,D24HourMean,QuarterlyMean,Mean,21.48
1829,667,D24HourMean,QuarterlyMean,Mean,22.42
1828,653,D24HourMean,QuarterlyMean,Mean,19.63
1829,663,D24HourMean,QuarterlyMean,Mean,22.28
1836,660,D24HourMean,QuarterlyMean,Mean,21.80
1824,658,D24HourMean,QuarterlyMean,Mean,22.12
1826,641,D24HourMean,QuarterlyMean,Mean,21.01
1817,657,D24HourMean,QuarterlyMean,Mean,20.55
1819,630,D24HourMean,QuarterlyMean,Mean,17.05
1821,635,D24HourMean,QuarterlyMean,Mean,18.27
1833,668,D24HourMean,QuarterlyMean,Mean,23.34
1818,669,D24HourMean,QuarterlyMean,Mean,23.74
1835,661,D24HourMean,QuarterlyMean,Mean,22.60
1816,655,D24HourMean,QuarterlyMean,Mean,19.32
1823,638,D24HourMean,QuarterlyMean,Mean,18.69
1825,650,D24HourMean,QuarterlyMean,Mean,25.56
1826,648,D24HourMean,QuarterlyMean,Mean,22.02
1823,668,D24HourMean,QuarterlyMean,Mean,22.95
1822,624,D24HourMean,QuarterlyMean,Mean,17.19
1823,628,D24HourMean,QuarterlyMean,Mean,19.22
1826,639,D24HourMean,QuarterlyMean,Mean,19.66
1817,650,D24HourMean,QuarterlyMean,Mean,20.88
1824,670,D24HourMean,QuarterlyMean,Mean,24.60
1829,653,D24HourMean,QuarterlyMean,Mean,19.58
1816,670,D24HourMean,QuarterlyMean,Mean,21.33
1817,636,D24HourMean,QuarterlyMean,Mean,20.77
