Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1799,678,D24HourMean,QuarterlyMean,Mean,24.36
1779,683,D24HourMean,QuarterlyMean,Mean,22.36
1776,698,D24HourMean,QuarterlyMean,Mean,26.13
1770,691,D24HourMean,QuarterlyMean,Mean,24.88
1769,692,D24HourMean,QuarterlyMean,Mean,24.44
1787,703,D24HourMean,QuarterlyMean,Mean,27.34
1789,698,D24HourMean,QuarterlyMean,Mean,26.32
1772,686,D24HourMean,QuarterlyMean,Mean,22.55
1822,676,D24HourMean,QuarterlyMean,Mean,23.41
1758,674,D24HourMean,QuarterlyMean,Mean,21.91
1779,691,D24HourMean,QuarterlyMean,Mean,25.06
1754,674,D24HourMean,QuarterlyMean,Mean,20.93
1770,687,D24HourMean,QuarterlyMean,Mean,23.57
1784,687,D24HourMean,QuarterlyMean,Mean,22.61
1808,695,D24HourMean,QuarterlyMean,Mean,25.97
1821,681,D24HourMean,QuarterlyMean,Mean,23.03
1790,676,D24HourMean,QuarterlyMean,Mean,23.53
1775,673,D24HourMean,QuarterlyMean,Mean,21.86
1797,698,D24HourMean,QuarterlyMean,Mean,27.22
1797,681,D24HourMean,QuarterlyMean,Mean,24.65
1774,688,D24HourMean,QuarterlyMean,Mean,22.24
1788,676,D24HourMean,QuarterlyMean,Mean,23.58
1793,679,D24HourMean,QuarterlyMean,Mean,23.74
1765,683,D24HourMean,QuarterlyMean,Mean,23.11
1807,678,D24HourMean,QuarterlyMean,Mean,24.27
1802,694,D24HourMean,QuarterlyMean,Mean,25.42
1762,678,D24HourMean,QuarterlyMean,Mean,23.26
1773,690,D24HourMean,QuarterlyMean,Mean,25.04
1783,682,D24HourMean,QuarterlyMean,Mean,23.28
1783,675,D24HourMean,QuarterlyMean,Mean,21.62
1791,702,D24HourMean,QuarterlyMean,Mean,27.77
1767,666,D24HourMean,QuarterlyMean,Mean,21.20
1807,684,D24HourMean,QuarterlyMean,Mean,25.39
1810,694,D24HourMean,QuarterlyMean,Mean,26.30
1771,664,D24HourMean,QuarterlyMean,Mean,22.34
1808,687,D24HourMean,QuarterlyMean,Mean,25.10
1806,685,D24HourMean,QuarterlyMean,Mean,24.41
1749,675,D24HourMean,QuarterlyMean,Mean,23.53
1752,679,D24HourMean,QuarterlyMean,Mean,23.06
1757,681,D24HourMean,QuarterlyMean,Mean,27.70
1755,675,D24HourMean,QuarterlyMean,Mean,21.89
1785,702,D24HourMean,QuarterlyMean,Mean,26.32
1778,687,D24HourMean,QuarterlyMean,Mean,23.58
1786,678,D24HourMean,QuarterlyMean,Mean,23.85
1788,705,D24HourMean,QuarterlyMean,Mean,26.30
1804,672,D24HourMean,QuarterlyMean,Mean,22.16
1801,684,D24HourMean,QuarterlyMean,Mean,25.25
1774,694,D24HourMean,QuarterlyMean,Mean,25.26
1805,676,D24HourMean,QuarterlyMean,Mean,24.44
1780,682,D24HourMean,QuarterlyMean,Mean,22.58
1817,680,D24HourMean,QuarterlyMean,Mean,23.71
1809,672,D24HourMean,QuarterlyMean,Mean,22.93
1813,673,D24HourMean,QuarterlyMean,Mean,21.30
1766,677,D24HourMean,QuarterlyMean,Mean,23.04
1764,682,D24HourMean,QuarterlyMean,Mean,23.66
1760,666,D24HourMean,QuarterlyMean,Mean,21.35
1805,696,D24HourMean,QuarterlyMean,Mean,27.18
1794,691,D24HourMean,QuarterlyMean,Mean,25.23
1786,674,D24HourMean,QuarterlyMean,Mean,21.01
1767,687,D24HourMean,QuarterlyMean,Mean,24.04
1797,682,D24HourMean,QuarterlyMean,Mean,24.80
1769,679,D24HourMean,QuarterlyMean,Mean,22.90
1782,671,D24HourMean,QuarterlyMean,Mean,21.57
1787,690,D24HourMean,QuarterlyMean,Mean,25.82
1770,671,D24HourMean,QuarterlyMean,Mean,21.62
1794,706,D24HourMean,QuarterlyMean,Mean,28.61
1768,680,D24HourMean,QuarterlyMean,Mean,23.04
1797,692,D24HourMean,QuarterlyMean,Mean,26.19
1803,690,D24HourMean,QuarterlyMean,Mean,26.27
1757,660,D24HourMean,QuarterlyMean,Mean,19.80
1760,683,D24HourMean,QuarterlyMean,Mean,28.22
1812,688,D24HourMean,QuarterlyMean,Mean,24.25
1779,701,D24HourMean,QuarterlyMean,Mean,24.92
1786,672,D24HourMean,QuarterlyMean,Mean,21.62
1767,682,D24HourMean,QuarterlyMean,Mean,23.22
1771,663,D24HourMean,QuarterlyMean,Mean,21.89
1782,689,D24HourMean,QuarterlyMean,Mean,22.29
1788,703,D24HourMean,QuarterlyMean,Mean,26.82
1793,678,D24HourMean,QuarterlyMean,Mean,23.74
1799,708,D24HourMean,QuarterlyMean,Mean,30.39
1782,679,D24HourMean,QuarterlyMean,Mean,22.16
1809,689,D24HourMean,QuarterlyMean,Mean,26.21
1759,688,D24HourMean,QuarterlyMean,Mean,22.90
1759,692,D24HourMean,QuarterlyMean,Mean,25.58
1808,683,D24HourMean,QuarterlyMean,Mean,25.20
1771,662,D24HourMean,QuarterlyMean,Mean,21.89
1788,707,D24HourMean,QuarterlyMean,Mean,27.34
1796,680,D24HourMean,QuarterlyMean,Mean,25.03
1797,709,D24HourMean,QuarterlyMean,Mean,28.55
1819,683,D24HourMean,QuarterlyMean,Mean,23.42
1784,683,D24HourMean,QuarterlyMean,Mean,22.76
1774,674,D24HourMean,QuarterlyMean,Mean,21.72
1811,673,D24HourMean,QuarterlyMean,Mean,21.88
1758,672,D24HourMean,QuarterlyMean,Mean,20.96
1791,680,D24HourMean,QuarterlyMean,Mean,23.50
1815,678,D24HourMean,QuarterlyMean,Mean,23.87
1770,663,D24HourMean,QuarterlyMean,Mean,22.72
1800,684,D24HourMean,QuarterlyMean,Mean,25.29
1753,678,D24HourMean,QuarterlyMean,Mean,23.96
1777,691,D24HourMean,QuarterlyMean,Mean,23.34
1793,689,D24HourMean,QuarterlyMean,Mean,24.85
1820,674,D24HourMean,QuarterlyMean,Mean,23.09
1801,701,D24HourMean,QuarterlyMean,Mean,28.16
1813,684,D24HourMean,QuarterlyMean,Mean,24.00
1774,679,D24HourMean,QuarterlyMean,Mean,23.84
1759,687,D24HourMean,QuarterlyMean,Mean,29.28
1778,695,D24HourMean,QuarterlyMean,Mean,24.27
1789,699,D24HourMean,QuarterlyMean,Mean,27.23
1777,683,D24HourMean,QuarterlyMean,Mean,23.03
1780,686,D24HourMean,QuarterlyMean,Mean,24.09
1759,676,D24HourMean,QuarterlyMean,Mean,22.00
1770,684,D24HourMean,QuarterlyMean,Mean,23.39
1790,705,D24HourMean,QuarterlyMean,Mean,28.11
1778,698,D24HourMean,QuarterlyMean,Mean,24.95
1757,682,D24HourMean,QuarterlyMean,Mean,22.34
1763,674,D24HourMean,QuarterlyMean,Mean,20.61
1798,685,D24HourMean,QuarterlyMean,Mean,25.44
1809,681,D24HourMean,QuarterlyMean,Mean,24.91
1798,686,D24HourMean,QuarterlyMean,Mean,25.01
1781,680,D24HourMean,QuarterlyMean,Mean,21.67
1779,677,D24HourMean,QuarterlyMean,Mean,22.90
1786,675,D24HourMean,QuarterlyMean,Mean,21.16
1792,689,D24HourMean,QuarterlyMean,Mean,24.20
1795,693,D24HourMean,QuarterlyMean,Mean,25.36
1800,677,D24HourMean,QuarterlyMean,Mean,26.07
1789,703,D24HourMean,QuarterlyMean,Mean,27.58
1794,694,D24HourMean,QuarterlyMean,Mean,25.52
1785,672,D24HourMean,QuarterlyMean,Mean,21.80
1786,703,D24HourMean,QuarterlyMean,Mean,27.03
1755,672,D24HourMean,QuarterlyMean,Mean,20.27
1820,678,D24HourMean,QuarterlyMean,Mean,25.42
1784,693,D24HourMean,QuarterlyMean,Mean,25.80
1801,680,D24HourMean,QuarterlyMean,Mean,24.80
1779,686,D24HourMean,QuarterlyMean,Mean,23.82
1804,691,D24HourMean,QuarterlyMean,Mean,25.59
1790,700,D24HourMean,QuarterlyMean,Mean,27.48
1809,691,D24HourMean,QuarterlyMean,Mean,25.69
1789,700,D24HourMean,QuarterlyMean,Mean,26.62
1792,702,D24HourMean,QuarterlyMean,Mean,27.39
1775,688,D24HourMean,QuarterlyMean,Mean,21.44
1775,698,D24HourMean,QuarterlyMean,Mean,25.55
1794,683,D24HourMean,QuarterlyMean,Mean,25.23
1776,688,D24HourMean,QuarterlyMean,Mean,21.32
1801,674,D24HourMean,QuarterlyMean,Mean,23.76
1800,700,D24HourMean,QuarterlyMean,Mean,29.44
1775,680,D24HourMean,QuarterlyMean,Mean,22.12
1784,689,D24HourMean,QuarterlyMean,Mean,24.11
1778,672,D24HourMean,QuarterlyMean,Mean,21.59
1800,676,D24HourMean,QuarterlyMean,Mean,25.53
1751,663,D24HourMean,QuarterlyMean,Mean,25.58
1768,673,D24HourMean,QuarterlyMean,Mean,23.46
