Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1799,678,2010,11700.63,ALL,ALL,ALL,0TO99
1779,683,2010,14935.50,ALL,ALL,ALL,0TO99
1776,698,2010,10877.79,ALL,ALL,ALL,0TO99
1770,691,2010,6831.13,ALL,ALL,ALL,0TO99
1769,692,2010,6261.58,ALL,ALL,ALL,0TO99
1787,703,2010,2352.48,ALL,ALL,ALL,0TO99
1789,698,2010,7140.74,ALL,ALL,ALL,0TO99
1772,686,2010,10313.34,ALL,ALL,ALL,0TO99
1822,676,2010,1196.39,ALL,ALL,ALL,0TO99
1758,674,2010,7935.57,ALL,ALL,ALL,0TO99
1779,691,2010,15834.84,ALL,ALL,ALL,0TO99
1754,674,2010,4244.15,ALL,ALL,ALL,0TO99
1770,687,2010,8355.41,ALL,ALL,ALL,0TO99
1784,687,2010,12292.44,ALL,ALL,ALL,0TO99
1808,695,2010,2436.14,ALL,ALL,ALL,0TO99
1821,681,2010,1110.08,ALL,ALL,ALL,0TO99
1790,676,2010,14363.01,ALL,ALL,ALL,0TO99
1775,673,2010,4162.00,ALL,ALL,ALL,0TO99
1797,698,2010,5524.51,ALL,ALL,ALL,0TO99
1797,681,2010,22993.60,ALL,ALL,ALL,0TO99
1774,688,2010,8131.43,ALL,ALL,ALL,0TO99
1788,676,2010,7830.40,ALL,ALL,ALL,0TO99
1793,679,2010,10730.92,ALL,ALL,ALL,0TO99
1765,683,2010,7859.49,ALL,ALL,ALL,0TO99
1807,678,2010,4634.04,ALL,ALL,ALL,0TO99
1802,694,2010,2554.50,ALL,ALL,ALL,0TO99
1762,678,2010,5736.57,ALL,ALL,ALL,0TO99
1773,690,2010,6914.10,ALL,ALL,ALL,0TO99
1783,682,2010,24934.47,ALL,ALL,ALL,0TO99
1783,675,2010,2361.81,ALL,ALL,ALL,0TO99
1791,702,2010,5784.50,ALL,ALL,ALL,0TO99
1767,666,2010,3019.97,ALL,ALL,ALL,0TO99
1807,684,2010,2011.63,ALL,ALL,ALL,0TO99
1810,694,2010,3193.61,ALL,ALL,ALL,0TO99
1771,664,2010,8038.83,ALL,ALL,ALL,0TO99
1808,687,2010,2151.86,ALL,ALL,ALL,0TO99
1806,685,2010,2000.31,ALL,ALL,ALL,0TO99
1749,675,2010,2486.90,ALL,ALL,ALL,0TO99
1752,679,2010,4526.25,ALL,ALL,ALL,0TO99
1757,681,2010,4675.26,ALL,ALL,ALL,0TO99
1755,675,2010,8294.18,ALL,ALL,ALL,0TO99
1785,702,2010,4404.74,ALL,ALL,ALL,0TO99
1778,687,2010,16779.35,ALL,ALL,ALL,0TO99
1786,678,2010,13934.02,ALL,ALL,ALL,0TO99
1788,705,2010,1158.00,ALL,ALL,ALL,0TO99
1804,672,2010,3580.83,ALL,ALL,ALL,0TO99
1801,684,2010,4771.07,ALL,ALL,ALL,0TO99
1774,694,2010,8950.57,ALL,ALL,ALL,0TO99
1805,676,2010,4121.18,ALL,ALL,ALL,0TO99
1780,682,2010,16750.43,ALL,ALL,ALL,0TO99
1817,680,2010,2644.79,ALL,ALL,ALL,0TO99
1809,672,2010,616.00,ALL,ALL,ALL,0TO99
1813,673,2010,958.99,ALL,ALL,ALL,0TO99
1766,677,2010,5774.15,ALL,ALL,ALL,0TO99
1764,682,2010,5634.97,ALL,ALL,ALL,0TO99
1760,666,2010,1316.09,ALL,ALL,ALL,0TO99
1805,696,2010,3367.93,ALL,ALL,ALL,0TO99
1794,691,2010,8043.15,ALL,ALL,ALL,0TO99
1786,674,2010,1801.98,ALL,ALL,ALL,0TO99
1767,687,2010,5840.44,ALL,ALL,ALL,0TO99
1797,682,2010,20974.43,ALL,ALL,ALL,0TO99
1769,679,2010,5877.29,ALL,ALL,ALL,0TO99
1782,671,2010,1781.77,ALL,ALL,ALL,0TO99
1787,690,2010,18144.92,ALL,ALL,ALL,0TO99
1770,671,2010,8884.95,ALL,ALL,ALL,0TO99
1794,706,2010,850.21,ALL,ALL,ALL,0TO99
1768,680,2010,6137.76,ALL,ALL,ALL,0TO99
1797,692,2010,10235.37,ALL,ALL,ALL,0TO99
1803,690,2010,3681.43,ALL,ALL,ALL,0TO99
1757,660,2010,2103.43,ALL,ALL,ALL,0TO99
1760,683,2010,5792.58,ALL,ALL,ALL,0TO99
1812,688,2010,1289.58,ALL,ALL,ALL,0TO99
1779,701,2010,6517.70,ALL,ALL,ALL,0TO99
