Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2706,809,D24HourMean,QuarterlyMean,Mean,22.92
2711,795,D24HourMean,QuarterlyMean,Mean,24.60
2688,804,D24HourMean,QuarterlyMean,Mean,37.50
2719,790,D24HourMean,QuarterlyMean,Mean,16.29
2701,807,D24HourMean,QuarterlyMean,Mean,25.42
2706,804,D24HourMean,QuarterlyMean,Mean,26.57
2702,803,D24HourMean,QuarterlyMean,Mean,26.76
2700,780,D24HourMean,QuarterlyMean,Mean,21.14
2692,804,D24HourMean,QuarterlyMean,Mean,29.25
2706,806,D24HourMean,QuarterlyMean,Mean,26.01
2719,778,D24HourMean,QuarterlyMean,Mean,19.34
2721,783,D24HourMean,QuarterlyMean,Mean,18.64
2693,796,D24HourMean,QuarterlyMean,Mean,33.28
2699,783,D24HourMean,QuarterlyMean,Mean,22.84
2704,783,D24HourMean,QuarterlyMean,Mean,20.43
2705,792,D24HourMean,QuarterlyMean,Mean,23.52
2701,809,D24HourMean,QuarterlyMean,Mean,24.82
2706,783,D24HourMean,QuarterlyMean,Mean,21.30
2711,809,D24HourMean,QuarterlyMean,Mean,24.38
2722,796,D24HourMean,QuarterlyMean,Mean,16.05
2708,793,D24HourMean,QuarterlyMean,Mean,24.87
2695,806,D24HourMean,QuarterlyMean,Mean,29.24
2714,800,D24HourMean,QuarterlyMean,Mean,22.33
2722,794,D24HourMean,QuarterlyMean,Mean,15.75
2695,801,D24HourMean,QuarterlyMean,Mean,29.06
2712,794,D24HourMean,QuarterlyMean,Mean,22.64
2693,781,D24HourMean,QuarterlyMean,Mean,22.42
2714,789,D24HourMean,QuarterlyMean,Mean,24.52
2692,778,D24HourMean,QuarterlyMean,Mean,22.02
2709,793,D24HourMean,QuarterlyMean,Mean,23.88
2701,785,D24HourMean,QuarterlyMean,Mean,21.32
2721,782,D24HourMean,QuarterlyMean,Mean,19.26
2698,815,D24HourMean,QuarterlyMean,Mean,27.63
2693,790,D24HourMean,QuarterlyMean,Mean,29.63
2720,792,D24HourMean,QuarterlyMean,Mean,16.28
2726,775,D24HourMean,QuarterlyMean,Mean,13.61
2721,785,D24HourMean,QuarterlyMean,Mean,16.88
2724,778,D24HourMean,QuarterlyMean,Mean,14.29
2719,783,D24HourMean,QuarterlyMean,Mean,22.23
2691,820,D24HourMean,QuarterlyMean,Mean,30.90
2692,817,D24HourMean,QuarterlyMean,Mean,31.22
