Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2040,981,D24HourMean,QuarterlyMean,Mean,13.55
2064,983,D24HourMean,QuarterlyMean,Mean,14.99
2070,984,D24HourMean,QuarterlyMean,Mean,13.73
2082,996,D24HourMean,QuarterlyMean,Mean,12.83
2046,980,D24HourMean,QuarterlyMean,Mean,14.60
2050,989,D24HourMean,QuarterlyMean,Mean,14.53
2048,990,D24HourMean,QuarterlyMean,Mean,14.12
2061,982,D24HourMean,QuarterlyMean,Mean,15.35
2044,981,D24HourMean,QuarterlyMean,Mean,15.48
2037,986,D24HourMean,QuarterlyMean,Mean,14.25
2027,988,D24HourMean,QuarterlyMean,Mean,12.63
2027,999,D24HourMean,QuarterlyMean,Mean,15.05
2060,991,D24HourMean,QuarterlyMean,Mean,15.22
2052,981,D24HourMean,QuarterlyMean,Mean,16.45
2056,989,D24HourMean,QuarterlyMean,Mean,14.38
2042,987,D24HourMean,QuarterlyMean,Mean,12.54
2046,990,D24HourMean,QuarterlyMean,Mean,13.18
2053,975,D24HourMean,QuarterlyMean,Mean,13.34
2066,1000,D24HourMean,QuarterlyMean,Mean,16.72
2056,996,D24HourMean,QuarterlyMean,Mean,17.22
2042,989,D24HourMean,QuarterlyMean,Mean,11.97
2029,983,D24HourMean,QuarterlyMean,Mean,13.53
2038,986,D24HourMean,QuarterlyMean,Mean,13.83
2081,993,D24HourMean,QuarterlyMean,Mean,12.85
2045,979,D24HourMean,QuarterlyMean,Mean,12.85
2064,995,D24HourMean,QuarterlyMean,Mean,14.64
2079,989,D24HourMean,QuarterlyMean,Mean,12.90
2052,975,D24HourMean,QuarterlyMean,Mean,13.05
2073,991,D24HourMean,QuarterlyMean,Mean,13.49
2062,975,D24HourMean,QuarterlyMean,Mean,13.22
2041,982,D24HourMean,QuarterlyMean,Mean,14.18
2066,981,D24HourMean,QuarterlyMean,Mean,14.09
2070,989,D24HourMean,QuarterlyMean,Mean,13.28
2038,985,D24HourMean,QuarterlyMean,Mean,13.60
2034,982,D24HourMean,QuarterlyMean,Mean,13.41
2064,990,D24HourMean,QuarterlyMean,Mean,14.11
2065,991,D24HourMean,QuarterlyMean,Mean,14.54
2035,979,D24HourMean,QuarterlyMean,Mean,14.22
2047,978,D24HourMean,QuarterlyMean,Mean,11.85
2048,980,D24HourMean,QuarterlyMean,Mean,15.35
2052,977,D24HourMean,QuarterlyMean,Mean,14.17
2051,992,D24HourMean,QuarterlyMean,Mean,15.73
2073,981,D24HourMean,QuarterlyMean,Mean,11.69
2047,975,D24HourMean,QuarterlyMean,Mean,12.02
2059,991,D24HourMean,QuarterlyMean,Mean,15.70
2049,988,D24HourMean,QuarterlyMean,Mean,13.97
2032,993,D24HourMean,QuarterlyMean,Mean,13.06
2050,976,D24HourMean,QuarterlyMean,Mean,12.71
2031,993,D24HourMean,QuarterlyMean,Mean,12.65
2059,997,D24HourMean,QuarterlyMean,Mean,16.73
2058,983,D24HourMean,QuarterlyMean,Mean,15.88
2078,988,D24HourMean,QuarterlyMean,Mean,12.78
2069,989,D24HourMean,QuarterlyMean,Mean,13.31
2058,990,D24HourMean,QuarterlyMean,Mean,15.37
2062,980,D24HourMean,QuarterlyMean,Mean,14.11
2030,982,D24HourMean,QuarterlyMean,Mean,13.93
2036,974,D24HourMean,QuarterlyMean,Mean,15.28
2035,983,D24HourMean,QuarterlyMean,Mean,13.26
2048,988,D24HourMean,QuarterlyMean,Mean,13.46
2075,995,D24HourMean,QuarterlyMean,Mean,12.78
2058,995,D24HourMean,QuarterlyMean,Mean,15.86
2062,998,D24HourMean,QuarterlyMean,Mean,16.60
2040,993,D24HourMean,QuarterlyMean,Mean,13.75
2050,995,D24HourMean,QuarterlyMean,Mean,16.72
2030,984,D24HourMean,QuarterlyMean,Mean,13.65
2054,989,D24HourMean,QuarterlyMean,Mean,14.59
2029,980,D24HourMean,QuarterlyMean,Mean,13.94
2039,981,D24HourMean,QuarterlyMean,Mean,14.27
2032,979,D24HourMean,QuarterlyMean,Mean,14.32
2036,991,D24HourMean,QuarterlyMean,Mean,12.94
2028,984,D24HourMean,QuarterlyMean,Mean,12.90
2058,991,D24HourMean,QuarterlyMean,Mean,16.05
2034,985,D24HourMean,QuarterlyMean,Mean,13.39
2043,985,D24HourMean,QuarterlyMean,Mean,13.33
2049,987,D24HourMean,QuarterlyMean,Mean,14.10
2084,997,D24HourMean,QuarterlyMean,Mean,12.69
2034,987,D24HourMean,QuarterlyMean,Mean,14.91
2036,992,D24HourMean,QuarterlyMean,Mean,13.20
2054,973,D24HourMean,QuarterlyMean,Mean,12.48
2071,988,D24HourMean,QuarterlyMean,Mean,13.20
2028,987,D24HourMean,QuarterlyMean,Mean,13.01
2061,984,D24HourMean,QuarterlyMean,Mean,15.48
2037,979,D24HourMean,QuarterlyMean,Mean,13.78
2059,976,D24HourMean,QuarterlyMean,Mean,12.52
2029,979,D24HourMean,QuarterlyMean,Mean,13.62
