Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2040,981,2010,2742.85,ALL,ALL,ALL,0TO99
2064,983,2010,2185.33,ALL,ALL,ALL,0TO99
2070,984,2010,2300.92,ALL,ALL,ALL,0TO99
2082,996,2010,1761.34,ALL,ALL,ALL,0TO99
2046,980,2010,6857.71,ALL,ALL,ALL,0TO99
2050,989,2010,3027.51,ALL,ALL,ALL,0TO99
2048,990,2010,5049.51,ALL,ALL,ALL,0TO99
2061,982,2010,3883.18,ALL,ALL,ALL,0TO99
2044,981,2010,16194.06,ALL,ALL,ALL,0TO99
2037,986,2010,5356.98,ALL,ALL,ALL,0TO99
2027,988,2010,2575.47,ALL,ALL,ALL,0TO99
2027,999,2010,3298.56,ALL,ALL,ALL,0TO99
2060,991,2010,4304.72,ALL,ALL,ALL,0TO99
2052,981,2010,4262.48,ALL,ALL,ALL,0TO99
2056,989,2010,4151.78,ALL,ALL,ALL,0TO99
2042,987,2010,3659.35,ALL,ALL,ALL,0TO99
2046,990,2010,2114.32,ALL,ALL,ALL,0TO99
2053,975,2010,4223.02,ALL,ALL,ALL,0TO99
2066,1000,2010,4606.55,ALL,ALL,ALL,0TO99
2056,996,2010,3876.41,ALL,ALL,ALL,0TO99
2042,989,2010,2844.67,ALL,ALL,ALL,0TO99
2029,983,2010,5216.70,ALL,ALL,ALL,0TO99
2038,986,2010,3107.81,ALL,ALL,ALL,0TO99
2081,993,2010,7471.04,ALL,ALL,ALL,0TO99
2045,979,2010,5976.87,ALL,ALL,ALL,0TO99
2064,995,2010,5438.49,ALL,ALL,ALL,0TO99
2079,989,2010,2418.26,ALL,ALL,ALL,0TO99
2052,975,2010,3144.22,ALL,ALL,ALL,0TO99
2073,991,2010,5767.21,ALL,ALL,ALL,0TO99
2062,975,2010,1089.81,ALL,ALL,ALL,0TO99
2041,982,2010,5129.19,ALL,ALL,ALL,0TO99
2066,981,2010,2242.81,ALL,ALL,ALL,0TO99
2070,989,2010,1561.02,ALL,ALL,ALL,0TO99
2038,985,2010,2923.38,ALL,ALL,ALL,0TO99
2034,982,2010,4206.86,ALL,ALL,ALL,0TO99
2064,990,2010,3648.49,ALL,ALL,ALL,0TO99
2065,991,2010,5048.68,ALL,ALL,ALL,0TO99
2035,979,2010,4928.72,ALL,ALL,ALL,0TO99
2047,978,2010,2424.14,ALL,ALL,ALL,0TO99
2048,980,2010,44400.63,ALL,ALL,ALL,0TO99
2052,977,2010,3856.47,ALL,ALL,ALL,0TO99
2051,992,2010,2462.85,ALL,ALL,ALL,0TO99
2073,981,2010,1399.95,ALL,ALL,ALL,0TO99
2047,975,2010,4271.45,ALL,ALL,ALL,0TO99
2059,991,2010,9518.12,ALL,ALL,ALL,0TO99
2049,988,2010,2175.16,ALL,ALL,ALL,0TO99
2032,993,2010,3980.55,ALL,ALL,ALL,0TO99
2050,976,2010,2954.00,ALL,ALL,ALL,0TO99
2031,993,2010,1979.60,ALL,ALL,ALL,0TO99
2059,997,2010,4735.37,ALL,ALL,ALL,0TO99
2058,983,2010,9778.03,ALL,ALL,ALL,0TO99
2078,988,2010,3050.07,ALL,ALL,ALL,0TO99
2069,989,2010,1698.45,ALL,ALL,ALL,0TO99
2058,990,2010,7649.85,ALL,ALL,ALL,0TO99
2062,980,2010,2811.20,ALL,ALL,ALL,0TO99
2030,982,2010,2607.54,ALL,ALL,ALL,0TO99
2036,974,2010,3494.33,ALL,ALL,ALL,0TO99
2035,983,2010,3332.72,ALL,ALL,ALL,0TO99
2048,988,2010,3364.60,ALL,ALL,ALL,0TO99
2075,995,2010,2744.94,ALL,ALL,ALL,0TO99
2058,995,2010,2360.12,ALL,ALL,ALL,0TO99
2062,998,2010,31223.64,ALL,ALL,ALL,0TO99
2040,993,2010,4001.79,ALL,ALL,ALL,0TO99
2050,995,2010,2782.68,ALL,ALL,ALL,0TO99
2030,984,2010,3997.31,ALL,ALL,ALL,0TO99
2054,989,2010,8108.24,ALL,ALL,ALL,0TO99
2029,980,2010,2177.40,ALL,ALL,ALL,0TO99
2039,981,2010,2560.02,ALL,ALL,ALL,0TO99
2032,979,2010,5968.41,ALL,ALL,ALL,0TO99
2036,991,2010,7800.77,ALL,ALL,ALL,0TO99
2028,984,2010,3642.91,ALL,ALL,ALL,0TO99
2058,991,2010,11884.37,ALL,ALL,ALL,0TO99
2034,985,2010,68014.42,ALL,ALL,ALL,0TO99
2043,985,2010,4201.58,ALL,ALL,ALL,0TO99
2049,987,2010,3415.22,ALL,ALL,ALL,0TO99
2084,997,2010,2944.58,ALL,ALL,ALL,0TO99
2034,987,2010,74962.83,ALL,ALL,ALL,0TO99
2036,992,2010,9378.23,ALL,ALL,ALL,0TO99
2054,973,2010,3405.20,ALL,ALL,ALL,0TO99
2071,988,2010,2466.19,ALL,ALL,ALL,0TO99
2028,987,2010,1397.19,ALL,ALL,ALL,0TO99
2061,984,2010,4372.81,ALL,ALL,ALL,0TO99
2037,979,2010,2398.97,ALL,ALL,ALL,0TO99
2059,976,2010,873.76,ALL,ALL,ALL,0TO99
2029,979,2010,5160.31,ALL,ALL,ALL,0TO99
2057,973,2010,1760.60,ALL,ALL,ALL,0TO99
2067,996,2010,6423.79,ALL,ALL,ALL,0TO99
2077,986,2010,3699.08,ALL,ALL,ALL,0TO99
2040,997,2010,9205.76,ALL,ALL,ALL,0TO99
2074,993,2010,3119.39,ALL,ALL,ALL,0TO99
2070,990,2010,1909.27,ALL,ALL,ALL,0TO99
2055,993,2010,3677.25,ALL,ALL,ALL,0TO99
2067,1000,2010,9939.49,ALL,ALL,ALL,0TO99
2052,995,2010,3490.26,ALL,ALL,ALL,0TO99
2037,977,2010,3861.83,ALL,ALL,ALL,0TO99
2035,988,2010,36929.18,ALL,ALL,ALL,0TO99
2066,978,2010,4273.18,ALL,ALL,ALL,0TO99
2052,990,2010,2976.22,ALL,ALL,ALL,0TO99
2039,989,2010,5157.58,ALL,ALL,ALL,0TO99
2051,986,2010,3345.64,ALL,ALL,ALL,0TO99
2055,979,2010,7602.65,ALL,ALL,ALL,0TO99
2074,998,2010,1914.62,ALL,ALL,ALL,0TO99
2075,982,2010,2101.07,ALL,ALL,ALL,0TO99
2051,981,2010,8161.27,ALL,ALL,ALL,0TO99
2038,997,2010,6602.46,ALL,ALL,ALL,0TO99
2074,996,2010,2911.47,ALL,ALL,ALL,0TO99
2053,979,2010,4984.07,ALL,ALL,ALL,0TO99
2054,982,2010,3759.67,ALL,ALL,ALL,0TO99
2051,996,2010,3102.73,ALL,ALL,ALL,0TO99
2080,994,2010,6308.99,ALL,ALL,ALL,0TO99
2074,992,2010,3965.87,ALL,ALL,ALL,0TO99
2059,989,2010,3284.88,ALL,ALL,ALL,0TO99
2040,977,2010,3951.86,ALL,ALL,ALL,0TO99
2026,997,2010,1154.41,ALL,ALL,ALL,0TO99
2039,980,2010,4120.35,ALL,ALL,ALL,0TO99
2076,995,2010,5389.67,ALL,ALL,ALL,0TO99
2029,989,2010,2083.65,ALL,ALL,ALL,0TO99
2071,989,2010,1929.60,ALL,ALL,ALL,0TO99
2058,981,2010,2366.73,ALL,ALL,ALL,0TO99
2037,992,2010,8197.33,ALL,ALL,ALL,0TO99
2035,990,2010,2473.37,ALL,ALL,ALL,0TO99
2040,992,2010,3406.02,ALL,ALL,ALL,0TO99
2054,984,2010,5772.81,ALL,ALL,ALL,0TO99
2072,996,2010,3645.72,ALL,ALL,ALL,0TO99
2031,977,2010,1879.81,ALL,ALL,ALL,0TO99
2058,982,2010,3730.92,ALL,ALL,ALL,0TO99
2067,980,2010,2321.48,ALL,ALL,ALL,0TO99
2065,997,2010,3092.91,ALL,ALL,ALL,0TO99
2030,985,2010,5880.13,ALL,ALL,ALL,0TO99
2035,996,2010,2464.05,ALL,ALL,ALL,0TO99
2043,990,2010,2912.45,ALL,ALL,ALL,0TO99
2057,993,2010,3196.90,ALL,ALL,ALL,0TO99
2060,989,2010,1391.64,ALL,ALL,ALL,0TO99
2062,994,2010,3878.46,ALL,ALL,ALL,0TO99
2071,985,2010,2961.07,ALL,ALL,ALL,0TO99
2029,1000,2010,9322.86,ALL,ALL,ALL,0TO99
2052,979,2010,6049.81,ALL,ALL,ALL,0TO99
2042,975,2010,2295.74,ALL,ALL,ALL,0TO99
2032,982,2010,12776.35,ALL,ALL,ALL,0TO99
2051,980,2010,8319.40,ALL,ALL,ALL,0TO99
2055,982,2010,4358.04,ALL,ALL,ALL,0TO99
2063,989,2010,2657.20,ALL,ALL,ALL,0TO99
2054,981,2010,4333.53,ALL,ALL,ALL,0TO99
2035,981,2010,1458.38,ALL,ALL,ALL,0TO99
2074,987,2010,6009.47,ALL,ALL,ALL,0TO99
2049,989,2010,3000.24,ALL,ALL,ALL,0TO99
2078,991,2010,7391.54,ALL,ALL,ALL,0TO99
2067,982,2010,2303.43,ALL,ALL,ALL,0TO99
2053,974,2010,3682.13,ALL,ALL,ALL,0TO99
2033,988,2010,14922.14,ALL,ALL,ALL,0TO99
2043,983,2010,7317.47,ALL,ALL,ALL,0TO99
2039,984,2010,2741.98,ALL,ALL,ALL,0TO99
2037,993,2010,9302.13,ALL,ALL,ALL,0TO99
2054,974,2010,3528.16,ALL,ALL,ALL,0TO99
2082,994,2010,3194.47,ALL,ALL,ALL,0TO99
2065,983,2010,2325.43,ALL,ALL,ALL,0TO99
2031,978,2010,3184.56,ALL,ALL,ALL,0TO99
2046,977,2010,2522.27,ALL,ALL,ALL,0TO99
2027,995,2010,870.18,ALL,ALL,ALL,0TO99
2029,1001,2010,5170.46,ALL,ALL,ALL,0TO99
2031,974,2010,7215.08,ALL,ALL,ALL,0TO99
2079,999,2010,1709.06,ALL,ALL,ALL,0TO99
2053,992,2010,3990.91,ALL,ALL,ALL,0TO99
2036,988,2010,42597.64,ALL,ALL,ALL,0TO99
2044,976,2010,1913.44,ALL,ALL,ALL,0TO99
2058,992,2010,11202.92,ALL,ALL,ALL,0TO99
2076,997,2010,6162.73,ALL,ALL,ALL,0TO99
2064,979,2010,2649.95,ALL,ALL,ALL,0TO99
2066,991,2010,6288.91,ALL,ALL,ALL,0TO99
2070,980,2010,1007.42,ALL,ALL,ALL,0TO99
2025,999,2010,2192.65,ALL,ALL,ALL,0TO99
2027,985,2010,573.25,ALL,ALL,ALL,0TO99
2029,988,2010,1846.36,ALL,ALL,ALL,0TO99
2035,995,2010,3055.59,ALL,ALL,ALL,0TO99
2042,995,2010,4135.34,ALL,ALL,ALL,0TO99
2030,987,2010,3032.56,ALL,ALL,ALL,0TO99
2048,989,2010,3504.11,ALL,ALL,ALL,0TO99
2061,983,2010,4377.58,ALL,ALL,ALL,0TO99
2047,996,2010,2734.52,ALL,ALL,ALL,0TO99
2039,994,2010,3321.99,ALL,ALL,ALL,0TO99
2036,997,2010,2524.86,ALL,ALL,ALL,0TO99
2045,992,2010,6659.64,ALL,ALL,ALL,0TO99
2075,987,2010,10323.07,ALL,ALL,ALL,0TO99
2040,988,2010,3082.18,ALL,ALL,ALL,0TO99
2041,975,2010,4050.24,ALL,ALL,ALL,0TO99
2073,993,2010,4333.26,ALL,ALL,ALL,0TO99
2064,987,2010,8371.84,ALL,ALL,ALL,0TO99
2056,976,2010,8374.02,ALL,ALL,ALL,0TO99
2069,995,2010,2962.09,ALL,ALL,ALL,0TO99
2059,993,2010,3670.79,ALL,ALL,ALL,0TO99
2044,995,2010,3067.97,ALL,ALL,ALL,0TO99
2062,977,2010,2321.19,ALL,ALL,ALL,0TO99
2070,993,2010,11394.05,ALL,ALL,ALL,0TO99
2048,984,2010,2880.92,ALL,ALL,ALL,0TO99
2050,988,2010,2093.65,ALL,ALL,ALL,0TO99
2073,982,2010,1243.83,ALL,ALL,ALL,0TO99
2027,981,2010,4321.74,ALL,ALL,ALL,0TO99
2028,981,2010,1073.09,ALL,ALL,ALL,0TO99
2076,990,2010,3321.09,ALL,ALL,ALL,0TO99
2043,981,2010,16830.88,ALL,ALL,ALL,0TO99
2062,983,2010,4322.10,ALL,ALL,ALL,0TO99
2039,983,2010,3826.52,ALL,ALL,ALL,0TO99
2058,975,2010,1772.56,ALL,ALL,ALL,0TO99
2034,992,2010,2997.32,ALL,ALL,ALL,0TO99
2052,991,2010,2072.82,ALL,ALL,ALL,0TO99
2080,980,2010,1488.28,ALL,ALL,ALL,0TO99
2079,988,2010,2318.76,ALL,ALL,ALL,0TO99
2027,998,2010,1417.93,ALL,ALL,ALL,0TO99
2037,978,2010,2482.00,ALL,ALL,ALL,0TO99
2031,981,2010,2718.65,ALL,ALL,ALL,0TO99
2076,992,2010,6211.73,ALL,ALL,ALL,0TO99
2038,996,2010,4713.97,ALL,ALL,ALL,0TO99
2050,980,2010,7824.46,ALL,ALL,ALL,0TO99
2050,991,2010,4153.48,ALL,ALL,ALL,0TO99
2051,978,2010,8037.52,ALL,ALL,ALL,0TO99
2035,977,2010,2959.71,ALL,ALL,ALL,0TO99
2049,994,2010,11223.33,ALL,ALL,ALL,0TO99
2027,994,2010,2647.88,ALL,ALL,ALL,0TO99
2046,988,2010,3339.86,ALL,ALL,ALL,0TO99
2045,982,2010,13202.73,ALL,ALL,ALL,0TO99
2056,990,2010,6757.15,ALL,ALL,ALL,0TO99
2068,989,2010,1898.33,ALL,ALL,ALL,0TO99
2060,981,2010,3458.80,ALL,ALL,ALL,0TO99
2068,999,2010,2764.22,ALL,ALL,ALL,0TO99
2075,992,2010,4467.16,ALL,ALL,ALL,0TO99
2072,984,2010,1970.98,ALL,ALL,ALL,0TO99
2057,979,2010,10396.51,ALL,ALL,ALL,0TO99
2055,986,2010,8977.85,ALL,ALL,ALL,0TO99
2047,994,2010,12419.83,ALL,ALL,ALL,0TO99
2074,995,2010,2983.24,ALL,ALL,ALL,0TO99
2034,986,2010,75084.43,ALL,ALL,ALL,0TO99
2034,995,2010,3680.78,ALL,ALL,ALL,0TO99
2051,994,2010,4771.44,ALL,ALL,ALL,0TO99
2030,1000,2010,10895.49,ALL,ALL,ALL,0TO99
2044,991,2010,2234.40,ALL,ALL,ALL,0TO99
2078,994,2010,5413.28,ALL,ALL,ALL,0TO99
2060,982,2010,3641.57,ALL,ALL,ALL,0TO99
2045,983,2010,7549.42,ALL,ALL,ALL,0TO99
2040,974,2010,1707.46,ALL,ALL,ALL,0TO99
2055,991,2010,5847.82,ALL,ALL,ALL,0TO99
2063,998,2010,15579.25,ALL,ALL,ALL,0TO99
2064,993,2010,3357.79,ALL,ALL,ALL,0TO99
2062,995,2010,3140.42,ALL,ALL,ALL,0TO99
2050,990,2010,3544.41,ALL,ALL,ALL,0TO99
2064,994,2010,3971.54,ALL,ALL,ALL,0TO99
2047,980,2010,9599.96,ALL,ALL,ALL,0TO99
2030,996,2010,2254.96,ALL,ALL,ALL,0TO99
2072,986,2010,4400.17,ALL,ALL,ALL,0TO99
2065,984,2010,29323.43,ALL,ALL,ALL,0TO99
2074,1000,2010,9114.18,ALL,ALL,ALL,0TO99
2044,988,2010,2659.16,ALL,ALL,ALL,0TO99
2035,992,2010,6043.03,ALL,ALL,ALL,0TO99
2039,986,2010,3017.12,ALL,ALL,ALL,0TO99
2065,982,2010,2228.36,ALL,ALL,ALL,0TO99
2036,986,2010,45212.50,ALL,ALL,ALL,0TO99
2076,983,2010,6162.81,ALL,ALL,ALL,0TO99
2030,989,2010,1959.66,ALL,ALL,ALL,0TO99
2047,985,2010,3242.61,ALL,ALL,ALL,0TO99
2063,981,2010,1699.62,ALL,ALL,ALL,0TO99
2077,990,2010,3053.09,ALL,ALL,ALL,0TO99
2061,989,2010,1440.46,ALL,ALL,ALL,0TO99
2056,980,2010,9233.68,ALL,ALL,ALL,0TO99
2049,985,2010,4685.89,ALL,ALL,ALL,0TO99
2031,982,2010,7596.51,ALL,ALL,ALL,0TO99
2036,994,2010,3830.37,ALL,ALL,ALL,0TO99
2039,988,2010,5070.24,ALL,ALL,ALL,0TO99
2029,997,2010,1933.58,ALL,ALL,ALL,0TO99
2068,996,2010,5081.28,ALL,ALL,ALL,0TO99
2058,987,2010,2575.74,ALL,ALL,ALL,0TO99
2048,976,2010,3494.64,ALL,ALL,ALL,0TO99
2034,994,2010,5003.57,ALL,ALL,ALL,0TO99
2053,990,2010,2896.53,ALL,ALL,ALL,0TO99
2049,995,2010,7091.78,ALL,ALL,ALL,0TO99
2049,974,2010,5227.68,ALL,ALL,ALL,0TO99
2075,994,2010,2593.47,ALL,ALL,ALL,0TO99
2054,977,2010,3599.69,ALL,ALL,ALL,0TO99
2070,994,2010,3025.05,ALL,ALL,ALL,0TO99
2043,988,2010,2720.24,ALL,ALL,ALL,0TO99
2070,982,2010,937.60,ALL,ALL,ALL,0TO99
2036,984,2010,39786.55,ALL,ALL,ALL,0TO99
2079,995,2010,10770.46,ALL,ALL,ALL,0TO99
2049,980,2010,7406.04,ALL,ALL,ALL,0TO99
2061,994,2010,3558.59,ALL,ALL,ALL,0TO99
2054,993,2010,4283.50,ALL,ALL,ALL,0TO99
2047,981,2010,24271.06,ALL,ALL,ALL,0TO99
2066,980,2010,2234.87,ALL,ALL,ALL,0TO99
2075,989,2010,3521.98,ALL,ALL,ALL,0TO99
2031,995,2010,6401.24,ALL,ALL,ALL,0TO99
2050,979,2010,9087.34,ALL,ALL,ALL,0TO99
2066,994,2010,4418.96,ALL,ALL,ALL,0TO99
2079,998,2010,1607.63,ALL,ALL,ALL,0TO99
2059,982,2010,3354.30,ALL,ALL,ALL,0TO99
2069,981,2010,705.09,ALL,ALL,ALL,0TO99
2039,996,2010,3596.69,ALL,ALL,ALL,0TO99
2063,985,2010,8406.39,ALL,ALL,ALL,0TO99
2074,983,2010,3020.35,ALL,ALL,ALL,0TO99
2050,985,2010,5045.74,ALL,ALL,ALL,0TO99
2079,993,2010,6920.99,ALL,ALL,ALL,0TO99
2065,989,2010,2335.39,ALL,ALL,ALL,0TO99
2069,998,2010,3405.17,ALL,ALL,ALL,0TO99
2025,983,2010,7494.18,ALL,ALL,ALL,0TO99
2036,980,2010,2715.64,ALL,ALL,ALL,0TO99
2030,981,2010,2918.26,ALL,ALL,ALL,0TO99
2060,977,2010,1911.60,ALL,ALL,ALL,0TO99
2057,988,2010,6386.15,ALL,ALL,ALL,0TO99
2051,985,2010,2912.68,ALL,ALL,ALL,0TO99
2039,990,2010,3576.98,ALL,ALL,ALL,0TO99
2048,974,2010,4273.52,ALL,ALL,ALL,0TO99
2028,980,2010,2222.41,ALL,ALL,ALL,0TO99
2057,989,2010,7235.03,ALL,ALL,ALL,0TO99
2081,997,2010,1654.83,ALL,ALL,ALL,0TO99
2032,992,2010,3608.69,ALL,ALL,ALL,0TO99
2034,991,2010,2695.13,ALL,ALL,ALL,0TO99
2051,982,2010,7622.37,ALL,ALL,ALL,0TO99
2069,990,2010,2089.49,ALL,ALL,ALL,0TO99
2071,1001,2010,6635.08,ALL,ALL,ALL,0TO99
2056,991,2010,7638.30,ALL,ALL,ALL,0TO99
2084,996,2010,2260.43,ALL,ALL,ALL,0TO99
2051,974,2010,7398.87,ALL,ALL,ALL,0TO99
2039,987,2010,2300.04,ALL,ALL,ALL,0TO99
2034,990,2010,2446.79,ALL,ALL,ALL,0TO99
2033,985,2010,36381.73,ALL,ALL,ALL,0TO99
2072,982,2010,1234.11,ALL,ALL,ALL,0TO99
2077,993,2010,3535.53,ALL,ALL,ALL,0TO99
2032,995,2010,5712.39,ALL,ALL,ALL,0TO99
2071,993,2010,11843.91,ALL,ALL,ALL,0TO99
2062,988,2010,7262.90,ALL,ALL,ALL,0TO99
2032,985,2010,17334.37,ALL,ALL,ALL,0TO99
2074,994,2010,3853.25,ALL,ALL,ALL,0TO99
2045,989,2010,2086.14,ALL,ALL,ALL,0TO99
2060,983,2010,4678.00,ALL,ALL,ALL,0TO99
2065,994,2010,4786.45,ALL,ALL,ALL,0TO99
2074,988,2010,4153.35,ALL,ALL,ALL,0TO99
2035,974,2010,3557.02,ALL,ALL,ALL,0TO99
2085,996,2010,2137.95,ALL,ALL,ALL,0TO99
2036,982,2010,3335.67,ALL,ALL,ALL,0TO99
2041,981,2010,4571.76,ALL,ALL,ALL,0TO99
2044,993,2010,4053.39,ALL,ALL,ALL,0TO99
2035,986,2010,75084.43,ALL,ALL,ALL,0TO99
2061,988,2010,2372.09,ALL,ALL,ALL,0TO99
2066,990,2010,4345.64,ALL,ALL,ALL,0TO99
2072,983,2010,1232.14,ALL,ALL,ALL,0TO99
2031,989,2010,2012.15,ALL,ALL,ALL,0TO99
2056,986,2010,5307.74,ALL,ALL,ALL,0TO99
2027,984,2010,3539.58,ALL,ALL,ALL,0TO99
2044,984,2010,2728.02,ALL,ALL,ALL,0TO99
2058,980,2010,6755.95,ALL,ALL,ALL,0TO99
2042,990,2010,2821.07,ALL,ALL,ALL,0TO99
2060,990,2010,1543.41,ALL,ALL,ALL,0TO99
2046,981,2010,14663.36,ALL,ALL,ALL,0TO99
2046,982,2010,4029.72,ALL,ALL,ALL,0TO99
2034,984,2010,9204.39,ALL,ALL,ALL,0TO99
2044,978,2010,1751.68,ALL,ALL,ALL,0TO99
2044,986,2010,2663.07,ALL,ALL,ALL,0TO99
2045,984,2010,2489.19,ALL,ALL,ALL,0TO99
2028,986,2010,1506.55,ALL,ALL,ALL,0TO99
2067,995,2010,6609.63,ALL,ALL,ALL,0TO99
2053,973,2010,3391.88,ALL,ALL,ALL,0TO99
2041,989,2010,2703.47,ALL,ALL,ALL,0TO99
2075,988,2010,4257.96,ALL,ALL,ALL,0TO99
2033,994,2010,6739.20,ALL,ALL,ALL,0TO99
2066,989,2010,2189.34,ALL,ALL,ALL,0TO99
2029,993,2010,2213.31,ALL,ALL,ALL,0TO99
2068,985,2010,2008.68,ALL,ALL,ALL,0TO99
2042,994,2010,4848.87,ALL,ALL,ALL,0TO99
2026,981,2010,5203.65,ALL,ALL,ALL,0TO99
2077,997,2010,6432.32,ALL,ALL,ALL,0TO99
2061,975,2010,839.40,ALL,ALL,ALL,0TO99
2042,981,2010,10247.45,ALL,ALL,ALL,0TO99
2055,985,2010,8999.63,ALL,ALL,ALL,0TO99
2056,973,2010,2965.18,ALL,ALL,ALL,0TO99
2045,981,2010,18458.89,ALL,ALL,ALL,0TO99
2061,978,2010,2935.54,ALL,ALL,ALL,0TO99
2071,990,2010,1583.17,ALL,ALL,ALL,0TO99
2079,994,2010,6760.00,ALL,ALL,ALL,0TO99
2069,988,2010,1613.85,ALL,ALL,ALL,0TO99
2073,999,2010,3718.23,ALL,ALL,ALL,0TO99
2076,987,2010,5878.78,ALL,ALL,ALL,0TO99
2053,981,2010,3475.22,ALL,ALL,ALL,0TO99
2078,980,2010,1303.56,ALL,ALL,ALL,0TO99
2031,997,2010,4570.49,ALL,ALL,ALL,0TO99
2072,992,2010,8067.96,ALL,ALL,ALL,0TO99
2042,982,2010,8193.51,ALL,ALL,ALL,0TO99
2067,983,2010,2195.95,ALL,ALL,ALL,0TO99
2053,980,2010,5111.49,ALL,ALL,ALL,0TO99
2076,988,2010,5183.90,ALL,ALL,ALL,0TO99
2054,978,2010,2906.53,ALL,ALL,ALL,0TO99
2054,975,2010,6195.47,ALL,ALL,ALL,0TO99
2066,982,2010,2250.52,ALL,ALL,ALL,0TO99
2038,991,2010,3641.01,ALL,ALL,ALL,0TO99
2031,994,2010,2193.11,ALL,ALL,ALL,0TO99
2042,978,2010,1099.36,ALL,ALL,ALL,0TO99
2065,985,2010,12507.44,ALL,ALL,ALL,0TO99
2069,992,2010,5625.09,ALL,ALL,ALL,0TO99
2033,976,2010,2336.20,ALL,ALL,ALL,0TO99
2057,991,2010,10714.62,ALL,ALL,ALL,0TO99
2032,986,2010,34727.80,ALL,ALL,ALL,0TO99
2051,984,2010,1774.21,ALL,ALL,ALL,0TO99
2049,975,2010,4502.74,ALL,ALL,ALL,0TO99
2045,993,2010,4465.80,ALL,ALL,ALL,0TO99
2055,992,2010,4457.98,ALL,ALL,ALL,0TO99
2061,993,2010,3382.80,ALL,ALL,ALL,0TO99
2036,976,2010,5676.73,ALL,ALL,ALL,0TO99
