Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1030,824,D24HourMean,QuarterlyMean,Mean,11.08
1046,802,D24HourMean,QuarterlyMean,Mean,12.24
1019,810,D24HourMean,QuarterlyMean,Mean,10.95
1070,771,D24HourMean,QuarterlyMean,Mean,13.07
1028,819,D24HourMean,QuarterlyMean,Mean,10.89
1017,826,D24HourMean,QuarterlyMean,Mean,11.10
1021,808,D24HourMean,QuarterlyMean,Mean,11.27
1066,770,D24HourMean,QuarterlyMean,Mean,12.61
1026,810,D24HourMean,QuarterlyMean,Mean,11.34
1030,823,D24HourMean,QuarterlyMean,Mean,11.22
1059,787,D24HourMean,QuarterlyMean,Mean,12.33
1038,807,D24HourMean,QuarterlyMean,Mean,12.50
1043,806,D24HourMean,QuarterlyMean,Mean,12.08
1065,771,D24HourMean,QuarterlyMean,Mean,11.88
1044,806,D24HourMean,QuarterlyMean,Mean,12.14
1069,770,D24HourMean,QuarterlyMean,Mean,13.70
1061,784,D24HourMean,QuarterlyMean,Mean,12.13
1029,823,D24HourMean,QuarterlyMean,Mean,11.18
1062,785,D24HourMean,QuarterlyMean,Mean,11.71
1064,770,D24HourMean,QuarterlyMean,Mean,12.21
1025,798,D24HourMean,QuarterlyMean,Mean,12.71
1025,799,D24HourMean,QuarterlyMean,Mean,12.24
1056,800,D24HourMean,QuarterlyMean,Mean,12.87
1021,806,D24HourMean,QuarterlyMean,Mean,11.37
1058,787,D24HourMean,QuarterlyMean,Mean,12.75
1068,769,D24HourMean,QuarterlyMean,Mean,13.13
1022,801,D24HourMean,QuarterlyMean,Mean,12.93
1019,806,D24HourMean,QuarterlyMean,Mean,12.01
1023,801,D24HourMean,QuarterlyMean,Mean,12.43
1052,789,D24HourMean,QuarterlyMean,Mean,13.13
1017,806,D24HourMean,QuarterlyMean,Mean,11.50
1039,809,D24HourMean,QuarterlyMean,Mean,12.23
1023,798,D24HourMean,QuarterlyMean,Mean,12.23
1015,826,D24HourMean,QuarterlyMean,Mean,11.54
1027,810,D24HourMean,QuarterlyMean,Mean,11.50
1023,800,D24HourMean,QuarterlyMean,Mean,12.75
1023,803,D24HourMean,QuarterlyMean,Mean,12.30
1019,809,D24HourMean,QuarterlyMean,Mean,11.71
1072,783,D24HourMean,QuarterlyMean,Mean,10.53
1023,797,D24HourMean,QuarterlyMean,Mean,12.26
