Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1030,824,2010,643.55,ALL,ALL,ALL,0TO99
1046,802,2010,82.87,ALL,ALL,ALL,0TO99
1019,810,2010,92.92,ALL,ALL,ALL,0TO99
1070,771,2010,41.20,ALL,ALL,ALL,0TO99
1028,819,2010,929.66,ALL,ALL,ALL,0TO99
1017,826,2010,2913.39,ALL,ALL,ALL,0TO99
1021,808,2010,132.58,ALL,ALL,ALL,0TO99
1066,770,2010,35.08,ALL,ALL,ALL,0TO99
1026,810,2010,79731.08,ALL,ALL,ALL,0TO99
1030,823,2010,936.42,ALL,ALL,ALL,0TO99
1059,787,2010,47.37,ALL,ALL,ALL,0TO99
1038,807,2010,1040.44,ALL,ALL,ALL,0TO99
1043,806,2010,77.26,ALL,ALL,ALL,0TO99
1065,771,2010,36.60,ALL,ALL,ALL,0TO99
1044,806,2010,187.97,ALL,ALL,ALL,0TO99
1069,770,2010,57.35,ALL,ALL,ALL,0TO99
1061,784,2010,37.45,ALL,ALL,ALL,0TO99
1029,823,2010,1271.76,ALL,ALL,ALL,0TO99
1062,785,2010,24.24,ALL,ALL,ALL,0TO99
1064,770,2010,39.24,ALL,ALL,ALL,0TO99
1025,798,2010,108.61,ALL,ALL,ALL,0TO99
1025,799,2010,120.50,ALL,ALL,ALL,0TO99
1056,800,2010,746.19,ALL,ALL,ALL,0TO99
1021,806,2010,143.31,ALL,ALL,ALL,0TO99
1058,787,2010,82.51,ALL,ALL,ALL,0TO99
1068,769,2010,28.14,ALL,ALL,ALL,0TO99
1022,801,2010,112.77,ALL,ALL,ALL,0TO99
1019,806,2010,143.31,ALL,ALL,ALL,0TO99
1023,801,2010,141.90,ALL,ALL,ALL,0TO99
1052,789,2010,249.34,ALL,ALL,ALL,0TO99
1017,806,2010,116.04,ALL,ALL,ALL,0TO99
1039,809,2010,971.23,ALL,ALL,ALL,0TO99
1023,798,2010,83.89,ALL,ALL,ALL,0TO99
1015,826,2010,3645.75,ALL,ALL,ALL,0TO99
1027,810,2010,86412.30,ALL,ALL,ALL,0TO99
1023,800,2010,111.31,ALL,ALL,ALL,0TO99
1023,803,2010,61.07,ALL,ALL,ALL,0TO99
1019,809,2010,109.79,ALL,ALL,ALL,0TO99
1072,783,2010,36.99,ALL,ALL,ALL,0TO99
1023,797,2010,50.55,ALL,ALL,ALL,0TO99
1025,800,2010,86.78,ALL,ALL,ALL,0TO99
1022,806,2010,143.31,ALL,ALL,ALL,0TO99
1046,801,2010,245.49,ALL,ALL,ALL,0TO99
1036,813,2010,356.74,ALL,ALL,ALL,0TO99
1020,810,2010,142.84,ALL,ALL,ALL,0TO99
1024,799,2010,144.09,ALL,ALL,ALL,0TO99
1068,770,2010,69.93,ALL,ALL,ALL,0TO99
1069,771,2010,54.61,ALL,ALL,ALL,0TO99
1034,814,2010,970.38,ALL,ALL,ALL,0TO99
1038,808,2010,219.31,ALL,ALL,ALL,0TO99
1022,800,2010,83.56,ALL,ALL,ALL,0TO99
1029,824,2010,1156.75,ALL,ALL,ALL,0TO99
1021,809,2010,87.67,ALL,ALL,ALL,0TO99
1024,797,2010,88.82,ALL,ALL,ALL,0TO99
1047,802,2010,186.69,ALL,ALL,ALL,0TO99
1028,820,2010,1143.75,ALL,ALL,ALL,0TO99
1020,804,2010,142.04,ALL,ALL,ALL,0TO99
1067,770,2010,52.14,ALL,ALL,ALL,0TO99
1062,786,2010,28.71,ALL,ALL,ALL,0TO99
1067,769,2010,37.04,ALL,ALL,ALL,0TO99
1065,769,2010,24.45,ALL,ALL,ALL,0TO99
1064,769,2010,39.88,ALL,ALL,ALL,0TO99
1021,801,2010,47.67,ALL,ALL,ALL,0TO99
1020,808,2010,143.07,ALL,ALL,ALL,0TO99
1018,826,2010,2895.95,ALL,ALL,ALL,0TO99
1013,825,2010,2362.85,ALL,ALL,ALL,0TO99
1039,811,2010,776.03,ALL,ALL,ALL,0TO99
1024,802,2010,75.38,ALL,ALL,ALL,0TO99
1070,783,2010,37.79,ALL,ALL,ALL,0TO99
