Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1981,1010,D24HourMean,QuarterlyMean,Mean,13.55
1970,1006,D24HourMean,QuarterlyMean,Mean,10.51
1973,997,D24HourMean,QuarterlyMean,Mean,11.10
1989,998,D24HourMean,QuarterlyMean,Mean,10.17
1995,1000,D24HourMean,QuarterlyMean,Mean,10.09
1961,1010,D24HourMean,QuarterlyMean,Mean,9.80
1966,1010,D24HourMean,QuarterlyMean,Mean,12.07
1966,1000,D24HourMean,QuarterlyMean,Mean,9.75
1960,1010,D24HourMean,QuarterlyMean,Mean,10.29
1968,1010,D24HourMean,QuarterlyMean,Mean,13.02
1980,1001,D24HourMean,QuarterlyMean,Mean,10.05
1975,1006,D24HourMean,QuarterlyMean,Mean,10.65
1980,999,D24HourMean,QuarterlyMean,Mean,9.44
1987,1010,D24HourMean,QuarterlyMean,Mean,15.46
1979,999,D24HourMean,QuarterlyMean,Mean,9.06
1972,1008,D24HourMean,QuarterlyMean,Mean,12.46
1973,1004,D24HourMean,QuarterlyMean,Mean,10.19
1991,993,D24HourMean,QuarterlyMean,Mean,10.97
1968,1006,D24HourMean,QuarterlyMean,Mean,10.43
1985,994,D24HourMean,QuarterlyMean,Mean,9.73
1984,1001,D24HourMean,QuarterlyMean,Mean,10.42
1984,1003,D24HourMean,QuarterlyMean,Mean,10.26
1968,1003,D24HourMean,QuarterlyMean,Mean,9.12
1983,1007,D24HourMean,QuarterlyMean,Mean,12.22
1964,1010,D24HourMean,QuarterlyMean,Mean,10.88
1967,1009,D24HourMean,QuarterlyMean,Mean,12.13
1971,997,D24HourMean,QuarterlyMean,Mean,11.23
1987,1007,D24HourMean,QuarterlyMean,Mean,12.85
1966,1006,D24HourMean,QuarterlyMean,Mean,9.58
1990,1003,D24HourMean,QuarterlyMean,Mean,10.05
1977,991,D24HourMean,QuarterlyMean,Mean,9.81
1974,1005,D24HourMean,QuarterlyMean,Mean,9.99
1972,1001,D24HourMean,QuarterlyMean,Mean,9.12
1968,999,D24HourMean,QuarterlyMean,Mean,9.75
1993,997,D24HourMean,QuarterlyMean,Mean,10.78
1984,1010,D24HourMean,QuarterlyMean,Mean,14.45
1984,988,D24HourMean,QuarterlyMean,Mean,9.77
1983,999,D24HourMean,QuarterlyMean,Mean,10.33
1960,1011,D24HourMean,QuarterlyMean,Mean,10.67
1984,999,D24HourMean,QuarterlyMean,Mean,10.19
1973,999,D24HourMean,QuarterlyMean,Mean,9.20
1974,996,D24HourMean,QuarterlyMean,Mean,11.04
1992,998,D24HourMean,QuarterlyMean,Mean,10.82
1992,1007,D24HourMean,QuarterlyMean,Mean,14.59
1982,995,D24HourMean,QuarterlyMean,Mean,8.92
1974,1001,D24HourMean,QuarterlyMean,Mean,8.85
1992,999,D24HourMean,QuarterlyMean,Mean,10.57
1982,991,D24HourMean,QuarterlyMean,Mean,8.57
1994,1008,D24HourMean,QuarterlyMean,Mean,15.30
1988,1007,D24HourMean,QuarterlyMean,Mean,12.50
1978,994,D24HourMean,QuarterlyMean,Mean,9.31
1978,998,D24HourMean,QuarterlyMean,Mean,8.56
1980,1009,D24HourMean,QuarterlyMean,Mean,12.84
1981,991,D24HourMean,QuarterlyMean,Mean,8.86
1970,999,D24HourMean,QuarterlyMean,Mean,10.06
1978,992,D24HourMean,QuarterlyMean,Mean,9.51
1991,995,D24HourMean,QuarterlyMean,Mean,10.04
1977,1010,D24HourMean,QuarterlyMean,Mean,12.99
1964,1005,D24HourMean,QuarterlyMean,Mean,8.46
1969,1007,D24HourMean,QuarterlyMean,Mean,11.41
1967,1002,D24HourMean,QuarterlyMean,Mean,9.34
1978,1005,D24HourMean,QuarterlyMean,Mean,10.38
1986,1004,D24HourMean,QuarterlyMean,Mean,11.89
1977,1006,D24HourMean,QuarterlyMean,Mean,10.67
1989,1002,D24HourMean,QuarterlyMean,Mean,9.41
1978,995,D24HourMean,QuarterlyMean,Mean,9.68
1974,1003,D24HourMean,QuarterlyMean,Mean,9.90
1976,994,D24HourMean,QuarterlyMean,Mean,9.51
1984,1005,D24HourMean,QuarterlyMean,Mean,11.57
1983,992,D24HourMean,QuarterlyMean,Mean,8.74
1971,1008,D24HourMean,QuarterlyMean,Mean,12.36
1986,986,D24HourMean,QuarterlyMean,Mean,11.27
1975,998,D24HourMean,QuarterlyMean,Mean,9.36
1987,995,D24HourMean,QuarterlyMean,Mean,9.68
1987,1002,D24HourMean,QuarterlyMean,Mean,10.09
1980,990,D24HourMean,QuarterlyMean,Mean,9.00
1969,998,D24HourMean,QuarterlyMean,Mean,10.17
1974,1006,D24HourMean,QuarterlyMean,Mean,10.61
1993,1001,D24HourMean,QuarterlyMean,Mean,9.56
1988,993,D24HourMean,QuarterlyMean,Mean,9.13
1976,996,D24HourMean,QuarterlyMean,Mean,10.15
1976,999,D24HourMean,QuarterlyMean,Mean,8.42
1979,1008,D24HourMean,QuarterlyMean,Mean,12.42
1976,1006,D24HourMean,QuarterlyMean,Mean,10.63
1986,996,D24HourMean,QuarterlyMean,Mean,8.98
1987,1003,D24HourMean,QuarterlyMean,Mean,11.20
1983,1002,D24HourMean,QuarterlyMean,Mean,9.81
1968,1002,D24HourMean,QuarterlyMean,Mean,9.56
1983,1000,D24HourMean,QuarterlyMean,Mean,10.61
1992,1008,D24HourMean,QuarterlyMean,Mean,14.67
1978,996,D24HourMean,QuarterlyMean,Mean,9.50
1979,998,D24HourMean,QuarterlyMean,Mean,8.78
1978,989,D24HourMean,QuarterlyMean,Mean,10.68
1985,1005,D24HourMean,QuarterlyMean,Mean,12.21
1987,1009,D24HourMean,QuarterlyMean,Mean,14.83
1969,1010,D24HourMean,QuarterlyMean,Mean,13.37
1970,997,D24HourMean,QuarterlyMean,Mean,10.63
1971,999,D24HourMean,QuarterlyMean,Mean,10.18
1990,998,D24HourMean,QuarterlyMean,Mean,10.27
1968,1007,D24HourMean,QuarterlyMean,Mean,11.22
1978,991,D24HourMean,QuarterlyMean,Mean,9.63
1983,998,D24HourMean,QuarterlyMean,Mean,9.35
1972,1010,D24HourMean,QuarterlyMean,Mean,13.60
1967,1007,D24HourMean,QuarterlyMean,Mean,10.82
1975,993,D24HourMean,QuarterlyMean,Mean,9.47
1990,994,D24HourMean,QuarterlyMean,Mean,10.16
1977,997,D24HourMean,QuarterlyMean,Mean,9.03
1959,1008,D24HourMean,QuarterlyMean,Mean,9.82
1984,991,D24HourMean,QuarterlyMean,Mean,9.57
1972,1005,D24HourMean,QuarterlyMean,Mean,10.22
1977,993,D24HourMean,QuarterlyMean,Mean,9.18
1980,991,D24HourMean,QuarterlyMean,Mean,8.96
1977,989,D24HourMean,QuarterlyMean,Mean,11.07
1983,995,D24HourMean,QuarterlyMean,Mean,8.90
1966,1003,D24HourMean,QuarterlyMean,Mean,8.79
1984,1002,D24HourMean,QuarterlyMean,Mean,9.79
1984,987,D24HourMean,QuarterlyMean,Mean,10.36
1980,994,D24HourMean,QuarterlyMean,Mean,8.84
1969,1003,D24HourMean,QuarterlyMean,Mean,8.98
1982,1009,D24HourMean,QuarterlyMean,Mean,12.99
1985,1009,D24HourMean,QuarterlyMean,Mean,14.81
1963,1002,D24HourMean,QuarterlyMean,Mean,8.42
1965,1007,D24HourMean,QuarterlyMean,Mean,9.94
1972,998,D24HourMean,QuarterlyMean,Mean,10.64
1962,1004,D24HourMean,QuarterlyMean,Mean,8.14
1989,999,D24HourMean,QuarterlyMean,Mean,10.35
1991,1002,D24HourMean,QuarterlyMean,Mean,9.79
1980,992,D24HourMean,QuarterlyMean,Mean,9.26
1990,997,D24HourMean,QuarterlyMean,Mean,10.32
1979,1009,D24HourMean,QuarterlyMean,Mean,12.80
1977,1002,D24HourMean,QuarterlyMean,Mean,9.73
1981,989,D24HourMean,QuarterlyMean,Mean,9.27
1961,1009,D24HourMean,QuarterlyMean,Mean,10.31
1982,993,D24HourMean,QuarterlyMean,Mean,8.70
1992,995,D24HourMean,QuarterlyMean,Mean,10.39
1975,995,D24HourMean,QuarterlyMean,Mean,9.70
1983,1010,D24HourMean,QuarterlyMean,Mean,14.00
1967,1004,D24HourMean,QuarterlyMean,Mean,8.99
