Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1981,1010,2010,6662.39,ALL,ALL,ALL,0TO99
1970,1006,2010,6245.34,ALL,ALL,ALL,0TO99
1973,997,2010,8374.62,ALL,ALL,ALL,0TO99
1989,998,2010,6330.74,ALL,ALL,ALL,0TO99
1995,1000,2010,6333.23,ALL,ALL,ALL,0TO99
1961,1010,2010,8059.68,ALL,ALL,ALL,0TO99
1966,1010,2010,6201.82,ALL,ALL,ALL,0TO99
1966,1000,2010,8216.85,ALL,ALL,ALL,0TO99
1960,1010,2010,8190.29,ALL,ALL,ALL,0TO99
1968,1010,2010,6201.82,ALL,ALL,ALL,0TO99
1980,1001,2010,8318.55,ALL,ALL,ALL,0TO99
1975,1006,2010,6245.34,ALL,ALL,ALL,0TO99
1980,999,2010,8346.88,ALL,ALL,ALL,0TO99
1987,1010,2010,9735.87,ALL,ALL,ALL,0TO99
1979,999,2010,8346.88,ALL,ALL,ALL,0TO99
1972,1008,2010,6223.61,ALL,ALL,ALL,0TO99
1973,1004,2010,7058.15,ALL,ALL,ALL,0TO99
1991,993,2010,5656.81,ALL,ALL,ALL,0TO99
1968,1006,2010,8178.70,ALL,ALL,ALL,0TO99
1985,994,2010,6373.33,ALL,ALL,ALL,0TO99
1984,1001,2010,8318.55,ALL,ALL,ALL,0TO99
1984,1003,2010,8290.12,ALL,ALL,ALL,0TO99
1968,1003,2010,6411.84,ALL,ALL,ALL,0TO99
1983,1007,2010,7715.82,ALL,ALL,ALL,0TO99
1964,1010,2010,2187.31,ALL,ALL,ALL,0TO99
1967,1009,2010,6213.09,ALL,ALL,ALL,0TO99
1971,997,2010,8374.62,ALL,ALL,ALL,0TO99
1987,1007,2010,8233.43,ALL,ALL,ALL,0TO99
1966,1006,2010,8247.77,ALL,ALL,ALL,0TO99
1990,1003,2010,6338.09,ALL,ALL,ALL,0TO99
1977,991,2010,8664.61,ALL,ALL,ALL,0TO99
1974,1005,2010,6255.80,ALL,ALL,ALL,0TO99
1972,1001,2010,6298.93,ALL,ALL,ALL,0TO99
