Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2057,1085,D24HourMean,QuarterlyMean,Mean,8.96
2043,1088,D24HourMean,QuarterlyMean,Mean,9.03
2053,1093,D24HourMean,QuarterlyMean,Mean,8.04
2085,1091,D24HourMean,QuarterlyMean,Mean,8.59
2078,1118,D24HourMean,QuarterlyMean,Mean,6.88
2082,1112,D24HourMean,QuarterlyMean,Mean,7.14
2099,1075,D24HourMean,QuarterlyMean,Mean,8.59
2078,1106,D24HourMean,QuarterlyMean,Mean,8.10
2080,1111,D24HourMean,QuarterlyMean,Mean,7.07
2040,1077,D24HourMean,QuarterlyMean,Mean,9.85
2076,1111,D24HourMean,QuarterlyMean,Mean,7.01
2102,1090,D24HourMean,QuarterlyMean,Mean,8.16
2065,1107,D24HourMean,QuarterlyMean,Mean,8.64
2055,1081,D24HourMean,QuarterlyMean,Mean,9.02
2104,1074,D24HourMean,QuarterlyMean,Mean,8.99
2068,1102,D24HourMean,QuarterlyMean,Mean,8.51
2102,1093,D24HourMean,QuarterlyMean,Mean,8.45
2082,1077,D24HourMean,QuarterlyMean,Mean,8.81
2066,1095,D24HourMean,QuarterlyMean,Mean,8.06
2102,1081,D24HourMean,QuarterlyMean,Mean,8.37
2070,1105,D24HourMean,QuarterlyMean,Mean,8.92
2116,1096,D24HourMean,QuarterlyMean,Mean,8.46
2066,1113,D24HourMean,QuarterlyMean,Mean,7.48
2073,1105,D24HourMean,QuarterlyMean,Mean,8.26
2069,1098,D24HourMean,QuarterlyMean,Mean,7.94
2052,1099,D24HourMean,QuarterlyMean,Mean,8.20
2083,1104,D24HourMean,QuarterlyMean,Mean,8.42
2064,1086,D24HourMean,QuarterlyMean,Mean,8.68
2104,1102,D24HourMean,QuarterlyMean,Mean,8.34
2060,1103,D24HourMean,QuarterlyMean,Mean,8.35
2061,1083,D24HourMean,QuarterlyMean,Mean,8.79
2110,1099,D24HourMean,QuarterlyMean,Mean,8.11
2104,1106,D24HourMean,QuarterlyMean,Mean,8.16
2076,1099,D24HourMean,QuarterlyMean,Mean,9.74
2062,1090,D24HourMean,QuarterlyMean,Mean,7.84
2108,1106,D24HourMean,QuarterlyMean,Mean,7.74
2046,1083,D24HourMean,QuarterlyMean,Mean,10.01
2111,1100,D24HourMean,QuarterlyMean,Mean,8.14
2100,1094,D24HourMean,QuarterlyMean,Mean,8.55
2112,1106,D24HourMean,QuarterlyMean,Mean,7.70
2037,1084,D24HourMean,QuarterlyMean,Mean,10.19
2055,1082,D24HourMean,QuarterlyMean,Mean,9.36
2074,1092,D24HourMean,QuarterlyMean,Mean,7.66
2069,1086,D24HourMean,QuarterlyMean,Mean,8.74
2067,1116,D24HourMean,QuarterlyMean,Mean,7.23
2053,1088,D24HourMean,QuarterlyMean,Mean,9.02
2098,1082,D24HourMean,QuarterlyMean,Mean,8.37
2065,1080,D24HourMean,QuarterlyMean,Mean,8.57
2066,1096,D24HourMean,QuarterlyMean,Mean,8.29
2089,1096,D24HourMean,QuarterlyMean,Mean,8.15
2052,1101,D24HourMean,QuarterlyMean,Mean,8.08
2105,1094,D24HourMean,QuarterlyMean,Mean,8.16
2065,1098,D24HourMean,QuarterlyMean,Mean,7.59
2086,1091,D24HourMean,QuarterlyMean,Mean,8.52
2056,1084,D24HourMean,QuarterlyMean,Mean,8.89
2104,1082,D24HourMean,QuarterlyMean,Mean,8.37
2054,1081,D24HourMean,QuarterlyMean,Mean,9.09
2095,1097,D24HourMean,QuarterlyMean,Mean,8.18
2073,1101,D24HourMean,QuarterlyMean,Mean,8.52
2112,1101,D24HourMean,QuarterlyMean,Mean,8.00
2103,1075,D24HourMean,QuarterlyMean,Mean,8.97
2099,1090,D24HourMean,QuarterlyMean,Mean,8.07
2064,1091,D24HourMean,QuarterlyMean,Mean,8.37
2103,1107,D24HourMean,QuarterlyMean,Mean,8.08
2068,1095,D24HourMean,QuarterlyMean,Mean,8.05
2089,1084,D24HourMean,QuarterlyMean,Mean,8.66
2072,1098,D24HourMean,QuarterlyMean,Mean,8.33
2086,1115,D24HourMean,QuarterlyMean,Mean,7.33
2075,1102,D24HourMean,QuarterlyMean,Mean,8.27
2089,1078,D24HourMean,QuarterlyMean,Mean,9.02
2096,1108,D24HourMean,QuarterlyMean,Mean,7.52
2119,1093,D24HourMean,QuarterlyMean,Mean,8.16
2095,1103,D24HourMean,QuarterlyMean,Mean,8.17
2087,1097,D24HourMean,QuarterlyMean,Mean,8.44
2048,1094,D24HourMean,QuarterlyMean,Mean,8.48
2108,1081,D24HourMean,QuarterlyMean,Mean,8.95
2082,1118,D24HourMean,QuarterlyMean,Mean,6.88
2095,1107,D24HourMean,QuarterlyMean,Mean,7.50
2051,1095,D24HourMean,QuarterlyMean,Mean,8.32
2057,1103,D24HourMean,QuarterlyMean,Mean,7.92
2051,1086,D24HourMean,QuarterlyMean,Mean,9.29
2066,1088,D24HourMean,QuarterlyMean,Mean,8.55
2098,1112,D24HourMean,QuarterlyMean,Mean,7.39
2049,1090,D24HourMean,QuarterlyMean,Mean,8.26
2065,1096,D24HourMean,QuarterlyMean,Mean,8.18
2103,1111,D24HourMean,QuarterlyMean,Mean,7.93
2072,1105,D24HourMean,QuarterlyMean,Mean,8.24
2087,1108,D24HourMean,QuarterlyMean,Mean,8.13
2091,1094,D24HourMean,QuarterlyMean,Mean,8.03
2039,1098,D24HourMean,QuarterlyMean,Mean,9.13
2075,1106,D24HourMean,QuarterlyMean,Mean,8.06
2108,1088,D24HourMean,QuarterlyMean,Mean,8.79
2103,1104,D24HourMean,QuarterlyMean,Mean,8.32
2093,1116,D24HourMean,QuarterlyMean,Mean,7.05
2040,1097,D24HourMean,QuarterlyMean,Mean,8.87
2036,1081,D24HourMean,QuarterlyMean,Mean,10.33
2094,1114,D24HourMean,QuarterlyMean,Mean,7.48
2103,1095,D24HourMean,QuarterlyMean,Mean,8.37
2066,1086,D24HourMean,QuarterlyMean,Mean,9.08
2070,1108,D24HourMean,QuarterlyMean,Mean,8.26
2047,1082,D24HourMean,QuarterlyMean,Mean,9.70
2072,1116,D24HourMean,QuarterlyMean,Mean,7.18
2093,1099,D24HourMean,QuarterlyMean,Mean,8.32
2053,1097,D24HourMean,QuarterlyMean,Mean,8.06
2107,1084,D24HourMean,QuarterlyMean,Mean,8.76
2038,1084,D24HourMean,QuarterlyMean,Mean,10.17
2105,1116,D24HourMean,QuarterlyMean,Mean,7.18
2093,1088,D24HourMean,QuarterlyMean,Mean,8.77
2091,1108,D24HourMean,QuarterlyMean,Mean,7.38
2075,1090,D24HourMean,QuarterlyMean,Mean,8.49
2099,1116,D24HourMean,QuarterlyMean,Mean,7.49
2085,1109,D24HourMean,QuarterlyMean,Mean,8.16
2077,1112,D24HourMean,QuarterlyMean,Mean,7.10
2082,1105,D24HourMean,QuarterlyMean,Mean,8.10
2049,1081,D24HourMean,QuarterlyMean,Mean,9.47
2094,1113,D24HourMean,QuarterlyMean,Mean,7.48
2065,1100,D24HourMean,QuarterlyMean,Mean,7.88
2098,1111,D24HourMean,QuarterlyMean,Mean,7.35
2068,1090,D24HourMean,QuarterlyMean,Mean,8.56
2069,1106,D24HourMean,QuarterlyMean,Mean,8.73
2107,1104,D24HourMean,QuarterlyMean,Mean,7.98
2105,1088,D24HourMean,QuarterlyMean,Mean,8.39
2071,1113,D24HourMean,QuarterlyMean,Mean,7.17
2040,1076,D24HourMean,QuarterlyMean,Mean,9.76
2101,1108,D24HourMean,QuarterlyMean,Mean,7.70
2042,1098,D24HourMean,QuarterlyMean,Mean,8.72
2073,1077,D24HourMean,QuarterlyMean,Mean,8.96
2112,1100,D24HourMean,QuarterlyMean,Mean,8.14
2043,1095,D24HourMean,QuarterlyMean,Mean,9.12
2088,1086,D24HourMean,QuarterlyMean,Mean,9.07
2079,1078,D24HourMean,QuarterlyMean,Mean,8.90
2059,1086,D24HourMean,QuarterlyMean,Mean,8.68
2100,1078,D24HourMean,QuarterlyMean,Mean,8.95
2101,1088,D24HourMean,QuarterlyMean,Mean,8.55
2107,1110,D24HourMean,QuarterlyMean,Mean,7.29
2115,1084,D24HourMean,QuarterlyMean,Mean,8.72
2054,1095,D24HourMean,QuarterlyMean,Mean,8.22
2074,1114,D24HourMean,QuarterlyMean,Mean,7.45
2056,1090,D24HourMean,QuarterlyMean,Mean,8.59
2093,1111,D24HourMean,QuarterlyMean,Mean,7.42
2066,1110,D24HourMean,QuarterlyMean,Mean,7.59
2097,1082,D24HourMean,QuarterlyMean,Mean,8.34
2104,1113,D24HourMean,QuarterlyMean,Mean,8.22
