Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2057,1085,2010,1794.74,ALL,ALL,ALL,0TO99
2043,1088,2010,1166.87,ALL,ALL,ALL,0TO99
2053,1093,2010,1629.20,ALL,ALL,ALL,0TO99
2085,1091,2010,1656.46,ALL,ALL,ALL,0TO99
2078,1118,2010,948.01,ALL,ALL,ALL,0TO99
2082,1112,2010,1911.55,ALL,ALL,ALL,0TO99
2099,1075,2010,527.47,ALL,ALL,ALL,0TO99
2078,1106,2010,1116.67,ALL,ALL,ALL,0TO99
2080,1111,2010,1916.38,ALL,ALL,ALL,0TO99
2040,1077,2010,1865.08,ALL,ALL,ALL,0TO99
2076,1111,2010,1916.38,ALL,ALL,ALL,0TO99
2102,1090,2010,2264.42,ALL,ALL,ALL,0TO99
2065,1107,2010,2809.76,ALL,ALL,ALL,0TO99
2055,1081,2010,2320.70,ALL,ALL,ALL,0TO99
2104,1074,2010,487.97,ALL,ALL,ALL,0TO99
2068,1102,2010,7491.14,ALL,ALL,ALL,0TO99
2102,1093,2010,1164.80,ALL,ALL,ALL,0TO99
2082,1077,2010,687.44,ALL,ALL,ALL,0TO99
2066,1095,2010,1772.87,ALL,ALL,ALL,0TO99
2102,1081,2010,2086.67,ALL,ALL,ALL,0TO99
2070,1105,2010,1750.80,ALL,ALL,ALL,0TO99
2116,1096,2010,1994.80,ALL,ALL,ALL,0TO99
2066,1113,2010,2731.42,ALL,ALL,ALL,0TO99
2073,1105,2010,1426.25,ALL,ALL,ALL,0TO99
2069,1098,2010,1787.21,ALL,ALL,ALL,0TO99
2052,1099,2010,5014.85,ALL,ALL,ALL,0TO99
2083,1104,2010,4597.76,ALL,ALL,ALL,0TO99
2064,1086,2010,1530.06,ALL,ALL,ALL,0TO99
2104,1102,2010,1880.09,ALL,ALL,ALL,0TO99
2060,1103,2010,2098.18,ALL,ALL,ALL,0TO99
2061,1083,2010,4316.72,ALL,ALL,ALL,0TO99
2110,1099,2010,1419.20,ALL,ALL,ALL,0TO99
2104,1106,2010,7412.42,ALL,ALL,ALL,0TO99
2076,1099,2010,237510.66,ALL,ALL,ALL,0TO99
2062,1090,2010,2709.61,ALL,ALL,ALL,0TO99
2108,1106,2010,1139.48,ALL,ALL,ALL,0TO99
2046,1083,2010,3196.32,ALL,ALL,ALL,0TO99
2111,1100,2010,2743.44,ALL,ALL,ALL,0TO99
2100,1094,2010,1145.32,ALL,ALL,ALL,0TO99
2112,1106,2010,1203.71,ALL,ALL,ALL,0TO99
2037,1084,2010,1856.71,ALL,ALL,ALL,0TO99
2055,1082,2010,2210.51,ALL,ALL,ALL,0TO99
2074,1092,2010,1794.51,ALL,ALL,ALL,0TO99
2069,1086,2010,1997.70,ALL,ALL,ALL,0TO99
2067,1116,2010,1275.86,ALL,ALL,ALL,0TO99
2053,1088,2010,2484.59,ALL,ALL,ALL,0TO99
2098,1082,2010,1928.67,ALL,ALL,ALL,0TO99
2065,1080,2010,4311.09,ALL,ALL,ALL,0TO99
2066,1096,2010,1737.74,ALL,ALL,ALL,0TO99
2089,1096,2010,1224.22,ALL,ALL,ALL,0TO99
2052,1101,2010,1812.91,ALL,ALL,ALL,0TO99
2105,1094,2010,1145.18,ALL,ALL,ALL,0TO99
2065,1098,2010,1681.16,ALL,ALL,ALL,0TO99
2086,1091,2010,1721.82,ALL,ALL,ALL,0TO99
2056,1084,2010,2028.11,ALL,ALL,ALL,0TO99
2104,1082,2010,2841.00,ALL,ALL,ALL,0TO99
2054,1081,2010,2100.20,ALL,ALL,ALL,0TO99
2095,1097,2010,1099.59,ALL,ALL,ALL,0TO99
2073,1101,2010,8379.23,ALL,ALL,ALL,0TO99
2112,1101,2010,2939.28,ALL,ALL,ALL,0TO99
2103,1075,2010,433.01,ALL,ALL,ALL,0TO99
2099,1090,2010,2461.65,ALL,ALL,ALL,0TO99
2064,1091,2010,3262.67,ALL,ALL,ALL,0TO99
2103,1107,2010,3786.75,ALL,ALL,ALL,0TO99
2068,1095,2010,1741.74,ALL,ALL,ALL,0TO99
2089,1084,2010,1018.95,ALL,ALL,ALL,0TO99
2072,1098,2010,6184.28,ALL,ALL,ALL,0TO99
2086,1115,2010,5200.82,ALL,ALL,ALL,0TO99
2075,1102,2010,4946.28,ALL,ALL,ALL,0TO99
2089,1078,2010,4370.81,ALL,ALL,ALL,0TO99
2096,1108,2010,1077.58,ALL,ALL,ALL,0TO99
2119,1093,2010,1535.16,ALL,ALL,ALL,0TO99
2095,1103,2010,1470.88,ALL,ALL,ALL,0TO99
2087,1097,2010,1702.37,ALL,ALL,ALL,0TO99
2048,1094,2010,2179.32,ALL,ALL,ALL,0TO99
2108,1081,2010,9090.67,ALL,ALL,ALL,0TO99
2082,1118,2010,932.21,ALL,ALL,ALL,0TO99
2095,1107,2010,1467.94,ALL,ALL,ALL,0TO99
2051,1095,2010,3126.28,ALL,ALL,ALL,0TO99
2057,1103,2010,2048.84,ALL,ALL,ALL,0TO99
2051,1086,2010,2925.08,ALL,ALL,ALL,0TO99
2066,1088,2010,2126.98,ALL,ALL,ALL,0TO99
2098,1112,2010,1568.23,ALL,ALL,ALL,0TO99
2049,1090,2010,1913.67,ALL,ALL,ALL,0TO99
2065,1096,2010,1773.25,ALL,ALL,ALL,0TO99
2103,1111,2010,9483.71,ALL,ALL,ALL,0TO99
2072,1105,2010,1675.76,ALL,ALL,ALL,0TO99
2087,1108,2010,1555.67,ALL,ALL,ALL,0TO99
2091,1094,2010,854.28,ALL,ALL,ALL,0TO99
