Column,Row,Metric,Seasonal Metric,Annual Metric,Values
910,735,D24HourMean,QuarterlyMean,Mean,9.09
911,724,D24HourMean,QuarterlyMean,Mean,11.77
914,724,D24HourMean,QuarterlyMean,Mean,10.71
915,735,D24HourMean,QuarterlyMean,Mean,7.68
911,722,D24HourMean,QuarterlyMean,Mean,12.62
914,741,D24HourMean,QuarterlyMean,Mean,7.69
916,743,D24HourMean,QuarterlyMean,Mean,8.51
913,722,D24HourMean,QuarterlyMean,Mean,12.38
915,724,D24HourMean,QuarterlyMean,Mean,10.85
917,725,D24HourMean,QuarterlyMean,Mean,9.63
910,722,D24HourMean,QuarterlyMean,Mean,12.50
917,729,D24HourMean,QuarterlyMean,Mean,7.50
909,723,D24HourMean,QuarterlyMean,Mean,11.34
910,734,D24HourMean,QuarterlyMean,Mean,9.31
915,741,D24HourMean,QuarterlyMean,Mean,7.55
919,740,D24HourMean,QuarterlyMean,Mean,9.36
911,737,D24HourMean,QuarterlyMean,Mean,8.91
913,738,D24HourMean,QuarterlyMean,Mean,9.56
913,733,D24HourMean,QuarterlyMean,Mean,9.24
914,723,D24HourMean,QuarterlyMean,Mean,11.37
918,741,D24HourMean,QuarterlyMean,Mean,8.41
913,730,D24HourMean,QuarterlyMean,Mean,8.88
911,733,D24HourMean,QuarterlyMean,Mean,10.12
916,731,D24HourMean,QuarterlyMean,Mean,7.96
910,738,D24HourMean,QuarterlyMean,Mean,8.41
913,729,D24HourMean,QuarterlyMean,Mean,8.81
910,739,D24HourMean,QuarterlyMean,Mean,8.04
912,726,D24HourMean,QuarterlyMean,Mean,9.83
921,739,D24HourMean,QuarterlyMean,Mean,9.62
917,732,D24HourMean,QuarterlyMean,Mean,8.64
914,737,D24HourMean,QuarterlyMean,Mean,9.17
914,733,D24HourMean,QuarterlyMean,Mean,8.74
916,735,D24HourMean,QuarterlyMean,Mean,7.63
914,731,D24HourMean,QuarterlyMean,Mean,8.17
912,721,D24HourMean,QuarterlyMean,Mean,13.09
913,735,D24HourMean,QuarterlyMean,Mean,7.94
913,728,D24HourMean,QuarterlyMean,Mean,8.83
913,723,D24HourMean,QuarterlyMean,Mean,11.81
911,729,D24HourMean,QuarterlyMean,Mean,10.22
910,729,D24HourMean,QuarterlyMean,Mean,10.82
916,725,D24HourMean,QuarterlyMean,Mean,10.44
915,742,D24HourMean,QuarterlyMean,Mean,8.58
909,728,D24HourMean,QuarterlyMean,Mean,11.04
918,740,D24HourMean,QuarterlyMean,Mean,8.06
910,733,D24HourMean,QuarterlyMean,Mean,10.39
914,738,D24HourMean,QuarterlyMean,Mean,8.93
909,724,D24HourMean,QuarterlyMean,Mean,10.41
909,725,D24HourMean,QuarterlyMean,Mean,10.49
912,725,D24HourMean,QuarterlyMean,Mean,10.29
917,742,D24HourMean,QuarterlyMean,Mean,7.78
910,731,D24HourMean,QuarterlyMean,Mean,11.14
912,724,D24HourMean,QuarterlyMean,Mean,10.72
916,740,D24HourMean,QuarterlyMean,Mean,7.99
912,728,D24HourMean,QuarterlyMean,Mean,9.49
915,736,D24HourMean,QuarterlyMean,Mean,7.71
917,739,D24HourMean,QuarterlyMean,Mean,7.63
910,727,D24HourMean,QuarterlyMean,Mean,10.33
915,737,D24HourMean,QuarterlyMean,Mean,8.86
913,726,D24HourMean,QuarterlyMean,Mean,9.72
913,724,D24HourMean,QuarterlyMean,Mean,11.00
910,726,D24HourMean,QuarterlyMean,Mean,10.21
913,727,D24HourMean,QuarterlyMean,Mean,9.23
912,731,D24HourMean,QuarterlyMean,Mean,10.10
910,732,D24HourMean,QuarterlyMean,Mean,10.73
912,722,D24HourMean,QuarterlyMean,Mean,12.52
911,723,D24HourMean,QuarterlyMean,Mean,12.42
909,727,D24HourMean,QuarterlyMean,Mean,10.43
919,742,D24HourMean,QuarterlyMean,Mean,9.22
913,734,D24HourMean,QuarterlyMean,Mean,8.13
915,726,D24HourMean,QuarterlyMean,Mean,9.62
913,737,D24HourMean,QuarterlyMean,Mean,9.82
916,739,D24HourMean,QuarterlyMean,Mean,8.76
911,735,D24HourMean,QuarterlyMean,Mean,8.84
916,736,D24HourMean,QuarterlyMean,Mean,7.99
915,728,D24HourMean,QuarterlyMean,Mean,7.99
918,743,D24HourMean,QuarterlyMean,Mean,8.04
910,736,D24HourMean,QuarterlyMean,Mean,8.93
912,734,D24HourMean,QuarterlyMean,Mean,8.79
922,734,D24HourMean,QuarterlyMean,Mean,10.58
911,732,D24HourMean,QuarterlyMean,Mean,10.36
922,741,D24HourMean,QuarterlyMean,Mean,11.05
917,730,D24HourMean,QuarterlyMean,Mean,7.52
915,743,D24HourMean,QuarterlyMean,Mean,8.37
916,729,D24HourMean,QuarterlyMean,Mean,7.59
912,738,D24HourMean,QuarterlyMean,Mean,8.51
911,719,D24HourMean,QuarterlyMean,Mean,11.89
915,739,D24HourMean,QuarterlyMean,Mean,9.00
910,721,D24HourMean,QuarterlyMean,Mean,13.07
910,724,D24HourMean,QuarterlyMean,Mean,11.61
916,741,D24HourMean,QuarterlyMean,Mean,7.22
917,734,D24HourMean,QuarterlyMean,Mean,8.72
914,730,D24HourMean,QuarterlyMean,Mean,8.25
912,729,D24HourMean,QuarterlyMean,Mean,9.74
910,730,D24HourMean,QuarterlyMean,Mean,11.33
919,743,D24HourMean,QuarterlyMean,Mean,8.79
914,729,D24HourMean,QuarterlyMean,Mean,8.39
912,727,D24HourMean,QuarterlyMean,Mean,9.50
914,740,D24HourMean,QuarterlyMean,Mean,9.65
915,725,D24HourMean,QuarterlyMean,Mean,10.35
918,742,D24HourMean,QuarterlyMean,Mean,8.01
917,727,D24HourMean,QuarterlyMean,Mean,9.27
916,732,D24HourMean,QuarterlyMean,Mean,8.62
913,732,D24HourMean,QuarterlyMean,Mean,9.33
917,726,D24HourMean,QuarterlyMean,Mean,9.70
913,725,D24HourMean,QuarterlyMean,Mean,9.71
916,730,D24HourMean,QuarterlyMean,Mean,7.71
912,736,D24HourMean,QuarterlyMean,Mean,9.00
910,719,D24HourMean,QuarterlyMean,Mean,12.55
916,726,D24HourMean,QuarterlyMean,Mean,10.13
914,739,D24HourMean,QuarterlyMean,Mean,9.58
917,744,D24HourMean,QuarterlyMean,Mean,8.86
910,725,D24HourMean,QuarterlyMean,Mean,10.48
917,741,D24HourMean,QuarterlyMean,Mean,7.83
911,738,D24HourMean,QuarterlyMean,Mean,8.36
915,734,D24HourMean,QuarterlyMean,Mean,7.96
910,720,D24HourMean,QuarterlyMean,Mean,13.10
909,722,D24HourMean,QuarterlyMean,Mean,12.54
909,729,D24HourMean,QuarterlyMean,Mean,11.24
912,737,D24HourMean,QuarterlyMean,Mean,9.19
918,738,D24HourMean,QuarterlyMean,Mean,8.29
915,740,D24HourMean,QuarterlyMean,Mean,8.03
911,739,D24HourMean,QuarterlyMean,Mean,8.10
912,730,D24HourMean,QuarterlyMean,Mean,10.27
916,742,D24HourMean,QuarterlyMean,Mean,8.37
914,735,D24HourMean,QuarterlyMean,Mean,7.87
915,727,D24HourMean,QuarterlyMean,Mean,8.15
913,731,D24HourMean,QuarterlyMean,Mean,8.90
910,728,D24HourMean,QuarterlyMean,Mean,10.55
914,732,D24HourMean,QuarterlyMean,Mean,9.03
918,737,D24HourMean,QuarterlyMean,Mean,8.43
915,733,D24HourMean,QuarterlyMean,Mean,8.58
915,723,D24HourMean,QuarterlyMean,Mean,11.88
915,738,D24HourMean,QuarterlyMean,Mean,9.25
914,727,D24HourMean,QuarterlyMean,Mean,8.62
911,731,D24HourMean,QuarterlyMean,Mean,10.51
912,735,D24HourMean,QuarterlyMean,Mean,8.38
917,737,D24HourMean,QuarterlyMean,Mean,7.92
916,724,D24HourMean,QuarterlyMean,Mean,10.20
915,731,D24HourMean,QuarterlyMean,Mean,7.99
915,732,D24HourMean,QuarterlyMean,Mean,8.60
911,720,D24HourMean,QuarterlyMean,Mean,13.47
917,738,D24HourMean,QuarterlyMean,Mean,7.73
912,732,D24HourMean,QuarterlyMean,Mean,9.57
915,730,D24HourMean,QuarterlyMean,Mean,7.43
911,725,D24HourMean,QuarterlyMean,Mean,10.39
918,739,D24HourMean,QuarterlyMean,Mean,8.25
914,728,D24HourMean,QuarterlyMean,Mean,8.27
909,726,D24HourMean,QuarterlyMean,Mean,10.39
917,733,D24HourMean,QuarterlyMean,Mean,9.10
913,736,D24HourMean,QuarterlyMean,Mean,9.31
911,736,D24HourMean,QuarterlyMean,Mean,8.67
911,730,D24HourMean,QuarterlyMean,Mean,10.66
916,738,D24HourMean,QuarterlyMean,Mean,7.89
909,719,D24HourMean,QuarterlyMean,Mean,12.30
909,721,D24HourMean,QuarterlyMean,Mean,12.79
909,720,D24HourMean,QuarterlyMean,Mean,11.88
917,736,D24HourMean,QuarterlyMean,Mean,8.06
917,728,D24HourMean,QuarterlyMean,Mean,7.73
918,729,D24HourMean,QuarterlyMean,Mean,7.61
910,737,D24HourMean,QuarterlyMean,Mean,8.64
916,727,D24HourMean,QuarterlyMean,Mean,8.39
912,723,D24HourMean,QuarterlyMean,Mean,12.07
916,737,D24HourMean,QuarterlyMean,Mean,8.37
914,734,D24HourMean,QuarterlyMean,Mean,7.96
912,733,D24HourMean,QuarterlyMean,Mean,9.31
913,739,D24HourMean,QuarterlyMean,Mean,8.89
914,725,D24HourMean,QuarterlyMean,Mean,10.12
917,731,D24HourMean,QuarterlyMean,Mean,7.71
911,734,D24HourMean,QuarterlyMean,Mean,9.10
916,734,D24HourMean,QuarterlyMean,Mean,7.89
911,726,D24HourMean,QuarterlyMean,Mean,9.85
911,728,D24HourMean,QuarterlyMean,Mean,10.07
911,727,D24HourMean,QuarterlyMean,Mean,9.87
919,741,D24HourMean,QuarterlyMean,Mean,9.94
914,726,D24HourMean,QuarterlyMean,Mean,10.23
914,736,D24HourMean,QuarterlyMean,Mean,8.32
917,735,D24HourMean,QuarterlyMean,Mean,8.10
916,733,D24HourMean,QuarterlyMean,Mean,8.39
918,730,D24HourMean,QuarterlyMean,Mean,7.70
910,723,D24HourMean,QuarterlyMean,Mean,11.83
916,728,D24HourMean,QuarterlyMean,Mean,8.32
915,729,D24HourMean,QuarterlyMean,Mean,7.69
911,721,D24HourMean,QuarterlyMean,Mean,12.95
917,740,D24HourMean,QuarterlyMean,Mean,7.36
916,744,D24HourMean,QuarterlyMean,Mean,8.39
