Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
910,735,2010,1131.82,ALL,ALL,ALL,0TO99
911,724,2010,635.21,ALL,ALL,ALL,0TO99
914,724,2010,635.21,ALL,ALL,ALL,0TO99
915,735,2010,1899.39,ALL,ALL,ALL,0TO99
911,722,2010,635.86,ALL,ALL,ALL,0TO99
914,741,2010,1473.01,ALL,ALL,ALL,0TO99
916,743,2010,2166.63,ALL,ALL,ALL,0TO99
913,722,2010,549.48,ALL,ALL,ALL,0TO99
915,724,2010,635.21,ALL,ALL,ALL,0TO99
917,725,2010,621.93,ALL,ALL,ALL,0TO99
910,722,2010,635.86,ALL,ALL,ALL,0TO99
917,729,2010,1533.60,ALL,ALL,ALL,0TO99
909,723,2010,879.91,ALL,ALL,ALL,0TO99
910,734,2010,1349.72,ALL,ALL,ALL,0TO99
915,741,2010,1075.81,ALL,ALL,ALL,0TO99
919,740,2010,1745.93,ALL,ALL,ALL,0TO99
911,737,2010,1078.25,ALL,ALL,ALL,0TO99
913,738,2010,1077.64,ALL,ALL,ALL,0TO99
913,733,2010,1350.44,ALL,ALL,ALL,0TO99
914,723,2010,635.53,ALL,ALL,ALL,0TO99
918,741,2010,2213.46,ALL,ALL,ALL,0TO99
913,730,2010,1352.62,ALL,ALL,ALL,0TO99
911,733,2010,1350.44,ALL,ALL,ALL,0TO99
916,731,2010,2663.45,ALL,ALL,ALL,0TO99
910,738,2010,1077.64,ALL,ALL,ALL,0TO99
913,729,2010,1353.37,ALL,ALL,ALL,0TO99
910,739,2010,1164.57,ALL,ALL,ALL,0TO99
912,726,2010,829.40,ALL,ALL,ALL,0TO99
921,739,2010,467.90,ALL,ALL,ALL,0TO99
917,732,2010,2947.73,ALL,ALL,ALL,0TO99
914,737,2010,1078.25,ALL,ALL,ALL,0TO99
914,733,2010,1350.44,ALL,ALL,ALL,0TO99
916,735,2010,3001.53,ALL,ALL,ALL,0TO99
914,731,2010,1357.70,ALL,ALL,ALL,0TO99
912,721,2010,628.09,ALL,ALL,ALL,0TO99
913,735,2010,1117.78,ALL,ALL,ALL,0TO99
913,728,2010,1354.07,ALL,ALL,ALL,0TO99
913,723,2010,635.53,ALL,ALL,ALL,0TO99
911,729,2010,1353.37,ALL,ALL,ALL,0TO99
910,729,2010,1353.37,ALL,ALL,ALL,0TO99
916,725,2010,1024.24,ALL,ALL,ALL,0TO99
915,742,2010,1182.67,ALL,ALL,ALL,0TO99
909,728,2010,1473.81,ALL,ALL,ALL,0TO99
918,740,2010,2173.29,ALL,ALL,ALL,0TO99
910,733,2010,1350.44,ALL,ALL,ALL,0TO99
914,738,2010,1077.64,ALL,ALL,ALL,0TO99
909,724,2010,929.74,ALL,ALL,ALL,0TO99
909,725,2010,869.67,ALL,ALL,ALL,0TO99
912,725,2010,634.87,ALL,ALL,ALL,0TO99
917,742,2010,2138.57,ALL,ALL,ALL,0TO99
