Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1152,402,2010,146.24,ALL,ALL,ALL,0TO99
1175,347,2010,1059.27,ALL,ALL,ALL,0TO99
1173,427,2010,66.34,ALL,ALL,ALL,0TO99
1162,420,2010,66.15,ALL,ALL,ALL,0TO99
1179,401,2010,290.03,ALL,ALL,ALL,0TO99
1191,404,2010,119.48,ALL,ALL,ALL,0TO99
1163,367,2010,166.74,ALL,ALL,ALL,0TO99
1201,376,2010,243.93,ALL,ALL,ALL,0TO99
1190,396,2010,119.00,ALL,ALL,ALL,0TO99
1216,381,2010,55.95,ALL,ALL,ALL,0TO99
1141,373,2010,2415.92,ALL,ALL,ALL,0TO99
1185,418,2010,120.25,ALL,ALL,ALL,0TO99
1160,427,2010,66.34,ALL,ALL,ALL,0TO99
1169,345,2010,1057.83,ALL,ALL,ALL,0TO99
1136,446,2010,142.54,ALL,ALL,ALL,0TO99
1144,347,2010,535.27,ALL,ALL,ALL,0TO99
1178,391,2010,288.55,ALL,ALL,ALL,0TO99
1165,380,2010,43713.42,ALL,ALL,ALL,0TO99
1138,448,2010,134.56,ALL,ALL,ALL,0TO99
1124,416,2010,45.48,ALL,ALL,ALL,0TO99
1124,370,2010,513.94,ALL,ALL,ALL,0TO99
1150,441,2010,461.49,ALL,ALL,ALL,0TO99
1173,397,2010,289.45,ALL,ALL,ALL,0TO99
1108,384,2010,515.95,ALL,ALL,ALL,0TO99
1134,388,2010,919.31,ALL,ALL,ALL,0TO99
1125,441,2010,113.24,ALL,ALL,ALL,0TO99
1183,403,2010,290.32,ALL,ALL,ALL,0TO99
1146,433,2010,79.82,ALL,ALL,ALL,0TO99
1110,391,2010,3361.22,ALL,ALL,ALL,0TO99
1173,409,2010,291.15,ALL,ALL,ALL,0TO99
1158,377,2010,521.86,ALL,ALL,ALL,0TO99
1142,355,2010,353.84,ALL,ALL,ALL,0TO99
1138,355,2010,304.55,ALL,ALL,ALL,0TO99
1135,377,2010,2625.77,ALL,ALL,ALL,0TO99
1181,371,2010,150.09,ALL,ALL,ALL,0TO99
1158,412,2010,955.88,ALL,ALL,ALL,0TO99
1195,385,2010,245.18,ALL,ALL,ALL,0TO99
1183,393,2010,217.45,ALL,ALL,ALL,0TO99
1151,342,2010,792.48,ALL,ALL,ALL,0TO99
1140,341,2010,582.49,ALL,ALL,ALL,0TO99
1115,448,2010,672.61,ALL,ALL,ALL,0TO99
1114,383,2010,515.67,ALL,ALL,ALL,0TO99
1129,347,2010,79.29,ALL,ALL,ALL,0TO99
1167,345,2010,1057.83,ALL,ALL,ALL,0TO99
1115,428,2010,45.71,ALL,ALL,ALL,0TO99
1178,418,2010,292.35,ALL,ALL,ALL,0TO99
1158,395,2010,889.98,ALL,ALL,ALL,0TO99
1182,415,2010,194.46,ALL,ALL,ALL,0TO99
1110,408,2010,625.50,ALL,ALL,ALL,0TO99
1123,355,2010,33.20,ALL,ALL,ALL,0TO99
1117,351,2010,79.50,ALL,ALL,ALL,0TO99
1163,357,2010,200.36,ALL,ALL,ALL,0TO99
1118,366,2010,117.41,ALL,ALL,ALL,0TO99
1154,383,2010,1539.08,ALL,ALL,ALL,0TO99
1136,429,2010,91.67,ALL,ALL,ALL,0TO99
1124,418,2010,45.52,ALL,ALL,ALL,0TO99
1208,376,2010,243.93,ALL,ALL,ALL,0TO99
1165,378,2010,21072.21,ALL,ALL,ALL,0TO99
1197,404,2010,119.48,ALL,ALL,ALL,0TO99
1183,408,2010,291.01,ALL,ALL,ALL,0TO99
1147,370,2010,9722.66,ALL,ALL,ALL,0TO99
1141,436,2010,79.91,ALL,ALL,ALL,0TO99
1167,421,2010,66.18,ALL,ALL,ALL,0TO99
1137,369,2010,939.34,ALL,ALL,ALL,0TO99
1149,362,2010,1089.16,ALL,ALL,ALL,0TO99
1136,422,2010,79.46,ALL,ALL,ALL,0TO99
1142,415,2010,79.21,ALL,ALL,ALL,0TO99
1197,387,2010,198.93,ALL,ALL,ALL,0TO99
1116,373,2010,248.48,ALL,ALL,ALL,0TO99
1130,402,2010,1217.56,ALL,ALL,ALL,0TO99
1139,357,2010,322.10,ALL,ALL,ALL,0TO99
