Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1061,484,D24HourMean,QuarterlyMean,Mean,5.05
1061,486,D24HourMean,QuarterlyMean,Mean,4.83
1062,483,D24HourMean,QuarterlyMean,Mean,4.99
1062,484,D24HourMean,QuarterlyMean,Mean,4.99
1062,485,D24HourMean,QuarterlyMean,Mean,4.88
1063,483,D24HourMean,QuarterlyMean,Mean,4.90
1063,484,D24HourMean,QuarterlyMean,Mean,4.90
1063,485,D24HourMean,QuarterlyMean,Mean,4.85
1063,486,D24HourMean,QuarterlyMean,Mean,5.01
1063,488,D24HourMean,QuarterlyMean,Mean,5.12
1063,489,D24HourMean,QuarterlyMean,Mean,5.07
1063,490,D24HourMean,QuarterlyMean,Mean,4.89
1064,480,D24HourMean,QuarterlyMean,Mean,5.07
1064,481,D24HourMean,QuarterlyMean,Mean,5.01
1064,482,D24HourMean,QuarterlyMean,Mean,4.92
1064,483,D24HourMean,QuarterlyMean,Mean,4.98
1064,484,D24HourMean,QuarterlyMean,Mean,4.87
1064,485,D24HourMean,QuarterlyMean,Mean,4.81
1064,486,D24HourMean,QuarterlyMean,Mean,5.03
1064,487,D24HourMean,QuarterlyMean,Mean,5.08
1064,488,D24HourMean,QuarterlyMean,Mean,4.98
1064,489,D24HourMean,QuarterlyMean,Mean,5.08
1064,490,D24HourMean,QuarterlyMean,Mean,4.96
1064,491,D24HourMean,QuarterlyMean,Mean,5.01
1065,478,D24HourMean,QuarterlyMean,Mean,4.99
1065,479,D24HourMean,QuarterlyMean,Mean,5.07
1065,480,D24HourMean,QuarterlyMean,Mean,5.07
1065,481,D24HourMean,QuarterlyMean,Mean,5.01
1065,482,D24HourMean,QuarterlyMean,Mean,4.90
1065,483,D24HourMean,QuarterlyMean,Mean,4.98
1065,484,D24HourMean,QuarterlyMean,Mean,4.98
1065,485,D24HourMean,QuarterlyMean,Mean,4.87
1065,486,D24HourMean,QuarterlyMean,Mean,5.03
1065,487,D24HourMean,QuarterlyMean,Mean,5.03
1065,488,D24HourMean,QuarterlyMean,Mean,4.87
1065,489,D24HourMean,QuarterlyMean,Mean,5.03
1065,490,D24HourMean,QuarterlyMean,Mean,4.96
1065,491,D24HourMean,QuarterlyMean,Mean,5.08
1065,492,D24HourMean,QuarterlyMean,Mean,5.08
1066,476,D24HourMean,QuarterlyMean,Mean,5.05
1066,477,D24HourMean,QuarterlyMean,Mean,5.07
1066,478,D24HourMean,QuarterlyMean,Mean,5.12
1066,479,D24HourMean,QuarterlyMean,Mean,5.45
1066,480,D24HourMean,QuarterlyMean,Mean,5.14
1066,481,D24HourMean,QuarterlyMean,Mean,5.08
1066,482,D24HourMean,QuarterlyMean,Mean,5.03
1066,483,D24HourMean,QuarterlyMean,Mean,5.03
1066,484,D24HourMean,QuarterlyMean,Mean,4.98
1066,485,D24HourMean,QuarterlyMean,Mean,4.94
1066,486,D24HourMean,QuarterlyMean,Mean,4.94
1066,487,D24HourMean,QuarterlyMean,Mean,4.94
1066,488,D24HourMean,QuarterlyMean,Mean,4.94
1066,489,D24HourMean,QuarterlyMean,Mean,4.94
1066,490,D24HourMean,QuarterlyMean,Mean,4.98
1066,491,D24HourMean,QuarterlyMean,Mean,5.03
1066,492,D24HourMean,QuarterlyMean,Mean,5.14
1067,475,D24HourMean,QuarterlyMean,Mean,5.17
1067,476,D24HourMean,QuarterlyMean,Mean,5.10
1067,477,D24HourMean,QuarterlyMean,Mean,5.48
1067,478,D24HourMean,QuarterlyMean,Mean,5.07
1067,479,D24HourMean,QuarterlyMean,Mean,5.39
