Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2949,609,D24HourMean,QuarterlyMean,Mean,8.79
2952,604,D24HourMean,QuarterlyMean,Mean,8.11
2948,602,D24HourMean,QuarterlyMean,Mean,8.74
2946,602,D24HourMean,QuarterlyMean,Mean,8.22
2949,602,D24HourMean,QuarterlyMean,Mean,9.89
2947,600,D24HourMean,QuarterlyMean,Mean,9.31
2947,606,D24HourMean,QuarterlyMean,Mean,7.38
2949,608,D24HourMean,QuarterlyMean,Mean,9.43
2945,606,D24HourMean,QuarterlyMean,Mean,8.88
2953,605,D24HourMean,QuarterlyMean,Mean,7.94
2952,605,D24HourMean,QuarterlyMean,Mean,8.11
2948,607,D24HourMean,QuarterlyMean,Mean,8.65
2947,601,D24HourMean,QuarterlyMean,Mean,9.17
2947,605,D24HourMean,QuarterlyMean,Mean,7.87
2947,604,D24HourMean,QuarterlyMean,Mean,7.71
2952,607,D24HourMean,QuarterlyMean,Mean,7.68
2948,606,D24HourMean,QuarterlyMean,Mean,7.17
2947,607,D24HourMean,QuarterlyMean,Mean,7.54
2943,605,D24HourMean,QuarterlyMean,Mean,8.43
2946,606,D24HourMean,QuarterlyMean,Mean,8.24
2944,603,D24HourMean,QuarterlyMean,Mean,9.82
2949,603,D24HourMean,QuarterlyMean,Mean,8.62
2953,606,D24HourMean,QuarterlyMean,Mean,7.94
2953,607,D24HourMean,QuarterlyMean,Mean,7.83
2946,605,D24HourMean,QuarterlyMean,Mean,8.15
2944,604,D24HourMean,QuarterlyMean,Mean,10.06
2948,601,D24HourMean,QuarterlyMean,Mean,8.79
2946,603,D24HourMean,QuarterlyMean,Mean,8.22
2945,603,D24HourMean,QuarterlyMean,Mean,8.94
2950,609,D24HourMean,QuarterlyMean,Mean,9.43
2946,601,D24HourMean,QuarterlyMean,Mean,7.96
2951,607,D24HourMean,QuarterlyMean,Mean,8.22
2948,603,D24HourMean,QuarterlyMean,Mean,8.03
2945,605,D24HourMean,QuarterlyMean,Mean,8.69
2945,604,D24HourMean,QuarterlyMean,Mean,9.01
2953,604,D24HourMean,QuarterlyMean,Mean,8.53
2948,604,D24HourMean,QuarterlyMean,Mean,8.20
2947,602,D24HourMean,QuarterlyMean,Mean,8.48
2948,605,D24HourMean,QuarterlyMean,Mean,7.38
2947,603,D24HourMean,QuarterlyMean,Mean,8.32
2948,608,D24HourMean,QuarterlyMean,Mean,8.84
2950,608,D24HourMean,QuarterlyMean,Mean,9.58
2952,608,D24HourMean,QuarterlyMean,Mean,8.32
2946,604,D24HourMean,QuarterlyMean,Mean,7.87
2954,603,D24HourMean,QuarterlyMean,Mean,8.22
2944,605,D24HourMean,QuarterlyMean,Mean,9.26
2952,606,D24HourMean,QuarterlyMean,Mean,7.48
