Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2949,609,2010,36587.41,ALL,ALL,ALL,0TO99
2952,604,2010,957.31,ALL,ALL,ALL,0TO99
2948,602,2010,2326.73,ALL,ALL,ALL,0TO99
2946,602,2010,2336.20,ALL,ALL,ALL,0TO99
2949,602,2010,1054.89,ALL,ALL,ALL,0TO99
2947,600,2010,1859.94,ALL,ALL,ALL,0TO99
2947,606,2010,4628.22,ALL,ALL,ALL,0TO99
2949,608,2010,54112.90,ALL,ALL,ALL,0TO99
2945,606,2010,1586.12,ALL,ALL,ALL,0TO99
2953,605,2010,809.58,ALL,ALL,ALL,0TO99
2952,605,2010,827.98,ALL,ALL,ALL,0TO99
2948,607,2010,15201.69,ALL,ALL,ALL,0TO99
2947,601,2010,2336.50,ALL,ALL,ALL,0TO99
2947,605,2010,3942.75,ALL,ALL,ALL,0TO99
2947,604,2010,2635.19,ALL,ALL,ALL,0TO99
2952,607,2010,828.85,ALL,ALL,ALL,0TO99
2948,606,2010,5256.73,ALL,ALL,ALL,0TO99
2947,607,2010,4915.31,ALL,ALL,ALL,0TO99
2943,605,2010,1960.65,ALL,ALL,ALL,0TO99
2946,606,2010,2483.43,ALL,ALL,ALL,0TO99
2944,603,2010,2258.43,ALL,ALL,ALL,0TO99
2949,603,2010,3513.72,ALL,ALL,ALL,0TO99
2953,606,2010,806.15,ALL,ALL,ALL,0TO99
2953,607,2010,874.46,ALL,ALL,ALL,0TO99
2946,605,2010,2335.25,ALL,ALL,ALL,0TO99
2944,604,2010,2301.90,ALL,ALL,ALL,0TO99
2948,601,2010,2036.92,ALL,ALL,ALL,0TO99
2946,603,2010,2335.89,ALL,ALL,ALL,0TO99
2945,603,2010,2335.89,ALL,ALL,ALL,0TO99
2950,609,2010,55972.05,ALL,ALL,ALL,0TO99
2946,601,2010,2116.43,ALL,ALL,ALL,0TO99
2951,607,2010,2485.10,ALL,ALL,ALL,0TO99
2948,603,2010,3338.38,ALL,ALL,ALL,0TO99
2945,605,2010,2335.25,ALL,ALL,ALL,0TO99
2945,604,2010,2335.59,ALL,ALL,ALL,0TO99
2953,604,2010,813.74,ALL,ALL,ALL,0TO99
2948,604,2010,4876.53,ALL,ALL,ALL,0TO99
2947,602,2010,2336.20,ALL,ALL,ALL,0TO99
2948,605,2010,5129.63,ALL,ALL,ALL,0TO99
2947,603,2010,2335.89,ALL,ALL,ALL,0TO99
2948,608,2010,22803.72,ALL,ALL,ALL,0TO99
2950,608,2010,42382.20,ALL,ALL,ALL,0TO99
2952,608,2010,1541.66,ALL,ALL,ALL,0TO99
2946,604,2010,2335.59,ALL,ALL,ALL,0TO99
2954,603,2010,869.01,ALL,ALL,ALL,0TO99
2944,605,2010,2308.88,ALL,ALL,ALL,0TO99
2952,606,2010,827.64,ALL,ALL,ALL,0TO99
