Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2706,838,D24HourMean,QuarterlyMean,Mean,4.84
2700,837,D24HourMean,QuarterlyMean,Mean,10.77
2695,837,D24HourMean,QuarterlyMean,Mean,8.72
2700,831,D24HourMean,QuarterlyMean,Mean,17.95
2696,835,D24HourMean,QuarterlyMean,Mean,15.18
2696,834,D24HourMean,QuarterlyMean,Mean,16.08
2712,838,D24HourMean,QuarterlyMean,Mean,8.42
2713,839,D24HourMean,QuarterlyMean,Mean,7.23
2690,831,D24HourMean,QuarterlyMean,Mean,22.70
2698,841,D24HourMean,QuarterlyMean,Mean,4.13
2701,839,D24HourMean,QuarterlyMean,Mean,4.36
2720,829,D24HourMean,QuarterlyMean,Mean,19.25
2707,832,D24HourMean,QuarterlyMean,Mean,16.43
2718,833,D24HourMean,QuarterlyMean,Mean,12.23
2714,838,D24HourMean,QuarterlyMean,Mean,6.99
2712,834,D24HourMean,QuarterlyMean,Mean,12.45
2703,840,D24HourMean,QuarterlyMean,Mean,3.50
2706,839,D24HourMean,QuarterlyMean,Mean,3.89
2696,838,D24HourMean,QuarterlyMean,Mean,12.18
2697,841,D24HourMean,QuarterlyMean,Mean,4.41
2704,830,D24HourMean,QuarterlyMean,Mean,17.37
2705,838,D24HourMean,QuarterlyMean,Mean,4.97
2714,830,D24HourMean,QuarterlyMean,Mean,16.18
2712,833,D24HourMean,QuarterlyMean,Mean,14.86
2701,835,D24HourMean,QuarterlyMean,Mean,13.08
2702,831,D24HourMean,QuarterlyMean,Mean,18.77
2710,836,D24HourMean,QuarterlyMean,Mean,9.54
2702,829,D24HourMean,QuarterlyMean,Mean,20.64
2715,834,D24HourMean,QuarterlyMean,Mean,12.87
2706,830,D24HourMean,QuarterlyMean,Mean,17.48
2705,840,D24HourMean,QuarterlyMean,Mean,3.38
2702,830,D24HourMean,QuarterlyMean,Mean,19.15
2700,834,D24HourMean,QuarterlyMean,Mean,14.41
2702,840,D24HourMean,QuarterlyMean,Mean,3.57
2708,831,D24HourMean,QuarterlyMean,Mean,16.54
2694,830,D24HourMean,QuarterlyMean,Mean,22.91
2707,829,D24HourMean,QuarterlyMean,Mean,18.62
2700,839,D24HourMean,QuarterlyMean,Mean,4.56
2704,839,D24HourMean,QuarterlyMean,Mean,4.10
2691,833,D24HourMean,QuarterlyMean,Mean,18.66
2714,833,D24HourMean,QuarterlyMean,Mean,15.16
2708,829,D24HourMean,QuarterlyMean,Mean,17.60
2695,833,D24HourMean,QuarterlyMean,Mean,17.07
2706,837,D24HourMean,QuarterlyMean,Mean,9.16
2720,833,D24HourMean,QuarterlyMean,Mean,11.27
2703,841,D24HourMean,QuarterlyMean,Mean,9.43
2704,833,D24HourMean,QuarterlyMean,Mean,14.33
2712,835,D24HourMean,QuarterlyMean,Mean,11.13
2705,831,D24HourMean,QuarterlyMean,Mean,17.78
2707,831,D24HourMean,QuarterlyMean,Mean,16.83
2711,832,D24HourMean,QuarterlyMean,Mean,15.18
2701,833,D24HourMean,QuarterlyMean,Mean,15.54
2705,834,D24HourMean,QuarterlyMean,Mean,12.63
2697,840,D24HourMean,QuarterlyMean,Mean,4.71
2703,834,D24HourMean,QuarterlyMean,Mean,12.39
2695,831,D24HourMean,QuarterlyMean,Mean,19.18
2696,829,D24HourMean,QuarterlyMean,Mean,21.17
2708,833,D24HourMean,QuarterlyMean,Mean,13.88
2698,827,D24HourMean,QuarterlyMean,Mean,23.45
2704,842,D24HourMean,QuarterlyMean,Mean,-0.56
2708,834,D24HourMean,QuarterlyMean,Mean,12.43
2693,832,D24HourMean,QuarterlyMean,Mean,20.09
2703,842,D24HourMean,QuarterlyMean,Mean,9.22
2698,828,D24HourMean,QuarterlyMean,Mean,21.43
2697,833,D24HourMean,QuarterlyMean,Mean,16.75
2706,840,D24HourMean,QuarterlyMean,Mean,-0.56
2709,831,D24HourMean,QuarterlyMean,Mean,16.59
2707,835,D24HourMean,QuarterlyMean,Mean,11.13
2702,838,D24HourMean,QuarterlyMean,Mean,10.45
2714,839,D24HourMean,QuarterlyMean,Mean,3.36
2701,840,D24HourMean,QuarterlyMean,Mean,3.70
2705,832,D24HourMean,QuarterlyMean,Mean,16.04
2704,838,D24HourMean,QuarterlyMean,Mean,5.04
2713,834,D24HourMean,QuarterlyMean,Mean,12.40
2689,831,D24HourMean,QuarterlyMean,Mean,24.00
2698,838,D24HourMean,QuarterlyMean,Mean,11.00
2702,842,D24HourMean,QuarterlyMean,Mean,9.02
2709,839,D24HourMean,QuarterlyMean,Mean,3.61
2699,836,D24HourMean,QuarterlyMean,Mean,12.54
2716,829,D24HourMean,QuarterlyMean,Mean,17.79
2711,837,D24HourMean,QuarterlyMean,Mean,9.31
2712,832,D24HourMean,QuarterlyMean,Mean,15.34
2703,836,D24HourMean,QuarterlyMean,Mean,10.46
2695,829,D24HourMean,QuarterlyMean,Mean,23.77
2705,833,D24HourMean,QuarterlyMean,Mean,14.20
2717,834,D24HourMean,QuarterlyMean,Mean,12.53
2707,837,D24HourMean,QuarterlyMean,Mean,8.24
2716,828,D24HourMean,QuarterlyMean,Mean,20.83
2692,831,D24HourMean,QuarterlyMean,Mean,21.76
2705,841,D24HourMean,QuarterlyMean,Mean,3.16
2719,832,D24HourMean,QuarterlyMean,Mean,12.78
2711,833,D24HourMean,QuarterlyMean,Mean,14.76
2691,835,D24HourMean,QuarterlyMean,Mean,15.87
2709,832,D24HourMean,QuarterlyMean,Mean,14.88
2698,836,D24HourMean,QuarterlyMean,Mean,12.74
2715,836,D24HourMean,QuarterlyMean,Mean,10.19
2700,836,D24HourMean,QuarterlyMean,Mean,12.35
2711,835,D24HourMean,QuarterlyMean,Mean,10.98
2699,838,D24HourMean,QuarterlyMean,Mean,10.15
2715,829,D24HourMean,QuarterlyMean,Mean,17.29
2703,832,D24HourMean,QuarterlyMean,Mean,16.53
2716,837,D24HourMean,QuarterlyMean,Mean,7.69
2700,827,D24HourMean,QuarterlyMean,Mean,23.58
2698,831,D24HourMean,QuarterlyMean,Mean,17.25
2713,832,D24HourMean,QuarterlyMean,Mean,15.85
2708,836,D24HourMean,QuarterlyMean,Mean,9.70
2692,828,D24HourMean,QuarterlyMean,Mean,30.29
2693,835,D24HourMean,QuarterlyMean,Mean,15.79
2700,841,D24HourMean,QuarterlyMean,Mean,3.63
2715,832,D24HourMean,QuarterlyMean,Mean,15.01
2699,833,D24HourMean,QuarterlyMean,Mean,16.04
2719,831,D24HourMean,QuarterlyMean,Mean,12.72
2717,829,D24HourMean,QuarterlyMean,Mean,17.71
2706,835,D24HourMean,QuarterlyMean,Mean,11.42
2709,835,D24HourMean,QuarterlyMean,Mean,11.31
2695,830,D24HourMean,QuarterlyMean,Mean,20.96
2704,840,D24HourMean,QuarterlyMean,Mean,3.44
2712,828,D24HourMean,QuarterlyMean,Mean,20.23
2720,832,D24HourMean,QuarterlyMean,Mean,12.94
2705,839,D24HourMean,QuarterlyMean,Mean,3.97
2707,839,D24HourMean,QuarterlyMean,Mean,3.76
2702,828,D24HourMean,QuarterlyMean,Mean,22.96
2719,834,D24HourMean,QuarterlyMean,Mean,10.64
2716,835,D24HourMean,QuarterlyMean,Mean,11.37
2698,829,D24HourMean,QuarterlyMean,Mean,19.17
2709,837,D24HourMean,QuarterlyMean,Mean,8.46
2711,829,D24HourMean,QuarterlyMean,Mean,17.55
2708,840,D24HourMean,QuarterlyMean,Mean,3.10
2714,837,D24HourMean,QuarterlyMean,Mean,8.81
2716,830,D24HourMean,QuarterlyMean,Mean,15.31
2708,837,D24HourMean,QuarterlyMean,Mean,7.91
2705,830,D24HourMean,QuarterlyMean,Mean,17.56
2696,839,D24HourMean,QuarterlyMean,Mean,10.99
2717,830,D24HourMean,QuarterlyMean,Mean,14.63
2721,833,D24HourMean,QuarterlyMean,Mean,11.55
2696,836,D24HourMean,QuarterlyMean,Mean,14.69
2703,837,D24HourMean,QuarterlyMean,Mean,10.12
2707,830,D24HourMean,QuarterlyMean,Mean,17.19
2700,830,D24HourMean,QuarterlyMean,Mean,19.00
2704,836,D24HourMean,QuarterlyMean,Mean,10.44
2714,828,D24HourMean,QuarterlyMean,Mean,21.00
2699,835,D24HourMean,QuarterlyMean,Mean,13.95
2711,834,D24HourMean,QuarterlyMean,Mean,12.97
2696,828,D24HourMean,QuarterlyMean,Mean,24.40
2704,834,D24HourMean,QuarterlyMean,Mean,12.57
2710,834,D24HourMean,QuarterlyMean,Mean,11.75
2716,831,D24HourMean,QuarterlyMean,Mean,14.87
2690,830,D24HourMean,QuarterlyMean,Mean,29.43
2702,837,D24HourMean,QuarterlyMean,Mean,10.24
2692,829,D24HourMean,QuarterlyMean,Mean,27.30
2720,830,D24HourMean,QuarterlyMean,Mean,13.86
2716,839,D24HourMean,QuarterlyMean,Mean,3.29
2715,837,D24HourMean,QuarterlyMean,Mean,8.41
2721,829,D24HourMean,QuarterlyMean,Mean,18.47
2709,833,D24HourMean,QuarterlyMean,Mean,13.31
2695,828,D24HourMean,QuarterlyMean,Mean,26.82
2716,833,D24HourMean,QuarterlyMean,Mean,14.15
2695,835,D24HourMean,QuarterlyMean,Mean,15.20
2707,833,D24HourMean,QuarterlyMean,Mean,15.09
2702,833,D24HourMean,QuarterlyMean,Mean,15.34
2718,831,D24HourMean,QuarterlyMean,Mean,13.13
2689,832,D24HourMean,QuarterlyMean,Mean,22.88
2699,839,D24HourMean,QuarterlyMean,Mean,7.83
2701,832,D24HourMean,QuarterlyMean,Mean,16.00
2693,836,D24HourMean,QuarterlyMean,Mean,14.70
2711,831,D24HourMean,QuarterlyMean,Mean,15.58
2701,829,D24HourMean,QuarterlyMean,Mean,20.29
2691,831,D24HourMean,QuarterlyMean,Mean,21.45
2700,829,D24HourMean,QuarterlyMean,Mean,19.52
2712,839,D24HourMean,QuarterlyMean,Mean,6.63
2699,827,D24HourMean,QuarterlyMean,Mean,23.45
2702,841,D24HourMean,QuarterlyMean,Mean,9.28
2710,829,D24HourMean,QuarterlyMean,Mean,17.39
2709,836,D24HourMean,QuarterlyMean,Mean,9.99
2709,828,D24HourMean,QuarterlyMean,Mean,20.49
2709,829,D24HourMean,QuarterlyMean,Mean,17.37
2697,839,D24HourMean,QuarterlyMean,Mean,8.18
2700,833,D24HourMean,QuarterlyMean,Mean,16.04
2717,828,D24HourMean,QuarterlyMean,Mean,21.42
2713,837,D24HourMean,QuarterlyMean,Mean,9.12
2692,835,D24HourMean,QuarterlyMean,Mean,15.97
2712,830,D24HourMean,QuarterlyMean,Mean,17.28
2695,838,D24HourMean,QuarterlyMean,Mean,10.09
2710,830,D24HourMean,QuarterlyMean,Mean,17.13
2699,837,D24HourMean,QuarterlyMean,Mean,11.58
2713,835,D24HourMean,QuarterlyMean,Mean,10.74
2706,836,D24HourMean,QuarterlyMean,Mean,9.82
2710,828,D24HourMean,QuarterlyMean,Mean,20.36
2690,832,D24HourMean,QuarterlyMean,Mean,21.47
2715,839,D24HourMean,QuarterlyMean,Mean,3.29
2697,836,D24HourMean,QuarterlyMean,Mean,13.77
2715,838,D24HourMean,QuarterlyMean,Mean,6.74
2697,827,D24HourMean,QuarterlyMean,Mean,24.80
2697,828,D24HourMean,QuarterlyMean,Mean,22.07
2708,839,D24HourMean,QuarterlyMean,Mean,3.69
2721,832,D24HourMean,QuarterlyMean,Mean,12.62
2695,836,D24HourMean,QuarterlyMean,Mean,15.82
2715,831,D24HourMean,QuarterlyMean,Mean,16.07
