Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2706,838,2010,1431.19,ALL,ALL,ALL,0TO99
2700,837,2010,7490.36,ALL,ALL,ALL,0TO99
2695,837,2010,8689.89,ALL,ALL,ALL,0TO99
2700,831,2010,5553.18,ALL,ALL,ALL,0TO99
2696,835,2010,8682.42,ALL,ALL,ALL,0TO99
2696,834,2010,7405.67,ALL,ALL,ALL,0TO99
2712,838,2010,3210.75,ALL,ALL,ALL,0TO99
2713,839,2010,2143.40,ALL,ALL,ALL,0TO99
2690,831,2010,29171.76,ALL,ALL,ALL,0TO99
2698,841,2010,1140.40,ALL,ALL,ALL,0TO99
2701,839,2010,1600.98,ALL,ALL,ALL,0TO99
2720,829,2010,12613.96,ALL,ALL,ALL,0TO99
2707,832,2010,4872.42,ALL,ALL,ALL,0TO99
2718,833,2010,8866.82,ALL,ALL,ALL,0TO99
2714,838,2010,3757.73,ALL,ALL,ALL,0TO99
2712,834,2010,3417.56,ALL,ALL,ALL,0TO99
2703,840,2010,1663.43,ALL,ALL,ALL,0TO99
2706,839,2010,253.24,ALL,ALL,ALL,0TO99
2696,838,2010,8161.56,ALL,ALL,ALL,0TO99
2697,841,2010,1002.33,ALL,ALL,ALL,0TO99
2704,830,2010,17477.30,ALL,ALL,ALL,0TO99
2705,838,2010,2528.50,ALL,ALL,ALL,0TO99
2714,830,2010,18631.32,ALL,ALL,ALL,0TO99
2712,833,2010,3931.13,ALL,ALL,ALL,0TO99
2701,835,2010,3448.92,ALL,ALL,ALL,0TO99
2702,831,2010,21151.79,ALL,ALL,ALL,0TO99
2710,836,2010,3216.13,ALL,ALL,ALL,0TO99
2702,829,2010,30208.29,ALL,ALL,ALL,0TO99
2715,834,2010,8859.02,ALL,ALL,ALL,0TO99
2706,830,2010,10816.99,ALL,ALL,ALL,0TO99
2705,840,2010,263.44,ALL,ALL,ALL,0TO99
2702,830,2010,30545.46,ALL,ALL,ALL,0TO99
2700,834,2010,3308.04,ALL,ALL,ALL,0TO99
2702,840,2010,1423.75,ALL,ALL,ALL,0TO99
2708,831,2010,5010.81,ALL,ALL,ALL,0TO99
2694,830,2010,8922.60,ALL,ALL,ALL,0TO99
2707,829,2010,9396.60,ALL,ALL,ALL,0TO99
2700,839,2010,1474.57,ALL,ALL,ALL,0TO99
2704,839,2010,2293.39,ALL,ALL,ALL,0TO99
2691,833,2010,2389.58,ALL,ALL,ALL,0TO99
2714,833,2010,10675.43,ALL,ALL,ALL,0TO99
2708,829,2010,5019.82,ALL,ALL,ALL,0TO99
2695,833,2010,6100.13,ALL,ALL,ALL,0TO99
2706,837,2010,2145.77,ALL,ALL,ALL,0TO99
2720,833,2010,8866.82,ALL,ALL,ALL,0TO99
2703,841,2010,338.83,ALL,ALL,ALL,0TO99
2704,833,2010,3988.27,ALL,ALL,ALL,0TO99
2712,835,2010,3219.54,ALL,ALL,ALL,0TO99
2705,831,2010,4349.31,ALL,ALL,ALL,0TO99
2707,831,2010,5010.81,ALL,ALL,ALL,0TO99
2711,832,2010,11219.72,ALL,ALL,ALL,0TO99
2701,833,2010,3310.95,ALL,ALL,ALL,0TO99
2705,834,2010,4257.68,ALL,ALL,ALL,0TO99
2697,840,2010,1473.15,ALL,ALL,ALL,0TO99
2703,834,2010,3443.54,ALL,ALL,ALL,0TO99
2695,831,2010,2726.82,ALL,ALL,ALL,0TO99
2696,829,2010,2029.96,ALL,ALL,ALL,0TO99
2708,833,2010,2881.23,ALL,ALL,ALL,0TO99
2698,827,2010,23293.80,ALL,ALL,ALL,0TO99
2704,842,2010,129.84,ALL,ALL,ALL,0TO99
2708,834,2010,2367.27,ALL,ALL,ALL,0TO99
2693,832,2010,2391.74,ALL,ALL,ALL,0TO99
2703,842,2010,737.46,ALL,ALL,ALL,0TO99
2698,828,2010,6958.73,ALL,ALL,ALL,0TO99
2697,833,2010,10215.46,ALL,ALL,ALL,0TO99
2706,840,2010,78.36,ALL,ALL,ALL,0TO99
2709,831,2010,5010.81,ALL,ALL,ALL,0TO99
2707,835,2010,2364.37,ALL,ALL,ALL,0TO99
2702,838,2010,2454.71,ALL,ALL,ALL,0TO99
2714,839,2010,4819.34,ALL,ALL,ALL,0TO99
2701,840,2010,1473.15,ALL,ALL,ALL,0TO99
2705,832,2010,4265.30,ALL,ALL,ALL,0TO99
2704,838,2010,3187.77,ALL,ALL,ALL,0TO99
2713,834,2010,7933.72,ALL,ALL,ALL,0TO99
2689,831,2010,26091.45,ALL,ALL,ALL,0TO99
2698,838,2010,1475.90,ALL,ALL,ALL,0TO99
2702,842,2010,1195.80,ALL,ALL,ALL,0TO99
2709,839,2010,3204.27,ALL,ALL,ALL,0TO99
2699,836,2010,8666.26,ALL,ALL,ALL,0TO99
2716,829,2010,9800.43,ALL,ALL,ALL,0TO99
2711,837,2010,3213.72,ALL,ALL,ALL,0TO99
2712,832,2010,10159.14,ALL,ALL,ALL,0TO99
2703,836,2010,3252.37,ALL,ALL,ALL,0TO99
2695,829,2010,2082.52,ALL,ALL,ALL,0TO99
2705,833,2010,4261.43,ALL,ALL,ALL,0TO99
2717,834,2010,8655.27,ALL,ALL,ALL,0TO99
2707,837,2010,2359.70,ALL,ALL,ALL,0TO99
2716,828,2010,17942.52,ALL,ALL,ALL,0TO99
2692,831,2010,9088.83,ALL,ALL,ALL,0TO99
2705,841,2010,182.52,ALL,ALL,ALL,0TO99
2719,832,2010,8874.87,ALL,ALL,ALL,0TO99
2711,833,2010,4014.37,ALL,ALL,ALL,0TO99
2691,835,2010,1920.67,ALL,ALL,ALL,0TO99
2709,832,2010,4718.84,ALL,ALL,ALL,0TO99
2698,836,2010,11251.09,ALL,ALL,ALL,0TO99
2715,836,2010,8842.79,ALL,ALL,ALL,0TO99
2700,836,2010,7858.32,ALL,ALL,ALL,0TO99
2711,835,2010,3219.54,ALL,ALL,ALL,0TO99
2699,838,2010,2263.95,ALL,ALL,ALL,0TO99
2715,829,2010,10074.59,ALL,ALL,ALL,0TO99
2703,832,2010,3313.95,ALL,ALL,ALL,0TO99
2716,837,2010,8825.09,ALL,ALL,ALL,0TO99
2700,827,2010,26734.95,ALL,ALL,ALL,0TO99
2698,831,2010,7298.54,ALL,ALL,ALL,0TO99
2713,832,2010,12154.31,ALL,ALL,ALL,0TO99
2708,836,2010,2364.71,ALL,ALL,ALL,0TO99
2692,828,2010,36806.54,ALL,ALL,ALL,0TO99
2693,835,2010,4172.42,ALL,ALL,ALL,0TO99
2700,841,2010,647.06,ALL,ALL,ALL,0TO99
2715,832,2010,10675.62,ALL,ALL,ALL,0TO99
2699,833,2010,3310.95,ALL,ALL,ALL,0TO99
2719,831,2010,8922.43,ALL,ALL,ALL,0TO99
2717,829,2010,10157.24,ALL,ALL,ALL,0TO99
2706,835,2010,2873.46,ALL,ALL,ALL,0TO99
2709,835,2010,2491.87,ALL,ALL,ALL,0TO99
2695,830,2010,2028.08,ALL,ALL,ALL,0TO99
2704,840,2010,971.65,ALL,ALL,ALL,0TO99
2712,828,2010,19089.52,ALL,ALL,ALL,0TO99
2720,832,2010,8874.87,ALL,ALL,ALL,0TO99
2705,839,2010,2145.22,ALL,ALL,ALL,0TO99
2707,839,2010,862.14,ALL,ALL,ALL,0TO99
2702,828,2010,23739.23,ALL,ALL,ALL,0TO99
2719,834,2010,3579.35,ALL,ALL,ALL,0TO99
2716,835,2010,8796.99,ALL,ALL,ALL,0TO99
2698,829,2010,2269.50,ALL,ALL,ALL,0TO99
2709,837,2010,3109.21,ALL,ALL,ALL,0TO99
2711,829,2010,9934.98,ALL,ALL,ALL,0TO99
2708,840,2010,737.42,ALL,ALL,ALL,0TO99
2714,837,2010,8333.78,ALL,ALL,ALL,0TO99
2716,830,2010,8897.98,ALL,ALL,ALL,0TO99
2708,837,2010,2405.24,ALL,ALL,ALL,0TO99
2705,830,2010,7617.69,ALL,ALL,ALL,0TO99
2696,839,2010,7106.40,ALL,ALL,ALL,0TO99
2717,830,2010,9013.53,ALL,ALL,ALL,0TO99
2721,833,2010,7618.52,ALL,ALL,ALL,0TO99
2696,836,2010,10682.00,ALL,ALL,ALL,0TO99
2703,837,2010,1704.08,ALL,ALL,ALL,0TO99
2707,830,2010,6189.63,ALL,ALL,ALL,0TO99
2700,830,2010,7320.68,ALL,ALL,ALL,0TO99
2704,836,2010,3402.79,ALL,ALL,ALL,0TO99
2714,828,2010,14086.24,ALL,ALL,ALL,0TO99
2699,835,2010,9423.33,ALL,ALL,ALL,0TO99
2711,834,2010,3222.60,ALL,ALL,ALL,0TO99
2696,828,2010,6748.21,ALL,ALL,ALL,0TO99
2704,834,2010,4241.44,ALL,ALL,ALL,0TO99
2710,834,2010,3139.32,ALL,ALL,ALL,0TO99
2716,831,2010,8882.88,ALL,ALL,ALL,0TO99
2690,830,2010,28874.61,ALL,ALL,ALL,0TO99
2702,837,2010,1995.66,ALL,ALL,ALL,0TO99
2692,829,2010,29224.15,ALL,ALL,ALL,0TO99
2720,830,2010,10098.12,ALL,ALL,ALL,0TO99
