Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2052,327,D24HourMean,QuarterlyMean,Mean,9.00
2022,373,D24HourMean,QuarterlyMean,Mean,6.78
2031,328,D24HourMean,QuarterlyMean,Mean,7.54
2067,346,D24HourMean,QuarterlyMean,Mean,5.55
2032,360,D24HourMean,QuarterlyMean,Mean,6.94
2020,293,D24HourMean,QuarterlyMean,Mean,6.04
2011,347,D24HourMean,QuarterlyMean,Mean,6.52
2057,333,D24HourMean,QuarterlyMean,Mean,7.83
2054,361,D24HourMean,QuarterlyMean,Mean,6.46
2055,367,D24HourMean,QuarterlyMean,Mean,5.68
2009,294,D24HourMean,QuarterlyMean,Mean,9.08
2080,334,D24HourMean,QuarterlyMean,Mean,6.85
2068,356,D24HourMean,QuarterlyMean,Mean,5.77
2003,312,D24HourMean,QuarterlyMean,Mean,7.10
2057,330,D24HourMean,QuarterlyMean,Mean,7.52
2051,350,D24HourMean,QuarterlyMean,Mean,10.25
2046,321,D24HourMean,QuarterlyMean,Mean,8.23
2012,293,D24HourMean,QuarterlyMean,Mean,8.94
2021,377,D24HourMean,QuarterlyMean,Mean,6.66
2006,313,D24HourMean,QuarterlyMean,Mean,7.31
2018,351,D24HourMean,QuarterlyMean,Mean,6.96
2035,309,D24HourMean,QuarterlyMean,Mean,8.63
2012,320,D24HourMean,QuarterlyMean,Mean,8.15
2008,308,D24HourMean,QuarterlyMean,Mean,8.75
2024,299,D24HourMean,QuarterlyMean,Mean,9.27
2029,352,D24HourMean,QuarterlyMean,Mean,5.88
2058,311,D24HourMean,QuarterlyMean,Mean,7.24
2063,316,D24HourMean,QuarterlyMean,Mean,7.24
2028,362,D24HourMean,QuarterlyMean,Mean,6.94
2038,365,D24HourMean,QuarterlyMean,Mean,6.68
2063,343,D24HourMean,QuarterlyMean,Mean,6.57
2014,347,D24HourMean,QuarterlyMean,Mean,6.52
2032,319,D24HourMean,QuarterlyMean,Mean,8.11
2024,321,D24HourMean,QuarterlyMean,Mean,8.89
2012,355,D24HourMean,QuarterlyMean,Mean,6.62
2041,311,D24HourMean,QuarterlyMean,Mean,9.27
2019,337,D24HourMean,QuarterlyMean,Mean,7.15
2062,333,D24HourMean,QuarterlyMean,Mean,7.29
2049,339,D24HourMean,QuarterlyMean,Mean,7.71
2018,375,D24HourMean,QuarterlyMean,Mean,6.34
2034,343,D24HourMean,QuarterlyMean,Mean,7.89
2013,311,D24HourMean,QuarterlyMean,Mean,8.32
2072,325,D24HourMean,QuarterlyMean,Mean,6.98
2011,311,D24HourMean,QuarterlyMean,Mean,8.65
2049,373,D24HourMean,QuarterlyMean,Mean,5.25
2036,367,D24HourMean,QuarterlyMean,Mean,6.64
2008,332,D24HourMean,QuarterlyMean,Mean,7.15
2023,326,D24HourMean,QuarterlyMean,Mean,6.89
2005,318,D24HourMean,QuarterlyMean,Mean,7.15
2046,362,D24HourMean,QuarterlyMean,Mean,5.86
2032,357,D24HourMean,QuarterlyMean,Mean,6.55
2027,369,D24HourMean,QuarterlyMean,Mean,6.99
2011,375,D24HourMean,QuarterlyMean,Mean,7.73
2052,316,D24HourMean,QuarterlyMean,Mean,7.01
2039,305,D24HourMean,QuarterlyMean,Mean,8.51
2041,316,D24HourMean,QuarterlyMean,Mean,8.44
2056,334,D24HourMean,QuarterlyMean,Mean,7.89
2057,362,D24HourMean,QuarterlyMean,Mean,6.16
2052,324,D24HourMean,QuarterlyMean,Mean,8.06
2051,336,D24HourMean,QuarterlyMean,Mean,8.20
2044,344,D24HourMean,QuarterlyMean,Mean,8.06
2040,331,D24HourMean,QuarterlyMean,Mean,8.32
2028,350,D24HourMean,QuarterlyMean,Mean,6.64
2057,306,D24HourMean,QuarterlyMean,Mean,7.97
2044,371,D24HourMean,QuarterlyMean,Mean,6.14
2013,357,D24HourMean,QuarterlyMean,Mean,6.75
2052,378,D24HourMean,QuarterlyMean,Mean,6.62
2064,342,D24HourMean,QuarterlyMean,Mean,6.57
2037,336,D24HourMean,QuarterlyMean,Mean,7.83
2055,315,D24HourMean,QuarterlyMean,Mean,7.19
2051,323,D24HourMean,QuarterlyMean,Mean,7.48
2058,354,D24HourMean,QuarterlyMean,Mean,9.13
2069,352,D24HourMean,QuarterlyMean,Mean,5.32
2081,336,D24HourMean,QuarterlyMean,Mean,6.57
2022,302,D24HourMean,QuarterlyMean,Mean,8.74
2031,344,D24HourMean,QuarterlyMean,Mean,7.92
2061,358,D24HourMean,QuarterlyMean,Mean,8.23
2042,330,D24HourMean,QuarterlyMean,Mean,8.10
2014,372,D24HourMean,QuarterlyMean,Mean,6.59
2033,343,D24HourMean,QuarterlyMean,Mean,7.83
2065,320,D24HourMean,QuarterlyMean,Mean,6.82
2023,370,D24HourMean,QuarterlyMean,Mean,6.48
2058,329,D24HourMean,QuarterlyMean,Mean,7.75
2050,325,D24HourMean,QuarterlyMean,Mean,8.10
2037,347,D24HourMean,QuarterlyMean,Mean,7.82
2050,310,D24HourMean,QuarterlyMean,Mean,7.27
2058,366,D24HourMean,QuarterlyMean,Mean,5.75
2069,318,D24HourMean,QuarterlyMean,Mean,7.52
2051,306,D24HourMean,QuarterlyMean,Mean,7.40
2003,335,D24HourMean,QuarterlyMean,Mean,6.57
2018,371,D24HourMean,QuarterlyMean,Mean,5.88
2063,326,D24HourMean,QuarterlyMean,Mean,7.13
2058,330,D24HourMean,QuarterlyMean,Mean,7.75
2049,364,D24HourMean,QuarterlyMean,Mean,5.75
2016,327,D24HourMean,QuarterlyMean,Mean,7.41
2049,380,D24HourMean,QuarterlyMean,Mean,5.36
2029,317,D24HourMean,QuarterlyMean,Mean,8.15
2025,359,D24HourMean,QuarterlyMean,Mean,6.99
2018,342,D24HourMean,QuarterlyMean,Mean,7.19
2080,332,D24HourMean,QuarterlyMean,Mean,6.87
2017,306,D24HourMean,QuarterlyMean,Mean,9.20
2047,353,D24HourMean,QuarterlyMean,Mean,8.51
2068,318,D24HourMean,QuarterlyMean,Mean,7.22
2038,353,D24HourMean,QuarterlyMean,Mean,7.06
2034,312,D24HourMean,QuarterlyMean,Mean,8.67
2086,335,D24HourMean,QuarterlyMean,Mean,6.23
2040,308,D24HourMean,QuarterlyMean,Mean,8.43
2017,355,D24HourMean,QuarterlyMean,Mean,7.13
2018,325,D24HourMean,QuarterlyMean,Mean,7.24
2069,321,D24HourMean,QuarterlyMean,Mean,6.76
2089,336,D24HourMean,QuarterlyMean,Mean,6.91
2018,323,D24HourMean,QuarterlyMean,Mean,7.54
2077,341,D24HourMean,QuarterlyMean,Mean,6.41
2075,351,D24HourMean,QuarterlyMean,Mean,5.64
2022,362,D24HourMean,QuarterlyMean,Mean,6.82
2033,332,D24HourMean,QuarterlyMean,Mean,7.90
2011,336,D24HourMean,QuarterlyMean,Mean,7.10
2011,351,D24HourMean,QuarterlyMean,Mean,6.98
2079,337,D24HourMean,QuarterlyMean,Mean,6.18
2012,299,D24HourMean,QuarterlyMean,Mean,8.69
2031,353,D24HourMean,QuarterlyMean,Mean,6.32
2045,308,D24HourMean,QuarterlyMean,Mean,8.22
2061,365,D24HourMean,QuarterlyMean,Mean,5.55
2001,332,D24HourMean,QuarterlyMean,Mean,6.37
2022,361,D24HourMean,QuarterlyMean,Mean,6.87
2044,306,D24HourMean,QuarterlyMean,Mean,8.30
2049,338,D24HourMean,QuarterlyMean,Mean,7.66
2054,315,D24HourMean,QuarterlyMean,Mean,7.08
2001,330,D24HourMean,QuarterlyMean,Mean,6.52
2042,304,D24HourMean,QuarterlyMean,Mean,8.37
2064,330,D24HourMean,QuarterlyMean,Mean,7.56
2011,373,D24HourMean,QuarterlyMean,Mean,7.12
2019,305,D24HourMean,QuarterlyMean,Mean,8.62
2005,313,D24HourMean,QuarterlyMean,Mean,6.96
2018,354,D24HourMean,QuarterlyMean,Mean,7.27
2024,326,D24HourMean,QuarterlyMean,Mean,7.47
2035,313,D24HourMean,QuarterlyMean,Mean,8.55
2048,375,D24HourMean,QuarterlyMean,Mean,5.41
2029,326,D24HourMean,QuarterlyMean,Mean,7.43
2048,380,D24HourMean,QuarterlyMean,Mean,5.66
2051,307,D24HourMean,QuarterlyMean,Mean,7.24
2055,319,D24HourMean,QuarterlyMean,Mean,7.03
2071,324,D24HourMean,QuarterlyMean,Mean,7.10
2044,346,D24HourMean,QuarterlyMean,Mean,8.06
2056,342,D24HourMean,QuarterlyMean,Mean,6.44
2058,332,D24HourMean,QuarterlyMean,Mean,7.62
2039,354,D24HourMean,QuarterlyMean,Mean,7.03
2069,348,D24HourMean,QuarterlyMean,Mean,5.52
2050,361,D24HourMean,QuarterlyMean,Mean,6.30
2060,340,D24HourMean,QuarterlyMean,Mean,7.22
2020,329,D24HourMean,QuarterlyMean,Mean,7.27
2017,294,D24HourMean,QuarterlyMean,Mean,9.77
2047,364,D24HourMean,QuarterlyMean,Mean,5.48
2023,308,D24HourMean,QuarterlyMean,Mean,8.46
2049,313,D24HourMean,QuarterlyMean,Mean,7.89
2056,364,D24HourMean,QuarterlyMean,Mean,5.75
2049,311,D24HourMean,QuarterlyMean,Mean,7.38
2032,321,D24HourMean,QuarterlyMean,Mean,7.85
2049,360,D24HourMean,QuarterlyMean,Mean,6.96
2005,321,D24HourMean,QuarterlyMean,Mean,7.48
2014,338,D24HourMean,QuarterlyMean,Mean,7.24
2053,353,D24HourMean,QuarterlyMean,Mean,11.46
2042,305,D24HourMean,QuarterlyMean,Mean,8.20
2023,331,D24HourMean,QuarterlyMean,Mean,7.62
2078,341,D24HourMean,QuarterlyMean,Mean,6.36
2019,307,D24HourMean,QuarterlyMean,Mean,8.36
2031,329,D24HourMean,QuarterlyMean,Mean,7.38
2051,331,D24HourMean,QuarterlyMean,Mean,8.58
2001,338,D24HourMean,QuarterlyMean,Mean,6.43
2042,342,D24HourMean,QuarterlyMean,Mean,7.87
2015,347,D24HourMean,QuarterlyMean,Mean,6.57
2009,308,D24HourMean,QuarterlyMean,Mean,8.58
2052,309,D24HourMean,QuarterlyMean,Mean,7.29
2054,324,D24HourMean,QuarterlyMean,Mean,7.85
2081,334,D24HourMean,QuarterlyMean,Mean,6.85
2008,334,D24HourMean,QuarterlyMean,Mean,6.78
2048,329,D24HourMean,QuarterlyMean,Mean,9.00
2018,374,D24HourMean,QuarterlyMean,Mean,6.48
2043,337,D24HourMean,QuarterlyMean,Mean,7.85
2024,349,D24HourMean,QuarterlyMean,Mean,6.11
2025,341,D24HourMean,QuarterlyMean,Mean,7.68
2001,335,D24HourMean,QuarterlyMean,Mean,6.27
2009,328,D24HourMean,QuarterlyMean,Mean,7.29
2028,366,D24HourMean,QuarterlyMean,Mean,6.91
2042,326,D24HourMean,QuarterlyMean,Mean,8.49
2055,323,D24HourMean,QuarterlyMean,Mean,7.48
2017,291,D24HourMean,QuarterlyMean,Mean,9.00
2020,376,D24HourMean,QuarterlyMean,Mean,6.75
2023,309,D24HourMean,QuarterlyMean,Mean,8.51
2023,360,D24HourMean,QuarterlyMean,Mean,6.99
2058,310,D24HourMean,QuarterlyMean,Mean,7.61
2009,335,D24HourMean,QuarterlyMean,Mean,7.06
2085,342,D24HourMean,QuarterlyMean,Mean,6.25
2052,318,D24HourMean,QuarterlyMean,Mean,6.76
2011,335,D24HourMean,QuarterlyMean,Mean,7.24
2051,337,D24HourMean,QuarterlyMean,Mean,7.69
