Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2052,327,2010,40.79,ALL,ALL,ALL,0TO99
2022,373,2010,101.66,ALL,ALL,ALL,0TO99
2031,328,2010,36.27,ALL,ALL,ALL,0TO99
2067,346,2010,302.94,ALL,ALL,ALL,0TO99
2032,360,2010,168.46,ALL,ALL,ALL,0TO99
2020,293,2010,59.75,ALL,ALL,ALL,0TO99
2011,347,2010,36.76,ALL,ALL,ALL,0TO99
2057,333,2010,300.18,ALL,ALL,ALL,0TO99
2054,361,2010,371.80,ALL,ALL,ALL,0TO99
2055,367,2010,373.19,ALL,ALL,ALL,0TO99
2009,294,2010,85.72,ALL,ALL,ALL,0TO99
2080,334,2010,795.90,ALL,ALL,ALL,0TO99
2068,356,2010,370.61,ALL,ALL,ALL,0TO99
2003,312,2010,0.53,ALL,ALL,ALL,0TO99
2057,330,2010,927.15,ALL,ALL,ALL,0TO99
2051,350,2010,19.66,ALL,ALL,ALL,0TO99
2046,321,2010,178.85,ALL,ALL,ALL,0TO99
2012,293,2010,85.65,ALL,ALL,ALL,0TO99
2021,377,2010,158.05,ALL,ALL,ALL,0TO99
2006,313,2010,0.53,ALL,ALL,ALL,0TO99
2018,351,2010,100.27,ALL,ALL,ALL,0TO99
2035,309,2010,86.81,ALL,ALL,ALL,0TO99
2012,320,2010,42.24,ALL,ALL,ALL,0TO99
2008,308,2010,0.53,ALL,ALL,ALL,0TO99
2024,299,2010,86.09,ALL,ALL,ALL,0TO99
2029,352,2010,167.59,ALL,ALL,ALL,0TO99
2058,311,2010,16203.93,ALL,ALL,ALL,0TO99
2063,316,2010,1027.73,ALL,ALL,ALL,0TO99
2028,362,2010,168.67,ALL,ALL,ALL,0TO99
2038,365,2010,168.99,ALL,ALL,ALL,0TO99
2063,343,2010,302.32,ALL,ALL,ALL,0TO99
2014,347,2010,36.76,ALL,ALL,ALL,0TO99
2032,319,2010,477.19,ALL,ALL,ALL,0TO99
2024,321,2010,42.27,ALL,ALL,ALL,0TO99
2012,355,2010,100.54,ALL,ALL,ALL,0TO99
2041,311,2010,341.27,ALL,ALL,ALL,0TO99
