Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1980,637,D24HourMean,QuarterlyMean,Mean,20.96
2012,626,D24HourMean,QuarterlyMean,Mean,16.95
2005,610,D24HourMean,QuarterlyMean,Mean,17.90
2024,656,D24HourMean,QuarterlyMean,Mean,19.80
1981,623,D24HourMean,QuarterlyMean,Mean,17.00
1985,612,D24HourMean,QuarterlyMean,Mean,15.41
2016,611,D24HourMean,QuarterlyMean,Mean,17.82
2026,615,D24HourMean,QuarterlyMean,Mean,18.08
2033,618,D24HourMean,QuarterlyMean,Mean,19.29
2027,644,D24HourMean,QuarterlyMean,Mean,17.11
1998,635,D24HourMean,QuarterlyMean,Mean,18.64
1995,624,D24HourMean,QuarterlyMean,Mean,17.50
1959,633,D24HourMean,QuarterlyMean,Mean,17.91
1974,607,D24HourMean,QuarterlyMean,Mean,14.98
2013,619,D24HourMean,QuarterlyMean,Mean,17.65
1976,600,D24HourMean,QuarterlyMean,Mean,15.06
1978,623,D24HourMean,QuarterlyMean,Mean,16.41
2071,612,D24HourMean,QuarterlyMean,Mean,13.00
1973,615,D24HourMean,QuarterlyMean,Mean,14.61
2030,616,D24HourMean,QuarterlyMean,Mean,18.06
1950,609,D24HourMean,QuarterlyMean,Mean,15.11
1952,617,D24HourMean,QuarterlyMean,Mean,17.31
2003,646,D24HourMean,QuarterlyMean,Mean,19.80
2016,626,D24HourMean,QuarterlyMean,Mean,18.48
1978,598,D24HourMean,QuarterlyMean,Mean,14.18
2029,634,D24HourMean,QuarterlyMean,Mean,17.29
2019,664,D24HourMean,QuarterlyMean,Mean,20.77
2047,637,D24HourMean,QuarterlyMean,Mean,16.54
2036,609,D24HourMean,QuarterlyMean,Mean,17.93
2003,622,D24HourMean,QuarterlyMean,Mean,16.79
2012,648,D24HourMean,QuarterlyMean,Mean,18.28
2020,634,D24HourMean,QuarterlyMean,Mean,17.18
2017,619,D24HourMean,QuarterlyMean,Mean,18.33
2020,650,D24HourMean,QuarterlyMean,Mean,19.64
1977,614,D24HourMean,QuarterlyMean,Mean,15.21
1972,632,D24HourMean,QuarterlyMean,Mean,19.06
2016,619,D24HourMean,QuarterlyMean,Mean,17.94
2043,616,D24HourMean,QuarterlyMean,Mean,18.90
2071,617,D24HourMean,QuarterlyMean,Mean,13.38
2007,641,D24HourMean,QuarterlyMean,Mean,18.45
1992,612,D24HourMean,QuarterlyMean,Mean,16.48
1994,611,D24HourMean,QuarterlyMean,Mean,17.19
2002,648,D24HourMean,QuarterlyMean,Mean,19.71
1996,633,D24HourMean,QuarterlyMean,Mean,19.00
2055,620,D24HourMean,QuarterlyMean,Mean,16.42
2029,636,D24HourMean,QuarterlyMean,Mean,17.18
2034,623,D24HourMean,QuarterlyMean,Mean,18.38
2047,632,D24HourMean,QuarterlyMean,Mean,17.94
2032,623,D24HourMean,QuarterlyMean,Mean,18.22
2036,640,D24HourMean,QuarterlyMean,Mean,18.23
2037,634,D24HourMean,QuarterlyMean,Mean,17.23
1969,605,D24HourMean,QuarterlyMean,Mean,16.87
2006,609,D24HourMean,QuarterlyMean,Mean,17.57
2022,611,D24HourMean,QuarterlyMean,Mean,16.58
1966,598,D24HourMean,QuarterlyMean,Mean,13.25
2018,665,D24HourMean,QuarterlyMean,Mean,20.72
2010,639,D24HourMean,QuarterlyMean,Mean,17.76
1976,638,D24HourMean,QuarterlyMean,Mean,20.74
1956,597,D24HourMean,QuarterlyMean,Mean,13.93
1979,598,D24HourMean,QuarterlyMean,Mean,14.60
1996,647,D24HourMean,QuarterlyMean,Mean,20.08
2000,639,D24HourMean,QuarterlyMean,Mean,19.16
2045,626,D24HourMean,QuarterlyMean,Mean,17.60
1968,631,D24HourMean,QuarterlyMean,Mean,16.39
2033,607,D24HourMean,QuarterlyMean,Mean,17.06
2034,614,D24HourMean,QuarterlyMean,Mean,17.47
1954,629,D24HourMean,QuarterlyMean,Mean,18.64
2012,656,D24HourMean,QuarterlyMean,Mean,19.19
1971,618,D24HourMean,QuarterlyMean,Mean,15.95
2016,653,D24HourMean,QuarterlyMean,Mean,19.79
2012,641,D24HourMean,QuarterlyMean,Mean,16.54
1991,639,D24HourMean,QuarterlyMean,Mean,18.24
2004,636,D24HourMean,QuarterlyMean,Mean,18.79
1971,634,D24HourMean,QuarterlyMean,Mean,22.23
1999,645,D24HourMean,QuarterlyMean,Mean,20.42
1970,597,D24HourMean,QuarterlyMean,Mean,13.40
2023,624,D24HourMean,QuarterlyMean,Mean,19.52
1958,600,D24HourMean,QuarterlyMean,Mean,13.40
2007,609,D24HourMean,QuarterlyMean,Mean,17.28
2026,655,D24HourMean,QuarterlyMean,Mean,19.55
2011,629,D24HourMean,QuarterlyMean,Mean,17.28
1988,628,D24HourMean,QuarterlyMean,Mean,16.93
2015,614,D24HourMean,QuarterlyMean,Mean,17.91
1983,637,D24HourMean,QuarterlyMean,Mean,18.98
1968,611,D24HourMean,QuarterlyMean,Mean,17.49
1988,623,D24HourMean,QuarterlyMean,Mean,15.32
1975,614,D24HourMean,QuarterlyMean,Mean,15.09
2052,615,D24HourMean,QuarterlyMean,Mean,16.26
1957,599,D24HourMean,QuarterlyMean,Mean,13.53
2025,632,D24HourMean,QuarterlyMean,Mean,18.87
1998,625,D24HourMean,QuarterlyMean,Mean,17.52
2032,612,D24HourMean,QuarterlyMean,Mean,18.15
1965,619,D24HourMean,QuarterlyMean,Mean,19.08
1981,604,D24HourMean,QuarterlyMean,Mean,14.43
1989,631,D24HourMean,QuarterlyMean,Mean,17.78
2026,634,D24HourMean,QuarterlyMean,Mean,17.47
2060,624,D24HourMean,QuarterlyMean,Mean,12.81
2067,618,D24HourMean,QuarterlyMean,Mean,15.26
1985,628,D24HourMean,QuarterlyMean,Mean,18.30
2021,647,D24HourMean,QuarterlyMean,Mean,17.58
2028,626,D24HourMean,QuarterlyMean,Mean,18.49
2035,655,D24HourMean,QuarterlyMean,Mean,18.61
1997,616,D24HourMean,QuarterlyMean,Mean,17.41
2069,618,D24HourMean,QuarterlyMean,Mean,13.33
2002,620,D24HourMean,QuarterlyMean,Mean,17.24
2026,616,D24HourMean,QuarterlyMean,Mean,18.27
1986,600,D24HourMean,QuarterlyMean,Mean,14.32
2006,631,D24HourMean,QuarterlyMean,Mean,19.39
2044,642,D24HourMean,QuarterlyMean,Mean,17.60
2021,627,D24HourMean,QuarterlyMean,Mean,19.56
1985,625,D24HourMean,QuarterlyMean,Mean,17.10
1966,613,D24HourMean,QuarterlyMean,Mean,17.65
2029,614,D24HourMean,QuarterlyMean,Mean,20.27
2008,617,D24HourMean,QuarterlyMean,Mean,17.72
2010,628,D24HourMean,QuarterlyMean,Mean,16.52
2032,644,D24HourMean,QuarterlyMean,Mean,17.03
2056,624,D24HourMean,QuarterlyMean,Mean,15.65
1974,611,D24HourMean,QuarterlyMean,Mean,14.53
2003,649,D24HourMean,QuarterlyMean,Mean,19.51
1966,601,D24HourMean,QuarterlyMean,Mean,13.53
1979,602,D24HourMean,QuarterlyMean,Mean,14.80
2045,617,D24HourMean,QuarterlyMean,Mean,17.39
1978,606,D24HourMean,QuarterlyMean,Mean,15.44
1959,600,D24HourMean,QuarterlyMean,Mean,13.65
1985,636,D24HourMean,QuarterlyMean,Mean,20.24
2011,645,D24HourMean,QuarterlyMean,Mean,19.24
2021,662,D24HourMean,QuarterlyMean,Mean,20.34
