Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1980,637,2010,617.75,ALL,ALL,ALL,0TO99
2012,626,2010,368.55,ALL,ALL,ALL,0TO99
2005,610,2010,1120.80,ALL,ALL,ALL,0TO99
2024,656,2010,147.62,ALL,ALL,ALL,0TO99
1981,623,2010,577.86,ALL,ALL,ALL,0TO99
1985,612,2010,410.29,ALL,ALL,ALL,0TO99
2016,611,2010,1357.11,ALL,ALL,ALL,0TO99
2026,615,2010,172.48,ALL,ALL,ALL,0TO99
2033,618,2010,123.18,ALL,ALL,ALL,0TO99
2027,644,2010,98.57,ALL,ALL,ALL,0TO99
1998,635,2010,147.79,ALL,ALL,ALL,0TO99
1995,624,2010,1258.98,ALL,ALL,ALL,0TO99
1959,633,2010,2253.03,ALL,ALL,ALL,0TO99
1974,607,2010,1326.51,ALL,ALL,ALL,0TO99
2013,619,2010,1175.07,ALL,ALL,ALL,0TO99
1976,600,2010,2204.01,ALL,ALL,ALL,0TO99
1978,623,2010,604.58,ALL,ALL,ALL,0TO99
2071,612,2010,195.27,ALL,ALL,ALL,0TO99
1973,615,2010,982.64,ALL,ALL,ALL,0TO99
2030,616,2010,172.45,ALL,ALL,ALL,0TO99
1950,609,2010,1008.38,ALL,ALL,ALL,0TO99
1952,617,2010,1021.81,ALL,ALL,ALL,0TO99
2003,646,2010,130.36,ALL,ALL,ALL,0TO99
2016,626,2010,368.55,ALL,ALL,ALL,0TO99
1978,598,2010,2274.62,ALL,ALL,ALL,0TO99
2029,634,2010,28.26,ALL,ALL,ALL,0TO99
2019,664,2010,147.26,ALL,ALL,ALL,0TO99
2047,637,2010,12.30,ALL,ALL,ALL,0TO99
2036,609,2010,1064.12,ALL,ALL,ALL,0TO99
2003,622,2010,112.75,ALL,ALL,ALL,0TO99
2012,648,2010,130.29,ALL,ALL,ALL,0TO99
2020,634,2010,435.02,ALL,ALL,ALL,0TO99
2017,619,2010,369.05,ALL,ALL,ALL,0TO99
2020,650,2010,124.83,ALL,ALL,ALL,0TO99
1977,614,2010,982.81,ALL,ALL,ALL,0TO99
1972,632,2010,729.94,ALL,ALL,ALL,0TO99
2016,619,2010,369.05,ALL,ALL,ALL,0TO99
2043,616,2010,89.74,ALL,ALL,ALL,0TO99
2071,617,2010,188.27,ALL,ALL,ALL,0TO99
2007,641,2010,67.84,ALL,ALL,ALL,0TO99
1992,612,2010,879.27,ALL,ALL,ALL,0TO99
1994,611,2010,950.22,ALL,ALL,ALL,0TO99
2002,648,2010,130.29,ALL,ALL,ALL,0TO99
1996,633,2010,1040.52,ALL,ALL,ALL,0TO99
2055,620,2010,12.35,ALL,ALL,ALL,0TO99
2029,636,2010,98.64,ALL,ALL,ALL,0TO99
2034,623,2010,27.81,ALL,ALL,ALL,0TO99
2047,632,2010,12.32,ALL,ALL,ALL,0TO99
2032,623,2010,27.81,ALL,ALL,ALL,0TO99
2036,640,2010,27.70,ALL,ALL,ALL,0TO99
