Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1874,1026,D24HourMean,QuarterlyMean,Mean,10.96
1881,1034,D24HourMean,QuarterlyMean,Mean,10.78
1873,1033,D24HourMean,QuarterlyMean,Mean,8.49
1871,1021,D24HourMean,QuarterlyMean,Mean,8.65
1901,1023,D24HourMean,QuarterlyMean,Mean,19.39
1889,1026,D24HourMean,QuarterlyMean,Mean,17.42
1887,1032,D24HourMean,QuarterlyMean,Mean,11.75
1879,1022,D24HourMean,QuarterlyMean,Mean,16.37
1885,1025,D24HourMean,QuarterlyMean,Mean,16.84
1862,1021,D24HourMean,QuarterlyMean,Mean,13.59
1883,1031,D24HourMean,QuarterlyMean,Mean,12.73
1880,1023,D24HourMean,QuarterlyMean,Mean,15.46
1887,1033,D24HourMean,QuarterlyMean,Mean,12.20
1880,1030,D24HourMean,QuarterlyMean,Mean,10.82
1895,1026,D24HourMean,QuarterlyMean,Mean,16.54
1868,1029,D24HourMean,QuarterlyMean,Mean,9.67
1891,1031,D24HourMean,QuarterlyMean,Mean,9.84
1875,1022,D24HourMean,QuarterlyMean,Mean,10.90
1890,1022,D24HourMean,QuarterlyMean,Mean,20.21
1895,1029,D24HourMean,QuarterlyMean,Mean,11.64
1872,1022,D24HourMean,QuarterlyMean,Mean,10.26
1879,1031,D24HourMean,QuarterlyMean,Mean,11.14
1905,1025,D24HourMean,QuarterlyMean,Mean,16.51
1891,1028,D24HourMean,QuarterlyMean,Mean,15.09
1886,1035,D24HourMean,QuarterlyMean,Mean,12.02
1899,1029,D24HourMean,QuarterlyMean,Mean,11.94
1870,1023,D24HourMean,QuarterlyMean,Mean,8.59
1878,1020,D24HourMean,QuarterlyMean,Mean,8.09
1881,1027,D24HourMean,QuarterlyMean,Mean,12.88
1882,1031,D24HourMean,QuarterlyMean,Mean,12.34
1887,1021,D24HourMean,QuarterlyMean,Mean,18.51
1882,1028,D24HourMean,QuarterlyMean,Mean,11.63
1873,1024,D24HourMean,QuarterlyMean,Mean,8.45
1870,1031,D24HourMean,QuarterlyMean,Mean,8.36
1876,1028,D24HourMean,QuarterlyMean,Mean,11.86
1872,1023,D24HourMean,QuarterlyMean,Mean,8.29
1901,1024,D24HourMean,QuarterlyMean,Mean,18.89
1881,1028,D24HourMean,QuarterlyMean,Mean,11.78
1878,1025,D24HourMean,QuarterlyMean,Mean,13.65
1896,1034,D24HourMean,QuarterlyMean,Mean,10.67
1872,1033,D24HourMean,QuarterlyMean,Mean,8.35
