Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1130,328,2010,48.23,ALL,ALL,ALL,0TO99
1068,106,2010,54.75,ALL,ALL,ALL,0TO99
1070,47,2010,12.35,ALL,ALL,ALL,0TO99
1083,202,2010,2202.72,ALL,ALL,ALL,0TO99
1065,86,2010,4.11,ALL,ALL,ALL,0TO99
1072,29,2010,128.61,ALL,ALL,ALL,0TO99
1074,71,2010,6.54,ALL,ALL,ALL,0TO99
1085,38,2010,142.93,ALL,ALL,ALL,0TO99
1112,364,2010,44.31,ALL,ALL,ALL,0TO99
1108,283,2010,150.31,ALL,ALL,ALL,0TO99
1082,123,2010,66.40,ALL,ALL,ALL,0TO99
1106,18,2010,12.09,ALL,ALL,ALL,0TO99
1071,182,2010,4659.22,ALL,ALL,ALL,0TO99
1067,149,2010,1516.57,ALL,ALL,ALL,0TO99
1114,12,2010,109.07,ALL,ALL,ALL,0TO99
1045,63,2010,80.93,ALL,ALL,ALL,0TO99
1099,22,2010,5.05,ALL,ALL,ALL,0TO99
1074,84,2010,27.58,ALL,ALL,ALL,0TO99
1075,129,2010,77.06,ALL,ALL,ALL,0TO99
1083,109,2010,577.10,ALL,ALL,ALL,0TO99
1093,227,2010,35692.85,ALL,ALL,ALL,0TO99
1062,76,2010,2.62,ALL,ALL,ALL,0TO99
1082,164,2010,1845.52,ALL,ALL,ALL,0TO99
1085,219,2010,1516.51,ALL,ALL,ALL,0TO99
1091,23,2010,88.80,ALL,ALL,ALL,0TO99
1111,33,2010,5.24,ALL,ALL,ALL,0TO99
1063,69,2010,76.70,ALL,ALL,ALL,0TO99
1099,358,2010,4552.66,ALL,ALL,ALL,0TO99
1057,99,2010,65.22,ALL,ALL,ALL,0TO99
1071,93,2010,82.79,ALL,ALL,ALL,0TO99
1076,51,2010,13.67,ALL,ALL,ALL,0TO99
1093,245,2010,1200.72,ALL,ALL,ALL,0TO99
1112,337,2010,1265.41,ALL,ALL,ALL,0TO99
1074,159,2010,2265.36,ALL,ALL,ALL,0TO99
1081,210,2010,2222.04,ALL,ALL,ALL,0TO99
1090,238,2010,637.11,ALL,ALL,ALL,0TO99
1070,79,2010,7.99,ALL,ALL,ALL,0TO99
1067,154,2010,10841.52,ALL,ALL,ALL,0TO99
1075,137,2010,51.89,ALL,ALL,ALL,0TO99
1092,272,2010,701.19,ALL,ALL,ALL,0TO99
1101,328,2010,31.52,ALL,ALL,ALL,0TO99
1065,142,2010,1146.07,ALL,ALL,ALL,0TO99
1108,284,2010,150.44,ALL,ALL,ALL,0TO99
1084,205,2010,10973.43,ALL,ALL,ALL,0TO99
1112,318,2010,1518.67,ALL,ALL,ALL,0TO99
1076,137,2010,145.86,ALL,ALL,ALL,0TO99
1104,353,2010,163.86,ALL,ALL,ALL,0TO99
1064,149,2010,649.35,ALL,ALL,ALL,0TO99
1088,210,2010,6401.79,ALL,ALL,ALL,0TO99
1114,341,2010,1269.00,ALL,ALL,ALL,0TO99
1064,69,2010,57.93,ALL,ALL,ALL,0TO99
1077,28,2010,99.23,ALL,ALL,ALL,0TO99
1087,237,2010,2660.70,ALL,ALL,ALL,0TO99
1099,259,2010,527.00,ALL,ALL,ALL,0TO99
1054,47,2010,121.55,ALL,ALL,ALL,0TO99
1082,173,2010,1136.65,ALL,ALL,ALL,0TO99
1094,210,2010,2048.29,ALL,ALL,ALL,0TO99
1115,319,2010,949.33,ALL,ALL,ALL,0TO99
1078,149,2010,911.41,ALL,ALL,ALL,0TO99
1114,8,2010,9.36,ALL,ALL,ALL,0TO99
1087,22,2010,137.73,ALL,ALL,ALL,0TO99
1093,198,2010,775.25,ALL,ALL,ALL,0TO99
1102,355,2010,164.07,ALL,ALL,ALL,0TO99
1066,89,2010,2.50,ALL,ALL,ALL,0TO99
1119,336,2010,1264.49,ALL,ALL,ALL,0TO99
1076,188,2010,5375.10,ALL,ALL,ALL,0TO99
1058,79,2010,2.08,ALL,ALL,ALL,0TO99
1081,219,2010,652.59,ALL,ALL,ALL,0TO99
1077,42,2010,144.73,ALL,ALL,ALL,0TO99
1084,254,2010,2175.00,ALL,ALL,ALL,0TO99
1073,182,2010,5341.35,ALL,ALL,ALL,0TO99
1103,13,2010,3.24,ALL,ALL,ALL,0TO99
1097,282,2010,501.78,ALL,ALL,ALL,0TO99
1063,85,2010,0.78,ALL,ALL,ALL,0TO99
1076,157,2010,86.58,ALL,ALL,ALL,0TO99
1095,208,2010,859.81,ALL,ALL,ALL,0TO99
1107,313,2010,129.25,ALL,ALL,ALL,0TO99
1062,140,2010,2702.39,ALL,ALL,ALL,0TO99
1104,295,2010,71.73,ALL,ALL,ALL,0TO99
1075,188,2010,4813.97,ALL,ALL,ALL,0TO99
1091,39,2010,143.24,ALL,ALL,ALL,0TO99
1114,323,2010,39.77,ALL,ALL,ALL,0TO99
1095,329,2010,133.55,ALL,ALL,ALL,0TO99
1055,48,2010,96.92,ALL,ALL,ALL,0TO99
1067,151,2010,2182.62,ALL,ALL,ALL,0TO99
1096,281,2010,841.31,ALL,ALL,ALL,0TO99
1079,193,2010,7122.04,ALL,ALL,ALL,0TO99
1082,138,2010,108.87,ALL,ALL,ALL,0TO99
1067,80,2010,2.67,ALL,ALL,ALL,0TO99
1103,350,2010,163.53,ALL,ALL,ALL,0TO99
1078,100,2010,529.53,ALL,ALL,ALL,0TO99
1056,30,2010,112.51,ALL,ALL,ALL,0TO99
1098,217,2010,1217.03,ALL,ALL,ALL,0TO99
1078,192,2010,2166.68,ALL,ALL,ALL,0TO99
1073,184,2010,3033.43,ALL,ALL,ALL,0TO99
1098,230,2010,5039.31,ALL,ALL,ALL,0TO99
1087,248,2010,504.74,ALL,ALL,ALL,0TO99
1053,93,2010,64.52,ALL,ALL,ALL,0TO99
1068,95,2010,63.77,ALL,ALL,ALL,0TO99
1105,14,2010,2.07,ALL,ALL,ALL,0TO99
1083,184,2010,643.52,ALL,ALL,ALL,0TO99
1098,13,2010,6.98,ALL,ALL,ALL,0TO99
1098,296,2010,239.28,ALL,ALL,ALL,0TO99
1110,338,2010,584.01,ALL,ALL,ALL,0TO99
1073,82,2010,26.96,ALL,ALL,ALL,0TO99
1085,32,2010,140.84,ALL,ALL,ALL,0TO99
1065,43,2010,137.88,ALL,ALL,ALL,0TO99
1052,103,2010,27.96,ALL,ALL,ALL,0TO99
1114,300,2010,55.36,ALL,ALL,ALL,0TO99
1078,169,2010,3180.50,ALL,ALL,ALL,0TO99
1100,349,2010,9518.76,ALL,ALL,ALL,0TO99
1077,93,2010,56.43,ALL,ALL,ALL,0TO99
1080,212,2010,1033.38,ALL,ALL,ALL,0TO99
1076,108,2010,66.29,ALL,ALL,ALL,0TO99
1087,193,2010,1299.55,ALL,ALL,ALL,0TO99
1061,80,2010,1.06,ALL,ALL,ALL,0TO99
1103,376,2010,5333.91,ALL,ALL,ALL,0TO99
1059,42,2010,94.33,ALL,ALL,ALL,0TO99
1074,164,2010,1163.57,ALL,ALL,ALL,0TO99
1100,338,2010,630.31,ALL,ALL,ALL,0TO99
1102,313,2010,69.31,ALL,ALL,ALL,0TO99
1114,22,2010,124.46,ALL,ALL,ALL,0TO99
1059,59,2010,144.91,ALL,ALL,ALL,0TO99
1096,215,2010,1220.80,ALL,ALL,ALL,0TO99
1113,15,2010,12.01,ALL,ALL,ALL,0TO99
1111,330,2010,43.61,ALL,ALL,ALL,0TO99
