Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1728,660,2010,1114.03,ALL,ALL,ALL,0TO99
1768,650,2010,840.23,ALL,ALL,ALL,0TO99
1762,649,2010,637.67,ALL,ALL,ALL,0TO99
1733,659,2010,2335.06,ALL,ALL,ALL,0TO99
1754,644,2010,1592.24,ALL,ALL,ALL,0TO99
1730,637,2010,4746.54,ALL,ALL,ALL,0TO99
1753,617,2010,7593.51,ALL,ALL,ALL,0TO99
1723,628,2010,10004.84,ALL,ALL,ALL,0TO99
1732,652,2010,1009.87,ALL,ALL,ALL,0TO99
1760,649,2010,387.25,ALL,ALL,ALL,0TO99
1730,653,2010,1021.69,ALL,ALL,ALL,0TO99
1747,647,2010,853.69,ALL,ALL,ALL,0TO99
1766,626,2010,8392.42,ALL,ALL,ALL,0TO99
1722,649,2010,2007.51,ALL,ALL,ALL,0TO99
1748,658,2010,4367.81,ALL,ALL,ALL,0TO99
1752,656,2010,6472.04,ALL,ALL,ALL,0TO99
1748,623,2010,6549.69,ALL,ALL,ALL,0TO99
1773,643,2010,7115.90,ALL,ALL,ALL,0TO99
1720,632,2010,9432.36,ALL,ALL,ALL,0TO99
1738,630,2010,10812.12,ALL,ALL,ALL,0TO99
1730,629,2010,10269.92,ALL,ALL,ALL,0TO99
1731,630,2010,8001.67,ALL,ALL,ALL,0TO99
1730,640,2010,1994.90,ALL,ALL,ALL,0TO99
1730,609,2010,10988.34,ALL,ALL,ALL,0TO99
1743,612,2010,2750.42,ALL,ALL,ALL,0TO99
1758,639,2010,1901.15,ALL,ALL,ALL,0TO99
1729,619,2010,3185.01,ALL,ALL,ALL,0TO99
1721,630,2010,10647.63,ALL,ALL,ALL,0TO99
1750,633,2010,4441.12,ALL,ALL,ALL,0TO99
1722,623,2010,6858.04,ALL,ALL,ALL,0TO99
1730,643,2010,827.63,ALL,ALL,ALL,0TO99
1750,635,2010,11296.53,ALL,ALL,ALL,0TO99
1732,658,2010,1322.49,ALL,ALL,ALL,0TO99
1765,628,2010,8245.74,ALL,ALL,ALL,0TO99
1770,636,2010,6613.97,ALL,ALL,ALL,0TO99
1760,628,2010,5634.69,ALL,ALL,ALL,0TO99
1728,617,2010,3060.28,ALL,ALL,ALL,0TO99
1733,649,2010,1723.04,ALL,ALL,ALL,0TO99
1768,613,2010,20992.74,ALL,ALL,ALL,0TO99
1720,634,2010,9428.18,ALL,ALL,ALL,0TO99
1728,642,2010,400.31,ALL,ALL,ALL,0TO99
1722,636,2010,4200.34,ALL,ALL,ALL,0TO99
1754,623,2010,4062.82,ALL,ALL,ALL,0TO99
1724,635,2010,17660.42,ALL,ALL,ALL,0TO99
1765,612,2010,8634.92,ALL,ALL,ALL,0TO99
1739,632,2010,8646.02,ALL,ALL,ALL,0TO99
1764,623,2010,5559.67,ALL,ALL,ALL,0TO99
1727,652,2010,675.98,ALL,ALL,ALL,0TO99
1743,661,2010,3041.35,ALL,ALL,ALL,0TO99
1761,655,2010,1056.51,ALL,ALL,ALL,0TO99
1718,632,2010,9362.65,ALL,ALL,ALL,0TO99
1739,634,2010,6702.72,ALL,ALL,ALL,0TO99
1728,649,2010,575.15,ALL,ALL,ALL,0TO99
1736,624,2010,9636.45,ALL,ALL,ALL,0TO99
1723,659,2010,1720.81,ALL,ALL,ALL,0TO99
1742,612,2010,2046.39,ALL,ALL,ALL,0TO99
1748,635,2010,7157.11,ALL,ALL,ALL,0TO99
1753,614,2010,9176.16,ALL,ALL,ALL,0TO99
1770,653,2010,839.52,ALL,ALL,ALL,0TO99
1759,656,2010,1573.69,ALL,ALL,ALL,0TO99
1751,636,2010,38739.62,ALL,ALL,ALL,0TO99
1765,614,2010,8248.78,ALL,ALL,ALL,0TO99
1765,643,2010,1650.28,ALL,ALL,ALL,0TO99
1735,643,2010,2392.58,ALL,ALL,ALL,0TO99
1734,640,2010,6534.25,ALL,ALL,ALL,0TO99
1750,623,2010,4681.87,ALL,ALL,ALL,0TO99
1772,639,2010,7123.06,ALL,ALL,ALL,0TO99
1733,650,2010,1751.64,ALL,ALL,ALL,0TO99
1727,659,2010,1128.09,ALL,ALL,ALL,0TO99
1766,621,2010,3945.78,ALL,ALL,ALL,0TO99
1750,617,2010,15679.68,ALL,ALL,ALL,0TO99
1770,639,2010,6432.01,ALL,ALL,ALL,0TO99
1737,625,2010,10837.35,ALL,ALL,ALL,0TO99
1747,627,2010,17750.09,ALL,ALL,ALL,0TO99
1768,629,2010,7286.45,ALL,ALL,ALL,0TO99
1728,646,2010,1437.05,ALL,ALL,ALL,0TO99
1731,641,2010,835.55,ALL,ALL,ALL,0TO99
1732,621,2010,10744.34,ALL,ALL,ALL,0TO99
1753,628,2010,6183.22,ALL,ALL,ALL,0TO99
1759,648,2010,387.36,ALL,ALL,ALL,0TO99
1731,629,2010,7309.53,ALL,ALL,ALL,0TO99
1749,655,2010,4572.83,ALL,ALL,ALL,0TO99
1757,621,2010,5887.33,ALL,ALL,ALL,0TO99
1726,653,2010,1484.49,ALL,ALL,ALL,0TO99
1730,610,2010,10941.10,ALL,ALL,ALL,0TO99
1747,637,2010,6849.67,ALL,ALL,ALL,0TO99
1742,636,2010,6409.68,ALL,ALL,ALL,0TO99
1745,628,2010,12761.60,ALL,ALL,ALL,0TO99
1759,634,2010,2317.32,ALL,ALL,ALL,0TO99
1748,654,2010,2582.37,ALL,ALL,ALL,0TO99
1772,651,2010,840.00,ALL,ALL,ALL,0TO99
1773,647,2010,1684.93,ALL,ALL,ALL,0TO99
1734,613,2010,18173.23,ALL,ALL,ALL,0TO99
1770,611,2010,13614.14,ALL,ALL,ALL,0TO99
1719,632,2010,9432.36,ALL,ALL,ALL,0TO99
1735,660,2010,4304.49,ALL,ALL,ALL,0TO99
1744,640,2010,3705.27,ALL,ALL,ALL,0TO99
1743,625,2010,14728.75,ALL,ALL,ALL,0TO99
1767,611,2010,23266.37,ALL,ALL,ALL,0TO99
1765,649,2010,840.47,ALL,ALL,ALL,0TO99
1749,612,2010,5300.96,ALL,ALL,ALL,0TO99
1764,650,2010,840.23,ALL,ALL,ALL,0TO99
1745,619,2010,7917.64,ALL,ALL,ALL,0TO99
1749,653,2010,1731.05,ALL,ALL,ALL,0TO99
1752,650,2010,509.03,ALL,ALL,ALL,0TO99
1762,656,2010,1589.19,ALL,ALL,ALL,0TO99
1745,626,2010,13561.83,ALL,ALL,ALL,0TO99
1739,658,2010,2424.82,ALL,ALL,ALL,0TO99
1738,649,2010,3114.65,ALL,ALL,ALL,0TO99
1744,643,2010,3713.78,ALL,ALL,ALL,0TO99
1739,624,2010,10810.78,ALL,ALL,ALL,0TO99
1747,656,2010,7260.10,ALL,ALL,ALL,0TO99
1744,621,2010,8709.18,ALL,ALL,ALL,0TO99
1746,656,2010,12635.17,ALL,ALL,ALL,0TO99
1738,665,2010,3426.22,ALL,ALL,ALL,0TO99
1751,628,2010,4676.06,ALL,ALL,ALL,0TO99
1736,652,2010,2453.77,ALL,ALL,ALL,0TO99
1766,645,2010,1269.95,ALL,ALL,ALL,0TO99
1743,635,2010,4915.49,ALL,ALL,ALL,0TO99
1737,662,2010,2991.52,ALL,ALL,ALL,0TO99
1731,639,2010,3387.29,ALL,ALL,ALL,0TO99
1731,632,2010,8360.21,ALL,ALL,ALL,0TO99
1767,638,2010,4345.10,ALL,ALL,ALL,0TO99
1744,663,2010,3951.12,ALL,ALL,ALL,0TO99
1767,620,2010,4718.87,ALL,ALL,ALL,0TO99
1743,650,2010,1676.10,ALL,ALL,ALL,0TO99
1748,628,2010,17776.57,ALL,ALL,ALL,0TO99
1761,617,2010,5222.41,ALL,ALL,ALL,0TO99
1743,620,2010,8876.96,ALL,ALL,ALL,0TO99
1753,637,2010,2633.96,ALL,ALL,ALL,0TO99
