Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1925,639,D24HourMean,QuarterlyMean,Mean,24.17
1940,616,D24HourMean,QuarterlyMean,Mean,21.51
1930,653,D24HourMean,QuarterlyMean,Mean,26.62
1903,595,D24HourMean,QuarterlyMean,Mean,10.66
1933,628,D24HourMean,QuarterlyMean,Mean,20.42
1909,604,D24HourMean,QuarterlyMean,Mean,14.50
1941,607,D24HourMean,QuarterlyMean,Mean,14.38
1950,670,D24HourMean,QuarterlyMean,Mean,29.67
1902,604,D24HourMean,QuarterlyMean,Mean,14.02
1924,589,D24HourMean,QuarterlyMean,Mean,10.37
1935,599,D24HourMean,QuarterlyMean,Mean,13.87
1943,620,D24HourMean,QuarterlyMean,Mean,18.15
1900,605,D24HourMean,QuarterlyMean,Mean,22.04
1891,615,D24HourMean,QuarterlyMean,Mean,21.82
1938,659,D24HourMean,QuarterlyMean,Mean,26.32
1946,634,D24HourMean,QuarterlyMean,Mean,19.27
1942,671,D24HourMean,QuarterlyMean,Mean,30.67
1931,601,D24HourMean,QuarterlyMean,Mean,14.88
1927,584,D24HourMean,QuarterlyMean,Mean,10.33
1955,582,D24HourMean,QuarterlyMean,Mean,11.59
1932,590,D24HourMean,QuarterlyMean,Mean,11.10
1918,617,D24HourMean,QuarterlyMean,Mean,20.06
1954,639,D24HourMean,QuarterlyMean,Mean,20.50
1907,598,D24HourMean,QuarterlyMean,Mean,13.47
1933,588,D24HourMean,QuarterlyMean,Mean,10.90
1897,610,D24HourMean,QuarterlyMean,Mean,15.34
1918,595,D24HourMean,QuarterlyMean,Mean,11.82
1929,622,D24HourMean,QuarterlyMean,Mean,19.68
1942,665,D24HourMean,QuarterlyMean,Mean,31.80
1944,597,D24HourMean,QuarterlyMean,Mean,13.40
1933,652,D24HourMean,QuarterlyMean,Mean,26.01
1919,617,D24HourMean,QuarterlyMean,Mean,19.66
1931,634,D24HourMean,QuarterlyMean,Mean,21.62
1919,613,D24HourMean,QuarterlyMean,Mean,18.58
1931,653,D24HourMean,QuarterlyMean,Mean,30.05
1906,625,D24HourMean,QuarterlyMean,Mean,19.63
1944,628,D24HourMean,QuarterlyMean,Mean,20.48
1920,634,D24HourMean,QuarterlyMean,Mean,21.92
1911,598,D24HourMean,QuarterlyMean,Mean,11.33
1904,622,D24HourMean,QuarterlyMean,Mean,17.94
1922,634,D24HourMean,QuarterlyMean,Mean,22.15
1933,621,D24HourMean,QuarterlyMean,Mean,21.88
1940,584,D24HourMean,QuarterlyMean,Mean,11.13
1955,594,D24HourMean,QuarterlyMean,Mean,12.85
1896,618,D24HourMean,QuarterlyMean,Mean,19.97
1924,586,D24HourMean,QuarterlyMean,Mean,9.89
1928,598,D24HourMean,QuarterlyMean,Mean,14.02
1945,589,D24HourMean,QuarterlyMean,Mean,11.27
1917,617,D24HourMean,QuarterlyMean,Mean,19.17
1938,626,D24HourMean,QuarterlyMean,Mean,19.09
1927,621,D24HourMean,QuarterlyMean,Mean,18.54
1912,602,D24HourMean,QuarterlyMean,Mean,18.56
1930,620,D24HourMean,QuarterlyMean,Mean,20.19
1908,616,D24HourMean,QuarterlyMean,Mean,17.88
1940,627,D24HourMean,QuarterlyMean,Mean,22.05
1900,597,D24HourMean,QuarterlyMean,Mean,6.80
1947,584,D24HourMean,QuarterlyMean,Mean,11.44
1911,619,D24HourMean,QuarterlyMean,Mean,20.68
1931,640,D24HourMean,QuarterlyMean,Mean,23.34
1953,589,D24HourMean,QuarterlyMean,Mean,12.16
1889,610,D24HourMean,QuarterlyMean,Mean,16.19
1938,621,D24HourMean,QuarterlyMean,Mean,21.80
1910,600,D24HourMean,QuarterlyMean,Mean,13.85
1942,647,D24HourMean,QuarterlyMean,Mean,26.34
1928,589,D24HourMean,QuarterlyMean,Mean,10.44
1889,614,D24HourMean,QuarterlyMean,Mean,19.39
1915,592,D24HourMean,QuarterlyMean,Mean,9.75
1920,627,D24HourMean,QuarterlyMean,Mean,27.22
1895,615,D24HourMean,QuarterlyMean,Mean,20.68
1950,602,D24HourMean,QuarterlyMean,Mean,14.07
1940,593,D24HourMean,QuarterlyMean,Mean,12.06
1916,623,D24HourMean,QuarterlyMean,Mean,20.19
1927,632,D24HourMean,QuarterlyMean,Mean,20.66
1941,661,D24HourMean,QuarterlyMean,Mean,27.81
1935,617,D24HourMean,QuarterlyMean,Mean,16.90
1948,662,D24HourMean,QuarterlyMean,Mean,30.40
1930,631,D24HourMean,QuarterlyMean,Mean,20.55
1949,670,D24HourMean,QuarterlyMean,Mean,30.00
1925,589,D24HourMean,QuarterlyMean,Mean,10.30
1918,608,D24HourMean,QuarterlyMean,Mean,16.01
1933,644,D24HourMean,QuarterlyMean,Mean,21.94
1947,589,D24HourMean,QuarterlyMean,Mean,12.92
1917,601,D24HourMean,QuarterlyMean,Mean,13.67
1905,585,D24HourMean,QuarterlyMean,Mean,10.16
1941,634,D24HourMean,QuarterlyMean,Mean,20.10
1918,626,D24HourMean,QuarterlyMean,Mean,23.14
1929,628,D24HourMean,QuarterlyMean,Mean,21.91
1946,628,D24HourMean,QuarterlyMean,Mean,18.24
1914,617,D24HourMean,QuarterlyMean,Mean,19.58
1943,599,D24HourMean,QuarterlyMean,Mean,13.98
1947,592,D24HourMean,QuarterlyMean,Mean,12.72
1892,609,D24HourMean,QuarterlyMean,Mean,16.90
1917,610,D24HourMean,QuarterlyMean,Mean,16.01
1931,619,D24HourMean,QuarterlyMean,Mean,19.66
1940,669,D24HourMean,QuarterlyMean,Mean,29.55
1944,668,D24HourMean,QuarterlyMean,Mean,33.73
1961,587,D24HourMean,QuarterlyMean,Mean,12.38
1927,583,D24HourMean,QuarterlyMean,Mean,10.73
1939,596,D24HourMean,QuarterlyMean,Mean,13.07
1896,619,D24HourMean,QuarterlyMean,Mean,18.53
1923,605,D24HourMean,QuarterlyMean,Mean,15.55
1948,601,D24HourMean,QuarterlyMean,Mean,14.13
1902,616,D24HourMean,QuarterlyMean,Mean,15.88
1930,618,D24HourMean,QuarterlyMean,Mean,19.93
1947,680,D24HourMean,QuarterlyMean,Mean,32.48
1947,637,D24HourMean,QuarterlyMean,Mean,20.58
1893,604,D24HourMean,QuarterlyMean,Mean,15.17
1920,616,D24HourMean,QuarterlyMean,Mean,17.34
1938,627,D24HourMean,QuarterlyMean,Mean,19.14
1931,615,D24HourMean,QuarterlyMean,Mean,21.12
1952,590,D24HourMean,QuarterlyMean,Mean,13.07
1956,636,D24HourMean,QuarterlyMean,Mean,19.77
1944,664,D24HourMean,QuarterlyMean,Mean,34.78
1896,609,D24HourMean,QuarterlyMean,Mean,15.74
1920,630,D24HourMean,QuarterlyMean,Mean,21.00
1903,615,D24HourMean,QuarterlyMean,Mean,18.48
1922,599,D24HourMean,QuarterlyMean,Mean,14.51
1900,593,D24HourMean,QuarterlyMean,Mean,16.13
1947,609,D24HourMean,QuarterlyMean,Mean,17.45
1929,608,D24HourMean,QuarterlyMean,Mean,15.62
1914,603,D24HourMean,QuarterlyMean,Mean,14.07
1928,610,D24HourMean,QuarterlyMean,Mean,15.83
1941,599,D24HourMean,QuarterlyMean,Mean,13.20
1947,586,D24HourMean,QuarterlyMean,Mean,11.55
1949,674,D24HourMean,QuarterlyMean,Mean,31.04
1944,621,D24HourMean,QuarterlyMean,Mean,20.29
1947,622,D24HourMean,QuarterlyMean,Mean,18.11
1949,637,D24HourMean,QuarterlyMean,Mean,20.06
1890,617,D24HourMean,QuarterlyMean,Mean,22.87
1902,613,D24HourMean,QuarterlyMean,Mean,14.94
1908,602,D24HourMean,QuarterlyMean,Mean,13.53
1927,594,D24HourMean,QuarterlyMean,Mean,11.62
1954,635,D24HourMean,QuarterlyMean,Mean,20.06
1932,627,D24HourMean,QuarterlyMean,Mean,24.27
1933,585,D24HourMean,QuarterlyMean,Mean,9.63
1932,591,D24HourMean,QuarterlyMean,Mean,11.01
1937,623,D24HourMean,QuarterlyMean,Mean,27.25
1900,620,D24HourMean,QuarterlyMean,Mean,18.25
1933,609,D24HourMean,QuarterlyMean,Mean,15.49
1903,627,D24HourMean,QuarterlyMean,Mean,21.73
1934,610,D24HourMean,QuarterlyMean,Mean,15.21
1934,656,D24HourMean,QuarterlyMean,Mean,26.26
1919,607,D24HourMean,QuarterlyMean,Mean,16.18
1936,645,D24HourMean,QuarterlyMean,Mean,25.23
1942,637,D24HourMean,QuarterlyMean,Mean,20.35
1919,610,D24HourMean,QuarterlyMean,Mean,16.00
1954,595,D24HourMean,QuarterlyMean,Mean,12.50
1920,594,D24HourMean,QuarterlyMean,Mean,11.40
1923,587,D24HourMean,QuarterlyMean,Mean,10.83
1960,578,D24HourMean,QuarterlyMean,Mean,11.86
1895,599,D24HourMean,QuarterlyMean,Mean,6.69
1944,629,D24HourMean,QuarterlyMean,Mean,20.35
1892,607,D24HourMean,QuarterlyMean,Mean,16.43
1910,584,D24HourMean,QuarterlyMean,Mean,5.01
1949,591,D24HourMean,QuarterlyMean,Mean,13.02
1925,597,D24HourMean,QuarterlyMean,Mean,13.12
1941,638,D24HourMean,QuarterlyMean,Mean,21.54
1903,604,D24HourMean,QuarterlyMean,Mean,14.83
1937,601,D24HourMean,QuarterlyMean,Mean,15.14
1958,588,D24HourMean,QuarterlyMean,Mean,11.84
1919,596,D24HourMean,QuarterlyMean,Mean,12.14
1921,608,D24HourMean,QuarterlyMean,Mean,17.96
1924,644,D24HourMean,QuarterlyMean,Mean,23.95
1949,625,D24HourMean,QuarterlyMean,Mean,18.67
1953,585,D24HourMean,QuarterlyMean,Mean,11.25
1904,585,D24HourMean,QuarterlyMean,Mean,10.01
1927,633,D24HourMean,QuarterlyMean,Mean,21.40
1926,584,D24HourMean,QuarterlyMean,Mean,10.16
1913,603,D24HourMean,QuarterlyMean,Mean,15.69
1923,622,D24HourMean,QuarterlyMean,Mean,21.30
1930,643,D24HourMean,QuarterlyMean,Mean,25.26
1944,661,D24HourMean,QuarterlyMean,Mean,28.19
1908,611,D24HourMean,QuarterlyMean,Mean,19.00
1950,595,D24HourMean,QuarterlyMean,Mean,13.03
1950,589,D24HourMean,QuarterlyMean,Mean,12.18
1898,619,D24HourMean,QuarterlyMean,Mean,18.95
1934,640,D24HourMean,QuarterlyMean,Mean,22.01
1957,580,D24HourMean,QuarterlyMean,Mean,11.72
1923,601,D24HourMean,QuarterlyMean,Mean,13.38
1924,629,D24HourMean,QuarterlyMean,Mean,21.89
1954,662,D24HourMean,QuarterlyMean,Mean,27.69
1902,600,D24HourMean,QuarterlyMean,Mean,6.73
1901,625,D24HourMean,QuarterlyMean,Mean,20.14
1939,646,D24HourMean,QuarterlyMean,Mean,26.43
1911,602,D24HourMean,QuarterlyMean,Mean,19.81
1926,600,D24HourMean,QuarterlyMean,Mean,13.92
1900,618,D24HourMean,QuarterlyMean,Mean,18.56
1901,584,D24HourMean,QuarterlyMean,Mean,10.30
1920,609,D24HourMean,QuarterlyMean,Mean,17.09
1940,607,D24HourMean,QuarterlyMean,Mean,16.69
1912,586,D24HourMean,QuarterlyMean,Mean,9.10
1914,618,D24HourMean,QuarterlyMean,Mean,20.16
1931,611,D24HourMean,QuarterlyMean,Mean,16.01
1909,619,D24HourMean,QuarterlyMean,Mean,19.37
1935,633,D24HourMean,QuarterlyMean,Mean,20.85
1902,606,D24HourMean,QuarterlyMean,Mean,14.50
1910,622,D24HourMean,QuarterlyMean,Mean,19.30
1928,627,D24HourMean,QuarterlyMean,Mean,24.23
1924,618,D24HourMean,QuarterlyMean,Mean,19.22
1954,661,D24HourMean,QuarterlyMean,Mean,28.39
1901,600,D24HourMean,QuarterlyMean,Mean,13.58
1940,583,D24HourMean,QuarterlyMean,Mean,10.42
1955,593,D24HourMean,QuarterlyMean,Mean,12.85
1942,630,D24HourMean,QuarterlyMean,Mean,20.18
1927,608,D24HourMean,QuarterlyMean,Mean,15.73
1932,643,D24HourMean,QuarterlyMean,Mean,21.65
1930,606,D24HourMean,QuarterlyMean,Mean,15.34
1945,673,D24HourMean,QuarterlyMean,Mean,31.23
1921,606,D24HourMean,QuarterlyMean,Mean,16.52
1923,583,D24HourMean,QuarterlyMean,Mean,9.36
1892,617,D24HourMean,QuarterlyMean,Mean,21.16
1908,585,D24HourMean,QuarterlyMean,Mean,5.19
1947,631,D24HourMean,QuarterlyMean,Mean,18.87
1951,646,D24HourMean,QuarterlyMean,Mean,24.66
1930,624,D24HourMean,QuarterlyMean,Mean,21.46
1945,597,D24HourMean,QuarterlyMean,Mean,12.73
1953,633,D24HourMean,QuarterlyMean,Mean,19.05
1903,601,D24HourMean,QuarterlyMean,Mean,14.61
1928,630,D24HourMean,QuarterlyMean,Mean,22.10
1952,589,D24HourMean,QuarterlyMean,Mean,12.31
1900,598,D24HourMean,QuarterlyMean,Mean,7.17
1942,632,D24HourMean,QuarterlyMean,Mean,19.81
1905,596,D24HourMean,QuarterlyMean,Mean,10.95
1943,669,D24HourMean,QuarterlyMean,Mean,32.81
1909,611,D24HourMean,QuarterlyMean,Mean,18.63
1929,629,D24HourMean,QuarterlyMean,Mean,24.28
1943,623,D24HourMean,QuarterlyMean,Mean,21.03
1933,622,D24HourMean,QuarterlyMean,Mean,23.93
1909,610,D24HourMean,QuarterlyMean,Mean,17.83
1917,627,D24HourMean,QuarterlyMean,Mean,23.65
1923,624,D24HourMean,QuarterlyMean,Mean,20.63
1950,581,D24HourMean,QuarterlyMean,Mean,11.22
1935,590,D24HourMean,QuarterlyMean,Mean,10.88
1898,620,D24HourMean,QuarterlyMean,Mean,17.75
1915,617,D24HourMean,QuarterlyMean,Mean,18.77
1939,645,D24HourMean,QuarterlyMean,Mean,24.58
1939,652,D24HourMean,QuarterlyMean,Mean,28.61
1916,603,D24HourMean,QuarterlyMean,Mean,14.63
1951,641,D24HourMean,QuarterlyMean,Mean,20.08
1938,645,D24HourMean,QuarterlyMean,Mean,24.60
1944,650,D24HourMean,QuarterlyMean,Mean,25.78
1932,651,D24HourMean,QuarterlyMean,Mean,26.27
1923,616,D24HourMean,QuarterlyMean,Mean,20.21
1926,610,D24HourMean,QuarterlyMean,Mean,16.21
1899,606,D24HourMean,QuarterlyMean,Mean,19.15
1921,585,D24HourMean,QuarterlyMean,Mean,10.74
1946,649,D24HourMean,QuarterlyMean,Mean,24.50
1939,630,D24HourMean,QuarterlyMean,Mean,19.66
1947,582,D24HourMean,QuarterlyMean,Mean,10.91
1915,587,D24HourMean,QuarterlyMean,Mean,9.67
1934,603,D24HourMean,QuarterlyMean,Mean,13.80
1939,608,D24HourMean,QuarterlyMean,Mean,15.88
1946,582,D24HourMean,QuarterlyMean,Mean,10.98
1933,639,D24HourMean,QuarterlyMean,Mean,21.96
1931,585,D24HourMean,QuarterlyMean,Mean,10.69
1922,583,D24HourMean,QuarterlyMean,Mean,9.34
1937,587,D24HourMean,QuarterlyMean,Mean,11.00
1945,631,D24HourMean,QuarterlyMean,Mean,17.85
1947,682,D24HourMean,QuarterlyMean,Mean,33.06
1935,652,D24HourMean,QuarterlyMean,Mean,26.81
1938,637,D24HourMean,QuarterlyMean,Mean,22.34
1952,586,D24HourMean,QuarterlyMean,Mean,11.25
1939,592,D24HourMean,QuarterlyMean,Mean,11.40
1923,604,D24HourMean,QuarterlyMean,Mean,14.79
1952,662,D24HourMean,QuarterlyMean,Mean,29.69
1956,582,D24HourMean,QuarterlyMean,Mean,11.54
1944,630,D24HourMean,QuarterlyMean,Mean,17.68
1909,620,D24HourMean,QuarterlyMean,Mean,18.24
1947,636,D24HourMean,QuarterlyMean,Mean,20.39
1951,678,D24HourMean,QuarterlyMean,Mean,32.58
1931,651,D24HourMean,QuarterlyMean,Mean,30.20
1932,653,D24HourMean,QuarterlyMean,Mean,29.94
1929,649,D24HourMean,QuarterlyMean,Mean,26.54
1954,589,D24HourMean,QuarterlyMean,Mean,11.91
