Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1923,502,D24HourMean,QuarterlyMean,Mean,11.15
1924,501,D24HourMean,QuarterlyMean,Mean,10.44
1924,502,D24HourMean,QuarterlyMean,Mean,10.76
1925,500,D24HourMean,QuarterlyMean,Mean,11.06
1925,501,D24HourMean,QuarterlyMean,Mean,10.93
1925,502,D24HourMean,QuarterlyMean,Mean,10.06
1926,499,D24HourMean,QuarterlyMean,Mean,12.55
1926,500,D24HourMean,QuarterlyMean,Mean,13.25
1926,501,D24HourMean,QuarterlyMean,Mean,13.33
1926,502,D24HourMean,QuarterlyMean,Mean,10.47
1926,503,D24HourMean,QuarterlyMean,Mean,10.40
1926,504,D24HourMean,QuarterlyMean,Mean,10.67
1926,505,D24HourMean,QuarterlyMean,Mean,11.32
1926,506,D24HourMean,QuarterlyMean,Mean,12.18
1926,507,D24HourMean,QuarterlyMean,Mean,12.13
1926,508,D24HourMean,QuarterlyMean,Mean,12.51
1927,500,D24HourMean,QuarterlyMean,Mean,6.89
1927,501,D24HourMean,QuarterlyMean,Mean,14.12
1927,502,D24HourMean,QuarterlyMean,Mean,12.40
1927,503,D24HourMean,QuarterlyMean,Mean,12.35
1927,504,D24HourMean,QuarterlyMean,Mean,11.79
1927,505,D24HourMean,QuarterlyMean,Mean,11.98
1927,506,D24HourMean,QuarterlyMean,Mean,11.91
1927,507,D24HourMean,QuarterlyMean,Mean,12.30
1927,508,D24HourMean,QuarterlyMean,Mean,12.13
1927,509,D24HourMean,QuarterlyMean,Mean,12.87
1928,501,D24HourMean,QuarterlyMean,Mean,10.93
1928,502,D24HourMean,QuarterlyMean,Mean,12.76
1928,503,D24HourMean,QuarterlyMean,Mean,11.17
1928,504,D24HourMean,QuarterlyMean,Mean,12.55
1928,505,D24HourMean,QuarterlyMean,Mean,11.86
1928,506,D24HourMean,QuarterlyMean,Mean,11.81
1928,507,D24HourMean,QuarterlyMean,Mean,11.93
1928,508,D24HourMean,QuarterlyMean,Mean,11.72
1928,509,D24HourMean,QuarterlyMean,Mean,6.73
1928,510,D24HourMean,QuarterlyMean,Mean,13.87
1929,502,D24HourMean,QuarterlyMean,Mean,15.75
1929,503,D24HourMean,QuarterlyMean,Mean,12.92
1929,504,D24HourMean,QuarterlyMean,Mean,12.21
1929,505,D24HourMean,QuarterlyMean,Mean,12.87
1929,506,D24HourMean,QuarterlyMean,Mean,13.08
1929,507,D24HourMean,QuarterlyMean,Mean,11.50
1929,508,D24HourMean,QuarterlyMean,Mean,11.82
1929,509,D24HourMean,QuarterlyMean,Mean,12.33
1929,510,D24HourMean,QuarterlyMean,Mean,6.80
1929,511,D24HourMean,QuarterlyMean,Mean,13.10
1930,502,D24HourMean,QuarterlyMean,Mean,13.63
1930,503,D24HourMean,QuarterlyMean,Mean,12.82
1930,504,D24HourMean,QuarterlyMean,Mean,11.79
1930,505,D24HourMean,QuarterlyMean,Mean,12.58
1930,506,D24HourMean,QuarterlyMean,Mean,12.85
1930,507,D24HourMean,QuarterlyMean,Mean,11.52
1930,508,D24HourMean,QuarterlyMean,Mean,12.68
1930,509,D24HourMean,QuarterlyMean,Mean,12.38
1930,510,D24HourMean,QuarterlyMean,Mean,11.86
1930,511,D24HourMean,QuarterlyMean,Mean,14.40
1930,512,D24HourMean,QuarterlyMean,Mean,15.06
1931,501,D24HourMean,QuarterlyMean,Mean,12.98
1931,502,D24HourMean,QuarterlyMean,Mean,13.37
1931,503,D24HourMean,QuarterlyMean,Mean,12.83
1931,504,D24HourMean,QuarterlyMean,Mean,11.71
1931,505,D24HourMean,QuarterlyMean,Mean,12.51
1931,506,D24HourMean,QuarterlyMean,Mean,13.15
1931,507,D24HourMean,QuarterlyMean,Mean,12.11
1931,508,D24HourMean,QuarterlyMean,Mean,6.78
1931,509,D24HourMean,QuarterlyMean,Mean,6.82
1931,510,D24HourMean,QuarterlyMean,Mean,12.25
1931,511,D24HourMean,QuarterlyMean,Mean,14.17
1931,512,D24HourMean,QuarterlyMean,Mean,15.66
1932,501,D24HourMean,QuarterlyMean,Mean,13.28
1932,502,D24HourMean,QuarterlyMean,Mean,12.13
1932,503,D24HourMean,QuarterlyMean,Mean,11.98
1932,504,D24HourMean,QuarterlyMean,Mean,11.98
1932,505,D24HourMean,QuarterlyMean,Mean,12.51
1932,506,D24HourMean,QuarterlyMean,Mean,13.25
1932,507,D24HourMean,QuarterlyMean,Mean,13.10
1932,508,D24HourMean,QuarterlyMean,Mean,6.84
1932,509,D24HourMean,QuarterlyMean,Mean,6.85
1932,510,D24HourMean,QuarterlyMean,Mean,12.88
1932,511,D24HourMean,QuarterlyMean,Mean,14.98
1932,512,D24HourMean,QuarterlyMean,Mean,15.31
1932,513,D24HourMean,QuarterlyMean,Mean,16.25
1933,501,D24HourMean,QuarterlyMean,Mean,12.38
1933,502,D24HourMean,QuarterlyMean,Mean,12.16
1933,503,D24HourMean,QuarterlyMean,Mean,12.45
1933,504,D24HourMean,QuarterlyMean,Mean,12.35
1933,505,D24HourMean,QuarterlyMean,Mean,12.65
1933,506,D24HourMean,QuarterlyMean,Mean,12.66
1933,507,D24HourMean,QuarterlyMean,Mean,13.37
1933,508,D24HourMean,QuarterlyMean,Mean,6.89
1933,509,D24HourMean,QuarterlyMean,Mean,14.50
1933,510,D24HourMean,QuarterlyMean,Mean,13.43
1933,511,D24HourMean,QuarterlyMean,Mean,14.65
1933,512,D24HourMean,QuarterlyMean,Mean,15.26
1934,501,D24HourMean,QuarterlyMean,Mean,12.43
1934,502,D24HourMean,QuarterlyMean,Mean,12.18
1934,503,D24HourMean,QuarterlyMean,Mean,12.50
1934,504,D24HourMean,QuarterlyMean,Mean,11.86
1934,505,D24HourMean,QuarterlyMean,Mean,12.33
1934,506,D24HourMean,QuarterlyMean,Mean,12.51
1934,507,D24HourMean,QuarterlyMean,Mean,14.56
1934,508,D24HourMean,QuarterlyMean,Mean,15.62
1934,509,D24HourMean,QuarterlyMean,Mean,14.70
1934,510,D24HourMean,QuarterlyMean,Mean,13.60
1934,511,D24HourMean,QuarterlyMean,Mean,13.50
1935,501,D24HourMean,QuarterlyMean,Mean,13.13
1935,502,D24HourMean,QuarterlyMean,Mean,12.40
1935,503,D24HourMean,QuarterlyMean,Mean,12.30
1935,504,D24HourMean,QuarterlyMean,Mean,13.30
1935,505,D24HourMean,QuarterlyMean,Mean,13.25
1935,506,D24HourMean,QuarterlyMean,Mean,13.35
1935,507,D24HourMean,QuarterlyMean,Mean,15.41
1935,508,D24HourMean,QuarterlyMean,Mean,15.67
1935,509,D24HourMean,QuarterlyMean,Mean,14.98
1935,510,D24HourMean,QuarterlyMean,Mean,13.80
1936,501,D24HourMean,QuarterlyMean,Mean,12.61
1936,502,D24HourMean,QuarterlyMean,Mean,12.78
1936,503,D24HourMean,QuarterlyMean,Mean,14.12
1936,504,D24HourMean,QuarterlyMean,Mean,15.24
1936,505,D24HourMean,QuarterlyMean,Mean,14.36
1936,506,D24HourMean,QuarterlyMean,Mean,15.04
1936,507,D24HourMean,QuarterlyMean,Mean,13.73
1936,508,D24HourMean,QuarterlyMean,Mean,13.75
1936,509,D24HourMean,QuarterlyMean,Mean,15.24
1936,510,D24HourMean,QuarterlyMean,Mean,15.01
1936,511,D24HourMean,QuarterlyMean,Mean,15.36
1937,501,D24HourMean,QuarterlyMean,Mean,13.67
1937,502,D24HourMean,QuarterlyMean,Mean,11.93
1937,503,D24HourMean,QuarterlyMean,Mean,14.79
1937,504,D24HourMean,QuarterlyMean,Mean,14.89
1937,505,D24HourMean,QuarterlyMean,Mean,15.72
1937,506,D24HourMean,QuarterlyMean,Mean,15.14
1937,507,D24HourMean,QuarterlyMean,Mean,15.69
1937,508,D24HourMean,QuarterlyMean,Mean,14.70
1937,509,D24HourMean,QuarterlyMean,Mean,7.15
1937,510,D24HourMean,QuarterlyMean,Mean,15.57
1937,511,D24HourMean,QuarterlyMean,Mean,15.36
1937,512,D24HourMean,QuarterlyMean,Mean,15.10
1938,501,D24HourMean,QuarterlyMean,Mean,13.98
1938,502,D24HourMean,QuarterlyMean,Mean,14.08
1938,503,D24HourMean,QuarterlyMean,Mean,13.57
1938,504,D24HourMean,QuarterlyMean,Mean,14.31
1938,505,D24HourMean,QuarterlyMean,Mean,16.10
1938,506,D24HourMean,QuarterlyMean,Mean,15.50
1938,507,D24HourMean,QuarterlyMean,Mean,15.52
1938,508,D24HourMean,QuarterlyMean,Mean,15.08
1938,509,D24HourMean,QuarterlyMean,Mean,14.41
1938,510,D24HourMean,QuarterlyMean,Mean,14.96
1938,511,D24HourMean,QuarterlyMean,Mean,15.19
1938,512,D24HourMean,QuarterlyMean,Mean,15.82
1938,513,D24HourMean,QuarterlyMean,Mean,15.31
1938,514,D24HourMean,QuarterlyMean,Mean,15.00
1938,515,D24HourMean,QuarterlyMean,Mean,15.66
1939,501,D24HourMean,QuarterlyMean,Mean,14.26
1939,502,D24HourMean,QuarterlyMean,Mean,12.28
