Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1923,502,2010,4814.18,ALL,ALL,ALL,0TO99
1924,501,2010,5553.49,ALL,ALL,ALL,0TO99
1924,502,2010,5305.49,ALL,ALL,ALL,0TO99
1925,500,2010,5142.88,ALL,ALL,ALL,0TO99
1925,501,2010,5715.97,ALL,ALL,ALL,0TO99
1925,502,2010,5351.00,ALL,ALL,ALL,0TO99
1926,499,2010,1899.82,ALL,ALL,ALL,0TO99
1926,500,2010,5675.49,ALL,ALL,ALL,0TO99
1926,501,2010,5715.97,ALL,ALL,ALL,0TO99
1926,502,2010,5597.87,ALL,ALL,ALL,0TO99
1926,503,2010,5367.47,ALL,ALL,ALL,0TO99
1926,504,2010,8439.50,ALL,ALL,ALL,0TO99
1926,505,2010,11631.39,ALL,ALL,ALL,0TO99
1926,506,2010,11678.11,ALL,ALL,ALL,0TO99
1926,507,2010,11682.31,ALL,ALL,ALL,0TO99
1926,508,2010,13855.68,ALL,ALL,ALL,0TO99
1927,500,2010,5621.49,ALL,ALL,ALL,0TO99
1927,501,2010,5715.97,ALL,ALL,ALL,0TO99
1927,502,2010,5716.99,ALL,ALL,ALL,0TO99
1927,503,2010,5717.99,ALL,ALL,ALL,0TO99
1927,504,2010,11137.16,ALL,ALL,ALL,0TO99
1927,505,2010,15927.18,ALL,ALL,ALL,0TO99
1927,506,2010,15929.76,ALL,ALL,ALL,0TO99
1927,507,2010,15932.35,ALL,ALL,ALL,0TO99
1927,508,2010,16643.70,ALL,ALL,ALL,0TO99
1927,509,2010,16315.55,ALL,ALL,ALL,0TO99
1928,501,2010,5715.97,ALL,ALL,ALL,0TO99
1928,502,2010,5806.97,ALL,ALL,ALL,0TO99
1928,503,2010,6533.53,ALL,ALL,ALL,0TO99
1928,504,2010,12681.58,ALL,ALL,ALL,0TO99
1928,505,2010,15927.18,ALL,ALL,ALL,0TO99
1928,506,2010,15929.76,ALL,ALL,ALL,0TO99
1928,507,2010,15932.35,ALL,ALL,ALL,0TO99
1928,508,2010,16601.99,ALL,ALL,ALL,0TO99
1928,509,2010,17574.78,ALL,ALL,ALL,0TO99
1928,510,2010,15595.46,ALL,ALL,ALL,0TO99
1929,502,2010,13226.15,ALL,ALL,ALL,0TO99
1929,503,2010,17711.14,ALL,ALL,ALL,0TO99
1929,504,2010,17324.34,ALL,ALL,ALL,0TO99
1929,505,2010,16028.83,ALL,ALL,ALL,0TO99
1929,506,2010,15929.76,ALL,ALL,ALL,0TO99
1929,507,2010,15934.36,ALL,ALL,ALL,0TO99
1929,508,2010,16915.19,ALL,ALL,ALL,0TO99
1929,509,2010,17574.78,ALL,ALL,ALL,0TO99
1929,510,2010,17577.59,ALL,ALL,ALL,0TO99
1929,511,2010,17072.41,ALL,ALL,ALL,0TO99
1930,502,2010,18811.15,ALL,ALL,ALL,0TO99
1930,503,2010,18814.46,ALL,ALL,ALL,0TO99
1930,504,2010,18814.81,ALL,ALL,ALL,0TO99
1930,505,2010,16307.23,ALL,ALL,ALL,0TO99
1930,506,2010,15929.76,ALL,ALL,ALL,0TO99
1930,507,2010,15944.34,ALL,ALL,ALL,0TO99
1930,508,2010,17074.37,ALL,ALL,ALL,0TO99
1930,509,2010,17574.78,ALL,ALL,ALL,0TO99
1930,510,2010,17577.59,ALL,ALL,ALL,0TO99
1930,511,2010,17580.17,ALL,ALL,ALL,0TO99
1930,512,2010,14962.89,ALL,ALL,ALL,0TO99
1931,501,2010,14483.83,ALL,ALL,ALL,0TO99
1931,502,2010,18811.15,ALL,ALL,ALL,0TO99
1931,503,2010,18814.46,ALL,ALL,ALL,0TO99
1931,504,2010,17753.75,ALL,ALL,ALL,0TO99
1931,505,2010,15927.18,ALL,ALL,ALL,0TO99
1931,506,2010,15929.76,ALL,ALL,ALL,0TO99
1931,507,2010,16000.53,ALL,ALL,ALL,0TO99
1931,508,2010,17299.12,ALL,ALL,ALL,0TO99
1931,509,2010,17574.78,ALL,ALL,ALL,0TO99
1931,510,2010,17577.59,ALL,ALL,ALL,0TO99
1931,511,2010,17580.17,ALL,ALL,ALL,0TO99
1931,512,2010,17028.22,ALL,ALL,ALL,0TO99
1932,501,2010,15577.22,ALL,ALL,ALL,0TO99
1932,502,2010,18811.15,ALL,ALL,ALL,0TO99
1932,503,2010,18777.70,ALL,ALL,ALL,0TO99
1932,504,2010,16466.74,ALL,ALL,ALL,0TO99
1932,505,2010,15927.18,ALL,ALL,ALL,0TO99
1932,506,2010,15929.76,ALL,ALL,ALL,0TO99
1932,507,2010,16410.50,ALL,ALL,ALL,0TO99
1932,508,2010,17547.27,ALL,ALL,ALL,0TO99
1932,509,2010,17291.93,ALL,ALL,ALL,0TO99
1932,510,2010,17383.09,ALL,ALL,ALL,0TO99
1932,511,2010,17580.17,ALL,ALL,ALL,0TO99
1932,512,2010,17504.57,ALL,ALL,ALL,0TO99
1932,513,2010,12858.16,ALL,ALL,ALL,0TO99
1933,501,2010,13491.36,ALL,ALL,ALL,0TO99
1933,502,2010,18811.15,ALL,ALL,ALL,0TO99
1933,503,2010,18789.25,ALL,ALL,ALL,0TO99
1933,504,2010,16108.34,ALL,ALL,ALL,0TO99
1933,505,2010,15520.64,ALL,ALL,ALL,0TO99
1933,506,2010,14276.20,ALL,ALL,ALL,0TO99
1933,507,2010,15525.38,ALL,ALL,ALL,0TO99
1933,508,2010,16386.41,ALL,ALL,ALL,0TO99
1933,509,2010,13412.12,ALL,ALL,ALL,0TO99
1933,510,2010,14851.97,ALL,ALL,ALL,0TO99
1933,511,2010,17579.43,ALL,ALL,ALL,0TO99
