Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1952,544,D24HourMean,QuarterlyMean,Mean,12.90
1946,519,D24HourMean,QuarterlyMean,Mean,15.03
1944,527,D24HourMean,QuarterlyMean,Mean,13.20
1928,529,D24HourMean,QuarterlyMean,Mean,12.63
1953,533,D24HourMean,QuarterlyMean,Mean,14.93
1958,560,D24HourMean,QuarterlyMean,Mean,12.06
1935,521,D24HourMean,QuarterlyMean,Mean,16.07
1955,553,D24HourMean,QuarterlyMean,Mean,12.78
1941,562,D24HourMean,QuarterlyMean,Mean,9.75
1937,577,D24HourMean,QuarterlyMean,Mean,9.55
1961,561,D24HourMean,QuarterlyMean,Mean,12.40
1966,545,D24HourMean,QuarterlyMean,Mean,14.38
1915,521,D24HourMean,QuarterlyMean,Mean,11.52
1929,527,D24HourMean,QuarterlyMean,Mean,14.20
1961,553,D24HourMean,QuarterlyMean,Mean,12.53
1976,552,D24HourMean,QuarterlyMean,Mean,13.38
1969,556,D24HourMean,QuarterlyMean,Mean,13.42
1938,520,D24HourMean,QuarterlyMean,Mean,15.97
1963,570,D24HourMean,QuarterlyMean,Mean,12.33
1921,530,D24HourMean,QuarterlyMean,Mean,13.02
1949,512,D24HourMean,QuarterlyMean,Mean,13.98
1953,554,D24HourMean,QuarterlyMean,Mean,12.18
1954,518,D24HourMean,QuarterlyMean,Mean,15.40
1933,535,D24HourMean,QuarterlyMean,Mean,12.14
1964,543,D24HourMean,QuarterlyMean,Mean,15.67
1946,539,D24HourMean,QuarterlyMean,Mean,12.51
1968,579,D24HourMean,QuarterlyMean,Mean,11.67
1970,552,D24HourMean,QuarterlyMean,Mean,13.67
1980,589,D24HourMean,QuarterlyMean,Mean,12.60
1924,514,D24HourMean,QuarterlyMean,Mean,12.78
1953,555,D24HourMean,QuarterlyMean,Mean,13.03
1955,545,D24HourMean,QuarterlyMean,Mean,14.10
1961,537,D24HourMean,QuarterlyMean,Mean,15.91
1956,575,D24HourMean,QuarterlyMean,Mean,12.01
1934,529,D24HourMean,QuarterlyMean,Mean,13.15
1938,538,D24HourMean,QuarterlyMean,Mean,12.98
1959,549,D24HourMean,QuarterlyMean,Mean,12.88
1927,533,D24HourMean,QuarterlyMean,Mean,11.93
1955,536,D24HourMean,QuarterlyMean,Mean,15.17
1940,521,D24HourMean,QuarterlyMean,Mean,14.03
1976,596,D24HourMean,QuarterlyMean,Mean,14.65
1958,553,D24HourMean,QuarterlyMean,Mean,13.58
1953,562,D24HourMean,QuarterlyMean,Mean,11.69
1964,567,D24HourMean,QuarterlyMean,Mean,12.43
1980,586,D24HourMean,QuarterlyMean,Mean,12.45
1949,538,D24HourMean,QuarterlyMean,Mean,13.93
1956,523,D24HourMean,QuarterlyMean,Mean,13.93
1926,531,D24HourMean,QuarterlyMean,Mean,11.33
1946,529,D24HourMean,QuarterlyMean,Mean,13.78
1936,573,D24HourMean,QuarterlyMean,Mean,9.62
1949,514,D24HourMean,QuarterlyMean,Mean,15.06
1953,561,D24HourMean,QuarterlyMean,Mean,11.84
1955,563,D24HourMean,QuarterlyMean,Mean,11.54
1968,569,D24HourMean,QuarterlyMean,Mean,11.86
1982,584,D24HourMean,QuarterlyMean,Mean,13.07
1979,578,D24HourMean,QuarterlyMean,Mean,12.06
1969,591,D24HourMean,QuarterlyMean,Mean,13.52
1983,585,D24HourMean,QuarterlyMean,Mean,13.60
1946,525,D24HourMean,QuarterlyMean,Mean,14.18
1964,557,D24HourMean,QuarterlyMean,Mean,12.65
1960,525,D24HourMean,QuarterlyMean,Mean,14.55
1936,520,D24HourMean,QuarterlyMean,Mean,15.05
1960,559,D24HourMean,QuarterlyMean,Mean,12.31
1949,526,D24HourMean,QuarterlyMean,Mean,13.72
1953,565,D24HourMean,QuarterlyMean,Mean,11.11
1924,523,D24HourMean,QuarterlyMean,Mean,13.99
1973,586,D24HourMean,QuarterlyMean,Mean,11.84
1973,553,D24HourMean,QuarterlyMean,Mean,13.77
1939,575,D24HourMean,QuarterlyMean,Mean,9.98
1945,532,D24HourMean,QuarterlyMean,Mean,13.18
1940,515,D24HourMean,QuarterlyMean,Mean,17.47
1961,541,D24HourMean,QuarterlyMean,Mean,15.31
1974,594,D24HourMean,QuarterlyMean,Mean,14.71
1949,548,D24HourMean,QuarterlyMean,Mean,11.98
1939,528,D24HourMean,QuarterlyMean,Mean,14.28
1966,591,D24HourMean,QuarterlyMean,Mean,12.93
1949,525,D24HourMean,QuarterlyMean,Mean,13.35
1966,564,D24HourMean,QuarterlyMean,Mean,11.35
1936,531,D24HourMean,QuarterlyMean,Mean,13.00
1973,557,D24HourMean,QuarterlyMean,Mean,13.47
1941,580,D24HourMean,QuarterlyMean,Mean,10.38
1947,549,D24HourMean,QuarterlyMean,Mean,11.32
1971,549,D24HourMean,QuarterlyMean,Mean,13.52
1949,570,D24HourMean,QuarterlyMean,Mean,10.96
1967,580,D24HourMean,QuarterlyMean,Mean,11.50
1931,534,D24HourMean,QuarterlyMean,Mean,11.59
1954,517,D24HourMean,QuarterlyMean,Mean,16.03
1961,576,D24HourMean,QuarterlyMean,Mean,11.88
1948,538,D24HourMean,QuarterlyMean,Mean,13.63
1951,573,D24HourMean,QuarterlyMean,Mean,11.23
1974,551,D24HourMean,QuarterlyMean,Mean,13.68
1978,577,D24HourMean,QuarterlyMean,Mean,12.45
1935,518,D24HourMean,QuarterlyMean,Mean,15.75
1936,581,D24HourMean,QuarterlyMean,Mean,9.84
