Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1952,544,2010,781.95,ALL,ALL,ALL,0TO99
1946,519,2010,2807.67,ALL,ALL,ALL,0TO99
1944,527,2010,774.76,ALL,ALL,ALL,0TO99
1928,529,2010,1127.80,ALL,ALL,ALL,0TO99
1953,533,2010,283.26,ALL,ALL,ALL,0TO99
1958,560,2010,508.97,ALL,ALL,ALL,0TO99
1935,521,2010,1035.49,ALL,ALL,ALL,0TO99
1955,553,2010,668.98,ALL,ALL,ALL,0TO99
1941,562,2010,492.85,ALL,ALL,ALL,0TO99
1937,577,2010,192.21,ALL,ALL,ALL,0TO99
1961,561,2010,502.24,ALL,ALL,ALL,0TO99
1966,545,2010,422.10,ALL,ALL,ALL,0TO99
1915,521,2010,645.20,ALL,ALL,ALL,0TO99
1929,527,2010,1119.92,ALL,ALL,ALL,0TO99
1961,553,2010,642.85,ALL,ALL,ALL,0TO99
1976,552,2010,1137.37,ALL,ALL,ALL,0TO99
1969,556,2010,412.66,ALL,ALL,ALL,0TO99
1938,520,2010,2944.06,ALL,ALL,ALL,0TO99
1963,570,2010,155.23,ALL,ALL,ALL,0TO99
1921,530,2010,870.87,ALL,ALL,ALL,0TO99
1949,512,2010,4078.12,ALL,ALL,ALL,0TO99
1953,554,2010,991.78,ALL,ALL,ALL,0TO99
1954,518,2010,31039.22,ALL,ALL,ALL,0TO99
1933,535,2010,300.17,ALL,ALL,ALL,0TO99
1964,543,2010,974.55,ALL,ALL,ALL,0TO99
1946,539,2010,736.21,ALL,ALL,ALL,0TO99
1968,579,2010,134.52,ALL,ALL,ALL,0TO99
1970,552,2010,419.62,ALL,ALL,ALL,0TO99
1980,589,2010,179.81,ALL,ALL,ALL,0TO99
1924,514,2010,1170.56,ALL,ALL,ALL,0TO99
1953,555,2010,888.91,ALL,ALL,ALL,0TO99
1955,545,2010,782.00,ALL,ALL,ALL,0TO99
1961,537,2010,974.08,ALL,ALL,ALL,0TO99
1956,575,2010,167.95,ALL,ALL,ALL,0TO99
1934,529,2010,646.55,ALL,ALL,ALL,0TO99
1938,538,2010,454.64,ALL,ALL,ALL,0TO99
1959,549,2010,661.22,ALL,ALL,ALL,0TO99
1927,533,2010,1079.07,ALL,ALL,ALL,0TO99
1955,536,2010,282.50,ALL,ALL,ALL,0TO99
1940,521,2010,2944.40,ALL,ALL,ALL,0TO99
1976,596,2010,756.10,ALL,ALL,ALL,0TO99
1958,553,2010,642.85,ALL,ALL,ALL,0TO99
1953,562,2010,489.36,ALL,ALL,ALL,0TO99
1964,567,2010,155.25,ALL,ALL,ALL,0TO99
1980,586,2010,180.32,ALL,ALL,ALL,0TO99
1949,538,2010,382.65,ALL,ALL,ALL,0TO99
1956,523,2010,20828.86,ALL,ALL,ALL,0TO99
1926,531,2010,1128.00,ALL,ALL,ALL,0TO99
