Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1096,523,D24HourMean,QuarterlyMean,Mean,5.73
1064,643,D24HourMean,QuarterlyMean,Mean,8.37
1116,593,D24HourMean,QuarterlyMean,Mean,5.48
1044,561,D24HourMean,QuarterlyMean,Mean,6.37
1084,611,D24HourMean,QuarterlyMean,Mean,7.59
1116,599,D24HourMean,QuarterlyMean,Mean,5.08
1023,572,D24HourMean,QuarterlyMean,Mean,5.70
1030,630,D24HourMean,QuarterlyMean,Mean,6.64
1078,580,D24HourMean,QuarterlyMean,Mean,5.75
1074,628,D24HourMean,QuarterlyMean,Mean,6.50
1063,562,D24HourMean,QuarterlyMean,Mean,5.80
1073,672,D24HourMean,QuarterlyMean,Mean,7.78
1084,628,D24HourMean,QuarterlyMean,Mean,8.91
1068,655,D24HourMean,QuarterlyMean,Mean,8.66
1077,613,D24HourMean,QuarterlyMean,Mean,7.46
1072,591,D24HourMean,QuarterlyMean,Mean,6.91
1046,568,D24HourMean,QuarterlyMean,Mean,6.32
1091,583,D24HourMean,QuarterlyMean,Mean,5.39
1045,660,D24HourMean,QuarterlyMean,Mean,9.68
1059,632,D24HourMean,QuarterlyMean,Mean,9.00
1039,651,D24HourMean,QuarterlyMean,Mean,6.37
1049,560,D24HourMean,QuarterlyMean,Mean,5.86
1058,600,D24HourMean,QuarterlyMean,Mean,7.05
1056,666,D24HourMean,QuarterlyMean,Mean,9.01
1042,643,D24HourMean,QuarterlyMean,Mean,7.17
1045,635,D24HourMean,QuarterlyMean,Mean,6.83
1073,612,D24HourMean,QuarterlyMean,Mean,7.41
1060,628,D24HourMean,QuarterlyMean,Mean,10.34
1075,632,D24HourMean,QuarterlyMean,Mean,6.88
1120,614,D24HourMean,QuarterlyMean,Mean,6.00
1045,640,D24HourMean,QuarterlyMean,Mean,7.87
1100,603,D24HourMean,QuarterlyMean,Mean,5.72
1103,605,D24HourMean,QuarterlyMean,Mean,5.86
1127,582,D24HourMean,QuarterlyMean,Mean,4.87
1070,596,D24HourMean,QuarterlyMean,Mean,7.29
1096,536,D24HourMean,QuarterlyMean,Mean,5.30
1049,575,D24HourMean,QuarterlyMean,Mean,5.77
1054,641,D24HourMean,QuarterlyMean,Mean,7.97
1118,605,D24HourMean,QuarterlyMean,Mean,5.25
1083,555,D24HourMean,QuarterlyMean,Mean,5.46
1104,553,D24HourMean,QuarterlyMean,Mean,5.07
1063,575,D24HourMean,QuarterlyMean,Mean,5.93
1068,587,D24HourMean,QuarterlyMean,Mean,6.75
1084,570,D24HourMean,QuarterlyMean,Mean,5.16
1081,575,D24HourMean,QuarterlyMean,Mean,5.08
1086,543,D24HourMean,QuarterlyMean,Mean,5.16
1045,649,D24HourMean,QuarterlyMean,Mean,7.70
1121,594,D24HourMean,QuarterlyMean,Mean,4.79
1071,600,D24HourMean,QuarterlyMean,Mean,8.50
1114,596,D24HourMean,QuarterlyMean,Mean,5.08
1070,674,D24HourMean,QuarterlyMean,Mean,7.49
1060,614,D24HourMean,QuarterlyMean,Mean,7.79
1051,639,D24HourMean,QuarterlyMean,Mean,9.26
1028,610,D24HourMean,QuarterlyMean,Mean,10.35
1083,542,D24HourMean,QuarterlyMean,Mean,5.26
1041,616,D24HourMean,QuarterlyMean,Mean,6.34
1065,582,D24HourMean,QuarterlyMean,Mean,6.39
1085,572,D24HourMean,QuarterlyMean,Mean,5.10
1023,576,D24HourMean,QuarterlyMean,Mean,6.20
1082,540,D24HourMean,QuarterlyMean,Mean,5.30
1101,567,D24HourMean,QuarterlyMean,Mean,4.94
1119,588,D24HourMean,QuarterlyMean,Mean,5.10
1038,596,D24HourMean,QuarterlyMean,Mean,7.66
1053,641,D24HourMean,QuarterlyMean,Mean,7.89
1052,628,D24HourMean,QuarterlyMean,Mean,6.93
1099,533,D24HourMean,QuarterlyMean,Mean,6.53
1055,602,D24HourMean,QuarterlyMean,Mean,8.72
1068,581,D24HourMean,QuarterlyMean,Mean,5.93
1098,581,D24HourMean,QuarterlyMean,Mean,4.94
1046,610,D24HourMean,QuarterlyMean,Mean,6.79
1046,661,D24HourMean,QuarterlyMean,Mean,9.34
1053,634,D24HourMean,QuarterlyMean,Mean,6.17
1063,564,D24HourMean,QuarterlyMean,Mean,5.75
1068,592,D24HourMean,QuarterlyMean,Mean,7.19
1052,599,D24HourMean,QuarterlyMean,Mean,9.26
1104,536,D24HourMean,QuarterlyMean,Mean,5.70
1108,585,D24HourMean,QuarterlyMean,Mean,4.99
1039,589,D24HourMean,QuarterlyMean,Mean,4.92
