Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1096,523,2010,425.88,ALL,ALL,ALL,0TO99
1064,643,2010,9421.55,ALL,ALL,ALL,0TO99
1116,593,2010,67.39,ALL,ALL,ALL,0TO99
1044,561,2010,475.81,ALL,ALL,ALL,0TO99
1084,611,2010,350.92,ALL,ALL,ALL,0TO99
1116,599,2010,75.01,ALL,ALL,ALL,0TO99
1023,572,2010,3603.49,ALL,ALL,ALL,0TO99
1030,630,2010,672.52,ALL,ALL,ALL,0TO99
1078,580,2010,330.36,ALL,ALL,ALL,0TO99
1074,628,2010,2514.37,ALL,ALL,ALL,0TO99
1063,562,2010,40.50,ALL,ALL,ALL,0TO99
1073,672,2010,4311.54,ALL,ALL,ALL,0TO99
1084,628,2010,4395.95,ALL,ALL,ALL,0TO99
1068,655,2010,5106.24,ALL,ALL,ALL,0TO99
1077,613,2010,4195.96,ALL,ALL,ALL,0TO99
1072,591,2010,451.84,ALL,ALL,ALL,0TO99
1046,568,2010,40.49,ALL,ALL,ALL,0TO99
1091,583,2010,325.86,ALL,ALL,ALL,0TO99
1045,660,2010,13504.66,ALL,ALL,ALL,0TO99
1059,632,2010,1386.82,ALL,ALL,ALL,0TO99
1039,651,2010,9573.47,ALL,ALL,ALL,0TO99
1049,560,2010,479.88,ALL,ALL,ALL,0TO99
1058,600,2010,496901.16,ALL,ALL,ALL,0TO99
1056,666,2010,3579.38,ALL,ALL,ALL,0TO99
1042,643,2010,16078.58,ALL,ALL,ALL,0TO99
1045,635,2010,1847.02,ALL,ALL,ALL,0TO99
1073,612,2010,999.54,ALL,ALL,ALL,0TO99
1060,628,2010,5889.97,ALL,ALL,ALL,0TO99
1075,632,2010,7204.73,ALL,ALL,ALL,0TO99
1120,614,2010,129.69,ALL,ALL,ALL,0TO99
1045,640,2010,3383.05,ALL,ALL,ALL,0TO99
1100,603,2010,101.68,ALL,ALL,ALL,0TO99
1103,605,2010,101.65,ALL,ALL,ALL,0TO99
1127,582,2010,89.12,ALL,ALL,ALL,0TO99
1070,596,2010,411.75,ALL,ALL,ALL,0TO99
1096,536,2010,18.90,ALL,ALL,ALL,0TO99
1049,575,2010,2448.06,ALL,ALL,ALL,0TO99
1054,641,2010,1131.99,ALL,ALL,ALL,0TO99
1118,605,2010,74.95,ALL,ALL,ALL,0TO99
1083,555,2010,28.68,ALL,ALL,ALL,0TO99
1104,553,2010,57.84,ALL,ALL,ALL,0TO99
1063,575,2010,399.20,ALL,ALL,ALL,0TO99
1068,587,2010,808.14,ALL,ALL,ALL,0TO99
1084,570,2010,187.73,ALL,ALL,ALL,0TO99
1081,575,2010,198.44,ALL,ALL,ALL,0TO99
1086,543,2010,8.11,ALL,ALL,ALL,0TO99
1045,649,2010,12435.74,ALL,ALL,ALL,0TO99
1121,594,2010,109.39,ALL,ALL,ALL,0TO99
1071,600,2010,866.55,ALL,ALL,ALL,0TO99
1114,596,2010,109.37,ALL,ALL,ALL,0TO99
1070,674,2010,2991.74,ALL,ALL,ALL,0TO99
1060,614,2010,5868.16,ALL,ALL,ALL,0TO99
1051,639,2010,5288.89,ALL,ALL,ALL,0TO99
1028,610,2010,1095.25,ALL,ALL,ALL,0TO99
1083,542,2010,17.79,ALL,ALL,ALL,0TO99
1041,616,2010,10807.11,ALL,ALL,ALL,0TO99
1065,582,2010,325.57,ALL,ALL,ALL,0TO99
1085,572,2010,145.78,ALL,ALL,ALL,0TO99
1023,576,2010,3652.83,ALL,ALL,ALL,0TO99
1082,540,2010,18.91,ALL,ALL,ALL,0TO99
1101,567,2010,137.21,ALL,ALL,ALL,0TO99
1119,588,2010,52.68,ALL,ALL,ALL,0TO99
1038,596,2010,20432.83,ALL,ALL,ALL,0TO99
1053,641,2010,1654.60,ALL,ALL,ALL,0TO99
1052,628,2010,3650.61,ALL,ALL,ALL,0TO99
1099,533,2010,23.18,ALL,ALL,ALL,0TO99
1055,602,2010,17367.88,ALL,ALL,ALL,0TO99
1068,581,2010,325.93,ALL,ALL,ALL,0TO99
1098,581,2010,320.88,ALL,ALL,ALL,0TO99
1046,610,2010,98394.27,ALL,ALL,ALL,0TO99
1046,661,2010,10705.36,ALL,ALL,ALL,0TO99
1053,634,2010,3386.75,ALL,ALL,ALL,0TO99
1063,564,2010,219.94,ALL,ALL,ALL,0TO99
1068,592,2010,1136.28,ALL,ALL,ALL,0TO99
1052,599,2010,5477.04,ALL,ALL,ALL,0TO99
1104,536,2010,19.03,ALL,ALL,ALL,0TO99
1108,585,2010,109.44,ALL,ALL,ALL,0TO99
1039,589,2010,6162.90,ALL,ALL,ALL,0TO99
1111,585,2010,103.07,ALL,ALL,ALL,0TO99
1065,565,2010,40.49,ALL,ALL,ALL,0TO99
1074,577,2010,211.89,ALL,ALL,ALL,0TO99
1067,557,2010,40.50,ALL,ALL,ALL,0TO99
1073,646,2010,1978.99,ALL,ALL,ALL,0TO99
1015,579,2010,1853.51,ALL,ALL,ALL,0TO99
1060,653,2010,6570.52,ALL,ALL,ALL,0TO99
1088,580,2010,326.07,ALL,ALL,ALL,0TO99
1095,572,2010,251.38,ALL,ALL,ALL,0TO99
1073,556,2010,40.50,ALL,ALL,ALL,0TO99
1096,627,2010,2037.01,ALL,ALL,ALL,0TO99
1029,606,2010,1036.05,ALL,ALL,ALL,0TO99
1124,591,2010,72.33,ALL,ALL,ALL,0TO99
1036,578,2010,2702.90,ALL,ALL,ALL,0TO99
1078,673,2010,10329.89,ALL,ALL,ALL,0TO99
1034,624,2010,801.78,ALL,ALL,ALL,0TO99
1034,644,2010,3986.40,ALL,ALL,ALL,0TO99
1098,629,2010,1685.66,ALL,ALL,ALL,0TO99
1092,563,2010,52.93,ALL,ALL,ALL,0TO99
1089,574,2010,74.55,ALL,ALL,ALL,0TO99
1081,584,2010,325.83,ALL,ALL,ALL,0TO99
1081,583,2010,325.86,ALL,ALL,ALL,0TO99
1122,615,2010,189.74,ALL,ALL,ALL,0TO99
1057,557,2010,445.49,ALL,ALL,ALL,0TO99
1096,615,2010,329.29,ALL,ALL,ALL,0TO99
1083,571,2010,198.48,ALL,ALL,ALL,0TO99
1075,616,2010,1097.09,ALL,ALL,ALL,0TO99
1076,562,2010,40.50,ALL,ALL,ALL,0TO99
1041,621,2010,11523.36,ALL,ALL,ALL,0TO99
1102,607,2010,101.47,ALL,ALL,ALL,0TO99
1026,576,2010,7444.81,ALL,ALL,ALL,0TO99
1091,547,2010,23.72,ALL,ALL,ALL,0TO99
1021,581,2010,695.91,ALL,ALL,ALL,0TO99
1080,585,2010,325.80,ALL,ALL,ALL,0TO99
1021,569,2010,5373.82,ALL,ALL,ALL,0TO99
1124,618,2010,279.98,ALL,ALL,ALL,0TO99
1108,618,2010,77.24,ALL,ALL,ALL,0TO99
1056,575,2010,411.50,ALL,ALL,ALL,0TO99
1023,577,2010,735.56,ALL,ALL,ALL,0TO99
1035,635,2010,5832.15,ALL,ALL,ALL,0TO99
1049,611,2010,19794.78,ALL,ALL,ALL,0TO99
1045,589,2010,7756.13,ALL,ALL,ALL,0TO99
1046,614,2010,10742.66,ALL,ALL,ALL,0TO99
1028,633,2010,672.07,ALL,ALL,ALL,0TO99
1058,630,2010,1350.04,ALL,ALL,ALL,0TO99
1083,556,2010,28.68,ALL,ALL,ALL,0TO99
1118,596,2010,109.37,ALL,ALL,ALL,0TO99
1094,584,2010,28.99,ALL,ALL,ALL,0TO99
1100,583,2010,109.47,ALL,ALL,ALL,0TO99
1076,545,2010,26.87,ALL,ALL,ALL,0TO99
1084,621,2010,452.29,ALL,ALL,ALL,0TO99
1102,605,2010,101.65,ALL,ALL,ALL,0TO99
