Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2239,436,D24HourMean,QuarterlyMean,Mean,6.41
2233,442,D24HourMean,QuarterlyMean,Mean,6.14
2235,441,D24HourMean,QuarterlyMean,Mean,5.82
2234,442,D24HourMean,QuarterlyMean,Mean,6.09
2233,445,D24HourMean,QuarterlyMean,Mean,-1.67
2245,438,D24HourMean,QuarterlyMean,Mean,6.02
2237,437,D24HourMean,QuarterlyMean,Mean,4.48
2234,445,D24HourMean,QuarterlyMean,Mean,5.93
2234,444,D24HourMean,QuarterlyMean,Mean,5.79
2234,443,D24HourMean,QuarterlyMean,Mean,5.93
2234,441,D24HourMean,QuarterlyMean,Mean,5.88
2238,436,D24HourMean,QuarterlyMean,Mean,5.98
2233,443,D24HourMean,QuarterlyMean,Mean,6.14
2245,437,D24HourMean,QuarterlyMean,Mean,6.02
