Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2239,436,2010,8770.31,ALL,ALL,ALL,0TO99
2233,442,2010,40984.88,ALL,ALL,ALL,0TO99
2235,441,2010,41789.98,ALL,ALL,ALL,0TO99
2234,442,2010,57030.90,ALL,ALL,ALL,0TO99
2233,445,2010,22862.97,ALL,ALL,ALL,0TO99
2245,438,2010,93223.38,ALL,ALL,ALL,0TO99
2237,437,2010,11550.77,ALL,ALL,ALL,0TO99
2234,445,2010,49913.98,ALL,ALL,ALL,0TO99
2234,444,2010,48008.14,ALL,ALL,ALL,0TO99
2234,443,2010,50084.37,ALL,ALL,ALL,0TO99
2234,441,2010,37517.82,ALL,ALL,ALL,0TO99
2238,436,2010,18023.33,ALL,ALL,ALL,0TO99
2233,443,2010,30445.52,ALL,ALL,ALL,0TO99
2245,437,2010,101951.23,ALL,ALL,ALL,0TO99
