Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1572,720,D24HourMean,QuarterlyMean,Mean,41.84
1549,730,D24HourMean,QuarterlyMean,Mean,38.82
1571,720,D24HourMean,QuarterlyMean,Mean,41.36
1563,712,D24HourMean,QuarterlyMean,Mean,35.80
1556,708,D24HourMean,QuarterlyMean,Mean,34.72
1550,731,D24HourMean,QuarterlyMean,Mean,37.25
1573,720,D24HourMean,QuarterlyMean,Mean,41.94
1569,711,D24HourMean,QuarterlyMean,Mean,42.09
1549,731,D24HourMean,QuarterlyMean,Mean,36.36
1571,726,D24HourMean,QuarterlyMean,Mean,22.08
1565,709,D24HourMean,QuarterlyMean,Mean,37.60
1565,710,D24HourMean,QuarterlyMean,Mean,37.91
1557,709,D24HourMean,QuarterlyMean,Mean,37.05
1569,712,D24HourMean,QuarterlyMean,Mean,40.16
1571,727,D24HourMean,QuarterlyMean,Mean,44.26
1547,730,D24HourMean,QuarterlyMean,Mean,37.20
1548,730,D24HourMean,QuarterlyMean,Mean,39.07
1557,725,D24HourMean,QuarterlyMean,Mean,38.36
1553,708,D24HourMean,QuarterlyMean,Mean,37.07
1551,728,D24HourMean,QuarterlyMean,Mean,39.22
1564,709,D24HourMean,QuarterlyMean,Mean,37.77
1564,711,D24HourMean,QuarterlyMean,Mean,38.03
1548,729,D24HourMean,QuarterlyMean,Mean,39.10
1557,726,D24HourMean,QuarterlyMean,Mean,38.49
1573,721,D24HourMean,QuarterlyMean,Mean,42.81
1550,730,D24HourMean,QuarterlyMean,Mean,37.65
1563,710,D24HourMean,QuarterlyMean,Mean,35.21
1557,708,D24HourMean,QuarterlyMean,Mean,36.79
1558,726,D24HourMean,QuarterlyMean,Mean,29.44
1550,728,D24HourMean,QuarterlyMean,Mean,38.04
1556,709,D24HourMean,QuarterlyMean,Mean,37.98
1564,710,D24HourMean,QuarterlyMean,Mean,38.12
1572,721,D24HourMean,QuarterlyMean,Mean,43.34
1563,711,D24HourMean,QuarterlyMean,Mean,36.18
