Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1572,720,2010,947.62,ALL,ALL,ALL,0TO99
1549,730,2010,7528.18,ALL,ALL,ALL,0TO99
1571,720,2010,520.53,ALL,ALL,ALL,0TO99
1563,712,2010,22525.08,ALL,ALL,ALL,0TO99
1556,708,2010,6190.29,ALL,ALL,ALL,0TO99
1550,731,2010,5184.45,ALL,ALL,ALL,0TO99
1573,720,2010,821.58,ALL,ALL,ALL,0TO99
1569,711,2010,2121.42,ALL,ALL,ALL,0TO99
1549,731,2010,5709.14,ALL,ALL,ALL,0TO99
1571,726,2010,6430.33,ALL,ALL,ALL,0TO99
1565,709,2010,32718.42,ALL,ALL,ALL,0TO99
1565,710,2010,36245.29,ALL,ALL,ALL,0TO99
1557,709,2010,9206.10,ALL,ALL,ALL,0TO99
1569,712,2010,2675.98,ALL,ALL,ALL,0TO99
1571,727,2010,12923.77,ALL,ALL,ALL,0TO99
1547,730,2010,3069.05,ALL,ALL,ALL,0TO99
1548,730,2010,7387.84,ALL,ALL,ALL,0TO99
1557,725,2010,2925.17,ALL,ALL,ALL,0TO99
1553,708,2010,3871.34,ALL,ALL,ALL,0TO99
1551,728,2010,22324.47,ALL,ALL,ALL,0TO99
1564,709,2010,27593.37,ALL,ALL,ALL,0TO99
1564,711,2010,35575.93,ALL,ALL,ALL,0TO99
1548,729,2010,6010.48,ALL,ALL,ALL,0TO99
1557,726,2010,3054.75,ALL,ALL,ALL,0TO99
1573,721,2010,876.52,ALL,ALL,ALL,0TO99
1550,730,2010,5658.78,ALL,ALL,ALL,0TO99
1563,710,2010,24483.90,ALL,ALL,ALL,0TO99
1557,708,2010,7118.59,ALL,ALL,ALL,0TO99
1558,726,2010,1750.66,ALL,ALL,ALL,0TO99
1550,728,2010,14684.97,ALL,ALL,ALL,0TO99
1556,709,2010,9489.16,ALL,ALL,ALL,0TO99
1564,710,2010,36874.70,ALL,ALL,ALL,0TO99
1572,721,2010,887.65,ALL,ALL,ALL,0TO99
1563,711,2010,27751.02,ALL,ALL,ALL,0TO99
