Column,Row,Metric,Seasonal Metric,Annual Metric,Values
947,670,D24HourMean,QuarterlyMean,Mean,8.22
944,661,D24HourMean,QuarterlyMean,Mean,7.42
959,660,D24HourMean,QuarterlyMean,Mean,10.13
949,662,D24HourMean,QuarterlyMean,Mean,11.57
959,658,D24HourMean,QuarterlyMean,Mean,8.89
945,667,D24HourMean,QuarterlyMean,Mean,7.93
968,655,D24HourMean,QuarterlyMean,Mean,6.94
954,661,D24HourMean,QuarterlyMean,Mean,8.91
963,656,D24HourMean,QuarterlyMean,Mean,6.75
971,653,D24HourMean,QuarterlyMean,Mean,6.13
955,658,D24HourMean,QuarterlyMean,Mean,6.89
971,651,D24HourMean,QuarterlyMean,Mean,6.00
943,660,D24HourMean,QuarterlyMean,Mean,6.84
964,659,D24HourMean,QuarterlyMean,Mean,8.54
964,656,D24HourMean,QuarterlyMean,Mean,6.45
965,665,D24HourMean,QuarterlyMean,Mean,7.77
969,645,D24HourMean,QuarterlyMean,Mean,6.32
960,657,D24HourMean,QuarterlyMean,Mean,7.79
971,656,D24HourMean,QuarterlyMean,Mean,6.77
944,662,D24HourMean,QuarterlyMean,Mean,7.54
951,658,D24HourMean,QuarterlyMean,Mean,7.46
964,646,D24HourMean,QuarterlyMean,Mean,5.97
966,660,D24HourMean,QuarterlyMean,Mean,7.05
967,649,D24HourMean,QuarterlyMean,Mean,6.25
962,661,D24HourMean,QuarterlyMean,Mean,7.12
946,669,D24HourMean,QuarterlyMean,Mean,9.18
968,647,D24HourMean,QuarterlyMean,Mean,6.27
953,669,D24HourMean,QuarterlyMean,Mean,12.87
968,652,D24HourMean,QuarterlyMean,Mean,6.34
964,662,D24HourMean,QuarterlyMean,Mean,7.33
957,662,D24HourMean,QuarterlyMean,Mean,9.38
951,662,D24HourMean,QuarterlyMean,Mean,7.37
962,664,D24HourMean,QuarterlyMean,Mean,8.21
952,667,D24HourMean,QuarterlyMean,Mean,8.21
960,665,D24HourMean,QuarterlyMean,Mean,8.14
958,661,D24HourMean,QuarterlyMean,Mean,9.70
972,656,D24HourMean,QuarterlyMean,Mean,6.39
942,662,D24HourMean,QuarterlyMean,Mean,7.37
959,655,D24HourMean,QuarterlyMean,Mean,7.56
963,659,D24HourMean,QuarterlyMean,Mean,9.31
969,659,D24HourMean,QuarterlyMean,Mean,7.66
963,666,D24HourMean,QuarterlyMean,Mean,7.42
953,668,D24HourMean,QuarterlyMean,Mean,14.99
957,666,D24HourMean,QuarterlyMean,Mean,7.62
948,667,D24HourMean,QuarterlyMean,Mean,9.87
962,658,D24HourMean,QuarterlyMean,Mean,8.99
965,650,D24HourMean,QuarterlyMean,Mean,7.07
954,662,D24HourMean,QuarterlyMean,Mean,8.77
947,658,D24HourMean,QuarterlyMean,Mean,5.93
966,663,D24HourMean,QuarterlyMean,Mean,8.38
965,662,D24HourMean,QuarterlyMean,Mean,7.68
946,668,D24HourMean,QuarterlyMean,Mean,8.94
945,662,D24HourMean,QuarterlyMean,Mean,8.49
956,660,D24HourMean,QuarterlyMean,Mean,9.62
970,653,D24HourMean,QuarterlyMean,Mean,6.00
962,663,D24HourMean,QuarterlyMean,Mean,7.90
967,647,D24HourMean,QuarterlyMean,Mean,6.25
957,658,D24HourMean,QuarterlyMean,Mean,8.87
960,658,D24HourMean,QuarterlyMean,Mean,8.65
942,663,D24HourMean,QuarterlyMean,Mean,7.54
956,665,D24HourMean,QuarterlyMean,Mean,8.42
960,664,D24HourMean,QuarterlyMean,Mean,8.39
944,664,D24HourMean,QuarterlyMean,Mean,10.75
970,643,D24HourMean,QuarterlyMean,Mean,5.80
962,657,D24HourMean,QuarterlyMean,Mean,8.13
952,660,D24HourMean,QuarterlyMean,Mean,8.21
964,665,D24HourMean,QuarterlyMean,Mean,7.93
961,654,D24HourMean,QuarterlyMean,Mean,6.73
951,666,D24HourMean,QuarterlyMean,Mean,9.51
971,657,D24HourMean,QuarterlyMean,Mean,6.54
959,657,D24HourMean,QuarterlyMean,Mean,7.67
956,664,D24HourMean,QuarterlyMean,Mean,8.93
966,652,D24HourMean,QuarterlyMean,Mean,6.75
962,662,D24HourMean,QuarterlyMean,Mean,7.58
963,663,D24HourMean,QuarterlyMean,Mean,7.42
971,655,D24HourMean,QuarterlyMean,Mean,6.61
946,670,D24HourMean,QuarterlyMean,Mean,8.51
949,659,D24HourMean,QuarterlyMean,Mean,8.07
948,660,D24HourMean,QuarterlyMean,Mean,10.75
947,664,D24HourMean,QuarterlyMean,Mean,10.37
966,657,D24HourMean,QuarterlyMean,Mean,6.85
947,669,D24HourMean,QuarterlyMean,Mean,8.75
972,650,D24HourMean,QuarterlyMean,Mean,6.43
963,653,D24HourMean,QuarterlyMean,Mean,6.75
949,657,D24HourMean,QuarterlyMean,Mean,6.98
961,660,D24HourMean,QuarterlyMean,Mean,9.25
958,664,D24HourMean,QuarterlyMean,Mean,8.49
970,651,D24HourMean,QuarterlyMean,Mean,6.29
965,645,D24HourMean,QuarterlyMean,Mean,6.09
959,665,D24HourMean,QuarterlyMean,Mean,8.07
961,663,D24HourMean,QuarterlyMean,Mean,7.90
961,666,D24HourMean,QuarterlyMean,Mean,7.65
955,663,D24HourMean,QuarterlyMean,Mean,9.17
962,655,D24HourMean,QuarterlyMean,Mean,7.18
960,659,D24HourMean,QuarterlyMean,Mean,9.82
943,661,D24HourMean,QuarterlyMean,Mean,7.18
945,666,D24HourMean,QuarterlyMean,Mean,8.49
964,651,D24HourMean,QuarterlyMean,Mean,6.64
966,654,D24HourMean,QuarterlyMean,Mean,7.40
970,656,D24HourMean,QuarterlyMean,Mean,7.00
966,659,D24HourMean,QuarterlyMean,Mean,7.24
945,671,D24HourMean,QuarterlyMean,Mean,8.25
955,668,D24HourMean,QuarterlyMean,Mean,8.86
945,664,D24HourMean,QuarterlyMean,Mean,11.92
966,648,D24HourMean,QuarterlyMean,Mean,6.48
967,650,D24HourMean,QuarterlyMean,Mean,6.29
958,655,D24HourMean,QuarterlyMean,Mean,8.63
944,669,D24HourMean,QuarterlyMean,Mean,8.33
965,663,D24HourMean,QuarterlyMean,Mean,7.49
970,647,D24HourMean,QuarterlyMean,Mean,6.32
971,647,D24HourMean,QuarterlyMean,Mean,5.75
969,651,D24HourMean,QuarterlyMean,Mean,6.55
954,663,D24HourMean,QuarterlyMean,Mean,7.95
965,653,D24HourMean,QuarterlyMean,Mean,7.10
949,656,D24HourMean,QuarterlyMean,Mean,6.34
955,657,D24HourMean,QuarterlyMean,Mean,7.28
966,653,D24HourMean,QuarterlyMean,Mean,6.82
969,647,D24HourMean,QuarterlyMean,Mean,6.34
954,660,D24HourMean,QuarterlyMean,Mean,8.33
950,662,D24HourMean,QuarterlyMean,Mean,8.46
945,665,D24HourMean,QuarterlyMean,Mean,9.56
958,666,D24HourMean,QuarterlyMean,Mean,8.39
956,667,D24HourMean,QuarterlyMean,Mean,8.42
957,668,D24HourMean,QuarterlyMean,Mean,8.25
955,656,D24HourMean,QuarterlyMean,Mean,7.21
961,658,D24HourMean,QuarterlyMean,Mean,8.35
950,668,D24HourMean,QuarterlyMean,Mean,8.96
950,657,D24HourMean,QuarterlyMean,Mean,7.00
968,651,D24HourMean,QuarterlyMean,Mean,6.41
946,660,D24HourMean,QuarterlyMean,Mean,7.79
966,645,D24HourMean,QuarterlyMean,Mean,6.50
968,661,D24HourMean,QuarterlyMean,Mean,8.20
946,661,D24HourMean,QuarterlyMean,Mean,8.35
951,665,D24HourMean,QuarterlyMean,Mean,9.27
952,662,D24HourMean,QuarterlyMean,Mean,8.02
966,651,D24HourMean,QuarterlyMean,Mean,6.70
955,661,D24HourMean,QuarterlyMean,Mean,9.65
948,661,D24HourMean,QuarterlyMean,Mean,11.00
962,654,D24HourMean,QuarterlyMean,Mean,6.49
951,668,D24HourMean,QuarterlyMean,Mean,8.35
970,659,D24HourMean,QuarterlyMean,Mean,7.47
948,666,D24HourMean,QuarterlyMean,Mean,8.94
970,648,D24HourMean,QuarterlyMean,Mean,6.22
946,659,D24HourMean,QuarterlyMean,Mean,6.82
958,663,D24HourMean,QuarterlyMean,Mean,8.94
964,652,D24HourMean,QuarterlyMean,Mean,7.00
