Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
947,670,2010,2552.81,ALL,ALL,ALL,0TO99
944,661,2010,4284.41,ALL,ALL,ALL,0TO99
959,660,2010,111508.29,ALL,ALL,ALL,0TO99
949,662,2010,3444.74,ALL,ALL,ALL,0TO99
959,658,2010,103396.59,ALL,ALL,ALL,0TO99
945,667,2010,4919.75,ALL,ALL,ALL,0TO99
968,655,2010,1728.72,ALL,ALL,ALL,0TO99
954,661,2010,9734.75,ALL,ALL,ALL,0TO99
963,656,2010,21971.46,ALL,ALL,ALL,0TO99
971,653,2010,2054.49,ALL,ALL,ALL,0TO99
955,658,2010,7388.12,ALL,ALL,ALL,0TO99
971,651,2010,2142.40,ALL,ALL,ALL,0TO99
943,660,2010,2582.25,ALL,ALL,ALL,0TO99
964,659,2010,6337.37,ALL,ALL,ALL,0TO99
964,656,2010,10361.04,ALL,ALL,ALL,0TO99
965,665,2010,7665.44,ALL,ALL,ALL,0TO99
969,645,2010,1047.86,ALL,ALL,ALL,0TO99
960,657,2010,93114.52,ALL,ALL,ALL,0TO99
971,656,2010,5758.09,ALL,ALL,ALL,0TO99
944,662,2010,4300.56,ALL,ALL,ALL,0TO99
951,658,2010,5992.19,ALL,ALL,ALL,0TO99
964,646,2010,1323.89,ALL,ALL,ALL,0TO99
966,660,2010,8920.29,ALL,ALL,ALL,0TO99
967,649,2010,1636.68,ALL,ALL,ALL,0TO99
962,661,2010,11248.52,ALL,ALL,ALL,0TO99
946,669,2010,3936.83,ALL,ALL,ALL,0TO99
968,647,2010,1823.47,ALL,ALL,ALL,0TO99
953,669,2010,2204.03,ALL,ALL,ALL,0TO99
968,652,2010,2608.27,ALL,ALL,ALL,0TO99
964,662,2010,11123.24,ALL,ALL,ALL,0TO99
957,662,2010,11447.88,ALL,ALL,ALL,0TO99
951,662,2010,3186.46,ALL,ALL,ALL,0TO99
962,664,2010,6754.74,ALL,ALL,ALL,0TO99
952,667,2010,2856.55,ALL,ALL,ALL,0TO99
960,665,2010,3130.88,ALL,ALL,ALL,0TO99
958,661,2010,42205.58,ALL,ALL,ALL,0TO99
972,656,2010,2376.51,ALL,ALL,ALL,0TO99
942,662,2010,1960.51,ALL,ALL,ALL,0TO99
959,655,2010,5467.12,ALL,ALL,ALL,0TO99
963,659,2010,11085.89,ALL,ALL,ALL,0TO99
969,659,2010,8176.94,ALL,ALL,ALL,0TO99
963,666,2010,8316.57,ALL,ALL,ALL,0TO99
953,668,2010,2338.21,ALL,ALL,ALL,0TO99
957,666,2010,6110.00,ALL,ALL,ALL,0TO99
948,667,2010,2497.90,ALL,ALL,ALL,0TO99
962,658,2010,34563.12,ALL,ALL,ALL,0TO99
965,650,2010,2657.46,ALL,ALL,ALL,0TO99
954,662,2010,9462.25,ALL,ALL,ALL,0TO99
947,658,2010,1503.86,ALL,ALL,ALL,0TO99
966,663,2010,8086.47,ALL,ALL,ALL,0TO99
965,662,2010,10699.88,ALL,ALL,ALL,0TO99
946,668,2010,4886.47,ALL,ALL,ALL,0TO99
945,662,2010,4170.69,ALL,ALL,ALL,0TO99
956,660,2010,48537.04,ALL,ALL,ALL,0TO99
970,653,2010,1729.74,ALL,ALL,ALL,0TO99
962,663,2010,7014.75,ALL,ALL,ALL,0TO99
967,647,2010,1184.29,ALL,ALL,ALL,0TO99
957,658,2010,8740.30,ALL,ALL,ALL,0TO99
960,658,2010,198720.91,ALL,ALL,ALL,0TO99
942,663,2010,2033.40,ALL,ALL,ALL,0TO99
956,665,2010,6111.94,ALL,ALL,ALL,0TO99
960,664,2010,4210.12,ALL,ALL,ALL,0TO99
944,664,2010,6717.21,ALL,ALL,ALL,0TO99
970,643,2010,4942.43,ALL,ALL,ALL,0TO99
962,657,2010,37546.21,ALL,ALL,ALL,0TO99
952,660,2010,7211.61,ALL,ALL,ALL,0TO99
964,665,2010,8746.05,ALL,ALL,ALL,0TO99
961,654,2010,7197.06,ALL,ALL,ALL,0TO99
951,666,2010,2982.51,ALL,ALL,ALL,0TO99
971,657,2010,7301.70,ALL,ALL,ALL,0TO99
959,657,2010,35164.57,ALL,ALL,ALL,0TO99
956,664,2010,6114.00,ALL,ALL,ALL,0TO99
966,652,2010,3089.41,ALL,ALL,ALL,0TO99
962,662,2010,7707.79,ALL,ALL,ALL,0TO99
963,663,2010,8759.01,ALL,ALL,ALL,0TO99
971,655,2010,1741.55,ALL,ALL,ALL,0TO99
946,670,2010,1866.14,ALL,ALL,ALL,0TO99
949,659,2010,6413.62,ALL,ALL,ALL,0TO99
948,660,2010,2198.11,ALL,ALL,ALL,0TO99
947,664,2010,2339.30,ALL,ALL,ALL,0TO99
966,657,2010,6460.97,ALL,ALL,ALL,0TO99
947,669,2010,3404.95,ALL,ALL,ALL,0TO99
972,650,2010,4047.38,ALL,ALL,ALL,0TO99
963,653,2010,9237.25,ALL,ALL,ALL,0TO99
949,657,2010,7319.52,ALL,ALL,ALL,0TO99
961,660,2010,62450.55,ALL,ALL,ALL,0TO99
958,664,2010,16580.69,ALL,ALL,ALL,0TO99
970,651,2010,2461.42,ALL,ALL,ALL,0TO99
965,645,2010,2028.45,ALL,ALL,ALL,0TO99
959,665,2010,10209.15,ALL,ALL,ALL,0TO99
961,663,2010,4615.00,ALL,ALL,ALL,0TO99
961,666,2010,4470.63,ALL,ALL,ALL,0TO99
955,663,2010,8437.58,ALL,ALL,ALL,0TO99
962,655,2010,5383.15,ALL,ALL,ALL,0TO99
960,659,2010,500201.28,ALL,ALL,ALL,0TO99
943,661,2010,4106.72,ALL,ALL,ALL,0TO99
945,666,2010,5025.31,ALL,ALL,ALL,0TO99
964,651,2010,5323.50,ALL,ALL,ALL,0TO99
966,654,2010,3712.55,ALL,ALL,ALL,0TO99
970,656,2010,5979.43,ALL,ALL,ALL,0TO99
966,659,2010,6546.96,ALL,ALL,ALL,0TO99
945,671,2010,2038.66,ALL,ALL,ALL,0TO99
955,668,2010,3658.58,ALL,ALL,ALL,0TO99
945,664,2010,6508.96,ALL,ALL,ALL,0TO99
966,648,2010,1367.62,ALL,ALL,ALL,0TO99
967,650,2010,2242.36,ALL,ALL,ALL,0TO99
958,655,2010,3799.33,ALL,ALL,ALL,0TO99
944,669,2010,1797.80,ALL,ALL,ALL,0TO99
965,663,2010,9468.35,ALL,ALL,ALL,0TO99
970,647,2010,2540.84,ALL,ALL,ALL,0TO99
971,647,2010,4636.65,ALL,ALL,ALL,0TO99
969,651,2010,2613.16,ALL,ALL,ALL,0TO99
954,663,2010,9205.36,ALL,ALL,ALL,0TO99
965,653,2010,9237.25,ALL,ALL,ALL,0TO99
949,656,2010,5783.27,ALL,ALL,ALL,0TO99
955,657,2010,2868.04,ALL,ALL,ALL,0TO99
966,653,2010,5754.69,ALL,ALL,ALL,0TO99
969,647,2010,2024.14,ALL,ALL,ALL,0TO99
954,660,2010,12461.44,ALL,ALL,ALL,0TO99
950,662,2010,3043.71,ALL,ALL,ALL,0TO99
945,665,2010,5353.60,ALL,ALL,ALL,0TO99
958,666,2010,6110.25,ALL,ALL,ALL,0TO99
956,667,2010,6107.97,ALL,ALL,ALL,0TO99
957,668,2010,6017.72,ALL,ALL,ALL,0TO99
955,656,2010,3082.07,ALL,ALL,ALL,0TO99
961,658,2010,74572.16,ALL,ALL,ALL,0TO99
950,668,2010,3424.17,ALL,ALL,ALL,0TO99
950,657,2010,7061.48,ALL,ALL,ALL,0TO99
968,651,2010,2503.18,ALL,ALL,ALL,0TO99
946,660,2010,3748.22,ALL,ALL,ALL,0TO99
966,645,2010,2066.62,ALL,ALL,ALL,0TO99
968,661,2010,5162.60,ALL,ALL,ALL,0TO99
946,661,2010,3822.95,ALL,ALL,ALL,0TO99
951,665,2010,2973.71,ALL,ALL,ALL,0TO99
952,662,2010,6569.07,ALL,ALL,ALL,0TO99
966,651,2010,3444.28,ALL,ALL,ALL,0TO99
955,661,2010,10534.67,ALL,ALL,ALL,0TO99
948,661,2010,2281.01,ALL,ALL,ALL,0TO99
962,654,2010,9182.04,ALL,ALL,ALL,0TO99
951,668,2010,3311.34,ALL,ALL,ALL,0TO99
970,659,2010,6688.86,ALL,ALL,ALL,0TO99
948,666,2010,1986.74,ALL,ALL,ALL,0TO99
970,648,2010,4796.96,ALL,ALL,ALL,0TO99
946,659,2010,3551.02,ALL,ALL,ALL,0TO99
958,663,2010,18645.13,ALL,ALL,ALL,0TO99
964,652,2010,9047.71,ALL,ALL,ALL,0TO99
946,664,2010,5638.29,ALL,ALL,ALL,0TO99
943,663,2010,4275.94,ALL,ALL,ALL,0TO99
964,657,2010,6231.19,ALL,ALL,ALL,0TO99
963,661,2010,9971.56,ALL,ALL,ALL,0TO99
972,645,2010,8358.20,ALL,ALL,ALL,0TO99
951,664,2010,4225.12,ALL,ALL,ALL,0TO99
956,663,2010,6115.90,ALL,ALL,ALL,0TO99
971,650,2010,3935.59,ALL,ALL,ALL,0TO99
969,655,2010,1728.72,ALL,ALL,ALL,0TO99
950,666,2010,4377.09,ALL,ALL,ALL,0TO99
954,659,2010,13824.00,ALL,ALL,ALL,0TO99
965,656,2010,6278.33,ALL,ALL,ALL,0TO99
