Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1040,766,D24HourMean,QuarterlyMean,Mean,10.62
1024,759,D24HourMean,QuarterlyMean,Mean,10.32
1003,782,D24HourMean,QuarterlyMean,Mean,9.65
964,784,D24HourMean,QuarterlyMean,Mean,9.77
1017,765,D24HourMean,QuarterlyMean,Mean,13.35
967,787,D24HourMean,QuarterlyMean,Mean,9.48
1001,786,D24HourMean,QuarterlyMean,Mean,9.80
1020,768,D24HourMean,QuarterlyMean,Mean,10.37
1034,763,D24HourMean,QuarterlyMean,Mean,9.74
961,786,D24HourMean,QuarterlyMean,Mean,10.50
1015,776,D24HourMean,QuarterlyMean,Mean,11.20
1027,771,D24HourMean,QuarterlyMean,Mean,8.43
1035,764,D24HourMean,QuarterlyMean,Mean,9.38
965,783,D24HourMean,QuarterlyMean,Mean,9.43
983,788,D24HourMean,QuarterlyMean,Mean,8.88
1014,777,D24HourMean,QuarterlyMean,Mean,9.56
984,783,D24HourMean,QuarterlyMean,Mean,10.64
1017,780,D24HourMean,QuarterlyMean,Mean,10.66
1028,773,D24HourMean,QuarterlyMean,Mean,9.20
1034,759,D24HourMean,QuarterlyMean,Mean,8.91
1045,765,D24HourMean,QuarterlyMean,Mean,9.74
969,788,D24HourMean,QuarterlyMean,Mean,9.00
1048,762,D24HourMean,QuarterlyMean,Mean,9.77
1032,763,D24HourMean,QuarterlyMean,Mean,10.32
979,789,D24HourMean,QuarterlyMean,Mean,9.53
1002,787,D24HourMean,QuarterlyMean,Mean,11.33
1033,765,D24HourMean,QuarterlyMean,Mean,10.23
1038,760,D24HourMean,QuarterlyMean,Mean,9.31
1028,759,D24HourMean,QuarterlyMean,Mean,9.99
968,789,D24HourMean,QuarterlyMean,Mean,9.65
1036,760,D24HourMean,QuarterlyMean,Mean,9.01
1050,764,D24HourMean,QuarterlyMean,Mean,9.41
1049,761,D24HourMean,QuarterlyMean,Mean,9.84
1028,767,D24HourMean,QuarterlyMean,Mean,10.88
998,785,D24HourMean,QuarterlyMean,Mean,8.91
1013,779,D24HourMean,QuarterlyMean,Mean,8.17
1037,764,D24HourMean,QuarterlyMean,Mean,10.13
959,781,D24HourMean,QuarterlyMean,Mean,9.84
1041,767,D24HourMean,QuarterlyMean,Mean,10.88
1035,771,D24HourMean,QuarterlyMean,Mean,10.89
1023,771,D24HourMean,QuarterlyMean,Mean,9.58
991,790,D24HourMean,QuarterlyMean,Mean,10.88
988,791,D24HourMean,QuarterlyMean,Mean,10.11
991,789,D24HourMean,QuarterlyMean,Mean,10.18
1038,771,D24HourMean,QuarterlyMean,Mean,9.82
1047,760,D24HourMean,QuarterlyMean,Mean,9.25
1009,769,D24HourMean,QuarterlyMean,Mean,13.38
1029,766,D24HourMean,QuarterlyMean,Mean,11.71
1025,767,D24HourMean,QuarterlyMean,Mean,10.03
1041,762,D24HourMean,QuarterlyMean,Mean,10.86
1012,782,D24HourMean,QuarterlyMean,Mean,10.45
1035,761,D24HourMean,QuarterlyMean,Mean,8.84
972,786,D24HourMean,QuarterlyMean,Mean,9.99
1047,762,D24HourMean,QuarterlyMean,Mean,9.67
998,784,D24HourMean,QuarterlyMean,Mean,9.84
1031,761,D24HourMean,QuarterlyMean,Mean,9.67
986,783,D24HourMean,QuarterlyMean,Mean,10.69
997,785,D24HourMean,QuarterlyMean,Mean,8.88
1020,767,D24HourMean,QuarterlyMean,Mean,11.88
968,784,D24HourMean,QuarterlyMean,Mean,10.52
993,788,D24HourMean,QuarterlyMean,Mean,9.77
1026,760,D24HourMean,QuarterlyMean,Mean,10.95
984,788,D24HourMean,QuarterlyMean,Mean,9.10
1057,762,D24HourMean,QuarterlyMean,Mean,10.62
1046,765,D24HourMean,QuarterlyMean,Mean,9.67
1023,776,D24HourMean,QuarterlyMean,Mean,8.93
981,788,D24HourMean,QuarterlyMean,Mean,9.31
964,782,D24HourMean,QuarterlyMean,Mean,10.42
1021,777,D24HourMean,QuarterlyMean,Mean,9.99
1030,764,D24HourMean,QuarterlyMean,Mean,12.13
1031,767,D24HourMean,QuarterlyMean,Mean,9.89
1001,782,D24HourMean,QuarterlyMean,Mean,9.01
1030,772,D24HourMean,QuarterlyMean,Mean,9.56
1029,773,D24HourMean,QuarterlyMean,Mean,9.53
1000,778,D24HourMean,QuarterlyMean,Mean,9.07
1036,769,D24HourMean,QuarterlyMean,Mean,9.44
981,791,D24HourMean,QuarterlyMean,Mean,10.44
1037,769,D24HourMean,QuarterlyMean,Mean,10.03
1049,766,D24HourMean,QuarterlyMean,Mean,10.16
998,782,D24HourMean,QuarterlyMean,Mean,9.34
993,790,D24HourMean,QuarterlyMean,Mean,9.96
1051,762,D24HourMean,QuarterlyMean,Mean,9.69
1013,776,D24HourMean,QuarterlyMean,Mean,11.22
999,786,D24HourMean,QuarterlyMean,Mean,9.17
1003,777,D24HourMean,QuarterlyMean,Mean,9.74
974,788,D24HourMean,QuarterlyMean,Mean,9.29
1023,775,D24HourMean,QuarterlyMean,Mean,9.46
1036,765,D24HourMean,QuarterlyMean,Mean,10.95
1005,776,D24HourMean,QuarterlyMean,Mean,10.61
1031,766,D24HourMean,QuarterlyMean,Mean,10.50
1017,770,D24HourMean,QuarterlyMean,Mean,11.66
994,788,D24HourMean,QuarterlyMean,Mean,9.39
1058,762,D24HourMean,QuarterlyMean,Mean,10.98
1025,774,D24HourMean,QuarterlyMean,Mean,9.25
1050,766,D24HourMean,QuarterlyMean,Mean,9.53
966,788,D24HourMean,QuarterlyMean,Mean,9.50
978,791,D24HourMean,QuarterlyMean,Mean,12.80
959,785,D24HourMean,QuarterlyMean,Mean,9.87
962,785,D24HourMean,QuarterlyMean,Mean,10.32
983,782,D24HourMean,QuarterlyMean,Mean,10.15
1046,759,D24HourMean,QuarterlyMean,Mean,9.75
1023,773,D24HourMean,QuarterlyMean,Mean,9.67
1048,759,D24HourMean,QuarterlyMean,Mean,9.82
1011,776,D24HourMean,QuarterlyMean,Mean,10.74
1046,761,D24HourMean,QuarterlyMean,Mean,9.51
991,786,D24HourMean,QuarterlyMean,Mean,8.94
1008,780,D24HourMean,QuarterlyMean,Mean,9.87
1045,759,D24HourMean,QuarterlyMean,Mean,9.67
1032,764,D24HourMean,QuarterlyMean,Mean,9.98
1038,762,D24HourMean,QuarterlyMean,Mean,9.46
977,791,D24HourMean,QuarterlyMean,Mean,12.82
