Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1040,766,2010,7059.78,ALL,ALL,ALL,0TO99
1024,759,2010,6457.12,ALL,ALL,ALL,0TO99
1003,782,2010,14393.63,ALL,ALL,ALL,0TO99
964,784,2010,41412.93,ALL,ALL,ALL,0TO99
1017,765,2010,773.41,ALL,ALL,ALL,0TO99
967,787,2010,6633.74,ALL,ALL,ALL,0TO99
1001,786,2010,6796.04,ALL,ALL,ALL,0TO99
1020,768,2010,5183.71,ALL,ALL,ALL,0TO99
1034,763,2010,29711.13,ALL,ALL,ALL,0TO99
961,786,2010,3639.48,ALL,ALL,ALL,0TO99
1015,776,2010,5321.59,ALL,ALL,ALL,0TO99
1027,771,2010,2942.20,ALL,ALL,ALL,0TO99
1035,764,2010,20360.11,ALL,ALL,ALL,0TO99
965,783,2010,39750.64,ALL,ALL,ALL,0TO99
983,788,2010,6521.68,ALL,ALL,ALL,0TO99
1014,777,2010,8478.18,ALL,ALL,ALL,0TO99
984,783,2010,296.06,ALL,ALL,ALL,0TO99
1017,780,2010,1395.90,ALL,ALL,ALL,0TO99
1028,773,2010,2938.18,ALL,ALL,ALL,0TO99
1034,759,2010,2224.00,ALL,ALL,ALL,0TO99
1045,765,2010,8501.57,ALL,ALL,ALL,0TO99
969,788,2010,6764.98,ALL,ALL,ALL,0TO99
1048,762,2010,14850.76,ALL,ALL,ALL,0TO99
1032,763,2010,15912.17,ALL,ALL,ALL,0TO99
979,789,2010,25050.44,ALL,ALL,ALL,0TO99
1002,787,2010,5442.12,ALL,ALL,ALL,0TO99
1033,765,2010,23303.73,ALL,ALL,ALL,0TO99
1038,760,2010,7370.07,ALL,ALL,ALL,0TO99
1028,759,2010,6745.90,ALL,ALL,ALL,0TO99
968,789,2010,5714.25,ALL,ALL,ALL,0TO99
1036,760,2010,6475.40,ALL,ALL,ALL,0TO99
1050,764,2010,15272.61,ALL,ALL,ALL,0TO99
1049,761,2010,34143.28,ALL,ALL,ALL,0TO99
1028,767,2010,5440.43,ALL,ALL,ALL,0TO99
998,785,2010,8104.79,ALL,ALL,ALL,0TO99
1013,779,2010,15763.68,ALL,ALL,ALL,0TO99
1037,764,2010,9589.47,ALL,ALL,ALL,0TO99
959,781,2010,3936.77,ALL,ALL,ALL,0TO99
1041,767,2010,7918.41,ALL,ALL,ALL,0TO99
1035,771,2010,8244.94,ALL,ALL,ALL,0TO99
1023,771,2010,2151.52,ALL,ALL,ALL,0TO99
991,790,2010,2015.20,ALL,ALL,ALL,0TO99
988,791,2010,8496.94,ALL,ALL,ALL,0TO99
991,789,2010,4547.12,ALL,ALL,ALL,0TO99
1038,771,2010,14580.09,ALL,ALL,ALL,0TO99
1047,760,2010,2929.77,ALL,ALL,ALL,0TO99
1009,769,2010,521.86,ALL,ALL,ALL,0TO99
1029,766,2010,3890.49,ALL,ALL,ALL,0TO99
1025,767,2010,6653.29,ALL,ALL,ALL,0TO99
1041,762,2010,15939.17,ALL,ALL,ALL,0TO99
1012,782,2010,5479.55,ALL,ALL,ALL,0TO99
1035,761,2010,10396.71,ALL,ALL,ALL,0TO99
972,786,2010,9419.13,ALL,ALL,ALL,0TO99
1047,762,2010,7262.07,ALL,ALL,ALL,0TO99
998,784,2010,9889.59,ALL,ALL,ALL,0TO99
1031,761,2010,7920.52,ALL,ALL,ALL,0TO99
986,783,2010,296.06,ALL,ALL,ALL,0TO99
997,785,2010,7435.23,ALL,ALL,ALL,0TO99
1020,767,2010,4140.53,ALL,ALL,ALL,0TO99
968,784,2010,6317.20,ALL,ALL,ALL,0TO99
993,788,2010,7313.12,ALL,ALL,ALL,0TO99
1026,760,2010,10580.88,ALL,ALL,ALL,0TO99
984,788,2010,5778.75,ALL,ALL,ALL,0TO99
1057,762,2010,7382.16,ALL,ALL,ALL,0TO99
1046,765,2010,9023.64,ALL,ALL,ALL,0TO99
1023,776,2010,7479.61,ALL,ALL,ALL,0TO99
981,788,2010,19264.14,ALL,ALL,ALL,0TO99
964,782,2010,9978.01,ALL,ALL,ALL,0TO99
1021,777,2010,2005.01,ALL,ALL,ALL,0TO99
1030,764,2010,12680.68,ALL,ALL,ALL,0TO99
1031,767,2010,12914.22,ALL,ALL,ALL,0TO99
1001,782,2010,23417.58,ALL,ALL,ALL,0TO99
1030,772,2010,4132.69,ALL,ALL,ALL,0TO99
1029,773,2010,3277.98,ALL,ALL,ALL,0TO99
1000,778,2010,7833.21,ALL,ALL,ALL,0TO99
1036,769,2010,21547.71,ALL,ALL,ALL,0TO99
981,791,2010,7203.35,ALL,ALL,ALL,0TO99
1037,769,2010,65601.70,ALL,ALL,ALL,0TO99
1049,766,2010,6489.64,ALL,ALL,ALL,0TO99
998,782,2010,11555.01,ALL,ALL,ALL,0TO99
993,790,2010,2563.53,ALL,ALL,ALL,0TO99
1051,762,2010,3606.19,ALL,ALL,ALL,0TO99
1013,776,2010,4379.97,ALL,ALL,ALL,0TO99
999,786,2010,7736.39,ALL,ALL,ALL,0TO99
1003,777,2010,8776.50,ALL,ALL,ALL,0TO99
974,788,2010,19823.45,ALL,ALL,ALL,0TO99
1023,775,2010,11713.77,ALL,ALL,ALL,0TO99
1036,765,2010,6500.56,ALL,ALL,ALL,0TO99
1005,776,2010,7201.78,ALL,ALL,ALL,0TO99
1031,766,2010,3933.62,ALL,ALL,ALL,0TO99
1017,770,2010,3520.55,ALL,ALL,ALL,0TO99
994,788,2010,2592.64,ALL,ALL,ALL,0TO99
1058,762,2010,5309.71,ALL,ALL,ALL,0TO99
