Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2135,908,2010,4063.73,ALL,ALL,ALL,0TO99
2130,908,2010,2125.75,ALL,ALL,ALL,0TO99
2133,911,2010,25064.32,ALL,ALL,ALL,0TO99
2126,911,2010,1451.72,ALL,ALL,ALL,0TO99
2132,912,2010,2551.73,ALL,ALL,ALL,0TO99
2127,908,2010,1000.54,ALL,ALL,ALL,0TO99
2134,911,2010,120677.19,ALL,ALL,ALL,0TO99
2131,911,2010,6075.35,ALL,ALL,ALL,0TO99
2128,911,2010,1641.43,ALL,ALL,ALL,0TO99
2138,911,2010,2433.35,ALL,ALL,ALL,0TO99
2137,911,2010,2421.31,ALL,ALL,ALL,0TO99
2133,910,2010,12589.67,ALL,ALL,ALL,0TO99
2125,910,2010,2605.05,ALL,ALL,ALL,0TO99
2136,911,2010,2761.72,ALL,ALL,ALL,0TO99
2133,909,2010,3105.32,ALL,ALL,ALL,0TO99
2136,909,2010,16829.42,ALL,ALL,ALL,0TO99
2139,909,2010,6969.53,ALL,ALL,ALL,0TO99
2139,913,2010,2353.90,ALL,ALL,ALL,0TO99
2135,911,2010,42747.46,ALL,ALL,ALL,0TO99
2129,907,2010,2503.12,ALL,ALL,ALL,0TO99
2131,910,2010,2927.84,ALL,ALL,ALL,0TO99
2131,912,2010,2419.33,ALL,ALL,ALL,0TO99
2125,907,2010,35163.89,ALL,ALL,ALL,0TO99
2128,910,2010,862.86,ALL,ALL,ALL,0TO99
2138,910,2010,7196.32,ALL,ALL,ALL,0TO99
2126,910,2010,1210.32,ALL,ALL,ALL,0TO99
2137,913,2010,1433.98,ALL,ALL,ALL,0TO99
2135,912,2010,6776.06,ALL,ALL,ALL,0TO99
2138,912,2010,2418.31,ALL,ALL,ALL,0TO99
2127,909,2010,750.69,ALL,ALL,ALL,0TO99
2133,907,2010,2359.71,ALL,ALL,ALL,0TO99
2130,907,2010,26171.65,ALL,ALL,ALL,0TO99
2133,908,2010,1034.23,ALL,ALL,ALL,0TO99
2133,912,2010,2976.04,ALL,ALL,ALL,0TO99
2134,912,2010,8500.74,ALL,ALL,ALL,0TO99
2137,910,2010,3744.50,ALL,ALL,ALL,0TO99
2138,913,2010,2125.97,ALL,ALL,ALL,0TO99
2129,910,2010,2984.95,ALL,ALL,ALL,0TO99
2134,910,2010,32353.61,ALL,ALL,ALL,0TO99
2141,914,2010,1750.53,ALL,ALL,ALL,0TO99
2131,908,2010,2322.64,ALL,ALL,ALL,0TO99
2139,911,2010,3191.24,ALL,ALL,ALL,0TO99
2140,913,2010,2191.27,ALL,ALL,ALL,0TO99
2130,909,2010,4122.90,ALL,ALL,ALL,0TO99
2136,908,2010,13289.68,ALL,ALL,ALL,0TO99
2132,910,2010,5404.24,ALL,ALL,ALL,0TO99
2132,913,2010,1337.66,ALL,ALL,ALL,0TO99
2130,910,2010,1930.24,ALL,ALL,ALL,0TO99
2131,907,2010,57857.09,ALL,ALL,ALL,0TO99
2136,912,2010,2418.31,ALL,ALL,ALL,0TO99
2128,906,2010,1161.24,ALL,ALL,ALL,0TO99
2124,908,2010,4237.78,ALL,ALL,ALL,0TO99
2134,907,2010,2343.95,ALL,ALL,ALL,0TO99
2128,908,2010,1032.34,ALL,ALL,ALL,0TO99
2139,912,2010,2385.93,ALL,ALL,ALL,0TO99
2137,912,2010,2418.31,ALL,ALL,ALL,0TO99
2125,908,2010,15979.55,ALL,ALL,ALL,0TO99
2126,907,2010,2724.45,ALL,ALL,ALL,0TO99
2134,908,2010,2669.95,ALL,ALL,ALL,0TO99
2132,909,2010,2259.09,ALL,ALL,ALL,0TO99
2129,909,2010,2478.75,ALL,ALL,ALL,0TO99
2127,911,2010,1197.63,ALL,ALL,ALL,0TO99
2136,910,2010,4724.71,ALL,ALL,ALL,0TO99
2127,907,2010,956.39,ALL,ALL,ALL,0TO99
2144,915,2010,1674.84,ALL,ALL,ALL,0TO99
2137,909,2010,35271.79,ALL,ALL,ALL,0TO99
2135,910,2010,10571.21,ALL,ALL,ALL,0TO99
2130,911,2010,2035.22,ALL,ALL,ALL,0TO99
2146,916,2010,812.62,ALL,ALL,ALL,0TO99
2135,909,2010,6396.33,ALL,ALL,ALL,0TO99
2131,909,2010,2533.62,ALL,ALL,ALL,0TO99
2128,909,2010,398.71,ALL,ALL,ALL,0TO99
2130,912,2010,1544.54,ALL,ALL,ALL,0TO99
2126,908,2010,2159.02,ALL,ALL,ALL,0TO99
2132,911,2010,7816.14,ALL,ALL,ALL,0TO99
2142,914,2010,1906.28,ALL,ALL,ALL,0TO99
2127,910,2010,227.45,ALL,ALL,ALL,0TO99
2128,907,2010,1752.25,ALL,ALL,ALL,0TO99
2129,908,2010,1542.40,ALL,ALL,ALL,0TO99
2140,910,2010,15382.58,ALL,ALL,ALL,0TO99
2134,909,2010,4101.00,ALL,ALL,ALL,0TO99
2124,909,2010,1424.21,ALL,ALL,ALL,0TO99
2126,909,2010,1191.91,ALL,ALL,ALL,0TO99
2132,907,2010,8775.71,ALL,ALL,ALL,0TO99
2132,908,2010,1582.07,ALL,ALL,ALL,0TO99
2125,909,2010,2666.05,ALL,ALL,ALL,0TO99
2139,910,2010,11387.11,ALL,ALL,ALL,0TO99
2131,913,2010,1416.27,ALL,ALL,ALL,0TO99
