Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1955,1067,D24HourMean,QuarterlyMean,Mean,11.28
1956,1054,D24HourMean,QuarterlyMean,Mean,10.14
1968,1051,D24HourMean,QuarterlyMean,Mean,12.02
1945,1063,D24HourMean,QuarterlyMean,Mean,12.42
1941,1046,D24HourMean,QuarterlyMean,Mean,9.11
1947,1057,D24HourMean,QuarterlyMean,Mean,11.44
1944,1066,D24HourMean,QuarterlyMean,Mean,10.47
1943,1064,D24HourMean,QuarterlyMean,Mean,12.21
1930,1056,D24HourMean,QuarterlyMean,Mean,11.50
1930,1063,D24HourMean,QuarterlyMean,Mean,10.35
1952,1067,D24HourMean,QuarterlyMean,Mean,11.81
1941,1054,D24HourMean,QuarterlyMean,Mean,11.85
1947,1067,D24HourMean,QuarterlyMean,Mean,11.06
1939,1050,D24HourMean,QuarterlyMean,Mean,10.56
1952,1051,D24HourMean,QuarterlyMean,Mean,9.71
1931,1054,D24HourMean,QuarterlyMean,Mean,12.10
1974,1051,D24HourMean,QuarterlyMean,Mean,12.03
1974,1049,D24HourMean,QuarterlyMean,Mean,12.81
1936,1061,D24HourMean,QuarterlyMean,Mean,11.48
1947,1055,D24HourMean,QuarterlyMean,Mean,9.76
1956,1057,D24HourMean,QuarterlyMean,Mean,10.82
1956,1051,D24HourMean,QuarterlyMean,Mean,9.37
1935,1065,D24HourMean,QuarterlyMean,Mean,10.69
1944,1046,D24HourMean,QuarterlyMean,Mean,9.19
1941,1049,D24HourMean,QuarterlyMean,Mean,10.98
1944,1048,D24HourMean,QuarterlyMean,Mean,10.95
1967,1058,D24HourMean,QuarterlyMean,Mean,12.79
1941,1063,D24HourMean,QuarterlyMean,Mean,11.74
1967,1060,D24HourMean,QuarterlyMean,Mean,12.75
1960,1049,D24HourMean,QuarterlyMean,Mean,11.45
1941,1050,D24HourMean,QuarterlyMean,Mean,10.70
1972,1055,D24HourMean,QuarterlyMean,Mean,13.63
1941,1056,D24HourMean,QuarterlyMean,Mean,10.62
1962,1062,D24HourMean,QuarterlyMean,Mean,12.76
1963,1049,D24HourMean,QuarterlyMean,Mean,11.26
1935,1064,D24HourMean,QuarterlyMean,Mean,11.73
1935,1057,D24HourMean,QuarterlyMean,Mean,12.70
1940,1048,D24HourMean,QuarterlyMean,Mean,10.06
1966,1051,D24HourMean,QuarterlyMean,Mean,12.03
1982,1059,D24HourMean,QuarterlyMean,Mean,16.87
1959,1064,D24HourMean,QuarterlyMean,Mean,12.57
1945,1046,D24HourMean,QuarterlyMean,Mean,9.09
1950,1051,D24HourMean,QuarterlyMean,Mean,10.38
1937,1063,D24HourMean,QuarterlyMean,Mean,12.72
1927,1062,D24HourMean,QuarterlyMean,Mean,10.89
1952,1060,D24HourMean,QuarterlyMean,Mean,12.33
1944,1064,D24HourMean,QuarterlyMean,Mean,12.09
1960,1054,D24HourMean,QuarterlyMean,Mean,10.82
1933,1060,D24HourMean,QuarterlyMean,Mean,10.99
1975,1055,D24HourMean,QuarterlyMean,Mean,13.91
1944,1060,D24HourMean,QuarterlyMean,Mean,13.83
1969,1052,D24HourMean,QuarterlyMean,Mean,11.66
1973,1049,D24HourMean,QuarterlyMean,Mean,12.82
1938,1064,D24HourMean,QuarterlyMean,Mean,12.31
1971,1053,D24HourMean,QuarterlyMean,Mean,11.99
1965,1055,D24HourMean,QuarterlyMean,Mean,11.39
1969,1047,D24HourMean,QuarterlyMean,Mean,11.90
1979,1050,D24HourMean,QuarterlyMean,Mean,12.39
1949,1065,D24HourMean,QuarterlyMean,Mean,11.59
1971,1052,D24HourMean,QuarterlyMean,Mean,11.94
1930,1062,D24HourMean,QuarterlyMean,Mean,10.66
1988,1056,D24HourMean,QuarterlyMean,Mean,14.64
1946,1062,D24HourMean,QuarterlyMean,Mean,12.80
1940,1055,D24HourMean,QuarterlyMean,Mean,10.80
1962,1049,D24HourMean,QuarterlyMean,Mean,11.48
1955,1066,D24HourMean,QuarterlyMean,Mean,11.20
1966,1048,D24HourMean,QuarterlyMean,Mean,11.77
1963,1057,D24HourMean,QuarterlyMean,Mean,11.05
1953,1054,D24HourMean,QuarterlyMean,Mean,9.83
1937,1064,D24HourMean,QuarterlyMean,Mean,12.32
1976,1051,D24HourMean,QuarterlyMean,Mean,12.91
1952,1058,D24HourMean,QuarterlyMean,Mean,11.11
1933,1052,D24HourMean,QuarterlyMean,Mean,11.11
1948,1061,D24HourMean,QuarterlyMean,Mean,12.52
1948,1055,D24HourMean,QuarterlyMean,Mean,9.35
1965,1050,D24HourMean,QuarterlyMean,Mean,11.08
1969,1055,D24HourMean,QuarterlyMean,Mean,12.23
1944,1058,D24HourMean,QuarterlyMean,Mean,11.90
1955,1055,D24HourMean,QuarterlyMean,Mean,9.69
1929,1056,D24HourMean,QuarterlyMean,Mean,11.96
1948,1067,D24HourMean,QuarterlyMean,Mean,11.10
