Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1955,1067,2010,5415.29,ALL,ALL,ALL,0TO99
1956,1054,2010,17508.84,ALL,ALL,ALL,0TO99
1968,1051,2010,24399.19,ALL,ALL,ALL,0TO99
1945,1063,2010,16463.23,ALL,ALL,ALL,0TO99
1941,1046,2010,2860.06,ALL,ALL,ALL,0TO99
1947,1057,2010,10871.73,ALL,ALL,ALL,0TO99
1944,1066,2010,3191.81,ALL,ALL,ALL,0TO99
1943,1064,2010,14795.55,ALL,ALL,ALL,0TO99
1930,1056,2010,1551.03,ALL,ALL,ALL,0TO99
1930,1063,2010,14324.57,ALL,ALL,ALL,0TO99
1952,1067,2010,54391.24,ALL,ALL,ALL,0TO99
1941,1054,2010,2655.53,ALL,ALL,ALL,0TO99
1947,1067,2010,6417.09,ALL,ALL,ALL,0TO99
1939,1050,2010,3544.49,ALL,ALL,ALL,0TO99
1952,1051,2010,2379.05,ALL,ALL,ALL,0TO99
1931,1054,2010,4109.57,ALL,ALL,ALL,0TO99
1974,1051,2010,4853.79,ALL,ALL,ALL,0TO99
1974,1049,2010,16404.57,ALL,ALL,ALL,0TO99
1936,1061,2010,2634.15,ALL,ALL,ALL,0TO99
1947,1055,2010,2577.15,ALL,ALL,ALL,0TO99
1956,1057,2010,2816.34,ALL,ALL,ALL,0TO99
1956,1051,2010,2507.73,ALL,ALL,ALL,0TO99
1935,1065,2010,14274.33,ALL,ALL,ALL,0TO99
1944,1046,2010,2128.63,ALL,ALL,ALL,0TO99
1941,1049,2010,3054.32,ALL,ALL,ALL,0TO99
1944,1048,2010,11269.91,ALL,ALL,ALL,0TO99
1967,1058,2010,5249.73,ALL,ALL,ALL,0TO99
1941,1063,2010,5197.94,ALL,ALL,ALL,0TO99
1967,1060,2010,5901.82,ALL,ALL,ALL,0TO99
1960,1049,2010,4331.22,ALL,ALL,ALL,0TO99
1941,1050,2010,5246.60,ALL,ALL,ALL,0TO99
1972,1055,2010,18128.27,ALL,ALL,ALL,0TO99
1941,1056,2010,16708.88,ALL,ALL,ALL,0TO99
1962,1062,2010,8155.82,ALL,ALL,ALL,0TO99
1963,1049,2010,4083.09,ALL,ALL,ALL,0TO99
1935,1064,2010,39362.02,ALL,ALL,ALL,0TO99
1935,1057,2010,52751.10,ALL,ALL,ALL,0TO99
1940,1048,2010,975.20,ALL,ALL,ALL,0TO99
1966,1051,2010,57406.21,ALL,ALL,ALL,0TO99
1982,1059,2010,16776.15,ALL,ALL,ALL,0TO99
1959,1064,2010,11618.27,ALL,ALL,ALL,0TO99
1945,1046,2010,2408.96,ALL,ALL,ALL,0TO99
1950,1051,2010,12062.39,ALL,ALL,ALL,0TO99
1937,1063,2010,4606.32,ALL,ALL,ALL,0TO99
1927,1062,2010,5289.05,ALL,ALL,ALL,0TO99
1952,1060,2010,19654.86,ALL,ALL,ALL,0TO99
1944,1064,2010,7234.96,ALL,ALL,ALL,0TO99
1960,1054,2010,4835.95,ALL,ALL,ALL,0TO99
1933,1060,2010,1569.04,ALL,ALL,ALL,0TO99
1975,1055,2010,9553.02,ALL,ALL,ALL,0TO99
1944,1060,2010,170225.42,ALL,ALL,ALL,0TO99
1969,1052,2010,7276.19,ALL,ALL,ALL,0TO99
1973,1049,2010,9813.73,ALL,ALL,ALL,0TO99
1938,1064,2010,4641.52,ALL,ALL,ALL,0TO99
1971,1053,2010,7320.13,ALL,ALL,ALL,0TO99
1965,1055,2010,4657.40,ALL,ALL,ALL,0TO99
1969,1047,2010,18483.19,ALL,ALL,ALL,0TO99
1979,1050,2010,7745.44,ALL,ALL,ALL,0TO99
1949,1065,2010,2574.52,ALL,ALL,ALL,0TO99
1971,1052,2010,9159.14,ALL,ALL,ALL,0TO99
1930,1062,2010,16058.48,ALL,ALL,ALL,0TO99
1988,1056,2010,16035.25,ALL,ALL,ALL,0TO99
1946,1062,2010,18517.17,ALL,ALL,ALL,0TO99
1940,1055,2010,5557.24,ALL,ALL,ALL,0TO99
1962,1049,2010,4188.87,ALL,ALL,ALL,0TO99
1955,1066,2010,5638.09,ALL,ALL,ALL,0TO99
1966,1048,2010,5789.29,ALL,ALL,ALL,0TO99
1963,1057,2010,9521.42,ALL,ALL,ALL,0TO99
1953,1054,2010,7338.04,ALL,ALL,ALL,0TO99
1937,1064,2010,16856.39,ALL,ALL,ALL,0TO99
1976,1051,2010,23762.90,ALL,ALL,ALL,0TO99
1952,1058,2010,2011.38,ALL,ALL,ALL,0TO99
1933,1052,2010,1951.50,ALL,ALL,ALL,0TO99
1948,1061,2010,18998.99,ALL,ALL,ALL,0TO99
1948,1055,2010,2332.22,ALL,ALL,ALL,0TO99
1965,1050,2010,8617.02,ALL,ALL,ALL,0TO99
1969,1055,2010,5116.70,ALL,ALL,ALL,0TO99
1944,1058,2010,5382.04,ALL,ALL,ALL,0TO99
1955,1055,2010,4064.49,ALL,ALL,ALL,0TO99
1929,1056,2010,1723.57,ALL,ALL,ALL,0TO99
